gene,quadrant,sig_cat,pathway,logFC_Training_HR,logFC_Training_LR
DCAF8,Concordant Down,Tr.(LR),Other,-1.3086,-5.229
NUBP2,Concordant Down,Tr.(HR),Other,-1.3193,-0.1654
ARL1,Concordant Down,Tr.(HR),Other,-1.3304,-0.3889
MYH3,Concordant Down,Tr.(HR),Other,-1.4763,-0.4953
PURA,Concordant Down,Tr.(HR),Other,-1.4957,-0.0272
KLKB1,Concordant Down,Both,Other,-1.6263,-1.2841
DCUN1D1,Concordant Down,Tr.(HR),Other,-1.629,-0.5396
COL6A2,Concordant Down,Tr.(HR),Other,-1.6811,-0.694
RPL32,Concordant Down,Tr.(HR),Other,-1.7918,-0.0925
DHCR24,Concordant Down,Tr.(HR),Other,-1.8556,-0.4343
MYH4,Concordant Down,Tr.(HR),Other,-2.1327,-0.2909
SYNE2,Concordant Down,Tr.(HR),Other,-2.535,-0.5927
PITPNA,Concordant Down,Tr.(LR),Phospholipid Transport,-0.3002,-1.2688
NPC2,Concordant Down,Tr.(LR),Phospholipid Transport,-0.6437,-0.8289
TOMM7,Concordant Down,Tr.(HR),Protein Import Into Mitochondrial Matrix,-1.3735,-0.2236
PEA15,Concordant Down,Tr.(HR),Regulation Of D Glucose Import,-1.6112,-0.5674
BCKDK,Concordant Down,Tr.(HR),Regulation Of Fatty Acid Metabolic Process,-1.6486,-0.5563
ROMO1,Discordant,Inter.,Biological Process Involved In Interaction...,-0.6869,0.3766
RBKS,Discordant,Inter.,Carbohydrate Phosphorylation,-0.9282,0.7334
RTN4IP1,Discordant,Tr.(HR),Ketone Metabolic Process,1.209,-0.4105
KYAT3,Discordant,Inter.,Ketone Metabolic Process,0.6497,-0.6865
LYPLA2,Discordant,Tr.(LR),Lipoprotein Metabolic Process,-0.1012,0.5217
PPM1B,Discordant,Tr.(HR),Lipoprotein Metabolic Process,-0.9096,0.1956
GAA,Discordant,Inter.,Monosaccharide Metabolic Process,-0.356,0.7372
MFN2,Discordant,Inter.,Negative Regulation Of Smooth Muscle Cell ...,0.5293,-0.3368
ADIPOQ,Discordant,Tr.(LR),Negative Regulation Of Smooth Muscle Cell ...,0.2714,-0.9539
TMED5,Discordant,Tr.(HR),Other,1.5443,-0.0349
CD9,Discordant,Inter.,Other,1.2093,-0.514
DYNLT1,Discordant,Tr.(HR),Other,1.2048,-0.1194
TPRKB,Discordant,Inter.,Other,1.1424,-0.626
ACAD10,Discordant,Tr.(HR),Other,1.1063,-0.2851
PDPR,Discordant,Tr.(HR),Other,0.793,-0.269
YARS1,Discordant,Inter.,Other,0.6831,-0.4346
PALMD,Discordant,Inter.,Other,0.6666,-0.5793
EIF3L,Discordant,Inter.,Other,0.3977,-0.4936
PRPSAP2,Discordant,Tr.(LR),Other,0.0596,-1.5622
UBE2O,Discordant,Tr.(LR),Other,-0.2601,1.1944
MAPKAPK2,Discordant,Inter.,Other,-0.5162,0.2595
HLA-DRA,Discordant,Tr.(LR),Other,-0.5534,1.1607
ATP6V1H,Discordant,Inter.,Other,-0.5745,0.4769
HINT1,Discordant,Inter.,Other,-0.575,0.1701
MRPL22,Discordant,Inter.,Other,-0.5832,0.5577
JPT2,Discordant,Inter.,Other,-0.6254,0.3351
ALPK3,Discordant,Inter.,Other,-0.662,0.7916
MLIP,Discordant,Inter.,Other,-0.7045,0.5737
SYNC,Discordant,Tr.(HR),Other,-0.807,0.3301
HNRNPUL2,Discordant,Inter.,Other,-0.9207,0.4024
CHORDC1,Discordant,Inter.,Other,-0.9334,0.6825
CTPS1,Discordant,Inter.,Other,-0.9572,0.7913
MYH13,Discordant,Tr.(HR),Other,-0.9982,0.1563
TYMP,Discordant,Inter.,Other,-1.0477,0.5792
RO60,Discordant,Inter.,Other,-1.2026,0.7898
HNRNPL,Discordant,Tr.(HR),Other,-1.2849,0.2445
CORO6,Discordant,Tr.(HR),Other,-1.3738,0.5431
SND1,Discordant,Tr.(HR),Other,-1.4293,0.3546
DRG1,Discordant,Tr.(HR),Other,-1.5109,0.19
SYNPO2L,Discordant,Tr.(HR),Other,-1.6063,0.2282
RAP2B,Discordant,Tr.(HR),Other,-1.7018,0.1712
MYH6,Discordant,Tr.(HR),Other,-1.9302,0.0892
LAMP1,Discordant,Tr.(HR),Other,-2.0528,0.1883
AKT2,Discordant,Tr.(LR),Regulation Of D Glucose Import,-0.2645,0.9207
CPT1A,Discordant,Tr.(HR),Regulation Of Fatty Acid Metabolic Process,0.8373,-0.5356
MLYCD,Discordant,Tr.(HR),Regulation Of Fatty Acid Metabolic Process,-1.1336,0.0323
LMAN2,Discordant,Tr.(HR),Retrograde Vesicle Mediated Transport Golg...,1.3011,-0.197
COPA,Discordant,Tr.(HR),Retrograde Vesicle Mediated Transport Golg...,1.1627,-0.4709
POLDIP2,Discordant,Tr.(LR),Smooth Muscle Cell Proliferation,-0.3129,0.9128
XRCC5,Discordant,Inter.,Smooth Muscle Cell Proliferation,-0.4292,0.4913
