group_id,sample_id,ME
black,S16_T3,0.031043306563379128
blue,S16_T3,0.07177966441444168
brown,S16_T3,-0.012200533153949537
green,S16_T3,-0.09005329566669501
greenyellow,S16_T3,0.043130655518309725
magenta,S16_T3,0.11050650600766009
pink,S16_T3,0.10868163234320749
purple,S16_T3,0.0746940228512345
red,S16_T3,-0.07393724107415343
salmon,S16_T3,-0.03244627542632241
tan,S16_T3,-0.014306241609880591
turquoise,S16_T3,-0.09324760767279212
yellow,S16_T3,0.026992008429715088
black,S22_T3,-0.07529114986944166
blue,S22_T3,-0.12296310574384146
brown,S22_T3,-0.12456975346385271
green,S22_T3,0.3376914454823544
greenyellow,S22_T3,-0.17728433705559107
magenta,S22_T3,-0.23520974407094822
pink,S22_T3,0.012051799306359372
purple,S22_T3,0.04588121972614072
red,S22_T3,0.048592326291078965
salmon,S22_T3,-0.17318346244548002
tan,S22_T3,0.026803616585824513
turquoise,S22_T3,0.0857514321162917
yellow,S22_T3,0.14058139314666201
black,S24_T3,-0.07561935681160367
blue,S24_T3,-0.5444711448712445
brown,S24_T3,-0.38159185687659997
green,S24_T3,0.16468746073209495
greenyellow,S24_T3,-0.39014556371247366
magenta,S24_T3,-0.20224898519510678
pink,S24_T3,-0.22456571672584397
purple,S24_T3,0.18312171840127023
red,S24_T3,0.3677780798054298
salmon,S24_T3,-0.0021861708653153375
tan,S24_T3,0.4287940984626029
turquoise,S24_T3,0.403224746422675
yellow,S24_T3,-0.3661893479804687
black,S27_T3,0.06489351684896383
blue,S27_T3,0.06748203173335775
brown,S27_T3,-0.062077910985640306
green,S27_T3,-0.07530845246214284
greenyellow,S27_T3,0.1849395790498376
magenta,S27_T3,0.11911318417369157
pink,S27_T3,0.1628432738496888
purple,S27_T3,0.16619735849229114
red,S27_T3,-0.05439362487043479
salmon,S27_T3,0.027742947353136135
tan,S27_T3,-0.1477200360640142
turquoise,S27_T3,-0.10655737906636781
yellow,S27_T3,0.03344805985713289
black,S29_T3,-0.07374202102545703
blue,S29_T3,0.09819832123258464
brown,S29_T3,0.18164432048007043
green,S29_T3,-0.09025223377852283
greenyellow,S29_T3,0.04853502859985272
magenta,S29_T3,0.026152741240791245
pink,S29_T3,0.0025564941048040837
purple,S29_T3,-0.09429155564589282
red,S29_T3,0.005215444759513982
salmon,S29_T3,-0.11483238307131945
tan,S29_T3,-0.07311024260281462
turquoise,S29_T3,-0.028778356755832322
yellow,S29_T3,0.015424007208714152
black,S04_T3,0.10361087782585034
blue,S04_T3,0.010998208761616179
brown,S04_T3,-0.12459987027166157
green,S04_T3,-0.02252180193941564
greenyellow,S04_T3,0.0808300801066501
magenta,S04_T3,-0.20446417140775397
pink,S04_T3,0.07821012872190075
purple,S04_T3,0.06553877961527688
red,S04_T3,-0.15361545078589395
salmon,S04_T3,-0.1278907767953595
tan,S04_T3,-0.15736431296134049
turquoise,S04_T3,0.09695979182456232
yellow,S04_T3,0.03299994302127449
black,S05_T3,0.07031133221074093
blue,S05_T3,0.12144530663918923
brown,S05_T3,-0.020630358407358787
