uniprot_id,gene,protein,description,feature_id,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
Q9BSE5,AGMAT,SPEB_HUMAN,"Agmatinase, mitochondrial",AGMAT,19,42.22222222222222,21.95723914783613,0,0,0,0,MAR,TRUE,NA
Q9UKV8,AGO2,AGO2_HUMAN,Protein argonaute-2,AGO2,14,31.11111111111111,19.546669535693418,0,0,0,0,MAR,TRUE,NA
P23526,AHCY,SAHH_HUMAN,Adenosylhomocysteinase,AHCY,0,0,22.712046631577746,NA,NA,NA,NA,Complete,TRUE,NA
O43865,AHCYL1,SAHH2_HUMAN,S-adenosylhomocysteine hydrolase-like protein 1,AHCYL1,0,0,17.919876623705875,NA,NA,NA,NA,Complete,TRUE,NA
Q96HN2,AHCYL2,SAHH3_HUMAN,Adenosylhomocysteinase 3,AHCYL2,7,15.555555555555555,17.179152157967472,1,1,1,3,MNAR,TRUE,0.2673663168415792
Q09666,AHNAK,AHNK_HUMAN,Neuroblast differentiation-associated protein AHNAK,AHNAK,0,0,23.111252932434628,NA,NA,NA,NA,Complete,TRUE,NA
O95433,AHSA1,AHSA1_HUMAN,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,1,2.2222222222222223,19.73326803630352,0,0,0,0,MAR,TRUE,NA
O95831,AIFM1,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,0,0,24.071375392254883,NA,NA,NA,NA,Complete,TRUE,NA
Q12904,AIMP1,AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,AIMP1,0,0,19.43380284095832,NA,NA,NA,NA,Complete,TRUE,NA
Q13155,AIMP2,AIMP2_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,1,2.2222222222222223,19.800056384910064,0,0,0,0,MAR,TRUE,NA
P00568,AK1,KAD1_HUMAN,Adenylate kinase isoenzyme 1,AK1,0,0,28.629944523032226,NA,NA,NA,NA,Complete,TRUE,NA
P54819,AK2,KAD2_HUMAN,"Adenylate kinase 2, mitochondrial",AK2,0,0,23.250772018292707,NA,NA,NA,NA,Complete,TRUE,NA
Q9UIJ7,AK3,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial",AK3,0,0,23.295376558524115,NA,NA,NA,NA,Complete,TRUE,NA
Q02952,AKAP12,AKA12_HUMAN,A-kinase anchor protein 12,AKAP12,22,48.888888888888886,16.820513340594186,1,1,1,3,MNAR,TRUE,0.16841579210394803
P14550,AKR1A1,AK1A1_HUMAN,Aldo-keto reductase family 1 member A1,AKR1A1,0,0,26.35881821055836,NA,NA,NA,NA,Complete,TRUE,NA
P15121,AKR1B1,ALDR_HUMAN,Aldo-keto reductase family 1 member B1,AKR1B1,0,0,25.122924337766793,NA,NA,NA,NA,Complete,TRUE,NA
Q04828,AKR1C1,AK1C1_HUMAN,Aldo-keto reductase family 1 member C1,AKR1C1,2,4.444444444444445,21.044367730978742,0,0,0,0,MAR,TRUE,NA
P52895,AKR1C2,AK1C2_HUMAN,Aldo-keto reductase family 1 member C2,AKR1C2,23,51.11111111111111,19.875993489282617,1,0,0,1,MAR,FALSE,NA
P42330,AKR1C3,AK1C3_HUMAN,Aldo-keto reductase family 1 member C3,AKR1C3,1,2.2222222222222223,21.260234104718357,0,0,0,0,MAR,TRUE,NA
O43488,AKR7A2,ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2,AKR7A2,0,0,21.03213082041611,NA,NA,NA,NA,Complete,TRUE,NA
P31749,AKT1,AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase,AKT1,18,40,17.66971871866431,1,1,1,3,MNAR,TRUE,0.014992503748125937
P31751,AKT2,AKT2_HUMAN,RAC-beta serine/threonine-protein kinase,AKT2,12,26.666666666666668,16.948395002198495,1,1,1,3,MNAR,TRUE,0.04847576211894053
P13716,ALAD,HEM2_HUMAN,Delta-aminolevulinic acid dehydratase,ALAD,0,0,20.615424776985257,NA,NA,NA,NA,Complete,TRUE,NA
Q8IZ83,ALDH16A1,A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1,ALDH16A1,21,46.666666666666664,17.348653012110436,1,1,1,3,MNAR,TRUE,0.6721639180409795
P00352,ALDH1A1,AL1A1_HUMAN,Retinal dehydrogenase 1,ALDH1A1,0,0,23.072564763959438,NA,NA,NA,NA,Complete,TRUE,NA
P30837,ALDH1B1,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,0,0,22.262413895146818,NA,NA,NA,NA,Complete,TRUE,NA
O75891,ALDH1L1,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase,ALDH1L1,0,0,22.209349060700106,NA,NA,NA,NA,Complete,TRUE,NA
P05091,ALDH2,ALDH2_HUMAN,"Aldehyde dehydrogenase, mitochondrial",ALDH2,0,0,22.432905743959456,NA,NA,NA,NA,Complete,TRUE,NA
P51648,ALDH3A2,AL3A2_HUMAN,Aldehyde dehydrogenase family 3 member A2,ALDH3A2,0,0,21.386872095720978,NA,NA,NA,NA,Complete,TRUE,NA
P30038,ALDH4A1,AL4A1_HUMAN,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",ALDH4A1,0,0,22.675605776924936,NA,NA,NA,NA,Complete,TRUE,NA
P51649,ALDH5A1,SSDH_HUMAN,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,0,0,22.798380680207597,NA,NA,NA,NA,Complete,TRUE,NA
Q02252,ALDH6A1,MMSA_HUMAN,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,1,2.2222222222222223,18.297969777990982,0,1,0,1,MAR,TRUE,NA
P49419,ALDH7A1,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,0,0,19.27747057165831,NA,NA,NA,NA,Complete,TRUE,NA
P49189,ALDH9A1,AL9A1_HUMAN,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,0,0,23.37472174711843,NA,NA,NA,NA,Complete,TRUE,NA
P04075,ALDOA,ALDOA_HUMAN,Fructose-bisphosphate aldolase A,ALDOA,0,0,31.433161002676414,NA,NA,NA,NA,Complete,TRUE,NA
P09972,ALDOC,ALDOC_HUMAN,Fructose-bisphosphate aldolase C,ALDOC,1,2.2222222222222223,27.217558784528844,0,0,0,0,MAR,TRUE,NA
Q96L96,ALPK3,ALPK3_HUMAN,Alpha-protein kinase 3,ALPK3,19,42.22222222222222,20.38602401189808,0,0,0,0,MAR,TRUE,NA
P23109,AMPD1,AMPD1_HUMAN,AMP deaminase 1,AMPD1,0,0,23.71198056893566,NA,NA,NA,NA,Complete,TRUE,NA
Q01432,AMPD3,AMPD3_HUMAN,AMP deaminase 3,AMPD3,0,0,22.336260526272323,NA,NA,NA,NA,Complete,TRUE,NA
P16157,ANK1,ANK1_HUMAN,Ankyrin-1,ANK1,1,2.2222222222222223,20.243263473027323,0,0,0,0,MAR,TRUE,NA
Q01484,ANK2,ANK2_HUMAN,Ankyrin-2,ANK2,3,6.666666666666667,23.068068030460278,0,0,0,0,MAR,TRUE,NA
Q12955,ANK3,ANK3_HUMAN,Ankyrin-3,ANK3,17,37.77777777777778,15.881920828566098,1,1,1,3,MNAR,TRUE,0.8480759620189905
Q9GZV1,ANKRD2,ANKR2_HUMAN,Ankyrin repeat domain-containing protein 2,ANKRD2,0,0,24.82168111221864,NA,NA,NA,NA,Complete,TRUE,NA
P39687,ANP32A,AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,0,0,21.351126101161803,NA,NA,NA,NA,Complete,TRUE,NA
Q9BTT0,ANP32E,AN32E_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,24,53.333333333333336,16.653465263806872,1,1,1,3,MNAR,FALSE,0.7261369315342329
P04083,ANXA1,ANXA1_HUMAN,Annexin A1,ANXA1,0,0,23.824695812664018,NA,NA,NA,NA,Complete,TRUE,NA
P50995,ANXA11,ANX11_HUMAN,Annexin A11,ANXA11,0,0,23.108011819395202,NA,NA,NA,NA,Complete,TRUE,NA
P07355,ANXA2,ANXA2_HUMAN,Annexin A2,ANXA2,0,0,24.651066689645994,NA,NA,NA,NA,Complete,TRUE,NA
P12429,ANXA3,ANXA3_HUMAN,Annexin A3,ANXA3,2,4.444444444444445,19.674472852775285,0,0,0,0,MAR,TRUE,NA
P09525,ANXA4,ANXA4_HUMAN,Annexin A4,ANXA4,0,0,21.535868913525686,NA,NA,NA,NA,Complete,TRUE,NA
P08758,ANXA5,ANXA5_HUMAN,Annexin A5,ANXA5,0,0,24.3967227821578,NA,NA,NA,NA,Complete,TRUE,NA
P08133,ANXA6,ANXA6_HUMAN,Annexin A6,ANXA6,0,0,25.944064912945986,NA,NA,NA,NA,Complete,TRUE,NA
P20073,ANXA7,ANXA7_HUMAN,Annexin A7,ANXA7,0,0,23.012738379852298,NA,NA,NA,NA,Complete,TRUE,NA
Q16853,AOC3,AOC3_HUMAN,Membrane primary amine oxidase,AOC3,6,13.333333333333334,19.90976258138493,0,0,0,0,MAR,TRUE,NA
Q10567,AP1B1,AP1B1_HUMAN,AP-1 complex subunit beta-1,AP1B1,15,33.33333333333333,19.114598239434706,1,0,1,2,MNAR,TRUE,0.2193903048475762
O43747,AP1G1,AP1G1_HUMAN,AP-1 complex subunit gamma-1,AP1G1,15,33.33333333333333,17.300295498711762,1,1,1,3,MNAR,TRUE,0.6086956521739131
O95782,AP2A1,AP2A1_HUMAN,AP-2 complex subunit alpha-1,AP2A1,3,6.666666666666667,18.550135973183927,0,0,0,0,MAR,TRUE,NA
P63010,AP2B1,AP2B1_HUMAN,AP-2 complex subunit beta,AP2B1,2,4.444444444444445,19.151380186891323,0,0,0,0,MAR,TRUE,NA
Q96CW1,AP2M1,AP2M1_HUMAN,AP-2 complex subunit mu,AP2M1,5,11.11111111111111,18.46041860151834,0,0,0,0,MAR,TRUE,NA
P13798,APEH,ACPH_HUMAN,Acylamino-acid-releasing enzyme,APEH,0,0,23.898650480667403,NA,NA,NA,NA,Complete,TRUE,NA
P27695,APEX1,APEX1_HUMAN,DNA-(apurinic or apyrimidinic site) lyase,APEX1,0,0,18.807929880341824,NA,NA,NA,NA,Complete,TRUE,NA
Q9BZZ5,API5,API5_HUMAN,Apoptosis inhibitor 5,API5,23,51.11111111111111,15.523516489280762,1,1,1,3,MNAR,FALSE,0.038980509745127435
Q96GX9,APIP,MTNB_HUMAN,Methylthioribulose-1-phosphate dehydratase,APIP,16,35.55555555555556,16.61608377020232,1,1,1,3,MNAR,TRUE,0.4657671164417791
Q9HDC9,APMAP,APMAP_HUMAN,Adipocyte plasma membrane-associated protein,APMAP,4,8.88888888888889,18.894028805094315,0,0,0,0,MAR,TRUE,NA
Q9Y235,APOBEC2,ABEC2_HUMAN,C->U-editing enzyme APOBEC-2,APOBEC2,0,0,26.46048036637844,NA,NA,NA,NA,Complete,TRUE,NA
P05090,APOD,APOD_HUMAN,Apolipoprotein D,APOD,7,15.555555555555555,20.801240174674763,0,0,0,0,MAR,TRUE,NA
P02649,APOE,APOE_HUMAN,Apolipoprotein E,APOE,7,15.555555555555555,17.420487958443044,0,1,1,2,MNAR,TRUE,0.4912543728135932
O14791,APOL1,APOL1_HUMAN,Apolipoprotein L1,APOL1,26,57.77777777777777,16.907956540208037,1,1,1,3,MNAR,FALSE,0.043478260869565216
Q9BUR5,APOO,MIC26_HUMAN,MICOS complex subunit MIC26,APOO,0,0,21.299877340187596,NA,NA,NA,NA,Complete,TRUE,NA
Q6UXV4,APOOL,MIC27_HUMAN,MICOS complex subunit MIC27,APOOL,0,0,21.358449227787755,NA,NA,NA,NA,Complete,TRUE,NA
Q9UKG1,APPL1,DP13A_HUMAN,DCC-interacting protein 13-alpha,APPL1,7,15.555555555555555,16.492421437892833,1,1,1,3,MNAR,TRUE,0.9555222388805598
P07741,APRT,APT_HUMAN,Adenine phosphoribosyltransferase,APRT,0,0,21.630377019175228,NA,NA,NA,NA,Complete,TRUE,NA
P29972,AQP1,AQP1_HUMAN,Aquaporin-1,AQP1,4,8.88888888888889,18.305636911597283,0,1,0,1,MAR,TRUE,NA
P48444,ARCN1,COPD_HUMAN,Coatomer subunit delta,ARCN1,15,33.33333333333333,17.652361604649606,1,1,1,3,MNAR,TRUE,0.9405297351324338
P84077,ARF1,ARF1_HUMAN,ADP-ribosylation factor 1,ARF1,0,0,22.2921747983275,NA,NA,NA,NA,Complete,TRUE,NA
P18085,ARF4,ARF4_HUMAN,ADP-ribosylation factor 4,ARF4,0,0,28.084730787057854,NA,NA,NA,NA,Complete,TRUE,NA
P84085,ARF5,ARF5_HUMAN,ADP-ribosylation factor 5,ARF5,13,28.888888888888886,15.737353280144962,1,1,1,3,MNAR,TRUE,0.8675662168915542
P62330,ARF6,ARF6_HUMAN,ADP-ribosylation factor 6,ARF6,8,17.77777777777778,19.279141551744623,0,0,0,0,MAR,TRUE,NA
Q07960,ARHGAP1,RHG01_HUMAN,Rho GTPase-activating protein 1,ARHGAP1,10,22.22222222222222,18.647079082595795,0,0,1,1,MAR,TRUE,NA
Q14CB8,ARHGAP19,RHG19_HUMAN,Rho GTPase-activating protein 19,ARHGAP19,17,37.77777777777778,19.902607980753377,0,0,0,0,MAR,TRUE,NA
P52565,ARHGDIA,GDIR1_HUMAN,Rho GDP-dissociation inhibitor 1,ARHGDIA,0,0,22.70939687717524,NA,NA,NA,NA,Complete,TRUE,NA
P52566,ARHGDIB,GDIR2_HUMAN,Rho GDP-dissociation inhibitor 2,ARHGDIB,18,40,19.216106797643057,1,0,1,2,MNAR,TRUE,0.6126936531734133
O95376,ARIH2,ARI2_HUMAN,E3 ubiquitin-protein ligase ARIH2,ARIH2,9,20,19.682485882466292,0,0,0,0,MAR,TRUE,NA
P40616,ARL1,ARL1_HUMAN,ADP-ribosylation factor-like protein 1,ARL1,22,48.888888888888886,16.904490139384148,1,1,1,3,MNAR,TRUE,0.04447776111944028
P36405,ARL3,ARL3_HUMAN,ADP-ribosylation factor-like protein 3,ARL3,11,24.444444444444443,18.427550809541216,0,0,1,1,MAR,TRUE,NA
O75915,ARL6IP5,PRAF3_HUMAN,PRA1 family protein 3,ARL6IP5,0,0,24.183324120427727,NA,NA,NA,NA,Complete,TRUE,NA
Q96BM9,ARL8A,ARL8A_HUMAN,ADP-ribosylation factor-like protein 8A,ARL8A,4,8.88888888888889,18.421747569374602,0,0,0,0,MAR,TRUE,NA
Q9NVJ2,ARL8B,ARL8B_HUMAN,ADP-ribosylation factor-like protein 8B,ARL8B,0,0,19.821592120793078,NA,NA,NA,NA,Complete,TRUE,NA
Q9H993,ARMT1,ARMT1_HUMAN,Damage-control phosphatase ARMT1,ARMT1,2,4.444444444444445,19.56834646461064,0,0,0,0,MAR,TRUE,NA
O15143,ARPC1B,ARC1B_HUMAN,Actin-related protein 2/3 complex subunit 1B,ARPC1B,25,55.55555555555556,17.913801996462055,1,1,1,3,MNAR,FALSE,0.4097951024487756
O15144,ARPC2,ARPC2_HUMAN,Actin-related protein 2/3 complex subunit 2,ARPC2,12,26.666666666666668,18.650415872993424,0,0,1,1,MAR,TRUE,NA
O15145,ARPC3,ARPC3_HUMAN,Actin-related protein 2/3 complex subunit 3,ARPC3,2,4.444444444444445,19.788808805157842,0,0,0,0,MAR,TRUE,NA
P59998,ARPC4,ARPC4_HUMAN,Actin-related protein 2/3 complex subunit 4,ARPC4,0,0,19.870800347427757,NA,NA,NA,NA,Complete,TRUE,NA
Q9BPX5,ARPC5L,ARP5L_HUMAN,Actin-related protein 2/3 complex subunit 5-like protein,ARPC5L,4,8.88888888888889,18.21884893354631,0,1,0,1,MAR,TRUE,NA
P56211,ARPP19,ARP19_HUMAN,cAMP-regulated phosphoprotein 19,ARPP19,2,4.444444444444445,18.861984814838504,0,0,0,0,MAR,TRUE,NA
Q13508,ART3,NAR3_HUMAN,Ecto-ADP-ribosyltransferase 3,ART3,1,2.2222222222222223,18.705108470924653,0,0,0,0,MAR,TRUE,NA
Q13510,ASAH1,ASAH1_HUMAN,Acid ceramidase,ASAH1,5,11.11111111111111,19.799814227649115,0,0,0,0,MAR,TRUE,NA
P45381,ASPA,ACY2_HUMAN,Aspartoacylase,ASPA,3,6.666666666666667,20.096350363681037,0,0,0,0,MAR,TRUE,NA
Q12797,ASPH,ASPH_HUMAN,Aspartyl/asparaginyl beta-hydroxylase,ASPH,5,11.11111111111111,19.004583218120505,0,0,0,0,MAR,TRUE,NA
Q9BXN1,ASPN,ASPN_HUMAN,Asporin,ASPN,7,15.555555555555555,19.243190164362613,0,0,0,0,MAR,TRUE,NA
P00966,ASS1,ASSY_HUMAN,Argininosuccinate synthase,ASS1,21,46.666666666666664,17.787905643788154,1,1,1,3,MNAR,TRUE,0.8510744627686156
Q8NBU5,ATAD1,ATAD1_HUMAN,ATPase family AAA domain-containing protein 1,ATAD1,0,0,18.12445626398909,NA,NA,NA,NA,Complete,TRUE,NA
Q9NVI7,ATAD3A,ATD3A_HUMAN,ATPase family AAA domain-containing protein 3A,ATAD3A,8,17.77777777777778,18.555170226630146,0,0,1,1,MAR,TRUE,NA
