gene,logFC,neg_log10_p,pi_score,adj_pval,direction
RAP1A,0.5222,0.7861,0.388582,0.999762,NS
PRELP,0.6318,0.6497,0.388621,0.999762,NS
APPL1,-0.43120000000000003,0.9511,0.388983,0.999762,NS
TMX3,0.4323,0.9446,0.390546,0.999762,NS
UQCC3,-0.696,0.5863,0.390792,0.999762,NS
ATP2B4,0.4486,0.9046,0.39283,0.999762,NS
MT-ATP6,0.639,0.6337,0.393629,0.999762,NS
MAPKAPK2,-0.381,1.0479,0.398808,0.999762,NS
ASPH,0.5584,0.709,0.401848,0.999762,NS
GCSH,0.403,0.9778,0.403577,0.999762,NS
LSS,0.5561,0.7085,0.403629,0.999762,NS
CHMP6,0.4295,0.9167,0.403851,0.999762,NS
PRPS1,0.4116,0.9495,0.40658,0.999762,NS
DBI,0.4988,0.7787,0.408854,0.999762,NS
SLC25A3,-0.3604,1.0775,0.408922,0.999762,NS
IDI1,-0.3944,0.9798,0.41072,0.999762,NS
KYAT3,0.6323,0.6073,0.41302,0.999762,NS
SGCG,0.4706,0.8135,0.414142,0.999762,NS
TACC2,0.46,0.8313,0.414539,0.999762,NS
ILVBL,0.7023,0.5428,0.41567,0.999762,NS
SCN1B,0.5183,0.7287,0.419116,0.999762,NS
UBE2O,-0.7189,0.5239,0.420155,0.999762,NS
TOM1L2,-0.4162,0.9044,0.420376,0.999762,NS
RPS2,-0.3888,0.9605,0.423236,0.999762,NS
NAA50,0.4182,0.8918,0.423714,0.999762,NS
YWHAQ,-0.3971,0.9304,0.427077,0.999762,NS
OPA3,-0.5011,0.7362,0.42761,0.999762,NS
TXN,0.3797,0.9697,0.428313,0.999762,NS
NIPSNAP3A,0.4543,0.8087,0.429138,0.999762,NS
SMTNL1,0.4187,0.8761,0.42971,0.999762,NS
MGLL,0.4181,0.8769,0.429873,0.999762,NS
PPP1R1A,0.5238,0.6993,0.430258,0.999762,NS
APOBEC2,0.3961,0.9235,0.430711,0.999762,NS
NOL3,0.3478,1.0468,0.432467,0.999762,NS
NUDC,-0.3764,0.9642,0.433573,0.999762,NS
ARL8A,0.4153,0.8656,0.437048,0.999762,NS
PURA,-0.5138,0.6987,0.437519,0.999762,NS
FBP1,-0.6204,0.5751,0.439769,0.999762,NS
SEPTIN6,0.8272,0.43,0.440869,0.999762,NS
RAB1B,0.3719,0.9559,0.441033,0.999762,NS
SLK,-0.5684,0.6231,0.442405,0.999762,NS
CKM,0.2711,1.3018,0.443666,0.999762,NS
ETFRF1,0.6042,0.5802,0.446081,0.999762,NS
DYNLL1,-0.4523,0.7699,0.448474,0.999762,NS
RTCA,-0.4182,0.8173,0.455238,0.999762,NS
CACNA1S,0.3337,1.0205,0.456549,0.999762,NS
EPHX1,0.401,0.8427,0.459247,0.999762,NS
TXNRD2,0.5502,0.6063,0.463919,0.999762,NS
SLC37A4,0.44,0.7568,0.464571,0.999762,NS
ADPRH,-0.5205,0.6394,0.464753,0.999762,NS
MYLK2,0.4249,0.7832,0.464769,0.999762,NS
COA3,0.4521,0.7356,0.465005,0.999762,NS
SUMO2,-0.3892,0.8498,0.466927,0.999762,NS
ADH1B,0.4982,0.6632,0.467339,0.999762,NS
CDC37,0.4481,0.7295,0.471134,0.999762,NS
CD63,-0.5452,0.5989,0.471498,0.999762,NS
ABCE1,-0.3821,0.8475,0.474441,0.999762,NS
SMYD1,-0.3382,0.9543,0.475634,0.999762,NS
ATP5PB,0.2396,1.3455,0.475973,0.999762,NS
TFG,-0.3505,0.9174,0.476932,0.999762,NS
ABCB7,0.4213,0.7597,0.478568,0.999762,NS
EIF2A,0.3905,0.8176,0.479455,0.999762,NS
MAP2K4,-0.4294,0.7428,0.479797,0.999762,NS
CSDE1,-0.358,0.8902,0.480107,0.999762,NS
EIF2S3,0.3085,1.0326,0.480213,0.999762,NS
NAPRT,-0.4183,0.7609,0.480499,0.999762,NS
EPB41,0.6339,0.5017,0.480784,0.999762,NS
KPNA1,-0.4008,0.7914,0.481721,0.999762,NS
SYNM,-0.4979,0.6364,0.482114,0.999762,NS
AK1,0.2685,1.1796,0.482225,0.999762,NS
CHORDC1,-0.6,0.5225,0.485898,0.999762,NS
SGTA,-0.3479,0.9009,0.485962,0.999762,NS
PDAP1,0.439,0.7134,0.486181,0.999762,NS
IVD,-0.3947,0.7922,0.486726,0.999762,NS
ABCF1,0.4647,0.6728,0.486797,0.999762,NS
SAR1A,0.4373,0.7137,0.487396,0.999762,NS
SPR,-0.4589,0.6755,0.489817,0.999762,NS
MAPK1,-0.3757,0.8176,0.493012,0.999762,NS
TMEM109,0.4306,0.7122,0.493515,0.999762,NS
SLC44A2,-0.3837,0.7984,0.493871,0.999762,NS
RPS7,-0.5358,0.571,0.494412,0.999762,NS
DDT,0.4669,0.6549,0.494571,0.999762,NS
HOOK3,-0.954,0.3166,0.498797,0.999762,NS
MTARC2,0.4568,0.6606,0.49919,0.999762,NS
PKIA,0.407,0.74,0.499799,0.999762,NS
