gene,logFC,neg_log10_p,pi_score,adj_pval,direction
JSRP1,-0.4295,1.1053,0.335152,0.704809,NS
MPST,0.3512,1.3464,0.336592,0.622102,NS
GNAS,-0.3821,1.2349,0.337393,0.67205,NS
UQCRH,-0.4153,1.1337,0.338215,0.704809,NS
MB,-0.3396,1.3844,0.338779,0.606722,NS
MRPL12,-0.4272,1.0987,0.339381,0.704981,NS
RPL9,0.4593,1.0181,0.340729,0.714894,NS
FAM136A,-0.4333,1.0742,0.342407,0.705754,NS
UQCR10,0.504,0.9216,0.34315,0.752902,NS
GHITM,-0.6308,0.7236,0.349598,0.819063,NS
MT-ND3,0.5688,0.7992,0.351057,0.792594,NS
RPL14,-0.4891,0.9278,0.351715,0.749843,NS
TARDBP,0.6265,0.7242,0.351749,0.819063,NS
FIS1,-0.4751,0.9516,0.353127,0.732688,NS
ATPAF2,-0.4581,0.9862,0.353319,0.714894,NS
HNRNPD,0.3111,1.4467,0.354807,0.570465,NS
ELOC,-0.3717,1.2092,0.35523,0.674513,NS
DIAPH1,0.6597,0.6784,0.35683,0.831083,NS
NFU1,-0.4433,1.0007,0.360089,0.714894,NS
MGLL,0.4261,1.0379,0.361231,0.714894,NS
XRCC6,0.3904,1.1326,0.361252,0.704809,NS
DHRS4,-0.4445,0.9907,0.362758,0.714894,NS
KPNA1,-0.4216,1.0381,0.365026,0.714894,NS
TKFC,0.4359,1.0032,0.365387,0.714894,NS
DDOST,0.3681,1.1878,0.365421,0.687627,NS
PURA,0.4899,0.8914,0.365827,0.767294,NS
PRKAG1,-0.3594,1.2121,0.366736,0.674513,NS
EPM2A,-0.4556,0.9499,0.36919,0.732688,NS
MAP2K2,-0.3756,1.1484,0.37034,0.697532,NS
RAD23B,-0.321,1.3437,0.370405,0.622102,NS
PAIP1,-0.4364,0.9815,0.372984,0.714894,NS
CAPZA1,0.6125,0.6979,0.373699,0.82991,NS
SRM,0.5586,0.7645,0.37407,0.803932,NS
RPS11,0.5339,0.7996,0.374154,0.792594,NS
GNAI2,0.399,1.0686,0.374699,0.711467,NS
CAVIN1,-0.3605,1.1788,0.375815,0.687627,NS
ILF3,0.4215,0.9997,0.378999,0.714894,NS
MCTS1,-0.3769,1.114,0.380306,0.704809,NS
VPS35,-0.3039,1.3701,0.383402,0.609686,NS
CACNB3,0.3178,1.3056,0.384709,0.645684,NS
EHD2,-0.3609,1.1465,0.3857,0.697532,NS
ABCF1,0.4797,0.8586,0.387344,0.774018,NS
IARS1,-0.3682,1.1148,0.388648,0.704809,NS
PARVA,-0.4727,0.8682,0.388718,0.774018,NS
BANF1,0.3875,1.0577,0.389156,0.714894,NS
TOM1L2,-0.411,0.9748,0.397513,0.714894,NS
AMPD3,-0.4405,0.9091,0.397669,0.764918,NS
ADSS2,0.4929,0.8118,0.398013,0.792594,NS
PA2G4,0.3283,1.2178,0.398295,0.674513,NS
RPS6KA3,-0.2727,1.4618,0.399394,0.556744,NS
ATP6V1H,-0.5088,0.7811,0.400482,0.800977,NS
CUL4A,-0.4877,0.8135,0.401063,0.792301,NS
GSTO1,0.3408,1.1596,0.402532,0.691703,NS
VAPA,0.438,0.8994,0.403744,0.765135,NS
PSMF1,0.4265,0.922,0.404349,0.752902,NS
IPO7,0.4166,0.9418,0.405147,0.736639,NS
MRPL38,-0.4612,0.8507,0.405205,0.774507,NS
LIMS3,-0.3957,0.9908,0.405472,0.714894,NS
SIRT3,-0.5834,0.6709,0.406038,0.835,NS
LASP1,0.4554,0.8582,0.406586,0.774018,NS
ISCU,-0.4707,0.8287,0.407266,0.780684,NS
FBLN5,-0.5778,0.6748,0.407465,0.831083,NS
PAFAH1B2,0.3823,1.0184,0.408043,0.714894,NS
SRPRB,0.3604,1.0782,0.408752,0.705625,NS
OXSR1,0.3682,1.0534,0.409415,0.714894,NS
CLIC4,-0.4431,0.8614,0.415267,0.774018,NS
TPM2,0.5534,0.6872,0.41664,0.830995,NS
VPS29,-0.5732,0.6618,0.417531,0.836865,NS
TIPRL,-0.5202,0.7289,0.417631,0.816247,NS
MRPS18B,0.5163,0.7327,0.418483,0.813117,NS
LPP,-0.5511,0.6857,0.418902,0.830995,NS
RPL37A,-0.592,0.6316,0.422729,0.856551,NS
HOOK3,1.0137,0.3684,0.423231,0.961081,NS
GART,0.4177,0.8906,0.424571,0.767294,NS
RPL30,0.4614,0.8057,0.424878,0.792594,NS
FDXR,0.4935,0.7515,0.425676,0.803932,NS
PLCD4,-0.3253,1.1305,0.428791,0.704809,NS
UQCC3,-0.7993,0.4581,0.430379,0.941384,NS
XIRP1,0.4309,0.8494,0.430548,0.774507,NS
TLN1,0.3604,1.0087,0.433017,0.714894,NS
MT-ATP6,0.562,0.6411,0.436215,0.846581,NS
ERP44,0.3347,1.0757,0.436439,0.705754,NS
LAMTOR1,-0.4324,0.8296,0.437796,0.780684,NS
RPS26,-0.4539,0.7857,0.439967,0.800977,NS
PRKACA,-0.3137,1.1341,0.440825,0.704809,NS
RPS14,-0.4699,0.7568,0.440959,0.803932,NS
PRPSAP1,0.8143,0.435,0.442394,0.941384,NS
RBBP7,-0.5737,0.616,0.443238,0.864286,NS
RPL38,0.4247,0.8295,0.444353,0.780684,NS
NAE1,-0.3534,0.996,0.444638,0.714894,NS
