pathway,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,size_Training_HR,size_Training_LR,NES_int,padj_int,nx,ny,class
GOSLIM_CYTOPLASMIC_TRANSLATION,GO Slim,1.09878372283956,0.763954343914095,0.614756798627661,0.998241396251399,116,116,-0.890894397408541,0.933950759597404,1.09878372283956,0.763954343914095,Concordant
GOSLIM_DETOXIFICATION,GO Slim,0.931419943923779,-1.16850335724658,0.871083313885648,0.546549063368076,52,52,1.10890870572516,0.739080633897792,0.931419943923779,-1.16850335724658,Concordant
GOSLIM_DNA_RECOMBINATION,GO Slim,-0.942993923699347,0.77534760030957794,0.846723295106039,0.962153861977539,25,25,0.762420061744317,0.963756613756614,-0.942993923699347,0.77534760030957794,Concordant
GOSLIM_DNA_REPLICATION,GO Slim,-1.332125100485,0.781990987315953,0.425849480465159,0.96347495940378,31,32,-1.34859297072381,0.535570572745788,-1.332125100485,0.781990987315953,Concordant
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,GO Slim,-1.03274026712885,0.910279248427776,0.731693198263387,0.916503164856253,35,35,-1.26666268725686,0.62104439853901,-1.03274026712885,0.910279248427776,Concordant
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,GO Slim,-0.727432389590991,1.31007560774127,0.983197117359905,0.484606268811148,19,19,-1.32040897452145,0.593546466630946,-0.727432389590991,1.31007560774127,Concordant
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,GO Slim,-0.996692313784924,-1.34978272943603,0.777518447030573,0.405180859818944,22,23,1.25218356097793,0.647501086179968,-0.996692313784924,-1.34978272943603,Concordant
GOSLIM_KETONE_METABOLIC_PROCESS,GO Slim,1.26092747786682,-0.924735359959477,0.455021120679596,0.912872594322856,52,54,0.998374470021808,0.828343364284915,1.26092747786682,-0.924735359959477,Concordant
GOSLIM_MICROTUBULE-BASED_MOVEMENT,GO Slim,-1.26930962468111,-1.34887877990969,0.451612791509114,0.304158524028662,53,53,-0.793529020116386,0.963756613756614,-1.26930962468111,-1.34887877990969,Concordant
GOSLIM_MITOTIC_NUCLEAR_DIVISION,GO Slim,-1.03434049770937,1.08620526221795,0.73074170185175,0.69969924646636,40,40,-1.14156864710833,0.724482094410495,-1.03434049770937,1.08620526221795,Concordant
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,GO Slim,-1.15921501361409,-0.710411863094269,0.585045764091568,0.998241396251399,49,49,-0.924155279871219,0.889063874322233,-1.15921501361409,-0.710411863094269,Concordant
GOSLIM_PROTEIN_FOLDING,GO Slim,1.14107158402978,1.39657468836454,0.585045764091568,0.207263577157005,78,79,0.80351172968084,0.970902290808753,1.14107158402978,1.39657468836454,Concordant
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,GO Slim,1.00892095497019,1.35092174621645,0.765688264414114,0.326558500374119,55,55,-0.827521791913167,0.952916348824825,1.00892095497019,1.35092174621645,Concordant
GOSLIM_RIBOSOME_BIOGENESIS,GO Slim,-0.761456748758735,-1.03523296199381,0.988433700734267,0.758737320447175,55,55,0.852166206060242,0.94735828247923,-0.761456748758735,-1.03523296199381,Concordant
GOSLIM_TELOMERE_ORGANIZATION,GO Slim,-0.57472079331931,0.492370539195608,0.994410555416578,0.999261583902529,31,31,0.676256618209322,0.985103790917419,-0.57472079331931,0.492370539195608,Concordant
GOSLIM_TRNA_METABOLIC_PROCESS,GO Slim,0.871620314198236,1.18216150123817,0.928009256612214,0.551758283012358,41,41,-0.760905735434489,0.971266286942778,0.871620314198236,1.18216150123817,Concordant
GOSLIM_WOUND_HEALING,GO Slim,-1.29358588106619,0.901904251466124,0.425849480465159,0.922138777570919,52,51,-1.31519702400169,0.539689936084997,-1.29358588106619,0.901904251466124,Concordant
HALLMARK_ADIPOGENESIS,Hallmark,1.48604347795807,1.02645104321119,0.13453248895748,0.775390225820025,95,96,1.1565415722834,0.659942784076925,1.48604347795807,1.02645104321119,Concordant
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,-0.906853684787631,0.553642850087877,0.875459859615862,0.999261583902529,25,25,-1.11314732308957,0.757742398694948,-0.906853684787631,0.553642850087877,Concordant
HALLMARK_ANDROGEN_RESPONSE,Hallmark,-1.14998096510477,-1.06858462177283,0.616726462856764,0.734827112867725,22,22,0.765755251923277,0.962838399347022,-1.14998096510477,-1.06858462177283,Concordant
HALLMARK_APICAL_JUNCTION,Hallmark,0.636017252790449,1.27958161586266,0.994410555416578,0.472611612713489,33,33,-1.06134664134338,0.79817276319339,0.636017252790449,1.27958161586266,Concordant
HALLMARK_APOPTOSIS,Hallmark,-0.893325674798565,-0.944194851446002,0.886710815842925,0.894328596427297,26,26,0.868276009045943,0.910907963531567,-0.893325674798565,-0.944194851446002,Concordant
HALLMARK_BILE_ACID_METABOLISM,Hallmark,-1.07084964974487,0.967961962427393,0.708440272193279,0.868073564500944,20,20,-1.24325525470965,0.656600798822788,-1.07084964974487,0.967961962427393,Concordant
HALLMARK_COAGULATION,Hallmark,-0.733552521080363,1.32779493475107,0.977189703430435,0.472611612713489,17,17,-1.08870007187378,0.788539514643483,-0.733552521080363,1.32779493475107,Concordant
HALLMARK_COMPLEMENT,Hallmark,-1.20185309993972,0.820082815944164,0.557293308188449,0.953822666252758,29,29,-1.19721711090286,0.67350793048319,-1.20185309993972,0.820082815944164,Concordant
HALLMARK_DNA_REPAIR,Hallmark,-1.37799102101272,-1.78253335201815,0.387931106969183,0.0468784714507887,25,25,0.668639277111874,0.985103790917419,-1.37799102101272,-1.78253335201815,Concordant
HALLMARK_E2F_TARGETS,Hallmark,-0.941861549694259,-0.842337790824766,0.847664034755025,0.946419599802312,28,28,0.879067521420418,0.906980298446797,-0.941861549694259,-0.842337790824766,Concordant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,-1.15419512860886,-0.636639057807744,0.596971774020711,0.999261583902529,36,35,-1.20596882565667,0.669282817017918,-1.15419512860886,-0.636639057807744,Concordant
HALLMARK_ESTROGEN_RESPONSE_EARLY,Hallmark,-1.00473420694982,-1.29346528401776,0.774705933811647,0.50720952399865,16,16,1.19316076337274,0.696355512489233,-1.00473420694982,-1.29346528401776,Concordant
HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,0.937140985631769,-1.11018967194786,0.85694337576692,0.672425945531844,29,29,1.00801524573391,0.821838370972746,0.937140985631769,-1.11018967194786,Concordant
HALLMARK_G2M_CHECKPOINT,Hallmark,-1.69387314038004,-0.648104017934245,0.126181064784085,0.998241396251399,24,24,-1.50489679010932,0.360388953152111,-1.69387314038004,-0.648104017934245,Concordant
HALLMARK_GLYCOLYSIS,Hallmark,0.929523560882623,-0.840898159327053,0.871083313885648,0.957325405814734,60,60,0.954066994511079,0.862179294381635,0.929523560882623,-0.840898159327053,Concordant
HALLMARK_HEME_METABOLISM,Hallmark,-0.796481616147222,-2.02039456325292,0.977189703430435,0.00410830099850385,50,50,1.47643594805746,0.312640111764515,-0.796481616147222,-2.02039456325292,Concordant
HALLMARK_HYPOXIA,Hallmark,-0.743104454045045,-0.830119952302987,0.988433700734267,0.957325405814734,46,46,-0.666552423148401,0.988567308644328,-0.743104454045045,-0.830119952302987,Concordant
HALLMARK_IL2_STAT5_SIGNALING,Hallmark,-1.61422185890416,-0.880287044029538,0.190604503547199,0.922414190394133,23,23,-1.62206668000551,0.239718137254902,-1.61422185890416,-0.880287044029538,Concordant
HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,-1.03842075373619,-0.699539198658057,0.734361396660384,0.988466500983864,18,18,-0.970555492308017,0.836461067488582,-1.03842075373619,-0.699539198658057,Concordant
HALLMARK_MITOTIC_SPINDLE,Hallmark,-1.3173512018088,1.07007639524582,0.437529604663873,0.726673294222425,34,34,-1.42574147209062,0.417254809647114,-1.3173512018088,1.07007639524582,Concordant
HALLMARK_MTORC1_SIGNALING,Hallmark,1.13342531715416,-1.38548837986872,0.585045764091568,0.210549363771783,84,84,1.45825058025606,0.218076211286762,1.13342531715416,-1.38548837986872,Concordant
HALLMARK_MYC_TARGETS_V1,Hallmark,0.939936434133687,-0.955194767670118,0.875459859615862,0.901836403033586,119,119,0.791698853535669,0.985103790917419,0.939936434133687,-0.955194767670118,Concordant
HALLMARK_P53_PATHWAY,Hallmark,1.36405071823229,1.06704251523456,0.409878702541082,0.737336467832485,23,23,-0.78854727947381,0.952916348824825,1.36405071823229,1.06704251523456,Concordant
HALLMARK_PEROXISOME,Hallmark,1.35728148445742,1.21807150187646,0.381489671663968,0.531649548280719,36,36,-0.931391479609742,0.872087312215276,1.35728148445742,1.21807150187646,Concordant
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,-1.10963321757845,0.784831922644754,0.637082736586978,0.965962262400254,36,36,-1.30499945985651,0.571228442826076,-1.10963321757845,0.784831922644754,Concordant
HALLMARK_PROTEIN_SECRETION,Hallmark,-1.034634755318,1.0715600591205099,0.73074170185175,0.726673294222425,37,37,-1.02761765869053,0.818250068250068,-1.034634755318,1.0715600591205099,Concordant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,0.923817404922688,-1.67419755810762,0.865733862813437,0.112788468627885,22,22,1.51115206328094,0.35729945553539,0.923817404922688,-1.67419755810762,Concordant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,-0.876482442899613,1.28308045655199,0.9051415741768,0.472611612713489,34,34,-1.24353991802788,0.630746843103788,-0.876482442899613,1.28308045655199,Concordant
HALLMARK_UV_RESPONSE_UP,Hallmark,0.936914054133066,-0.92226860918899,0.863058825369455,0.912701696860398,36,36,1.46074272908648,0.35729945553539,0.936914054133066,-0.92226860918899,Concordant
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,-0.814759233906255,-1.50060504337309,0.965487898874672,0.150391596742005,52,53,0.941607081849329,0.87051624529122,-0.814759233906255,-1.50060504337309,Concordant
