pathway,pathway_label,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,significance,set_size
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteolysis Involved In Prot...,GO:BP,1.584,1.441,0.06465,0.2577,NS,63
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Ameboidal Type Cell Migration,GO:BP,1.675,1.344,0.06905,0.4229,NS,33
GOBP_IRON_ION_TRANSPORT,Iron Ion Transport,GO:BP,1.734,1.281,0.08097,0.5299,NS,14
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,Negative Regulation Of Organelle Organization,GO:BP,1.238,1.768,0.3887,0.07974,NS,62
GOBP_ACTIN_FILAMENT_POLYMERIZATION,Actin Filament Polymerization,GO:BP,1.392,1.609,0.2868,0.181,NS,28
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Regulation Of Actin Filament Polymerization,GO:BP,1.332,1.667,0.3559,0.1517,NS,24
GOBP_AMYLOID_FIBRIL_FORMATION,Amyloid Fibril Formation,GO:BP,1.241,1.749,0.4523,0.1215,NS,18
GOBP_NUCLEAR_EXPORT,Nuclear Export,GO:BP,1.697,1.293,0.06905,0.4979,NS,29
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Regulation Of Mrna Catabolic Process,GO:BP,1.636,1.351,0.1067,0.4492,NS,26
GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,Negative Regulation Of Neuron Apoptotic Pr...,GO:BP,1.39,1.593,0.3286,0.2203,NS,19
GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,Ires Dependent Viral Translational Initiation,GO:BP,1.654,-1.327,0.132,0.4906,NS,10
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Positive Regulation Of Nitric Oxide Metabo...,GO:BP,1.334,1.646,0.4026,0.1911,NS,10
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.362,1.612,0.3153,0.1581,NS,32
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.204,1.768,0.4726,0.107,NS,23
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Negative Regulation Of Transferase Activity,GO:BP,1.397,1.57,0.2868,0.2146,NS,26
GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,Negative Regulation Of DNA Metabolic Process,GO:BP,1.544,1.421,0.2011,0.4017,NS,14
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING,Negative Regulation Of Torc1 Signaling,GO:BP,-0.933,-2.015,0.774,0.05156,NS,12
GOBP_POLYOL_BIOSYNTHETIC_PROCESS,Polyol Biosynthetic Process,GO:BP,-1.792,1.146,0.05594,0.6779,NS,13
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS,Neutral Lipid Metabolic Process,GO:BP,-1.09,1.847,0.6263,0.09602,NS,15
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Ubiquit...,GO:BP,1.61,1.322,0.1277,0.4906,NS,20
GOBP_RESPONSE_TO_VIRUS,Response To Virus,GO:BP,1.473,1.432,0.1741,0.3267,NS,39
GOBP_CELL_FATE_COMMITMENT,Cell Fate Commitment,GO:BP,1.542,-1.356,0.2187,0.4689,NS,10
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Protein Containing Complex Disassembly,GO:BP,1.425,1.463,0.1809,0.259,NS,53
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,Regulation Of Leukocyte Chemotaxis,GO:BP,1.27,1.618,0.4434,0.2168,NS,12
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,Negative Regulation Of Response To Wounding,GO:BP,1.107,1.772,0.6018,0.1115,NS,13
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,1.051,1.828,0.6647,0.09602,NS,32
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,-1.568,1.31,0.1616,0.4979,NS,17
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,-1.35,-1.527,0.2851,0.1911,NS,43
GOBP_REGULATION_OF_PROTEIN_STABILITY,Regulation Of Protein Stability,GO:BP,1.612,1.264,0.0524,0.4506,NS,81
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,Hydrogen Peroxide Metabolic Process,GO:BP,0.924,1.952,0.7823,0.05311,NS,19
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,Regulation Of Inflammatory Response,GO:BP,1.084,1.791,0.6108,0.09602,NS,34
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,Positive Regulation Of Translation,GO:BP,1.515,1.359,0.1628,0.4062,NS,32
GOBP_TRANSITION_METAL_ION_TRANSPORT,Transition Metal Ion Transport,GO:BP,1.618,1.252,0.1303,0.5599,NS,17
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS,Positive Regulation Of Endocytosis,GO:BP,1.321,1.543,0.3572,0.2411,NS,25
GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Positive Regulation Of Supramolecular Fibe...,GO:BP,1.476,1.386,0.1775,0.3723,NS,36
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,Glucan Biosynthetic Process,GO:BP,-1.399,-1.458,0.3186,0.3612,NS,13
GOBP_PROTEIN_STABILIZATION,Protein Stabilization,GO:BP,1.594,1.262,0.06533,0.4776,NS,56
GOBP_LIPOPROTEIN_METABOLIC_PROCESS,Lipoprotein Metabolic Process,GO:BP,1.18,1.673,0.5328,0.1616,NS,13
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Poly...,GO:BP,1.061,1.788,0.6564,0.107,NS,17
GOBP_TETRAPYRROLE_METABOLIC_PROCESS,Tetrapyrrole Metabolic Process,GO:BP,-1.365,1.484,0.3464,0.3448,NS,15
GOBP_RENAL_SYSTEM_PROCESS,Renal System Process,GO:BP,1.208,1.635,0.4962,0.1911,NS,15
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,1.253,1.585,0.429,0.2032,NS,25
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,Positive Regulation Of Synaptic Transmission,GO:BP,1.144,1.693,0.5594,0.1583,NS,17
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,1.549,-1.287,0.1852,0.5189,NS,15
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,Arp2 3 Complex Mediated Actin Nucleation,GO:BP,1.232,1.602,0.4876,0.2165,NS,10
GOBP_REGULATION_OF_CELL_SIZE,Regulation Of Cell Size,GO:BP,1.364,1.47,0.3153,0.3192,NS,27
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,Polysaccharide Catabolic Process,GO:BP,-1.47,-1.362,0.2644,0.4682,NS,11
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Negative Regulation Of Intracellular Trans...,GO:BP,1.348,1.479,0.363,0.3468,NS,14
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,2 Oxoglutarate Metabolic Process,GO:BP,-1.816,-1.01,0.05915,0.7651,NS,11
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organiz...,GO:BP,1.264,1.559,0.3392,0.1229,NS,74
GOBP_LEARNING,Learning,GO:BP,-1.437,-1.384,0.2813,0.4121,NS,15
GOBP_ENDOSOMAL_TRANSPORT,Endosomal Transport,GO:BP,1.179,-1.639,0.4619,0.1185,NS,57
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,Regulation Of Double Strand Break Repair V...,GO:BP,1.635,1.177,0.137,0.6484,NS,11
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,1.488,1.322,0.2359,0.4906,NS,15
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Cellular Oxidant Detoxification,GO:BP,1.041,1.768,0.6656,0.09602,NS,39
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,1.236,1.57,0.4366,0.1946,NS,29
GOBP_MONONUCLEAR_CELL_MIGRATION,Mononuclear Cell Migration,GO:BP,1.707,1.098,0.07374,0.7009,NS,24
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,-1.66,-1.145,0.112,0.6539,NS,15
GOBP_DNA_RECOMBINATION,DNA Recombination,GO:BP,1.419,1.385,0.2642,0.3931,NS,28
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,Intra Golgi Vesicle Mediated Transport,GO:BP,1.546,1.258,0.2177,0.5745,NS,10
HALLMARK_COAGULATION,Coagulation,Hallmark,1.465,1.337,0.2297,0.4682,NS,25
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,Actin Polymerization Or Depolymerization,GO:BP,1.253,1.548,0.4189,0.2185,NS,32
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,-1.165,-1.636,0.4829,0.1116,NS,52
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,1.307,1.494,0.3346,0.2203,NS,47
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,Cardiac Ventricle Development,GO:BP,1.605,1.195,0.1519,0.6394,NS,12
GOBP_RECEPTOR_RECYCLING,Receptor Recycling,GO:BP,1.77,1.03,0.06622,0.757,NS,10
GOBP_HYPEROSMOTIC_RESPONSE,Hyperosmotic Response,GO:BP,-1.507,1.29,0.2177,0.5474,NS,10
GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS,Porphyrin Containing Compound Metabolic Pr...,GO:BP,-1.301,1.496,0.4116,0.327,NS,13
GOBP_PRESYNAPTIC_ENDOCYTOSIS,Presynaptic Endocytosis,GO:BP,1.35,1.446,0.3552,0.3588,NS,21
GOBP_MRNA_TRANSPORT,Mrna Transport,GO:BP,1.526,1.269,0.2187,0.5599,NS,12
GOBP_POSITIVE_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,Positive Regulation Of ATP Dependent Activity,GO:BP,1.509,1.275,0.2475,0.5599,NS,10
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.439,1.342,0.2868,0.4738,NS,15
GOBP_TRANSCRIPTION_INITIATION_AT_RNA_POLYMERASE_II_PROMOTER,Transcription Initiation At RNA Polymerase...,GO:BP,1.659,1.122,0.1189,0.6996,NS,12
GOBP_REGULATION_OF_PROTEIN_MATURATION,Regulation Of Protein Maturation,GO:BP,1.538,1.242,0.2095,0.5868,NS,11
GOBP_LEUKOCYTE_PROLIFERATION,Leukocyte Proliferation,GO:BP,1.267,1.513,0.4102,0.254,NS,29
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,Amyloid Precursor Protein Metabolic Process,GO:BP,1.262,1.513,0.445,0.3192,NS,13
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,Amyloid Precursor Protein Catabolic Process,GO:BP,1.262,1.509,0.4523,0.322,NS,12
GOBP_RESPONSE_TO_ZINC_ION,Response To Zinc Ion,GO:BP,1.328,1.437,0.4078,0.3814,NS,10
GOBP_POSITIVE_REGULATION_OF_DNA_RECOMBINATION,Positive Regulation Of DNA Recombination,GO:BP,1.652,1.113,0.1344,0.7056,NS,10
GOBP_DOUBLE_STRAND_BREAK_REPAIR,Double Strand Break Repair,GO:BP,1.685,1.077,0.08005,0.7168,NS,26
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,Triglyceride Metabolic Process,GO:BP,-0.993,1.768,0.7257,0.1125,NS,12
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,Negative Regulation Of Molecular Function,GO:BP,1.231,1.527,0.4064,0.1911,NS,54
GOBP_RESPONSE_TO_ALCOHOL,Response To Alcohol,GO:BP,1.341,1.417,0.304,0.3267,NS,41
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,-0.92,-1.837,0.8045,0.09025,NS,31
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,Negative Regulation Of Catabolic Process,GO:BP,1.477,1.279,0.1187,0.4392,NS,75
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,-1.323,-1.43,0.3799,0.3588,NS,16
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteolysis Involve...,GO:BP,1.663,1.09,0.07399,0.7072,NS,33
GOBP_RNA_LOCALIZATION,RNA Localization,GO:BP,1.545,1.208,0.1469,0.5869,NS,31
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Regulation Of Small Gtpase Mediated Signal...,GO:BP,1.301,1.449,0.376,0.3267,NS,29
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Negative Regulation Of Catalytic Activity,GO:BP,1.199,1.544,0.466,0.2101,NS,39
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING,Negative Regulation Of Wound Healing,GO:BP,0.937,1.806,0.7676,0.09602,NS,11
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.04,1.701,0.6714,0.1335,NS,22
GOBP_ACTIN_NUCLEATION,Actin Nucleation,GO:BP,1.163,1.57,0.5527,0.2546,NS,12
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Negative Regulation Of Wnt Signaling Pathway,GO:BP,1.316,1.415,0.4173,0.4077,NS,10
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION,Regulation Of Mitochondrial Gene Expression,GO:BP,-1.801,-0.93,0.06465,0.8318,NS,11
GOBP_TRANSLATIONAL_ELONGATION,Translational Elongation,GO:BP,1.555,-1.176,0.1616,0.6127,NS,22
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localizatio...,GO:BP,1.233,1.497,0.4431,0.3082,NS,24
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation Of Phosphorylation,GO:BP,1.269,1.46,0.3572,0.2426,NS,55
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,Alpha Beta T Cell Differentiation,GO:BP,1.538,1.188,0.2197,0.6468,NS,10
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,Negative Regulation Of Proteolysis,GO:BP,1.248,1.478,0.4286,0.3042,NS,27
GOBP_MRNA_CATABOLIC_PROCESS,Mrna Catabolic Process,GO:BP,1.583,1.142,0.1095,0.6468,NS,37
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,-1.661,1.062,0.05112,0.721,NS,52
GOBP_DIGESTION,Digestion,GO:BP,1.122,1.6,0.5863,0.2203,NS,14
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,Regulation Of Microtubule Based Process,GO:BP,1.643,-1.076,0.06811,0.6945,NS,43
GOBP_DEPHOSPHORYLATION,Dephosphorylation,GO:BP,-1.193,-1.525,0.4818,0.2475,NS,24
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,Positive Regulation Of Organelle Assembly,GO:BP,1.745,-0.973,0.07701,0.7879,NS,14
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,Peptidyl Amino Acid Modification,GO:BP,1.41,1.307,0.2177,0.4641,NS,43
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Protein...,GO:BP,1.632,1.085,0.09205,0.7168,NS,31
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION,Regulation Of Cardiac Muscle Contraction B...,GO:BP,1.553,-1.155,0.1942,0.6468,NS,14
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Negative Regulation Of Response To Biotic ...,GO:BP,1.056,1.651,0.6628,0.1872,NS,19
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,1.262,1.444,0.4414,0.3589,NS,16
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS,Sulfur Amino Acid Metabolic Process,GO:BP,-1.396,1.31,0.3362,0.5226,NS,10
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Carbohydrate Catabolic Process,GO:BP,-1.408,-1.297,0.198,0.381,NS,57
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Positive Regulation Of Protein Modificatio...,GO:BP,1.601,1.104,0.05909,0.6779,NS,57
GOBP_MYELOID_CELL_DIFFERENTIATION,Myeloid Cell Differentiation,GO:BP,1.229,1.475,0.4189,0.2408,NS,48
GOBP_REGULATION_OF_WOUND_HEALING,Regulation Of Wound Healing,GO:BP,1.009,1.695,0.701,0.1602,NS,19
GOBP_T_CELL_DIFFERENTIATION,T Cell Differentiation,GO:BP,1.145,1.559,0.5594,0.2475,NS,17
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.591,-1.111,0.1671,0.6996,NS,12
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Protein Catabolic P...,GO:BP,1.666,1.031,0.05267,0.7477,NS,48
GOBP_TELOMERASE_RNA_LOCALIZATION,Telomerase RNA Localization,GO:BP,1.611,1.086,0.1671,0.726,NS,10
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,Negative Regulation Of Response To Externa...,GO:BP,1.042,1.653,0.6656,0.1186,NS,43
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,0.959,1.735,0.7504,0.1215,NS,17
