pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.705,-1.307,0.1632,0.3582,NS,16
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS,Response To Organophosphorus,GO:BP,1.544,-1.457,0.3266,0.2448,NS,16
GOBP_HEART_PROCESS,Heart Process,GO:BP,-1.723,1.277,0.06446,0.2952,NS,65
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,Regulation Of Microtubule Polymerization O...,GO:BP,-1.453,1.543,0.3668,0.1552,NS,19
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Regulation Of Cardiac Muscle Contraction,GO:BP,-1.391,1.603,0.4286,0.1096,NS,24
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,-1.732,1.262,0.1259,0.4072,NS,16
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.575,1.415,0.2281,0.2454,NS,23
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,1.35,1.635,0.4896,0.09729,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,-1.519,1.461,0.2823,0.1977,NS,27
GOBP_REGULATION_OF_NEURON_DIFFERENTIATION,Regulation Of Neuron Differentiation,GO:BP,-1.359,1.615,0.5119,0.1228,NS,16
GOBP_REGULATION_OF_DNA_REPAIR,Regulation Of DNA Repair,GO:BP,-1.345,1.625,0.4947,0.1002,NS,24
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Positive Regulation Of Lipid Biosynthetic ...,GO:BP,-1.705,1.248,0.162,0.4127,NS,15
GOBP_NEUROMUSCULAR_PROCESS,Neuromuscular Process,GO:BP,-1.752,1.199,0.06446,0.4264,NS,34
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Regulation Of DNA Binding Transcription Fa...,GO:BP,-1.153,1.786,0.6905,0.05685,NS,21
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,-1.622,1.31,0.1223,0.2801,NS,47
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,-1.444,1.486,0.4016,0.2118,NS,15
HALLMARK_COMPLEMENT,Complement,Hallmark,-1.357,1.573,0.3869,0.06628,NS,39
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,Regulation Of Double Strand Break Repair,GO:BP,-1.305,1.619,0.5751,0.1274,NS,15
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,1.273,-1.647,0.5198,0.05685,NS,50
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,1.572,-1.346,0.192,0.2688,NS,43
GOBP_CARDIAC_MUSCLE_CONTRACTION,Cardiac Muscle Contraction,GO:BP,-1.699,1.216,0.08413,0.385,NS,48
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,Cytoskeleton Dependent Intracellular Trans...,GO:BP,-1.512,1.403,0.2484,0.2267,NS,34
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,-1.603,1.303,0.2281,0.3479,NS,21
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Regulation Of Mitochondrial Membrane Perme...,GO:BP,1.473,-1.428,0.3716,0.2688,NS,16
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Actin Filament Based Movement,GO:BP,-1.561,1.339,0.192,0.2636,NS,42
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,-1.216,1.671,0.6314,0.0694,NS,31
GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS,Cellular Response To Osmotic Stress,GO:BP,1.31,-1.573,0.5552,0.1375,NS,17
GOBP_DNA_REPLICATION,DNA Replication,GO:BP,-1.149,1.734,0.6953,0.06971,NS,19
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Positive Regulation Of Protein Modificatio...,GO:BP,-1.278,1.599,0.4991,0.07323,NS,57
GOBP_NADH_METABOLIC_PROCESS,NADH Metabolic Process,GO:BP,1.128,-1.748,0.7132,0.05676,NS,26
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,Regulation Of Potassium Ion Transport,GO:BP,-1.494,1.381,0.3387,0.2952,NS,16
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Positive Regulation Of Response To Biotic ...,GO:BP,-1.273,1.601,0.5003,0.06564,NS,60
GOBP_GOLGI_ORGANIZATION,Golgi Organization,GO:BP,-1.485,1.38,0.3217,0.2706,NS,27
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,Regulation Of Muscle Contraction,GO:BP,-1.593,1.269,0.1515,0.3184,NS,49
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,Regulation Of Membrane Permeability,GO:BP,1.439,-1.413,0.4016,0.2706,NS,17
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,Release Of Sequestered Calcium Ion Into Cy...,GO:BP,-1.466,1.384,0.3549,0.2706,NS,21
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Negative Regulation Of Mrna Catabolic Process,GO:BP,-1.256,1.587,0.6078,0.1375,NS,17
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Activation Of Innate Immune Response,GO:BP,-1.301,1.539,0.486,0.09898,NS,49
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.303,1.526,0.5198,0.1245,NS,33
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Positive Regulation Of Pattern Recognition...,GO:BP,-1.491,1.331,0.3538,0.3397,NS,15
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,-1.503,1.317,0.3279,0.3479,NS,17
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Regulation Of Small Gtpase Mediated Signal...,GO:BP,-1.512,1.302,0.2691,0.323,NS,29
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Cardiac Chamber Development,GO:BP,-1.366,1.447,0.5074,0.2502,NS,16
GOBP_DEPHOSPHORYLATION,Dephosphorylation,GO:BP,-1.614,-1.196,0.1952,0.4502,NS,24
GOBP_REGULATED_EXOCYTOSIS,Regulated Exocytosis,GO:BP,-1.326,1.483,0.5198,0.185,NS,22
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,Cardiac Muscle Cell Differentiation,GO:BP,-1.458,1.348,0.3463,0.298,NS,25
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,Amide Biosynthetic Process,GO:BP,1.187,-1.616,0.6405,0.07565,NS,40
GOBP_NEGATIVE_REGULATION_OF_GROWTH,Negative Regulation Of Growth,GO:BP,-1.535,1.254,0.3083,0.3987,NS,19
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organiz...,GO:BP,-1.527,1.262,0.1563,0.298,NS,74
GOBP_GLIOGENESIS,Gliogenesis,GO:BP,-1.209,1.573,0.6069,0.09005,NS,46
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptotic Mitochondrial Changes,GO:BP,1.333,-1.447,0.4896,0.1987,NS,35
GOBP_POSITIVE_REGULATION_OF_GROWTH,Positive Regulation Of Growth,GO:BP,-1.225,1.551,0.6105,0.1162,NS,30
GOBP_CELLULAR_RESPONSE_TO_HEAT,Cellular Response To Heat,GO:BP,-1.059,1.715,0.7673,0.07323,NS,19
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,Organic Acid Biosynthetic Process,GO:BP,1.227,-1.545,0.5594,0.08068,NS,61
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Positive Regulation Of Transferase Activity,GO:BP,-1.546,1.224,0.2916,0.4304,NS,21
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Long Chain Fatty Acid Metabolic Process,GO:BP,1.098,-1.669,0.742,0.08441,NS,23
GOBP_NUCLEAR_EXPORT,Nuclear Export,GO:BP,-1.068,1.699,0.7524,0.0681,NS,29
GOBP_RESPONSE_TO_ALCOHOL,Response To Alcohol,GO:BP,1.423,1.34,0.3463,0.2698,NS,41
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,-1.586,1.174,0.1632,0.4552,NS,36
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Cardiac Muscle Tissue Development,GO:BP,-1.563,1.191,0.192,0.424,NS,41
GOBP_GLIAL_CELL_DIFFERENTIATION,Glial Cell Differentiation,GO:BP,-1.044,1.705,0.77,0.05487,NS,33
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,Regulation Of Cellular Component Size,GO:BP,-1.332,1.417,0.4016,0.1646,NS,52
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,Regulation Of Microtubule Polymerization,GO:BP,-1.337,1.409,0.5198,0.2706,NS,17
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,-1.381,1.362,0.3821,0.2417,NS,39
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Positive Regulation Of Lipid Metabolic Pro...,GO:BP,-1.666,1.077,0.192,0.6052,NS,21
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,Cellular Response To Peptide Hormone Stimulus,GO:BP,-1.662,1.08,0.08205,0.5746,NS,60
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,-1.582,1.16,0.192,0.4769,NS,31
GOBP_MESENCHYME_DEVELOPMENT,Mesenchyme Development,GO:BP,-1.418,1.324,0.4272,0.3432,NS,17
GOBP_RESPONSE_TO_UV,Response To Uv,GO:BP,-1.375,1.367,0.4506,0.2881,NS,24
GOBP_RESPONSE_TO_VIRUS,Response To Virus,GO:BP,-1.269,1.47,0.5503,0.147,NS,39
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,Negative Regulation Of Cell Growth,GO:BP,-1.383,1.352,0.4896,0.3182,NS,15
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Extrinsic Apoptotic Signalin...,GO:BP,-1.294,1.434,0.5503,0.2263,NS,24
GOBP_MICROTUBULE_BASED_TRANSPORT,Microtubule Based Transport,GO:BP,-1.399,1.323,0.4016,0.3085,NS,29
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,-1.466,1.253,0.338,0.385,NS,25
GOBP_RRNA_PROCESSING,Rrna Processing,GO:BP,-0.953,1.762,0.8802,0.05301,NS,27
GOBP_SPINDLE_ORGANIZATION,Spindle Organization,GO:BP,-1.099,1.614,0.7296,0.07323,NS,41
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,1.557,-1.155,0.1952,0.4502,NS,52
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION,Regulation Of Protein Ubiquitination,GO:BP,-1.14,1.57,0.6863,0.0894,NS,45
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,Positive Regulation Of Kinase Activity,GO:BP,-1.529,1.18,0.3198,0.4843,NS,18
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial...,GO:BP,-1.46,1.245,0.3579,0.3929,NS,22
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-1.08,1.625,0.7469,0.07565,NS,36
GOBP_RECOMBINATIONAL_REPAIR,Recombinational Repair,GO:BP,-1.174,1.529,0.6868,0.1767,NS,17
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,Peptidyl Amino Acid Modification,GO:BP,-1.289,1.412,0.5074,0.1954,NS,43
GOBP_PYRUVATE_METABOLIC_PROCESS,Pyruvate Metabolic Process,GO:BP,1.108,-1.59,0.7132,0.06894,NS,52
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,Amino Acid Biosynthetic Process,GO:BP,1.1,-1.596,0.7427,0.1229,NS,16
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Protein Containing Complex Disassembly,GO:BP,-1.264,1.43,0.5198,0.1532,NS,53
GOBP_FATTY_ACID_TRANSPORT,Fatty Acid Transport,GO:BP,1.282,-1.41,0.5751,0.2698,NS,21
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,Organic Acid Transmembrane Transport,GO:BP,1.291,-1.399,0.5751,0.2698,NS,22
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Modulating G Protein Cou...,GO:BP,-1.311,1.376,0.5556,0.298,NS,16
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION,Regulation Of Microtubule Cytoskeleton Org...,GO:BP,-1.127,1.559,0.7113,0.1039,NS,35
GOBP_ORGANIC_ANION_TRANSPORT,Organic Anion Transport,GO:BP,1.438,-1.242,0.3272,0.3555,NS,45
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Actin Mediated Cell Contraction,GO:BP,-1.443,1.224,0.3272,0.3938,NS,36
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,Regulation Of The Force Of Heart Contraction,GO:BP,-1.107,1.559,0.7427,0.1603,NS,15
GOBP_MYOBLAST_DIFFERENTIATION,Myoblast Differentiation,GO:BP,-1.49,1.172,0.3368,0.4913,NS,17
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Ameboidal Type Cell Migration,GO:BP,-0.985,1.674,0.8424,0.06312,NS,33
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,Fatty Acid Derivative Metabolic Process,GO:BP,1.132,-1.52,0.7132,0.1767,NS,18
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation Of Viral Life Cycle,GO:BP,-0.89,1.761,0.9255,0.06452,NS,20
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Protein...,GO:BP,-1.023,1.627,0.8058,0.08441,NS,31
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Monoatomic Ion Transmembrane...,GO:BP,-1.571,1.074,0.1376,0.5695,NS,67
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Positive Regulation Of Post Translational ...,GO:BP,-1.182,1.46,0.6571,0.1767,NS,29
GOBP_PROTEIN_HOMOTETRAMERIZATION,Protein Homotetramerization,GO:BP,1.216,-1.426,0.6528,0.2654,NS,16
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,-1.403,1.238,0.4016,0.3929,NS,29
GOBP_NUCLEAR_TRANSPORT,Nuclear Transport,GO:BP,-1.232,1.408,0.5503,0.1552,NS,63
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,Regulation Of Muscle System Process,GO:BP,-1.601,1.038,0.1159,0.6434,NS,64
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,Negative Regulation Of Catabolic Process,GO:BP,-1.163,1.474,0.6387,0.09664,NS,74
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,-1.197,1.438,0.6741,0.2613,NS,15
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Mitotic Cell Cycle Phase Tra...,GO:BP,-1.105,1.527,0.7395,0.147,NS,27
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Cellular Response To Biotic Stimulus,GO:BP,-1.361,1.27,0.4703,0.3717,NS,26
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Regulation Of Transmembrane Transport,GO:BP,-1.481,1.143,0.188,0.4538,NS,85
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Ribosomal Small Subunit Biogenesis,GO:BP,1.086,1.533,0.7469,0.1434,NS,26
GOBP_GLIAL_CELL_DEVELOPMENT,Glial Cell Development,GO:BP,-0.932,1.681,0.8831,0.08578,NS,23
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyridine Containing Compound Metabolic Pro...,GO:BP,1.147,-1.466,0.6528,0.1012,NS,74
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Regulation Of Monoatomic Ion Transport,GO:BP,-1.466,1.146,0.192,0.4471,NS,86
GOBP_GRANULOCYTE_MIGRATION,Granulocyte Migration,GO:BP,-0.846,1.763,0.952,0.05914,NS,17
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.413,1.192,0.3925,0.4523,NS,24
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,1.048,-1.552,0.7765,0.147,NS,17
GOBP_MUSCLE_ADAPTATION,Muscle Adaptation,GO:BP,-1.561,1.038,0.2188,0.6481,NS,29
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Cell Cycle Phase Transition,GO:BP,-1.092,1.504,0.7405,0.1375,NS,33
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation Of Phosphorylation,GO:BP,-1.329,1.266,0.4016,0.3172,NS,55
GOBP_ACTIN_FILAMENT_POLYMERIZATION,Actin Filament Polymerization,GO:BP,-1.202,1.392,0.6474,0.2582,NS,28
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Positive Regulation Of Phosphorus Metaboli...,GO:BP,-1.303,1.291,0.4896,0.3085,NS,43
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,Establishment Of Organelle Localization,GO:BP,-1.106,1.478,0.6964,0.09807,NS,74
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,Mesenchymal Cell Differentiation,GO:BP,-1.286,1.296,0.5774,0.3717,NS,16
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Regulation Of Mrna Catabolic Process,GO:BP,-0.95,1.632,0.8802,0.09426,NS,26
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.354,-1.225,0.3869,0.3706,NS,37
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Positive Regulation Of Wnt Signaling Pathway,GO:BP,1.245,1.331,0.6365,0.3397,NS,15
GOBP_PLACENTA_DEVELOPMENT,Placenta Development,GO:BP,-1.225,1.349,0.6528,0.3204,NS,15
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Regulation Of Actin Filament Polymerization,GO:BP,-1.246,1.328,0.6069,0.318,NS,24
GOBP_STRIATED_MUSCLE_ADAPTATION,Striated Muscle Adaptation,GO:BP,-1.547,1.027,0.2879,0.6572,NS,17
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Tumor Necrosis Factor Superfamily Cytokine...,GO:BP,-1.292,1.282,0.5751,0.3777,NS,17
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Regulation Of Cellular Response To Growth ...,GO:BP,-1.125,1.447,0.7125,0.1837,NS,31
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,Regulation Of Response To Cytokine Stimulus,GO:BP,-1.575,0.994,0.2691,0.6987,NS,18
GOBP_TYPE_I_INTERFERON_PRODUCTION,Type I Interferon Production,GO:BP,-1.268,1.297,0.5829,0.3636,NS,18
GOBP_PROTEIN_DEPHOSPHORYLATION,Protein Dephosphorylation,GO:BP,-1.467,-1.097,0.3563,0.5746,NS,18
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Regulation Of DNA Biosynthetic Process,GO:BP,0.976,1.587,0.8497,0.1464,NS,15
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,Ribose Phosphate Metabolic Process,GO:BP,1.164,-1.398,0.5751,0.0894,NS,153
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,Negative Regulation Of RNA Catabolic Process,GO:BP,-0.995,1.561,0.8343,0.1398,NS,20
GOBP_REGULATION_OF_CELL_SIZE,Regulation Of Cell Size,GO:BP,-1.185,1.368,0.6571,0.2801,NS,27
GOBP_SPINDLE_ASSEMBLY,Spindle Assembly,GO:BP,-1.201,1.352,0.6528,0.2952,NS,23
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Cellular Response To Steroid Hormone Stimulus,GO:BP,1.312,1.239,0.5074,0.3777,NS,37
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,Actin Polymerization Or Depolymerization,GO:BP,-1.295,1.255,0.5407,0.3728,NS,32
GOBP_CARDIAC_CONDUCTION,Cardiac Conduction,GO:BP,-1.226,1.324,0.6405,0.318,NS,22
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,Embryonic Organ Development,GO:BP,-1.333,1.216,0.5207,0.4397,NS,20
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION,Positive Regulation Of Phosphorylation,GO:BP,-1.266,1.282,0.5751,0.3449,NS,29
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.493,1.053,0.2676,0.6392,NS,38
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM,Modulation Of Process Of Another Organism,GO:BP,-0.866,1.679,0.9386,0.09022,NS,18
GOBP_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,GO:BP,-1.009,-1.535,0.8217,0.1274,NS,38
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Regulation Of Post Translational Protein M...,GO:BP,-1.085,1.458,0.7405,0.1274,NS,59
GOBP_EXOCYTOSIS,Exocytosis,GO:BP,-1.266,1.272,0.5198,0.3204,NS,47
GOBP_EPITHELIAL_CELL_DEVELOPMENT,Epithelial Cell Development,GO:BP,-1.536,0.999,0.2375,0.6971,NS,29
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,1.222,-1.307,0.5751,0.2761,NS,53
GOBP_ERAD_PATHWAY,Erad Pathway,GO:BP,-0.925,1.603,0.8831,0.1162,NS,20
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,Response To Temperature Stimulus,GO:BP,-0.981,1.543,0.8497,0.1005,NS,42
GOBP_PROTEIN_TARGETING,Protein Targeting,GO:BP,1.312,-1.211,0.4087,0.3555,NS,74
