"group","pathway","database","padj","pval","overlap","size","odds_ratio"
"green","GOCC_CELL_SUBSTRATE_JUNCTION","GO:CC",0.00264865761010956,0.000179570007465055,24,176,2.62679425837321
"green","REACTOME_EPH_EPHRIN_SIGNALING","Reactome",0.00427215133061245,4.87790633537691e-05,8,23,8.2736231884058
"green","REACTOME_SEMAPHORIN_INTERACTIONS","Reactome",0.00427215133061245,6.53926144296845e-05,7,18,9.80877742946709
"green","HALLMARK_APICAL_JUNCTION","Hallmark",0.00461870753575707,0.000139960834416881,9,33,5.83881578947368
"green","GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE","GO:CC",0.00621919344030195,0.000597323663757814,6,18,7.63675213675214
"green","GOCC_RECYCLING_ENDOSOME_MEMBRANE","GO:CC",0.00621919344030195,0.000597323663757814,6,18,7.63675213675214
"green","HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark",0.00985584045200394,0.000597323663757814,6,18,7.63675213675214
"green","REACTOME_SIGNALING_BY_INTERLEUKINS","Reactome",0.0149698218718968,0.000283212846225075,16,97,3.1715703242183
"green","GOMF_DOUBLE_STRANDED_RNA_BINDING","GO:MF",0.0156820683429956,0.000142940690423278,7,20,8.29045092838196
"green","GOMF_CADHERIN_BINDING","GO:MF",0.0156820683429956,0.000201052158243533,19,124,2.9474358974359
"green","REACTOME_RHO_GTPASE_CYCLE","Reactome",0.0175029741821538,0.000425748020646983,14,81,3.32027933725866
"green","GOCC_CELL_CORTEX","GO:CC",0.0247422980462243,0.00279573989222873,13,87,2.754914004914
"green","REACTOME_RAC2_GTPASE_CYCLE","Reactome",0.0304665756944553,0.000827744022148904,6,19,7.04536489151874
"green","REACTOME_RHO_GTPASE_EFFECTORS","Reactome",0.0304665756944553,0.000905763061186509,14,87,3.03682292321227
"green","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","Reactome",0.045474806404097,0.00147485858607882,10,53,3.61391232763943
"green","REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE","Reactome",0.0467125203729415,0.00176750077086806,5,15,7.58050847457627
"green","REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS","Reactome",0.0467125203729415,0.00176750077086806,5,15,7.58050847457627
"green","REACTOME_RHOG_GTPASE_CYCLE","Reactome",0.0478735238782718,0.00194081853560561,6,22,5.71474358974359
"greenyellow","HALLMARK_HEME_METABOLISM","Hallmark",8.7923913616845e-19,2.66436101869227e-20,22,52,29.7407407407407
"greenyellow","HALLMARK_XENOBIOTIC_METABOLISM","Hallmark",0.000812557721166693,4.92459224949511e-05,9,52,6.53889334402566
"greenyellow","GOCC_CORTICAL_CYTOSKELETON","GO:CC",0.000873308599434839,5.11135714447054e-06,9,40,9.1301446051168
"greenyellow","GOCC_BASOLATERAL_PLASMA_MEMBRANE","GO:CC",0.000873308599434839,9.86789377892473e-06,7,24,12.6137254901961
"greenyellow","GOCC_CELL_CORTEX","GO:CC",0.00611694629267102,0.000138236074410645,11,87,4.59797932330827
"greenyellow","GOMF_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS","GO:MF",0.0158404116750982,0.000101541100481399,5,15,14.8790322580645
"magenta","GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY","GO:MF",0.00277764098411043,1.78053909237848e-05,11,62,5.95625942684766
"magenta","GOMF_CALMODULIN_BINDING","GO:MF",0.00461917381644036,5.92201771338508e-05,9,47,6.39120188531029
"magenta","REACTOME_GLYCOGEN_METABOLISM","Reactome",0.00709483810692393,2.74575362871573e-05,6,17,14.2987012987013
"magenta","REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES","Reactome",0.00709483810692393,3.83504762536428e-05,11,67,5.40934065934066
"magenta","HALLMARK_GLYCOLYSIS","Hallmark",0.0107212820897562,0.000324887336053217,9,58,4.92628693268352
"magenta","GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS","GO:BP",0.0108617189878233,1.18319378952324e-05,6,15,17.4952380952381
"magenta","KEGG_MEDICUS_REFERENCE_GLYCOLYSIS","KEGG",0.0132755067108113,0.00221258445180188,4,15,9.26767676767677
"magenta","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG",0.025310521361659,0.00843684045388634,5,33,4.57243460764588
"magenta","GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GO:MF",0.0296084281347047,0.000759190464992427,8,52,4.81818181818182
"magenta","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","GO:BP",0.0309496423913931,6.74284147960635e-05,10,59,5.55658627087199
"magenta","GOBP_GLUCAN_METABOLIC_PROCESS","GO:BP",0.0478642261355642,0.000173873399316339,7,32,7.3895652173913
"pink","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Reactome",1.98532362313758e-31,5.36573952199345e-34,43,88,26.4270833333333
"pink","GOBP_CYTOPLASMIC_TRANSLATION","GO:BP",2.00172070188487e-30,2.18052364039746e-33,46,107,21.6834184359043
"pink","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG",4.16692067336807e-29,6.94486778894678e-30,35,63,31.0243055555556
"pink","REACTOME_RRNA_PROCESSING","Reactome",1.17448995656072e-26,1.26971887195754e-28,35,67,27.0855034722222
"pink","GOCC_CYTOSOLIC_RIBOSOME","GO:CC",1.28216063238188e-26,7.24384538068857e-29,36,71,25.7867203219316
"pink","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","Reactome",1.40623904739702e-25,3.04051685923681e-27,36,77,21.9388526279629
"pink","GOCC_RIBOSOMAL_SUBUNIT","GO:CC",2.80147543375167e-25,3.16550896469116e-27,38,88,19.4405797101449
"pink","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","GO:MF",3.02956057258384e-23,1.94202600806656e-25,35,79,19.5659722222222
"pink","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","Reactome",1.74783408503299e-19,4.25148831494511e-21,35,101,12.8819444444444
"pink","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","GO:CC",4.02906732243349e-19,9.10523688685534e-21,22,34,38.8882352941176
"pink","REACTOME_TRANSLATION","Reactome",3.34419954920731e-18,1.08460525920237e-19,47,210,7.93905930470348
"pink","GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","GO:BP",5.94852027964119e-17,1.29597391713316e-19,21,33,36.6889534883721
"pink","GOBP_SYNCYTIUM_FORMATION","GO:BP",1.26492217565348e-14,6.88955433362464e-17,21,41,21.9156976744186
"pink","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","Reactome",4.40139345271248e-13,1.54643553743952e-14,37,172,6.57777777777778
"pink","GOBP_RIBOSOME_BIOGENESIS","GO:BP",4.94726590993369e-12,3.23350713067562e-14,22,58,12.7901960784314
"pink","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","Reactome",1.07749091800125e-11,4.07699266270745e-13,20,52,12.808908045977
"pink","GOBP_MYOTUBE_DIFFERENTIATION","GO:BP",1.46157306043462e-11,1.11448926176931e-13,22,61,11.7864253393665
"pink","GOCC_SMALL_RIBOSOMAL_SUBUNIT","GO:CC",1.70578619857828e-09,5.78232609687552e-11,16,40,13.1208791208791
"pink","REACTOME_SARS_COV_1_HOST_INTERACTIONS","Reactome",2.17547474304353e-08,9.99542449506487e-10,16,47,10.118397731301
"pink","REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY","Reactome",7.04498054697317e-08,3.42728783366262e-09,13,32,13.0727883538634
"pink","GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION","GO:BP",1.31217031591382e-06,1.14350354328002e-08,23,112,5.31005885500268
"pink","GOMF_RRNA_BINDING","GO:MF",1.72883521350301e-06,2.21645540192693e-08,11,25,14.7403273809524
"pink","GOCC_CELL_SUBSTRATE_JUNCTION","GO:CC",1.95947015767068e-06,8.85636229455676e-08,28,176,3.99213137187821
"pink","GOBP_STRIATED_MUSCLE_CONTRACTION","GO:BP",2.27161456316904e-06,2.47452566794013e-08,22,107,5.26782006920415
"pink","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GO:BP",3.05829982695119e-06,3.66462942227267e-08,11,26,13.75
"pink","GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION","GO:BP",1.52019606495507e-05,2.31838179840643e-07,15,58,6.71890798786653
"pink","GOCC_POSTSYNAPTIC_SPECIALIZATION","GO:CC",1.76254129766038e-05,8.9620743948833e-07,13,48,7.03343465045593
"pink","GOBP_TRANSLATIONAL_INITIATION","GO:BP",7.44923546577561e-05,1.21719533754503e-06,14,57,6.20355088772193
"pink","GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION","GO:BP",8.88730869073349e-05,1.54898626418013e-06,10,29,9.74498100922409
"pink","GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX","GO:CC",9.77167280960039e-05,6.07279101161606e-06,7,15,15.81125
"pink","REACTOME_SARS_COV_2_HOST_INTERACTIONS","Reactome",0.000144837858373037,7.43761975429111e-06,13,57,5.56648936170213
"pink","REACTOME_MRNA_POLYADENYLATION","Reactome",0.000459267839093598,2.4825288599654e-05,8,24,9.08585858585859
"pink","GOBP_RNA_SPLICING","GO:BP",0.000466346958957482,9.14405801877415e-06,13,58,5.43971631205674
"pink","REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS","Reactome",0.0005051330174357,2.86697118004046e-05,13,64,4.78347934918648
"pink","GOBP_RIBOSOME_ASSEMBLY","GO:BP",0.00057283746235657,1.18561130553103e-05,8,22,10.3953823953824
"pink","GOCC_SMALL_SUBUNIT_PROCESSOME","GO:CC",0.000732639726979777,5.79489049588524e-05,7,20,9.70307692307692
"pink","GOBP_REGULATION_OF_TRANSLATION","GO:BP",0.00101710326397875,2.21591125049836e-05,16,91,4.07912087912088
