"module","trait","n","p_trait","p_trait_time","singular","fdr_trait","fdr_trait_time"
"pink","d_fcsa_II",45,0.0673801339085664,0.999117720723775,FALSE,0.795961476894244,0.999117720723775
"purple","d_fcsa_II",45,0.403321356559932,0.475979491891337,FALSE,0.806642713119863,0.875370151892267
"red","d_fcsa_II",45,0.285492065854335,0.9655407506949,FALSE,0.806642713119863,0.999117720723775
"tan","d_fcsa_II",45,0.827649826693992,0.136351973005024,TRUE,0.921309765024258,0.699281848678841
"turquoise","d_fcsa_II",45,0.586526331392579,0.727104122421513,TRUE,0.921309765024258,0.969472163228684
"yellow","d_fcsa_II",45,0.884518470200268,0.548063859125336,FALSE,0.921309765024258,0.875370151892267
"black","d_mcsa",45,0.688165825950931,0.257815408823934,FALSE,0.750726355582834,0.515630817647868
"blue","d_mcsa",45,0.669642899906136,0.419593925368041,FALSE,0.750726355582834,0.629390888052062
"brown","d_mcsa",45,0.009834589114441,0.339132658381579,FALSE,0.0525086816182118,0.581370271511277
"green","d_mcsa",45,3.24144005019335e-06,0.249185976619,TRUE,3.88972806023202e-05,0.515630817647868
"greenyellow","d_mcsa",45,0.0643867278148179,0.50149568645894,TRUE,0.154528146755563,0.668660915278587
"magenta","d_mcsa",45,0.0409930989808582,0.0515324148804993,FALSE,0.122979296942574,0.304780769696954
"pink","d_mcsa",45,0.584975253005726,0.218583280105512,FALSE,0.750726355582834,0.515630817647868
"purple","d_mcsa",45,0.56909208377089,0.0761951924242386,FALSE,0.750726355582834,0.304780769696954
"red","d_mcsa",45,0.211310214082128,0.726590172603527,FALSE,0.362246081283648,0.814149100193622
"tan","d_mcsa",45,0.0979091553449679,0.0195058630386534,TRUE,0.195818310689936,0.23407035646384
"turquoise","d_mcsa",45,0.868102400478487,0.780616588714879,TRUE,0.868102400478487,0.814149100193622
"yellow","d_mcsa",45,0.0131271704045529,0.814149100193622,FALSE,0.0525086816182118,0.814149100193622
"black","d_myovision_fcsa_I",45,0.833072248749474,0.319378925692867,FALSE,0.951710701527432,0.581405464089529
"blue","d_myovision_fcsa_I",45,0.348699593964195,0.642252131117376,FALSE,0.727226149732568,0.770702557340851
"brown","d_myovision_fcsa_I",45,0.778046025522515,0.171971569370606,FALSE,0.951710701527432,0.581405464089529
"green","d_myovision_fcsa_I",45,0.363613074866284,0.329003081965547,FALSE,0.727226149732568,0.581405464089529
"greenyellow","d_myovision_fcsa_I",45,0.0296941397982608,0.0431485454088331,TRUE,0.356329677579129,0.517782544905997
"magenta","d_myovision_fcsa_I",45,0.67557425966951,0.207727848733434,FALSE,0.951710701527432,0.581405464089529
"pink","d_myovision_fcsa_I",45,0.221968213545327,0.339153187385558,FALSE,0.727226149732568,0.581405464089529
"purple","d_myovision_fcsa_I",45,0.163893097419138,0.57798756226308,FALSE,0.727226149732568,0.77065008301744
"red","d_myovision_fcsa_I",45,0.249505230070862,0.895547913079109,FALSE,0.727226149732568,0.895547913079109
"tan","d_myovision_fcsa_I",45,0.838586185568167,0.492016680802569,TRUE,0.951710701527432,0.738025021203853
"turquoise","d_myovision_fcsa_I",45,0.992417299900199,0.306516645784531,TRUE,0.992417299900199,0.581405464089529
"yellow","d_myovision_fcsa_I",45,0.872401476400146,0.814072015908569,FALSE,0.951710701527432,0.888078562809348
