gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TSG101,0.3427,0.7987,0.53249,0.702761,NS
DNPH1,-0.4266,0.6402,0.533206,0.778693,NS
SHOC2,0.3915,0.6961,0.533934,0.746972,NS
NHLRC2,-0.3475,0.7812,0.535253,0.717958,NS
S100A11,0.5363,0.5047,0.536169,0.859409,NS
LANCL1,-0.3208,0.8381,0.538439,0.693942,NS
PPCS,0.379,0.7091,0.538565,0.738741,NS
STK38L,-0.3543,0.7568,0.539332,0.725964,NS
ATP5MF,0.3469,0.7682,0.541405,0.725964,NS
AP1G1,0.3971,0.6698,0.54201,0.756062,NS
FXYD1,-0.4871,0.5452,0.54253,0.844022,NS
CAPN2,-0.32,0.8238,0.544942,0.693942,NS
PEA15,-0.6849,0.3847,0.5451,0.911576,NS
MAP3K20,0.2463,1.07,0.545152,0.579484,NS
MRPL37,-0.4233,0.6199,0.546492,0.794636,NS
RPS13,-0.568,0.4602,0.547767,0.866399,NS
SND1,-0.4837,0.5382,0.54912,0.845989,NS
COPS4,-0.2402,1.0815,0.549891,0.577666,NS
SPG7,-0.3925,0.6617,0.549942,0.762786,NS
COL4A2,-0.5723,0.4426,0.558095,0.879515,NS
DPYSL2,-0.2992,0.8378,0.561449,0.693942,NS
ANXA1,0.4573,0.5478,0.561674,0.844022,NS
IMPDH2,0.2637,0.9476,0.562455,0.6236,NS
UBAP2L,-0.5343,0.4651,0.56427,0.866399,NS
FAM98A,-0.3776,0.6532,0.566755,0.769722,NS
NDUFA11,0.3822,0.6424,0.56821,0.776456,NS
RPL31,-0.5411,0.4523,0.569228,0.870733,NS
BCAT2,-0.3397,0.7201,0.569365,0.736694,NS
RNF7,-0.2973,0.8226,0.56946,0.693942,NS
DPYSL3,-0.3586,0.6813,0.569739,0.756062,NS
MRPS36,0.3506,0.6941,0.57103,0.747853,NS
ACTN1,0.6432,0.3778,0.571507,0.911576,NS
TBCB,-0.2974,0.8141,0.572645,0.697373,NS
CACNA2D1,-0.2441,0.9835,0.575285,0.617408,NS
NDUFA5,-0.313,0.7628,0.57708,0.725964,NS
PRKAA1,-0.2817,0.8445,0.578213,0.693942,NS
PYURF,-0.5734,0.4145,0.578471,0.901162,NS
VTA1,-0.257,0.9247,0.57857,0.636724,NS
OTUB1,-0.2465,0.9617,0.579335,0.617408,NS
KLHL40,0.3923,0.6018,0.580677,0.812221,NS
TIMM50,-0.3664,0.6422,0.581687,0.776456,NS
PPID,0.3527,0.6666,0.581961,0.759143,NS
RPS2,-0.3,0.7825,0.582377,0.717958,NS
GAA,-0.3888,0.6034,0.582622,0.812221,NS
HYOU1,0.3122,0.7512,0.582758,0.725964,NS
BLVRA,0.2409,0.9665,0.585044,0.617408,NS
CARNS1,-0.3188,0.73,0.585176,0.733821,NS
NTMT1,-0.373,0.6196,0.587312,0.794636,NS
THY1,-0.5978,0.3857,0.588094,0.911576,NS
ATP5PD,-0.2336,0.9859,0.588435,0.617408,NS
EIF5,-0.3079,0.746,0.589257,0.730427,NS
RPS28,0.4141,0.5543,0.589417,0.837112,NS
NRAP,0.3383,0.677,0.590209,0.756062,NS
RPA3,0.355,0.6445,0.590442,0.776456,NS
PBXIP1,-0.2717,0.8411,0.590845,0.693942,NS
RTCA,-0.3246,0.7014,0.592019,0.741342,NS
TPM3,0.4559,0.4987,0.592427,0.859409,NS
ACTR2,0.3075,0.738,0.593085,0.73272,NS
COL6A3,-0.419,0.5411,0.593286,0.845989,NS
OGDH,-0.1936,1.1701,0.59349,0.537292,NS
MICOS13,0.3615,0.6255,0.594153,0.790808,NS
TXNDC17,-0.2471,0.9047,0.597643,0.649429,NS
ECPAS,-0.2371,0.9418,0.597978,0.626723,NS
MAPK12,-0.304,0.7254,0.601832,0.736694,NS
RNF114,-0.377,0.5838,0.602442,0.824831,NS
ACP1,0.2718,0.8089,0.602735,0.697373,NS
PRKG1,-0.3904,0.5602,0.604318,0.834456,NS
HSPB6,-0.3059,0.7147,0.604505,0.738251,NS
ATP5PO,-0.2104,1.0347,0.605817,0.594151,NS
LONP1,-0.2573,0.8457,0.605847,0.693942,NS
ATP2A3,0.2859,0.7559,0.607969,0.725964,NS
RAB9A,-0.3004,0.7188,0.608223,0.73728,NS
YBX1,0.2767,0.7789,0.608752,0.717958,NS
PLCL2,-0.4665,0.4616,0.609039,0.866399,NS
KRT8,-0.6146,0.3496,0.609759,0.923045,NS
COL18A1,-0.3831,0.5606,0.609812,0.834456,NS
HNRNPDL,0.3176,0.6713,0.6121,0.756062,NS
CRKL,0.3161,0.671,0.613667,0.756062,NS
PRKCQ,-0.3137,0.675,0.614083,0.756062,NS
RPL6,-0.3586,0.5878,0.615489,0.820096,NS
DYNC1LI2,0.2984,0.7062,0.61558,0.739128,NS
RPS5,-0.4525,0.4629,0.617357,0.866399,NS
OPLAH,-0.3079,0.6791,0.617833,0.756062,NS
TPPP,0.4421,0.473,0.617903,0.866399,NS
COPS3,-0.3353,0.6218,0.618773,0.793516,NS
GNB2,-0.2557,0.8126,0.619723,0.697373,NS
RPS24,-0.3694,0.5571,0.622622,0.834456,NS
GPX3,0.3499,0.5856,0.623845,0.822771,NS
TSFM,-0.2534,0.8024,0.626165,0.701421,NS
NUDC,-0.2708,0.7506,0.626212,0.725964,NS
DEPTOR,-0.2768,0.7318,0.627245,0.732806,NS
LANCL2,0.2662,0.7576,0.628538,0.725964,NS
VPS26A,0.2739,0.7343,0.629286,0.732806,NS
LDHA,-0.2773,0.7219,0.630672,0.736694,NS
BCAP31,-0.3908,0.5119,0.630915,0.859409,NS
MPI,-0.206,0.965,0.632718,0.617408,NS
ENDOD1,0.284,0.6955,0.634562,0.746972,NS
CACNG6,-0.5062,0.3896,0.635,0.911576,NS
DRG1,0.5529,0.3565,0.635144,0.923045,NS
MYL6B,0.3964,0.4965,0.635615,0.859409,NS
GPX4,0.2582,0.7619,0.635696,0.725964,NS
CISD1,-0.2211,0.8877,0.636422,0.653061,NS
DYNLT1,-0.3556,0.5473,0.638853,0.844022,NS
PLAA,-0.2669,0.7248,0.640514,0.736694,NS
CSDE1,0.2668,0.7149,0.644534,0.738251,NS
RPL7A,0.3401,0.5607,0.644612,0.834456,NS
ARMT1,0.2834,0.6701,0.645822,0.756062,NS
IDH2,-0.1988,0.953,0.646491,0.621548,NS
VKORC1L1,0.3355,0.5632,0.647187,0.834456,NS
FTH1,-0.3513,0.5358,0.648343,0.845989,NS
UBE2G1,-0.3895,0.482,0.649009,0.866399,NS
JCHAIN,0.6666,0.2815,0.649157,0.931526,NS
USP9X,-0.3745,0.4996,0.649977,0.859409,NS
RPS7,-0.4065,0.4601,0.650114,0.866399,NS
RAN,0.2081,0.8973,0.650606,0.652495,NS
CLPP,0.3554,0.5238,0.651408,0.851435,NS
TRIM54,0.3323,0.5584,0.652327,0.834456,NS
PSMD3,0.1937,0.9559,0.652845,0.620083,NS
RAB14,0.2921,0.6308,0.654206,0.785523,NS
PRDX4,-0.2546,0.7218,0.654955,0.736694,NS
QKI,0.2726,0.67,0.656706,0.756062,NS
NT5C,-0.3954,0.4591,0.658395,0.866399,NS
SAR1A,0.3258,0.5557,0.659079,0.835797,NS
EIF3M,0.3146,0.5734,0.660115,0.827453,NS
NAP1L4,0.3037,0.5878,0.662912,0.820096,NS
EHD1,-0.2163,0.821,0.66442,0.693942,NS
FGGY,0.4222,0.4188,0.665569,0.898761,NS
PPIL1,0.2704,0.6536,0.665658,0.769722,NS
SDR39U1,-0.3958,0.446,0.666008,0.878719,NS
SPR,-0.3323,0.5304,0.666375,0.847503,NS
TST,0.3068,0.5743,0.666523,0.827453,NS
LPCAT3,0.3561,0.4919,0.668087,0.859409,NS
PSMC5,-0.1819,0.9623,0.668253,0.617408,NS
COX6C,-0.3038,0.5755,0.668568,0.826666,NS
PRUNE1,-0.2836,0.6165,0.668575,0.797514,NS
ACTR1A,-0.211,0.8283,0.668701,0.693942,NS
SYNCRIP,0.2272,0.7679,0.669125,0.725964,NS
HIKESHI,-0.3221,0.5409,0.669565,0.845989,NS
DYSF,-0.1813,0.958,0.670405,0.61906,NS
