acc	gene	sources	n_sources
P80303	NUCB2	JPR2017;RESPIRE;This study	3
P84077	ARF1	JPR2017;RESPIRE;This study	3
P84085	ARF5	JPR2017;RESPIRE;This study	3
P84095	RHOG	JPR2017;RESPIRE;This study	3
P98172	EFNB1	JPR2017;RESPIRE;This study	3
P98196	ATP11A	JPR2017;RESPIRE;This study	3
Q00535	CDK5	JPR2017;RESPIRE;This study	3
Q01432	AMPD3	JPR2017;This study;Uniprot	3
Q01469	FABP5	JPR2017;RESPIRE;This study	3
Q01518	CAP1	JPR2017;RESPIRE;This study	3
Q02413	DSG1	JPR2017;RESPIRE;This study	3
Q02750	MAP2K1	JPR2017;RESPIRE;This study	3
Q04656	ATP7A	JPR2017;RESPIRE;This study	3
Q04917	YWHAH	JPR2017;RESPIRE;This study	3
Q04941	PLP2	JPR2017;RESPIRE;This study	3
Q06830	PRDX1	JPR2017;This study;Uniprot	3
Q07960	ARHGAP1	JPR2017;RESPIRE;This study	3
Q08174	PCDH1	JPR2017;RESPIRE;This study	3
Q08554	DSC1	JPR2017;RESPIRE;This study	3
Q08623	PUDP	JPR2017;This study;Uniprot	3
Q0JRZ9	FCHO2	JPR2017;RESPIRE;This study	3
Q12846	STX4	JPR2017;RESPIRE;This study	3
Q12955	ANK3	JPR2017;RESPIRE;This study	3
Q12959	DLG1	JPR2017;RESPIRE;This study	3
Q13107	USP4	JPR2017;RESPIRE;This study	3
Q13158	FADD	JPR2017;RESPIRE;This study	3
Q13177	PAK2	JPR2017;RESPIRE;This study	3
Q13283	G3BP1	JPR2017;RESPIRE;This study	3
Q13303	KCNAB2	JPR2017;RESPIRE;This study	3
Q13325	IFIT5	JPR2017;RESPIRE;This study	3
Q13393	PLD1	JPR2017;RESPIRE;This study	3
Q13442	PDAP1	JPR2017;RESPIRE;This study	3
Q13445	TMED1	JPR2017;RESPIRE;This study	3
Q13464	ROCK1	JPR2017;RESPIRE;This study	3
Q13492	PICALM	JPR2017;RESPIRE;This study	3
Q13530	SERINC3	JPR2017;RESPIRE;This study	3
Q13564	NAE1	JPR2017;RESPIRE;This study	3
Q13576	IQGAP2	JPR2017;RESPIRE;This study	3
Q13616	CUL1	JPR2017;RESPIRE;This study	3
Q13618	CUL3	JPR2017;RESPIRE;This study	3
Q13630	GFUS	JPR2017;This study;Uniprot	3
Q13813	SPTAN1	JPR2017;This study;Uniprot	3
Q13835	PKP1	JPR2017;RESPIRE;This study	3
Q14008	CKAP5	JPR2017;RESPIRE;This study	3
Q14156	EFR3A	JPR2017;RESPIRE;This study	3
Q14165	MLEC	JPR2017;RESPIRE;This study	3
Q14232	EIF2B1	JPR2017;RESPIRE;This study	3
Q14247	CTTN	JPR2017;RESPIRE;This study	3
Q14254	FLOT2	JPR2017;RESPIRE;This study	3
Q14344	GNA13	JPR2017;RESPIRE;This study	3
Q14376	GALE	JPR2017;This study;Uniprot	3
Q14677	CLINT1	JPR2017;RESPIRE;This study	3
Q14696	MESD	JPR2017;RESPIRE;This study	3
Q14773	ICAM4	JPR2017;RESPIRE;This study	3
Q14964	RAB39A	JPR2017;RESPIRE;This study	3
Q14C86	GAPVD1	JPR2017;RESPIRE;This study	3
Q15019	SEPTIN2	JPR2017;RESPIRE;This study	3
Q15040	JOSD1	JPR2017;RESPIRE;This study	3
Q15046	KARS1	JPR2017;RESPIRE;This study	3
Q15084	PDIA6	JPR2017;RESPIRE;This study	3
Q15223	NECTIN1	JPR2017;RESPIRE;This study	3
Q15286	RAB35	JPR2017;RESPIRE;This study	3
Q15811	ITSN1	JPR2017;RESPIRE;This study	3
Q15833	STXBP2	JPR2017;RESPIRE;This study	3
Q15836	VAMP3	JPR2017;RESPIRE;This study	3
Q16186	ADRM1	JPR2017;RESPIRE;This study	3
