acc	gene	sources	n_sources
D6RD58	LECT2	JPR2017	1
D6RD96	ACSL4	JPR2017	1
D6RDH4	AK6	This study	1
D6RDW4	MAEA	Uniprot	1
D6RDX7	EMB	This study	1
D6REB9	AADAT	This study	1
D6REM4	CSNK1A1	This study	1
D6RER5	SEPTIN11	This study	1
D6REW7	MAEA	Uniprot	1
D6REX3	SEC31A	This study	1
D6RF35	GC	This study	1
D6RF92	CXCL6	This study	1
D6RFX7	FAM117A	This study	1
D6RFZ2	TBC1D8B	This study	1
D6RGE9	ATP2C1	This study	1
D6RGX6	CEP44	This study	1
D6RHC5	ANK2	JPR2017	1
D6RHF5	SLC38A9	This study	1
D6RHH9	PHOSPHO1	This study	1
D6RHJ6	JCHAIN	This study	1
D6RHU3	CASP6	This study	1
D6RIB6	MAEA	Uniprot	1
D6RID6	MAEA	Uniprot	1
D6W5Y5	CIRBP	This study	1
D9ZGF1	CITED2	Uniprot	1
NA	DAD1	CB2019	1
NA	DAG1	CB2019	1
NA	DAGLA	CB2019	1
NA	DAGLB	CB2019	1
NA	DCAKD	CB2019	1
NA	DDOST	CB2019	1
NA	DDR2	CB2019	1
NA	DDRGK1	CB2019	1
NA	DDX46	CB2019	1
NA	DEAF1	CB2019	1
NA	DEGS1	CB2019	1
NA	DERL1	CB2019	1
NA	DGAT1	CB2019	1
NA	DHCR24	CB2019	1
NA	DHCR7	CB2019	1
NA	DHODH	CB2019	1
NA	DHRS11	CB2019	1
NA	DHRS7	CB2019	1
NA	DHRS7B	CB2019	1
NA	DNAJA1	CB2019	1
NA	DNAJA2	CB2019	1
NA	DNAJA4	CB2019	1
NA	DNAJB11	CB2019	1
NA	DNAJB12	CB2019	1
NA	DNAJB2	CB2019	1
NA	DNAJC1	CB2019	1
NA	DNAJC10	CB2019	1
NA	DNAJC16	CB2019	1
NA	DNAJC19	CB2019	1
NA	DNAJC30	CB2019	1
NA	DNAJC5	CB2019	1
NA	DOLPP1	CB2019	1
NA	DPAGT1	CB2019	1
NA	DPM3	CB2019	1
NA	DPY19L1	CB2019	1
NA	DPY19L3	CB2019	1
NA	DRD2	CB2019	1
NA	DSC1	CB2019	1
NA	DSC2	CB2019	1
NA	DSC3	CB2019	1
NA	DSCAML1	CB2019	1
NA	DSG1	CB2019	1
NA	DSG2	CB2019	1
NA	DST	CB2019	1
NA	DYM	CB2019	1
NA	DYSF	CB2019	1
E2QRG8	REEP5	This study	1
E2RVJ0	SLC4A1	Uniprot	1
E5RFE7	CA1	JPR2017	1
E5RFH6	EPHX2	This study	1
E5RFK4	DMTN	This study	1
E5RFU2	EPHX2	This study	1
E5RG43	CA1	JPR2017	1
E5RG81	CA1	This study	1
E5RG91	VPS37A	This study	1
E5RGC1	FBXW11	This study	1
E5RGN3	ATOX1	This study	1
E5RGQ3	RWDD1	JPR2017	1
E5RGR0	LYPLA1	This study	1
E5RGS4	PFDN1	This study	1
E5RH53	RMDN1	This study	1
E5RHK8	DNM3	This study	1
E5RHP4	PPP2CA	JPR2017	1
E5RIA4	DNPEP	This study	1
E5RIF9	CA1	JPR2017	1
E5RJ61	DMTN	JPR2017	1
E5RJI7	MRPL13	This study	1
E7EM64	COPS6	This study	1
E7EMC7	SQSTM1	This study	1
E7EN89	TOLLIP	This study	1
E7EN96	MED22	This study	1
E7ENJ7	TSNAXIP1	This study	1
E7ENQ1	MAP4K4	This study	1
E7ENY0	ADD1	Uniprot	1
E7EPI0	IBTK	This study	1
E7EPM6	ACSL1	This study	1
E7EPT4	NDUFV2	This study	1
E7EPV7	SNCA	This study	1
E7EQ06	CASP8	This study	1
E7EQ12	CAST	JPR2017	1
E7EQ47	RHCE	JPR2017	1
E7EQ64	PRSS1	This study	1
E7EQ69	NAA50	This study	1
E7EQB2	LTF	This study	1
E7EQF3	GYPA	This study	1
E7EQI7	WASHC5	This study	1
E7EQN5	ARHGAP4	This study	1
E7ERK9	EIF2B4	This study	1
E7ERP4	PIGQ	This study	1
E7ERP7	APOE	This study	1
E7ESB6	GIGYF2	This study	1
E7ESC7	MAEA	Uniprot	1
E7ESG8	PPP2CA	JPR2017	1
E7ESW6	WDR87	This study	1
E7ETB3	DNPEP	JPR2017	1
E7ETW3	KEL	JPR2017	1
E7ETY4	MARK2	This study	1
E7EU96	CSNK2A1	This study	1
E7EUC7	UGP2	This study	1
E7EUI6	ITGB1	This study	1
E7EV90	SLC45A4	This study	1
E7EVC7	ATG16L1	This study	1
E7EVJ5	CYFIP2	This study	1
E7EVM7	PIEZO2	This study	1
E7EVV8	FAAP100	This study	1
E7EW00	U2SURP	This study	1
E7EW32	MON1B	This study	1
E7EW39	SLC36A1	This study	1
E7EW82	TANK	This study	1
E7EWC7	LENG8	This study	1
E7EWE1	UBA5	This study	1
E7EWK3	DHX36	This study	1
E7EWM1	NCOA2	This study	1
E7EWV1	PIGG	This study	1
E7EWW9	GSTM1	This study	1
E7EX17	EIF4B	This study	1
E7EX20	TTLL4	This study	1
E7EX73	EIF4G1	This study	1
E9NSU1	SLC14A1	Uniprot	1
E9PBC1	EPN2	This study	1
E9PC52	RBBP7	This study	1
E9PC71	HPCAL1	This study	1
E9PCJ7	UBR7	This study	1
E9PCW1	GOSR1	This study	1
E9PD50	SMG7	This study	1
E9PDC3	ARVCF	This study	1
E9PDE8	HSPA4L	This study	1
E9PDF1	SH3TC2	This study	1
E9PDQ8	SUCLG2	This study	1
E9PE24	VSNL1	This study	1
E9PE63	SLC9B2	This study	1
E9PEW8	HBD	JPR2017	1
E9PEX6	DLD	This study	1
E9PF49	NDUFB9	This study	1
E9PF55	TNS1	This study	1
E9PFG7	OGDH	This study	1
E9PFK9	RABGEF1	This study	1
E9PFP8	PCBP3	This study	1
E9PFR3	PPP2R5D	This study	1
E9PGT6	COPS8	This study	1
E9PHA2	NCAPH	This study	1
E9PHY8	MROH1	This study	1
E9PIA0	MKNK1	This study	1
E9PIG0	EPB41L2	Uniprot	1
E9PII3	EPB41L2	Uniprot	1
E9PII5	MKNK1	JPR2017	1
E9PIM0	CREBZF	This study	1
E9PJ16	CENATAC	This study	1
E9PJG3	CEP295	This study	1
E9PJP4	EPB41L2	Uniprot	1
E9PJQ2	NASP	JPR2017	1
E9PK21	PPIE	This study	1
E9PK47	PYGL	This study	1
E9PK52	EPB41L2	Uniprot	1
E9PK67	PARP10	This study	1
E9PK89	RAB3IL1	This study	1
E9PKG1	PRMT1	This study	1
E9PKK7	L3HYPDH	This study	1
E9PKP7	UBTF	This study	1
E9PKU7	GANAB	This study	1
E9PKW3	SLC43A3	This study	1
E9PL40	TSPAN18	This study	1
E9PL71	EEF1D	This study	1
E9PLD1	SCP2	This study	1
E9PLE9	NUCB2	This study	1
E9PLG2	PSMC3	This study	1
E9PLK3	NPEPPS	This study	1
E9PLL6	RPL27A	This study	1
E9PLW4	WDR63	JPR2017	1
E9PM05	EI24	This study	1
E9PM09	CCT3	This study	1
E9PM13	HSPA8	This study	1
E9PMA1	SYVN1	This study	1
E9PMG5	EPB41L2	Uniprot	1
E9PMH5	BIRC2	This study	1
E9PMI6	CLNS1A	This study	1
E9PMQ6	HSF1	This study	1
E9PMR6	ARHGEF12	This study	1
E9PMV8	EPB41L2	Uniprot	1
E9PN10	EBAG9	This study	1
E9PN57	ZNRD2	This study	1
E9PNC7	DRAP1	This study	1
E9PNH1	GANAB	This study	1
E9PNP3	AAMDC	This study	1
E9PNP5	YPEL4	This study	1
E9PNZ6	ZNF34	This study	1
E9PP16	PPFIBP2	This study	1
E9PP91	ANKRD42	JPR2017	1
E9PPC9	EPB41L2	Uniprot	1
E9PQD2	EPB41L2	Uniprot	1
E9PQE8	TRAPPC4	This study	1
E9PQK7	HSPA8	JPR2017	1
E9PQN0	EPB41L2	Uniprot	1
E9PQN5	PPP2R5B	This study	1
E9PQP4	AP2A2	JPR2017	1
E9PQX9	DRAP1	This study	1
E9PQY2	PFDN4	This study	1
E9PR14	SAA2	This study	1
E9PRG1	EPB41L2	Uniprot	1
E9PRR9	PTP4A2	This study	1
E9PRZ0	MAP2K3	This study	1
E9PRZ1	SAAL1	This study	1
E9PS42	CSRP1	This study	1
E9PSH3	TSPAN4	This study	1
NA	EBAG9	CB2019	1
NA	EBP	CB2019	1
NA	ECE1	CB2019	1
NA	ECE2	CB2019	1
NA	ECSCR	CB2019	1
NA	EFNB1	CB2019	1
NA	EFR3A	CB2019	1
NA	EI24	CB2019	1
NA	ELANE	CB2019	1
NA	ELOVL1	CB2019	1
NA	ELOVL5	CB2019	1
NA	EMB	CB2019	1
NA	EMC1	CB2019	1
NA	EMC10	CB2019	1
NA	EMC3	CB2019	1
NA	EMC4	CB2019	1
NA	EMC6	CB2019	1
NA	EMC7	CB2019	1
NA	EMD	CB2019	1
NA	EML2	CB2019	1
NA	EMP3	CB2019	1
NA	ENDOD1	CB2019	1
NA	ENG	CB2019	1
NA	ENPP2	CB2019	1
NA	ENPP3	CB2019	1
NA	ENPP4	CB2019	1
NA	EPB42	CB2019	1
NA	EPCAM	CB2019	1
NA	EPDR1	CB2019	1
NA	EPHA6	CB2019	1
NA	EPHB3	CB2019	1
NA	EPHB4	CB2019	1
NA	EPHX1	CB2019	1
NA	EPOR	CB2019	1
NA	EPT1	CB2019	1
NA	ERAP1	CB2019	1
NA	ERAP2	CB2019	1
NA	ERGIC1	CB2019	1
NA	ERGIC2	CB2019	1
NA	ERGIC3	CB2019	1
NA	ERLIN1	CB2019	1
NA	ERLIN2	CB2019	1
NA	ERMAP	CB2019	1
NA	ERMP1	CB2019	1
NA	ERVK-5	CB2019	1
NA	ESAM	CB2019	1
NA	ESYT1	CB2019	1
NA	ESYT2	CB2019	1
NA	ETNK1	CB2019	1
NA	EVI2B	CB2019	1
NA	EXD2	CB2019	1
NA	F10	CB2019	1
NA	F11R	CB2019	1
NA	F2RL3	CB2019	1
F2Z2Y4	PDXK	This study	1
F2Z357	RAP1GAP	This study	1
F2Z3N2	C2	This study	1
F5GWH5	TMEM258	This study	1
F5GWT4	WNK1	This study	1
F5GWU4	AP3B2	JPR2017	1
F5GX71	MPI	This study	1
F5GXE4	ATE1	This study	1
F5GXF0	NR4A1	JPR2017	1
F5GXR3	PTMS	This study	1
F5GXS0	C4B	This study	1
F5GXS2	ACTN4	This study	1
F5GXW5	C12orf57	This study	1
F5GXX5	DAD1	This study	1
F5GY05	FAM120B	This study	1
F5GYK6	ABCF1	JPR2017	1
F5GYN4	OTUB1	This study	1
F5GYQ1	ATP6V0D1	This study	1
F5GYX3	SEMA7A	This study	1
F5GYZ5	SOD2	This study	1
F5GZ06	MROH2B	This study	1
F5GZG1	RAP1B	JPR2017	1
F5GZS6	SLC3A2	This study	1
F5GZY7	GABARAPL1	This study	1
F5H018	RAN	This study	1
F5H077	RAP1B	JPR2017	1
F5H0I3	SOX5	This study	1
F5H0Y5	DDB1	JPR2017	1
F5H1F6	VPS37B	This study	1
F5H1S1	PIGB	This study	1
F5H1T9	KRTAP2-1	JPR2017	1
F5H225	EOGT	This study	1
F5H269	DMXL1	This study	1
F5H284	PPIAL4D	JPR2017	1
F5H2I0	PRPF19	JPR2017	1
F5H300	DNAJA4	This study	1
F5H345	HMBS	This study	1
F5H365	SEC23A	This study	1
F5H385	SLC39A3	This study	1
F5H388	UBC	This study	1
F5H3Z4	FOLR2	This study	1
F5H442	TSG101	This study	1
F5H492	RAD9A	This study	1
F5H538	MAP3K4	This study	1
F5H563	EPB42	Uniprot	1
F5H5L8	FOLR2	This study	1
F5H5P4	VAV1	This study	1
F5H5T5	UBE3B	This study	1
F5H6I7	ATL3	This study	1
F5H760	MGST1	This study	1
F5H823	RAP1B	JPR2017	1
F5H837	RBL2	This study	1
F6L6G8	SLC14A1	Uniprot	1
F6L6Y3	SLC14A1	Uniprot	1
F6L6Y4	SLC14A1	Uniprot	1
F6L6Y5	SLC14A1	Uniprot	1
F6PQP6	EPN2	This study	1
F6QW41	MRPL12	JPR2017	1
F6SYF8	DKK3	This study	1
F6UJY9	HYI	This study	1
F8VQQ3	MYG1	This study	1
F8VQZ7	METAP2	This study	1
F8VRE8	TMEM19	This study	1
F8VRJ6	TPK1	This study	1
F8VSC5	SCYL2	This study	1
F8VTQ3	PFKM	This study	1
F8VU90	FKBP11	This study	1
F8VUA2	CHMP1A	This study	1
F8VUI9	CNTN1	This study	1
F8VV59	NAP1L1	This study	1
F8VV69	MFSD5	This study	1
F8VVA0	ATG101	This study	1
F8VVM2	SLC25A3	This study	1
F8VW50	KIF19	This study	1
F8VWU4	RAB5C	JPR2017	1
F8VXU5	VPS29	This study	1
F8VYN9	ARL1	This study	1
F8VYZ3	SDSL	This study	1
F8VZ69	PA2G4	This study	1
F8VZX7	BICD1	This study	1
F8W031	CNPY2	JPR2017	1
F8W061	NUBPL	This study	1
F8W0P9	TPCN1	This study	1
F8W111	CPM	This study	1
F8W543	NAP1L1	JPR2017	1
F8W6I7	HNRNPA1	This study	1
F8W6P5	HBB	JPR2017	1
F8W6W2	PKLR	This study	1
F8W726	UBAP2L	This study	1
F8W7C6	RPL10	JPR2017	1
F8W7S5	RRBP1	This study	1
F8W860	PI4KB	This study	1
F8W8I6	TIA1	This study	1
F8W8Y7	ARMCX4	JPR2017	1
F8W9B8	EXOC5	This study	1
F8W9J4	DST	This study	1
F8W9L6	IRAG2	This study	1
F8W9W2	GRK6	This study	1
F8W9X7	CCDC93	This study	1
F8WA39	MTMR1	This study	1
F8WAG2	NEK7	This study	1
F8WAM2	CCT7	This study	1
F8WAQ1	SUSD1	This study	1
F8WBE0	CKAP2L	This study	1
F8WC89	SAC3D1	This study	1
F8WCI0	FRMD5	Uniprot	1
F8WCV8	ARHGAP8	This study	1
F8WDI9	TBL2	This study	1
F8WDK4	WDR31	This study	1
F8WDL1	CDCA3	This study	1
F8WDV0	IPO11	This study	1
F8WEJ8	FRMD5	Uniprot	1
F8WEP7	FETUB	This study	1
F8WER1	DDC	This study	1
F8WES2	MTAP	This study	1
F8WEY7	MKLN1	This study	1
F8WF14	BCHE	This study	1
NA	FADS1	CB2019	1
NA	FADS2	CB2019	1
NA	FAM129A	CB2019	1
NA	FAM129B	CB2019	1
NA	FAM134A	CB2019	1
NA	FAM134C	CB2019	1
NA	FAM162A	CB2019	1
NA	FAM168B	CB2019	1
NA	FAM173A	CB2019	1
NA	FAM173B	CB2019	1
NA	FAM209A	CB2019	1
NA	FAM20B	CB2019	1
NA	FAM210A	CB2019	1
NA	FAM210B	CB2019	1
NA	FAM213A	CB2019	1
NA	FAM234A	CB2019	1
NA	FAM234B	CB2019	1
NA	FAM3A	CB2019	1
NA	FAM3C	CB2019	1
NA	FAM49B	CB2019	1
NA	FAM8A1	CB2019	1
NA	FAR1	CB2019	1
NA	FAR2	CB2019	1
NA	FAS	CB2019	1
NA	FAT3	CB2019	1
NA	FCER1G	CB2019	1
NA	FCGR2A	CB2019	1
NA	FCGR2C	CB2019	1
NA	FCGRT	CB2019	1
NA	FCN2	CB2019	1
NA	FDFT1	CB2019	1
NA	FER1L4	CB2019	1
NA	FGFR1	CB2019	1
NA	FIS1	CB2019	1
NA	FKBP11	CB2019	1
NA	FKBP8	CB2019	1
NA	FLOT2	CB2019	1
NA	FLRT1	CB2019	1
NA	FMNL1	CB2019	1
NA	FNDC3A	CB2019	1
NA	FOCAD	CB2019	1
NA	FPR3	CB2019	1
NA	FRMD5	CB2019	1
NA	FRRS1	CB2019	1
NA	FTHL17	CB2019	1
NA	FUNDC1	CB2019	1
NA	FUT2	CB2019	1
NA	FUT8	CB2019	1
NA	FZD5	CB2019	1
G3K398	SLC14A1	Uniprot	1
G3V0I5	NDUFV1	This study	1
G3V126	ATP6V1H	This study	1
G3V180	DPP3	This study	1
G3V1A4	CFL1	JPR2017	1
G3V1B3	RPL21	This study	1
G3V1B6	APOO	This study	1
G3V1J0	WDR55	This study	1
G3V1L9	TJP1	This study	1
G3V1N2	HBA2	JPR2017	1
G3V1P2	TTC39C	This study	1
G3V1R5	NRDC	This study	1
G3V2S9	SLIRP	This study	1
G3V2U7	ACYP1	This study	1
G3V2W1	SERPINA10	This study	1
G3V325	ATP5MF-PTCD1	This study	1
G3V365	AK7	This study	1
G3V3H3	KLC1	This study	1
G3V3R7	ATXN3	This study	1
G3V4C3	TRAPPC6B	This study	1
G3V4I5	GSKIP	This study	1
G3V4K3	VIPAS39	This study	1
G3V4L3	PRKCH	This study	1
G3V4M2	GALC	This study	1
G3V4T2	PABPN1	This study	1
G3V4W4	GNPNAT1	This study	1
G3V4X5	PSMA3	JPR2017	1
G3V582	GPHN	This study	1
G3V5N8	ZFYVE1	This study	1
G3V5P8	CNIH1	JPR2017	1
G3V5T0	GSTZ1	This study	1
G3V5U1	WARS	JPR2017	1
G3V5U8	PPP2R3C	This study	1
G3V5V3	NEMF	This study	1
G3XAD2	FUT8	This study	1
G3XAJ4	TXNDC9	This study	1
G4V2I8	NA	Uniprot	1
G4V2I9	NA	Uniprot	1
G5E948	MAP4K4	This study	1
G5E954	CCNC	This study	1
G5E972	TMPO	This study	1
G5E9A6	USP11	JPR2017	1
G5E9B7	CYTH2	This study	1
G5E9C2	NFKBIB	This study	1
G5E9L0	ARFGAP2	This study	1
G5E9Z2	CLPTM1L	This study	1
G5EA36	CDC27	This study	1
NA	G6PC3	CB2019	1
G8JLB3	PUS1	This study	1
G8JLG2	CDSN	This study	1
G9JKG7	EPO	Uniprot	1
NA	GABARAPL1	CB2019	1
NA	GABRA6	CB2019	1
NA	GALNT1	CB2019	1
NA	GALNT10	CB2019	1
NA	GALNT2	CB2019	1
NA	GALNT4	CB2019	1
NA	GALNT5	CB2019	1
NA	GALNT6	CB2019	1
NA	GALNT7	CB2019	1
NA	GANAB	CB2019	1
NA	GDAP1	CB2019	1
NA	GDE1	CB2019	1
NA	GDPD1	CB2019	1
NA	GGCX	CB2019	1
NA	GGT1	CB2019	1
NA	GGT2	CB2019	1
NA	GGT3P	CB2019	1
NA	GHITM	CB2019	1
NA	GJA8	CB2019	1
NA	GLCE	CB2019	1
NA	GLG1	CB2019	1
NA	GLIPR1L1	CB2019	1
NA	GLIPR2	CB2019	1
NA	GLMP	CB2019	1
NA	GLT8D1	CB2019	1
NA	GLTPD2	CB2019	1
NA	GML	CB2019	1
NA	GNA11	CB2019	1
NA	GNA12	CB2019	1
NA	GNA13	CB2019	1
NA	GNAI1	CB2019	1
NA	GNAI2	CB2019	1
NA	GNAI3	CB2019	1
NA	GNAS	CB2019	1
NA	GNAZ	CB2019	1
NA	GNG10	CB2019	1
NA	GNG13	CB2019	1
NA	GNG2	CB2019	1
NA	GNG5	CB2019	1
NA	GNG7	CB2019	1
NA	GNS	CB2019	1
NA	GOLGA5	CB2019	1
NA	GOLGA7	CB2019	1
NA	GOLGB1	CB2019	1
NA	GOLIM4	CB2019	1
NA	GOLM1	CB2019	1
NA	GOLT1B	CB2019	1
NA	GORASP2	CB2019	1
NA	GOSR1	CB2019	1
NA	GOSR2	CB2019	1
NA	GP1BA	CB2019	1
NA	GP1BB	CB2019	1
NA	GP5	CB2019	1
NA	GP9	CB2019	1
NA	GPAA1	CB2019	1
NA	GPAM	CB2019	1
NA	GPAT4	CB2019	1
NA	GPC3	CB2019	1
NA	GPD2	CB2019	1
NA	GPER1	CB2019	1
NA	GPIHBP1	CB2019	1
NA	GPR107	CB2019	1
NA	GPR108	CB2019	1
NA	GPR162	CB2019	1
NA	GPR179	CB2019	1
NA	GPR180	CB2019	1
NA	GPR89A	CB2019	1
NA	GPR89B	CB2019	1
NA	GPR98	CB2019	1
NA	GPRC6A	CB2019	1
NA	GRAMD1A	CB2019	1
NA	GRAMD1C	CB2019	1
NA	GRAMD4	CB2019	1
NA	GRINA	CB2019	1
NA	GRK6	CB2019	1
NA	GRM4	CB2019	1
NA	GUCY2F	CB2019	1
NA	GUSB	CB2019	1
NA	GXYLT1	CB2019	1
NA	GYPA	CB2019	1
NA	GYPB	CB2019	1
NA	GYPC	CB2019	1
H0Y2P0	CD44	JPR2017	1
H0Y300	HP	JPR2017	1
H0Y368	DPM1	This study	1
H0Y3H2	ABCA3	This study	1
H0Y3R5	BCL2L13	This study	1
H0Y3S9	ARID1B	This study	1
H0Y3V4	IPO5	JPR2017	1
H0Y482	EPB41L1	Uniprot	1
H0Y4E4	LCT	This study	1
H0Y4K4	HPS1	This study	1
H0Y4T6	PIN4	This study	1
H0Y5K5	ERGIC3	This study	1
H0Y5N1	FRMD5	Uniprot	1
H0Y5R6	UROD	JPR2017	1
H0Y614	UFM1	This study	1
H0Y6U5	NCAPG2	This study	1
H0Y6W0	TOP3B	This study	1
H0Y6Z7	PTPRF	This study	1
H0Y6Z9	COMMD3	This study	1
H0Y720	TNRC6B	This study	1
H0Y897	ABI3BP	JPR2017	1
H0Y8G5	HNRNPD	This study	1
H0Y8Q6	ABCC3	This study	1
H0Y8T6	RAPGEF2	JPR2017	1
H0Y8T9	CLDND1	This study	1
H0Y8U5	CTBP1	This study	1
H0Y8X6	NEDD4	This study	1
H0Y905	RAPGEF2	JPR2017	1
H0Y938	COPB2	This study	1
H0Y984	BST1	This study	1
H0Y990	ABCE1	JPR2017	1
H0Y997	TXNDC15	This study	1
H0Y9D7	TGFBI	This study	1
H0Y9D8	PPA2	This study	1
H0Y9Y2	BOD1L1	This study	1
H0Y9Y8	RUFY1	This study	1
H0YA26	PANK4	This study	1
H0YA36	SEL1L3	This study	1
H0YAF8	RACK1	This study	1
H0YAL2	TRIP13	This study	1
H0YAP3	TMEM185A	This study	1
H0YAR2	PABPC1	This study	1
H0YB09	DGLUCY	This study	1
H0YB34	RIDA	This study	1
H0YB53	MTSS1	This study	1
H0YB76	DOCK2	This study	1
H0YBC7	BNIP3L	This study	1
H0YBD2	COX7A2L	This study	1
H0YBI3	DNAH14	JPR2017	1
H0YBI6	TXNRD3	This study	1
H0YBS0	ANK1	This study	1
H0YBU7	DHDH	JPR2017	1
H0YC40	CD47	JPR2017	1
H0YCH4	ZNF692	This study	1
H0YCN5	ABCA7	This study	1
H0YCP9	GRINA	JPR2017	1
H0YCR7	RNH1	This study	1
H0YCZ4	CDON	This study	1
H0YD13	CD44	This study	1
H0YDB0	GSDMD	This study	1
H0YDB2	STIM1	This study	1
H0YDT6	EIF3F	This study	1
H0YDU8	PPP5C	This study	1
H0YE35	RIC8A	This study	1
H0YE90	TSTA3	JPR2017	1
H0YEH2	PUM1	This study	1
H0YET9	ARRB1	This study	1
H0YFC4	C2CD5	This study	1
H0YFD6	HADHA	This study	1
H0YFD8	ADD1	This study	1
H0YFM9	PIGQ	This study	1
H0YGR4	REXO2	This study	1
H0YGW8	DUS1L	This study	1
H0YH27	CAND1	This study	1
H0YH33	STRAP	This study	1
H0YHA7	RPL18	This study	1
H0YHX9	NACA	This study	1
H0YI09	TMT1A	This study	1
H0YI78	KIF21A	This study	1
H0YIV4	NAP1L1	This study	1
H0YIZ2	TEP1	This study	1
H0YJ03	PSMA3	This study	1
H0YJE6	SPTB	This study	1
H0YJI9	MARK3	This study	1
H0YJZ4	STRN3	This study	1
H0YK48	TPM1	JPR2017	1
H0YKB5	MFGE8	This study	1
H0YKD8	RPL28	This study	1
H0YKI9	EFL1	This study	1
H0YKJ4	TPM1	This study	1
H0YKK6	PSME1	This study	1
H0YKQ8	SLC12A6	This study	1
H0YKT8	PSMA4	JPR2017	1
H0YKW6	FRMD5	JPR2017	1
H0YL72	IDH3A	This study	1
H0YL91	TRIP4	This study	1
H0YL95	AP4E1	This study	1
H0YLC1	ATP8B4	JPR2017	1
H0YLD0	PIGH	This study	1
H0YLI7	AP3S2	This study	1
H0YLT0	APH1B	This study	1
H0YLV5	GMPR2	This study	1
H0YM72	USP3	JPR2017	1
H0YMD0	ANXA2	This study	1
H0YMH5	EMC4	This study	1
H0YN03	DCAF11	This study	1
H0YN48	UACA	This study	1
H0YN88	RPS17	This study	1
H0YNA2	SPPL2A	This study	1
H0YNE9	RAB8B	This study	1
H0YNG3	SEC11A	This study	1
H0YNH1	KATNBL1	This study	1
H0YNH8	UACA	This study	1
H0YNM2	SEMA4B	This study	1
H0YNN5	LACTB	This study	1
H0YNP5	ANXA2	This study	1
H0YNS9	GMPR2	JPR2017	1
H3BLU4	MEIS3	This study	1
H3BLY8	CNEP1R1	This study	1
H3BMK1	RARG	This study	1
H3BN98	ARL6IP1	JPR2017	1
H3BNF9	CDIN1	This study	1
H3BNI4	ATP6V0C	JPR2017	1
H3BNV7	CIAO2B	This study	1
H3BP13	TRAPPC2L	This study	1
H3BP71	RNF40	This study	1
H3BPC4	UBE2I	This study	1
H3BPK4	MYL11	This study	1
H3BPK7	AARS1	This study	1
H3BPQ4	HAGH	This study	1
H3BPV8	EPB42	Uniprot	1
H3BQ48	CLN3	JPR2017	1
H3BQD8	LAT	This study	1
H3BQG1	CLK3	This study	1
H3BQJ4	NDRG4	This study	1
H3BQQ1	CMC2	This study	1
H3BQT8	TMEM170A	This study	1
H3BR29	RUSF1	This study	1
H3BR94	DCTN5	This study	1
H3BRF9	ZFYVE19	This study	1
H3BRG4	UQCRC2	This study	1
H3BRJ5	TRIM59-IFT80	This study	1
H3BRQ0	PPCDC	This study	1
H3BRQ8	NUDT7	This study	1
H3BRS3	TELO2	This study	1
H3BSG0	PHAF1	This study	1
H3BSK6	AHSP	Uniprot	1
H3BSW6	CTU2	This study	1
H3BTF6	TEDC2	This study	1
H3BTJ7	CDIPT	This study	1
H3BTT8	USB1	This study	1
H3BUB6	SCAMP2	This study	1
H3BUF6	ATXN2L	This study	1
H3BUF8	CLN3	This study	1
H3BUP8	XPO6	JPR2017	1
H3BUR1	EPB42	Uniprot	1
H3BUV4	CLN6	This study	1
H3BV16	NDUFB10	This study	1
H3BV55	PMM2	This study	1
H3BV79	HAGH	JPR2017	1
H3BV98	TARBP2	This study	1
H3BV99	SNAP23	JPR2017	1
H3BVE0	BOLA2-SMG1P6	This study	1
H3BVF7	TMEM62	This study	1
H3BVG0	NUP93	This study	1
H3BVG6	LTK	This study	1
H6UYS7	SNCA	This study	1
H7BXH2	PPP6R3	This study	1
H7BXJ4	FCHO2	This study	1
H7BXY3	DHX30	This study	1
H7BZ15	C2orf88	This study	1
H7BZ54	TTC31	This study	1
H7BZ97	ITGA6	This study	1
H7BZE2	TRIP6	This study	1
H7BZG6	AP1S2	This study	1
H7BZJ3	PDIA3	JPR2017	1
H7BZL6	FSIP2	This study	1
H7BZS7	MCEE	This study	1
H7C0A7	AGAP1	This study	1
H7C0E5	ZPR1	This study	1
H7C1A2	TAMM41	This study	1
H7C270	CTDSP1	This study	1
H7C282	FRMD5	Uniprot	1
H7C284	MFSD6	This study	1
H7C2F2	CD99	JPR2017	1
H7C2F9	R3HDM1	This study	1
H7C2G2	ART4	This study	1
H7C2K6	EPB41L1	Uniprot	1
H7C2R1	NDUFA3	This study	1
H7C2W9	RPL31	This study	1
H7C331	ENTR1	This study	1
H7C347	PPM1N	This study	1
H7C3A1	SRRT	This study	1
H7C3P9	COPS3	This study	1
H7C3T4	PRDX4	This study	1
H7C3W4	IL1RAP	This study	1
H7C4Y1	MBNL1	This study	1
H7C517	AK9	This study	1
H7C5B8	NDUFB2	This study	1
H7C5E4	XRN1	This study	1
H7C5K0	HLTF	This study	1
H7C5W6	HEATR5A	This study	1
H8ZQ04	SLC14A1	Uniprot	1
H8ZQ05	SLC14A1	Uniprot	1
H8ZQ06	SLC14A1	Uniprot	1
H9KVB4	TNRC18	This study	1
NA	HACD2	CB2019	1
NA	HACD3	CB2019	1
NA	HAS1	CB2019	1
NA	HCCS	CB2019	1
NA	HCK	CB2019	1
NA	HCRT	CB2019	1
NA	HEPH	CB2019	1
NA	HERPUD2	CB2019	1
NA	HEXB	CB2019	1
NA	HGFAC	CB2019	1
NA	HIDE1	CB2019	1
