Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
ABCA13		"Predicted membrane proteins"				10.5	0.8
ABCA2	Q9BZC7	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	4.0
ABCA3	Q99758	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.5	19.6
ABCA4	P78363	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.1
ABCA5	Q8WWZ7	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.2	917.9
ABCA6	Q8N139	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	81.9
ABCA7	Q8IZY2	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.7	11.7
ABCA8	O94911	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	3.1
ABCA9	Q8IUA7	"Predicted membrane proteins, Transporters"				0.0	67.0
ABCB1	P08183	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.5	6.4
ABCB10	Q9NRK6	"Plasma proteins, Predicted membrane proteins, Transporters"				62.7	63.5
ABCB11	O95342	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.2
ABCB4	P21439	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	104.3
ABCB5	Q2M3G0	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	0.6
ABCB6	Q9NP58	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Intracellular and membrane"	Transport		1.5	0.0
ABCB7	O75027	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				9.7	171.9
ABCB8	Q9NUT2	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.7	53.2
ABCB9	Q9NP78	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				7.9	2.7
ABCC1	P33527	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.1	31.2
ABCC10	Q5T3U5	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	13.9
ABCC11	Q96J66	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.8	7.4
ABCC12		"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.6
ABCC2	Q92887	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.1	13.0
ABCC3	O15438	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.7	1.0
ABCC4	O15439	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				23.9	166.5
ABCC5	O15440	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				9.6	606.2
ABCC6	O95255	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	2.6
ABCC8	Q09428	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	10.0
ABCC9	O60706	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	482.0
ABCD1	P33897	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	2.7
ABCD2	Q9UBJ2	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	0.7
ABCD3	P28288	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			12000	4.8	104.4
ABCD4	O14678	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	34.1
ABCE1	P61221	"Essential proteins, Predicted intracellular proteins, Transporters"			140000	8.1	35.7
ABCF1	Q8NE71	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"			210000	3.9	4.8
ABCF2	Q9UG63	"Predicted intracellular proteins, Transporters"			3800	0.0	0.1
ABCF2-H2BK1		"Predicted intracellular proteins"				0.0	0.2
ABCF3	Q9NUQ8	"Predicted intracellular proteins, Transporters"				0.6	10.6
ABCG1	P45844	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.5	35.2
ABCG2	Q9UNQ0	"Cancer-related genes, CD markers, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.8	4.2
ABCG4	Q9H172	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
ABCG5	Q9H222	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.6
ABCG8	Q9H221	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.0
ABHD1	Q96SE0	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	18.9
ABHD10	Q9NUJ1	"Enzymes, Predicted intracellular proteins"			63000	7.6	25.6
ABHD11	Q8NFV4	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			7900	0.1	2.9
ABHD12	Q8N2K0	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				3.3	41.1
ABHD12B	Q7Z5M8	"Predicted intracellular proteins"				0.0	0.3
ABHD13	Q7L211	"Predicted membrane proteins"				3.3	17.2
ABHD14A	Q9BUJ0	"Predicted intracellular proteins, Predicted membrane proteins"			100000	0.5	13.8
ABHD14A-ACY1		"Predicted intracellular proteins"				0.0	2.7
ABHD14B	Q96IU4	"Plasma proteins, Predicted intracellular proteins"			2300000	0.0	4.9
ABHD15	Q6UXT9	"Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.2	0.8
ABHD16A	O95870	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"			16000	0.2	0.1
ABHD16B	Q9H3Z7	"Plasma proteins, Predicted intracellular proteins"				0.0	0.0
ABHD17A	Q96GS6	"Enzymes, Predicted intracellular proteins, Transporters"				4.0	4.3
ABHD17B	Q5VST6	"Enzymes, Predicted intracellular proteins"				0.4	68.4
ABHD17C	Q6PCB6	"Enzymes, Predicted intracellular proteins"				0.0	2.1
ABHD18	Q0P651	"Predicted intracellular proteins"	"Intracellular and membrane"	"No annotated function"		7.9	260.5
ABHD2	P08910	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"				7.0	92.4
ABHD3	Q8WU67	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"				3.4	655.4
ABHD4	Q8TB40	"Enzymes, Predicted intracellular proteins"				3.4	16.2
ABHD5	Q8WTS1	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"				23.8	43.0
ABHD6	Q9BV23	"Enzymes, Metabolic proteins, Predicted membrane proteins"				0.1	19.8
ABHD8	Q96I13	"Predicted intracellular proteins"				2.7	27.9
ABI1	Q8IZP0	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"			330000	14.2	94.1
ABI2	Q9NYB9	"Predicted intracellular proteins"				1.5	77.2
ABI3	Q9P2A4	"Predicted intracellular proteins"				0.3	1.1
ABI3BP	Q7Z7G0	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"	84000000	0.0	97.3
ABITRAM	Q9NX38	"Plasma proteins, Predicted intracellular proteins"				0.7	13.4
ABL1	P00519	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins"				2.4	273.9
ABL2	P42684	"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"				1.6	130.1
ABLIM1	O14639	"Predicted intracellular proteins"				0.0	480.1
ABLIM2	Q6H8Q1	"Predicted intracellular proteins"				0.0	668.2
ABLIM3	O94929	"Plasma proteins, Predicted intracellular proteins"			5500	1.6	8.9
ABO		"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"			0.0	0.0
ABR	Q12979	"Predicted intracellular proteins"				0.0	2.1
ABRA	Q8N0Z2	"Predicted intracellular proteins"				0.0	121.8
ABRACL	Q9P1F3	"Plasma proteins, Predicted intracellular proteins"			7300000	5.6	0.1
ABRAXAS1	Q6UWZ7	"Disease related genes, Predicted intracellular proteins"				2.4	67.8
ABRAXAS2	Q15018	"Predicted intracellular proteins"				4.6	51.1
ABT1	Q9ULW3	"Essential proteins, Predicted intracellular proteins"				1.7	4.9
ABTB1	Q969K4	"Predicted intracellular proteins"				20.6	3.7
ABTB2	Q8N961	"Metabolic proteins, Predicted intracellular proteins"				1.7	144.7
ABTB3	A6QL63	"Predicted intracellular proteins"				1.5	6.4
ACAA1	P09110	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			2300000	2.7	19.5
ACAA2	P42765	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			5100000	4.9	14.6
ACACA	Q13085	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			310000	0.2	31.5
ACACB	O00763	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme		0.4	658.6
ACAD10	Q6JQN1	"Predicted intracellular proteins"				0.0	101.5
ACAD11	Q709F0	"Metabolic proteins, Predicted intracellular proteins"				0.0	1.0
ACAD8	Q9UKU7	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"				1.7	10.4
ACAD9	Q9H845	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"			8900	3.1	82.8
ACADL	P28330	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.2	24.9
ACADM	P11310	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			480000	7.7	247.2
ACADS	P16219	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			14000	8.0	27.0
ACADSB	P45954	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			50000	3.1	48.4
ACADVL	P49748	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			69000	8.7	86.6
ACAN	P16112	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	"No annotated function"	48000000	0.0	0.1
ACAP1	Q15027	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"				4.8	0.3
ACAP2	Q15057	"Plasma proteins, Predicted intracellular proteins"				23.2	172.9
ACAP3	Q96P50	"Predicted intracellular proteins"				0.1	18.0
ACAT1	P24752	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			730000	11.0	274.8
ACAT2	Q9BWD1	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			2500000	6.4	4.1
ACBD3	Q9H3P7	"Plasma proteins, Predicted intracellular proteins, Transporters"			12000	4.1	66.5
ACBD4	Q8NC06	"Predicted intracellular proteins, Predicted membrane proteins"				0.4	7.8
ACBD5	Q5T8D3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				2.0	53.4
ACBD6	Q9BR61	"Predicted intracellular proteins"				2.5	226.3
ACBD7	Q8N6N7	"Predicted intracellular proteins"				0.0	0.1
ACCS	Q96QU6	"Predicted intracellular proteins"				0.2	6.5
ACCSL	Q4AC99	"Predicted intracellular proteins"				0.0	0.0
ACD	Q96AP0	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				0.2	0.5
ACE	P12821	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	59000000	0.0	0.0
ACE2	Q9BYF1	"Enzymes, Metabolic proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Secreted to blood"	Receptor	220000	0.0	0.6
ACER1	Q8TDN7	"Enzymes, Metabolic proteins, Predicted membrane proteins"				0.0	0.2
ACER2	Q5QJU3	"Enzymes, Metabolic proteins, Predicted membrane proteins"				0.2	5.6
ACER3	Q9NUN7	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"				8.5	26.0
ACHE	P22303	"Blood group antigen proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Enzyme	1100000	16.2	35.2
ACIN1	Q9UKV3	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"			80000	17.1	108.4
ACKR1	Q16570	"Blood group antigen proteins, CD markers, G-protein coupled receptors, Predicted membrane proteins, Transporters"				7.8	0.1
ACKR2	O00590	"G-protein coupled receptors, Predicted membrane proteins, Transporters"				0.0	0.4
ACKR3	P25106	"Cancer-related genes, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"				0.0	9.3
ACKR4	Q9NPB9	"G-protein coupled receptors, Predicted membrane proteins"				0.0	30.2
ACLY	P53396	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			4000000	4.9	8.9
ACMSD	Q8TDX5	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	26.7
ACO1	P21399	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			9700000	0.1	64.9
ACO2	Q99798	"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			2500000	4.1	312.5
ACOD1	A6NK06	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.1
ACOT1	Q86TX2	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	5.5
ACOT11	Q8WXI4	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	491.3
ACOT12	Q8WYK0	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Transporters"				0.0	0.5
ACOT13	Q9NPJ3	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			8200	0.8	64.4
ACOT2	P49753	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"				0.0	17.9
ACOT4	Q8N9L9	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.0
ACOT6	Q3I5F7	"Metabolic proteins, Predicted intracellular proteins"				0.0	13.6
ACOT7	O00154	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			62000	1.5	7.2
ACOT8	O14734	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"				1.8	65.4
ACOT9	Q9Y305	"Metabolic proteins, Predicted intracellular proteins"			9500	0.4	56.4
ACOX1	Q15067	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			79000	5.0	84.2
ACOX2	Q99424	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			17000	0.0	12.1
ACOX3	O15254	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	41.8
ACOXL	Q9NUZ1	"Predicted intracellular proteins"				1.5	1.1
ACP1	P24666	"Enzymes, Plasma proteins, Predicted intracellular proteins"			1100000	97.7	29.9
ACP2	P11117	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"			17000	1.7	5.1
ACP3	P15309	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	560000	0.3	0.1
ACP4	Q9BZG2	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"				0.0	0.4
ACP5	P13686	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	990000	6.7	0.5
ACP6	Q9NPH0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	42000	0.0	41.9
ACP7	Q6ZNF0	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted - unknown location"	Enzyme		0.0	0.1
ACR	P10323	"Enzymes, Predicted secreted proteins"	"Secreted in male reproductive system"	Enzyme		0.0	0.0
ACRBP	Q8NEB7	"Predicted secreted proteins"	"Secreted in male reproductive system"	"No annotated function"		1.0	0.1
ACRV1	P26436	"Predicted secreted proteins"	"Secreted in male reproductive system"	"No annotated function"		0.0	0.4
ACSBG1	Q96GR2	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	3.2
ACSBG2	Q5FVE4	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.2	2.5
ACSF2	Q96CM8	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.2	115.7
ACSF3	Q4G176	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				5.4	33.6
ACSL1	P33121	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			63000	33.0	356.4
ACSL3	O95573	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			22000	5.3	211.2
ACSL4	O60488	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"			13000	9.6	25.7
ACSL5	Q9ULC5	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"				0.2	9.3
ACSL6	Q9UKU0	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.7	0.3
ACSM1	Q08AH1	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.9	1.3
ACSM2A	Q08AH3	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			87000	0.0	0.1
ACSM2B	Q68CK6	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.1
ACSM3	Q53FZ2	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				2.8	30.0
ACSM4	P0C7M7	"Enzymes, Metabolic proteins, Predicted membrane proteins"				1.5	0.1
ACSM5	Q6NUN0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	21.6
ACSM6	Q6P461	"Enzymes, Predicted membrane proteins"				0.0	16.9
ACSS1	Q9NUB1	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				6.1	50.1
ACSS2	Q9NR19	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			58000	4.7	359.2
ACSS3	Q9H6R3	"Enzymes, Metabolic proteins, Predicted membrane proteins"				0.2	270.3
ACTA1	P68133	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			3500000000	0.0	1143.9
ACTA2	P62736	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			3100000000	0.0	0.8
ACTB	P60709	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			7900000000	335.4	110.2
ACTBL2	Q562R1	"Plasma proteins, Predicted intracellular proteins"			1100000000	0.0	0.0
ACTC1	P68032	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"				0.0	18.9
ACTG1	P63261	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			7600000000	25.3	139.7
ACTG2	P63267	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.1
ACTL10	Q5JWF8	"Predicted intracellular proteins"				0.0	0.1
ACTL6A	O96019	"Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"			11000	6.8	21.5
ACTL6B	O94805	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.0
ACTL7A	Q9Y615	"Predicted intracellular proteins"				0.0	0.0
ACTL7B	Q9Y614	"Predicted intracellular proteins"				0.0	0.0
ACTL8	Q9H568	"Predicted intracellular proteins"				0.0	0.0
ACTL9	Q8TC94	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.0
ACTN1	P12814	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			320000000	4.6	3.2
ACTN2	P35609	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			32000000	0.0	2582.4
ACTN3	Q08043	"Plasma proteins, Predicted intracellular proteins"			18000000	0.0	46.3
ACTN4	O43707	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			99000000	1.8	0.3
ACTR10	Q9NZ32	"Essential proteins, Predicted intracellular proteins"				8.9	87.9
ACTR1A	P61163	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			650000	11.6	43.7
ACTR1B	P42025	"Plasma proteins, Predicted intracellular proteins"			240000	0.1	20.8
ACTR2	P61160	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			16000000	25.9	84.2
ACTR3	P61158	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			18000000	32.5	59.9
ACTR3B	Q9P1U1	"Predicted intracellular proteins"				3.0	130.0
ACTR3C	Q9C0K3	"Predicted intracellular proteins"				0.1	6.6
ACTR5	Q9H9F9	"Predicted intracellular proteins"				0.1	10.2
ACTR6	Q9GZN1	"Essential proteins, Predicted intracellular proteins"				3.0	16.6
ACTR8	Q9H981	"Essential proteins, Predicted intracellular proteins"				0.2	11.4
ACTRT1	Q8TDG2	"Disease related genes, Predicted intracellular proteins"				0.0	0.0
ACTRT2	Q8TDY3	"Predicted intracellular proteins"				0.0	0.0
ACTRT3	Q9BYD9	"Predicted intracellular proteins"				0.0	0.1
ACVR1	Q04771	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.2	202.3
ACVR1B	P36896	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				1.7	29.5
ACVR1C	Q8NER5	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Receptor		0.0	9.6
