gene,logFC,neg_log10_p,pi_score,adj_pval,direction
COBL,0.4656,1.0485,0.324932,0.99973,NS
STAT5B,-0.4397,1.103,0.327373,0.99973,NS
PITHD1,-0.5217,0.9261,0.328735,0.99973,NS
GORASP2,0.4819,1.0001,0.329661,0.99973,NS
TSG101,-0.4209,1.1392,0.331505,0.99973,NS
DHRS7B,-0.4394,1.0848,0.333714,0.99973,NS
PIP4K2B,-0.4006,1.1792,0.337002,0.99973,NS
SH3BGRL3,0.6238,0.7551,0.338059,0.99973,NS
NUDC,0.3939,1.1937,0.338725,0.99973,NS
HNRNPA3,-0.5449,0.86240000000000006,0.338943,0.99973,NS
XPO7,0.5417,0.8658,0.339636,0.99973,NS
CLTB,-0.5291,0.8862,0.339718,0.99973,NS
EZR,0.6702,0.6987,0.340197,0.99973,NS
APPL1,0.4196,1.1106,0.341961,0.99973,NS
EPRS1,0.2817,1.6528,0.342342,0.966219,NS
ATP2A3,-0.3953,1.1746,0.343277,0.99973,NS
ARF6,0.5237,0.8845,0.344215,0.99973,NS
RPS12,0.3626,1.2759,0.344651,0.99973,NS
TFRC,-0.587,0.7875,0.344974,0.99973,NS
STK38,-0.4522,1.0208,0.345468,0.99973,NS
CTPS1,0.7913,0.5762,0.34999,0.99973,NS
AP2A1,0.3864,1.1735,0.351992,0.99973,NS
TST,-0.4675,0.9687,0.352469,0.99973,NS
NDUFA3,0.4614,0.9798,0.353125,0.99973,NS
CLEC3B,0.5468,0.8193,0.356453,0.99973,NS
NFU1,0.4398,1.0149,0.35778,0.99973,NS
TOLLIP,0.3637,1.2199,0.360005,0.99973,NS
SLC37A4,-0.459,0.9658,0.360316,0.99973,NS
RBKS,0.7334,0.5978,0.36442,0.99973,NS
CACNA1S,-0.3406,1.2793,0.366719,0.99973,NS
NDRG2,-0.3187,1.3622,0.367993,0.99973,NS
ANK1,-0.5948,0.7188,0.373645,0.99973,NS
UBE3C,-0.3825,1.1154,0.374386,0.99973,NS
CYB5B,-0.3503,1.2174,0.374585,0.99973,NS
FAM98B,0.4462,0.9443,0.379022,0.99973,NS
CLCC1,-0.5068,0.8308,0.379312,0.99973,NS
COL4A2,0.6583,0.6361,0.381299,0.99973,NS
ALDH1B1,0.4781,0.8739,0.382148,0.99973,NS
ARHGAP1,0.454,0.9201,0.382183,0.99973,NS
MT-CO1,-0.5526,0.7531,0.383546,0.99973,NS
GPX4,-0.3482,1.184,0.386976,0.99973,NS
EPB41L2,0.4633,0.8677,0.396287,0.99973,NS
CORO6,0.5431,0.7383,0.397215,0.99973,NS
UFD1,-0.3623,1.1015,0.398895,0.99973,NS
CSNK2B,0.4921,0.8049,0.401699,0.99973,NS
ATP6V1H,0.4769,0.8296,0.402093,0.99973,NS
VKORC1L1,-0.4763,0.8208,0.406522,0.99973,NS
CKMT2,0.3335,1.1717,0.406682,0.99973,NS
MOGS,-0.5719,0.6762,0.410498,0.99973,NS
TRIM54,-0.4489,0.8604,0.410894,0.99973,NS
ARMT1,-0.3665,1.0516,0.411743,0.99973,NS
ESYT2,-0.3813,1.0105,0.411799,0.99973,NS
PNP,-0.5952,0.6426,0.414479,0.99973,NS
TXNRD2,-0.5204,0.7346,0.414662,0.99973,NS
TSNAX,-0.6467,0.584,0.41907,0.99973,NS
