gene,logFC,neg_log10_p,pi_score,adj_pval,direction
RPS7,-0.8574,0.7077,0.247268,0.99862,NS
ACTB,-0.7068,0.854,0.24911,0.99862,NS
STK38L,-0.6665,0.8987,0.251755,0.99862,NS
HSPB8,0.5626,1.0511,0.256279,0.99862,NS
RAB5C,0.7142,0.8276,0.256412,0.99862,NS
APIP,0.9178,0.6427,0.257102,0.99862,NS
MYO1C,-0.5691,1.0349,0.257669,0.99862,NS
MYBPC2,0.9098,0.6432,0.259912,0.99862,NS
ARL6IP5,-0.539,1.0832,0.26075,0.99862,NS
TSPO,-0.7765,0.7495,0.261826,0.99862,NS
CAV2,0.91,0.6386,0.26236,0.99862,NS
MRPL49,-0.8074,0.7139,0.265237,0.99862,NS
PLGRKT,0.6764,0.8474,0.267153,0.99862,NS
FDXR,0.7647,0.7491,0.267387,0.99862,NS
FN1,-0.9537,0.6006,0.267444,0.99862,NS
RPIA,-0.652,0.8766,0.268207,0.99862,NS
MT-ND1,0.7021,0.8123,0.268958,0.99862,NS
PFKFB2,-0.8352,0.6802,0.270316,0.99862,NS
NEDD8,0.5554,1.0212,0.270934,0.99862,NS
PPP3R1,0.5098,1.108,0.272344,0.99862,NS
ADSS2,0.728,0.7739,0.273286,0.99862,NS
FAH,-0.508,1.1039,0.27496,0.99862,NS
PSMB2,0.4385,1.2664,0.27839,0.99862,NS
NT5C,-0.7895,0.6848,0.287964,0.99862,NS
GRSF1,-0.5805,0.9253,0.290281,0.99862,NS
HNRNPA3,0.7462,0.7104,0.295096,0.99862,NS
PRXL2A,0.6243,0.8463,0.296256,0.99862,NS
TMEM109,0.648,0.8102,0.298516,0.99862,NS
FARSB,0.6719,0.7809,0.298742,0.99862,NS
LGALS3,-0.6976,0.7466,0.301415,0.99862,NS
PARVA,-0.6535,0.7942,0.302665,0.99862,NS
ENSA,-0.7255,0.7116,0.304598,0.99862,NS
CAV1,-0.6543,0.7882,0.305003,0.99862,NS
LAMTOR2,-0.6169,0.8347,0.305555,0.99862,NS
MAP3K20,0.4158,1.2365,0.306062,0.99862,NS
SAR1A,0.6455,0.7914,0.308407,0.99862,NS
PKIA,0.6001,0.8492,0.309322,0.99862,NS
EIF3M,-0.6886,0.7265,0.316027,0.99862,NS
MRPS18B,-0.7847,0.6362,0.316794,0.99862,NS
LANCL1,-0.5299,0.9356,0.319346,0.99862,NS
EIF4EBP1,-0.9725,0.5095,0.319533,0.99862,NS
TNNI1,-0.8039,0.6136,0.321118,0.99862,NS
RTN3,-0.6243,0.7899,0.321248,0.99862,NS
RPS27A,0.6537,0.7394,0.328542,0.99862,NS
UBE2B,0.8359,0.5775,0.329069,0.99862,NS
PEA15,-1.0488,0.4594,0.329706,0.99862,NS
NIPSNAP3A,0.6037,0.7959,0.330801,0.99862,NS
TXN2,-0.5846,0.8175,0.332718,0.99862,NS
GNAS,-0.5022,0.9494,0.333594,0.99862,NS
NCL,-0.4837,0.9851,0.333797,0.99862,NS
