gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
COX20,0.0958,0.9824,0.978255,0.001908,0.089302,LR only,Concordant Up
ARCN1,0.346,0.7187,0.534079,0.015674,0.608863,LR only,Concordant Up
TIMM8A,0.2966,0.7501,0.737527,0.025805,0.561704,LR only,Concordant Up
LAMTOR2,0.1687,0.7856,0.918543,0.016354,0.305555,LR only,Concordant Up
SNX5,0.3413,0.5844,0.525557,0.024292,0.802894,LR only,Concordant Up
MRPL49,0.034,0.8414,0.99811,0.039491,0.265237,LR only,Concordant Up
CACNB3,-0.1055,-0.5269,0.943887,0.042443,0.376985,LR only,Concordant Down
LYPLA2,-0.0882,0.5212,0.964644,0.043552,0.101532,LR only,HR↓ LR↑
HOOK3,-1.6188,-1.4014,0.119521,0.180305,0.979779,NS,Concordant Down
LYZ,-1.9468,-0.6676,0.06542,0.671714,0.43696,NS,Concordant Down
LSM2,-0.7388,-0.9821,0.291861,0.053139,0.930031,NS,Concordant Down
RO60,-0.8999,0.7947,0.5304,0.312092,0.097897,NS,HR↓ LR↑
HBG2,-1.0229,-0.5753,0.208056,0.657339,0.851108,NS,Concordant Down
TPPP,-0.7791,-0.8138,0.188258,0.132068,0.99853,NS,Concordant Down
SEPTIN6,0.6596,-0.9071,0.657325,0.275883,0.101502,NS,HR↑ LR↓
GSTM4,1.0233,-0.5225,0.468805,0.776643,0.229559,NS,HR↑ LR↓
RIC8A,-1.1035,-0.43,0.152364,0.722522,0.62992,NS,Concordant Down
C1QB,-0.8461,-0.6826,0.282911,0.364106,0.97437,NS,Concordant Down
KRT8,1.1523,-0.3754,0.125556,0.830193,0.066912,NS,HR↑ LR↓
MRPL40,-1.0452,-0.4777,0.147464,0.650164,0.706602,NS,Concordant Down
PLN,0.7771,0.7363,0.14737,0.126768,0.997676,NS,Concordant Up
DDI2,-1.0443,-0.4257,0.155491,0.720504,0.661023,NS,Concordant Down
LIMS3,0.8553,0.6043,0.138247,0.146551,0.903168,NS,Concordant Up
KRT10,1.1065,0.256,0.063794,0.891146,0.367274,NS,Concordant Up
PPBP,-0.9733,-0.3828,0.238825,0.823315,0.73011,NS,Concordant Down
GCN1,-0.8775,-0.4716,0.408438,0.836247,0.906949,NS,Concordant Down
CLASP2,0.718,0.6218,0.16514,0.107197,0.983173,NS,Concordant Up
PTBP1,-0.526,-0.8124,0.645559,0.178215,0.915115,NS,Concordant Down
PVALB,-0.7497,0.5867,0.488751,0.570102,0.136843,NS,HR↓ LR↑
ARHGDIB,-1.1749,0.154,0.153213,0.967384,0.145991,NS,HR↓ LR↑
TMOD4,-0.8828,-0.4445,0.102509,0.581629,0.736561,NS,Concordant Down
ABHD11,0.7502,0.558,0.111377,0.262307,0.933583,NS,Concordant Up
TMED2,-0.8729,-0.4292,0.097368,0.592745,0.720396,NS,Concordant Down
MCCC1,-0.6666,-0.6215,0.150676,0.119054,0.996193,NS,Concordant Down
TMEM14C,-0.9437,-0.3344,0.149539,0.790515,0.607205,NS,Concordant Down
PLCL2,-1.0498,-0.226,0.149209,0.905616,0.425255,NS,Concordant Down
PPP1R12B,-1.2452,-0.0137,0.078865,0.999773,0.176943,NS,Concordant Down
SEPTIN9,0.6596,0.5871,0.317352,0.317629,0.992867,NS,Concordant Up
OPTN,-0.7872,-0.4581,0.197305,0.554486,0.852888,NS,Concordant Down
EPB41,-0.4502,-0.7934,0.777546,0.253038,0.896294,NS,Concordant Down
TARS1,0.733,0.4971,0.211919,0.321287,0.909292,NS,Concordant Up
TMEM38A,-0.5237,-0.6798,0.467927,0.191098,0.963845,NS,Concordant Down
SNCA,0.1208,-1.0815,0.982511,0.067263,0.146375,NS,HR↑ LR↓
LXN,-0.4583,-0.7401,0.761916,0.448479,0.937504,NS,Concordant Down
CACNG6,-0.3235,-0.8683,0.913164,0.216304,0.79245,NS,Concordant Down
F13A1,0.7963,0.3877,0.248872,0.68539,0.796258,NS,Concordant Up
FITM1,0.7234,0.4426,0.256858,0.540522,0.887583,NS,Concordant Up
TMCO1,0.9363,-0.2092,0.134376,0.915993,0.100549,NS,HR↑ LR↓
ARHGAP19,-0.4194,-0.7257,0.693569,0.210033,0.878289,NS,Concordant Down
RBMX,-0.9516,-0.1917,0.245544,0.948496,0.543996,NS,Concordant Down
RPL6,-0.8337,-0.3085,0.053711,0.710475,0.516499,NS,Concordant Down
LAMC1,-0.9305,-0.2076,0.090823,0.889629,0.37149,NS,Concordant Down
ACACA,0.7568,0.3802,0.154775,0.642007,0.776122,NS,Concordant Up
GART,-0.6248,-0.5083,0.107292,0.165876,0.965887,NS,Concordant Down
PTPA,0.672,0.4606,0.190199,0.441401,0.920609,NS,Concordant Up
PITHD1,-0.6077,-0.5238,0.38766,0.336789,0.989867,NS,Concordant Down
RBP4,-0.3383,-0.7909,0.843793,0.168851,0.779597,NS,Concordant Down
RAP1A,0.5984,0.526,0.310544,0.311126,0.991444,NS,Concordant Up
MT-ATP6,0.9683,-0.1482,0.087516,0.95885,0.099242,NS,HR↑ LR↓
C6orf136,0.2974,0.808,0.838679,0.103664,0.653758,NS,Concordant Up
B2M,-0.7831,0.3194,0.191077,0.768469,0.07308,NS,HR↓ LR↑
JCHAIN,1.074,-0.0216,0.236492,0.999646,0.410272,NS,HR↑ LR↓
SERPINF2,-0.7452,-0.3479,0.376526,0.750476,0.827873,NS,Concordant Down
CD81,0.4326,0.6552,0.601012,0.129532,0.915739,NS,Concordant Up
SIRT3,-1.0137,0.0735,0.091618,0.989905,0.128667,NS,HR↓ LR↑
RPS7,-0.9722,-0.1148,0.060155,0.973226,0.247268,NS,Concordant Down
RDH14,-0.5552,-0.5214,0.339107,0.264381,0.998014,NS,Concordant Down
AHSA1,-0.7502,-0.3215,0.089016,0.689503,0.653286,NS,Concordant Down
ILF2,-0.2083,0.8602,0.936891,0.181336,0.183989,NS,HR↓ LR↑
NEXN,0.434,0.634,0.569557,0.250058,0.936059,NS,Concordant Up
OSTC,0.4802,0.5875,0.48231,0.131389,0.978783,NS,Concordant Up
MYOZ1,-0.7415,-0.3237,0.501358,0.87688,0.86954,NS,Concordant Down
NT5C,-0.9245,-0.135,0.066992,0.960029,0.287964,NS,Concordant Down
MT-CO1,-0.5019,-0.5558,0.541139,0.381313,0.996163,NS,Concordant Down
IGKV3-20,0.9804,-0.0676,0.086797,0.992002,0.144694,NS,HR↑ LR↓
H2BC4,-0.7665,-0.2698,0.220705,0.848265,0.683041,NS,Concordant Down
SYNGR2,-0.5616,-0.4652,0.14597,0.224656,0.975751,NS,Concordant Down
TNPO3,-0.7945,-0.2322,0.139146,0.884487,0.569198,NS,Concordant Down
API5,-0.9169,0.1056,0.15402,0.974615,0.149886,NS,HR↓ LR↑
RAB1A,-0.2804,-0.7404,0.80291,0.102139,0.638809,NS,Concordant Down
ATP2B4,-0.5685,-0.4504,0.344977,0.30919,0.973697,NS,Concordant Down
GOSR2,-0.8286,-0.1849,0.341679,0.948773,0.640057,NS,Concordant Down
DNAJC19,0.7867,0.223,0.083515,0.832047,0.443508,NS,Concordant Up
MUSTN1,-0.7349,-0.2745,0.171126,0.807423,0.667969,NS,Concordant Down
ATP5F1E,0.7333,-0.2745,0.136346,0.78738,0.055348,NS,HR↑ LR↓
NDUFB10,0.7448,0.2564,0.05039,0.754438,0.486641,NS,Concordant Up
THY1,-0.2796,0.7186,0.951148,0.515293,0.532999,NS,HR↓ LR↑
ACTN3,-0.1764,-0.8167,0.975653,0.473056,0.76491,NS,Concordant Down
EIF4EBP1,0.0102,0.9827,0.99989,0.099781,0.319533,NS,Concordant Up
MIF,0.8577,-0.1315,0.082811,0.959115,0.094659,NS,HR↑ LR↓
NAGK,-0.6657,-0.3199,0.119483,0.635402,0.734084,NS,Concordant Down
SMIM4,0.7314,-0.24,0.128209,0.817006,0.056371,NS,HR↑ LR↓
IGHA2,0.8449,-0.125,0.393282,0.983705,0.425457,NS,HR↑ LR↓
FDXR,0.8672,0.1025,0.08981,0.971861,0.267387,NS,Concordant Up
MRPS23,0.6219,0.3471,0.193871,0.547035,0.833702,NS,Concordant Up
MYLK2,-0.4041,-0.5646,0.52109,0.166124,0.943831,NS,Concordant Down
AGT,-0.5108,-0.4544,0.620121,0.627326,0.996621,NS,Concordant Down
KRT2,0.5951,0.3701,0.490765,0.736079,0.940756,NS,Concordant Up
GAPDHS,0.6966,-0.2669,0.313519,0.8582,0.184728,NS,HR↑ LR↓
ADHFE1,0.8261,0.1347,0.109943,0.957884,0.377202,NS,Concordant Up
MYH13,-0.801,0.1589,0.19632,0.949578,0.18033,NS,HR↓ LR↑
MGST2,-0.3503,-0.6079,0.66825,0.173618,0.869512,NS,Concordant Down
UBE2D1,-0.5082,-0.4494,0.318633,0.325673,0.992669,NS,Concordant Down
FN1,-0.9052,0.0485,0.244656,0.995163,0.267444,NS,HR↓ LR↑
RAB5B,-0.5637,-0.3896,0.410041,0.589371,0.952178,NS,Concordant Down
BLVRB,-0.4173,-0.5342,0.370479,0.105403,0.961874,NS,Concordant Down
MRPS16,-0.5948,0.3548,0.47993,0.723423,0.198566,NS,HR↓ LR↑
S100A9,-0.345,-0.6022,0.873074,0.570169,0.947805,NS,Concordant Down
BANF1,-0.5654,-0.3756,0.149387,0.423032,0.902355,NS,Concordant Down
PPCS,0.6431,0.2961,0.268399,0.725547,0.78734,NS,Concordant Up
RDH11,0.7072,0.2299,0.067784,0.807484,0.501806,NS,Concordant Up
MTM1,-0.4658,-0.4702,0.766372,0.535173,0.999983,NS,Concordant Down
SIRT2,0.4744,0.4603,0.646423,0.516229,0.999764,NS,Concordant Up
HTRA2,0.5716,-0.3603,0.398348,0.585987,0.103237,NS,HR↑ LR↓
ARPP19,-0.6644,-0.2613,0.10843,0.764362,0.644643,NS,Concordant Down
TRIM54,-0.4735,-0.4484,0.467315,0.419962,0.998918,NS,Concordant Down
GSTK1,0.5303,0.3914,0.095764,0.254998,0.932608,NS,Concordant Up
S100A1,-0.6002,0.3203,0.422613,0.782436,0.19858,NS,HR↓ LR↑
APIP,0.5326,-0.3852,0.582219,0.716186,0.257102,NS,HR↑ LR↓
PNPT1,0.4231,0.4946,0.502134,0.198133,0.989048,NS,Concordant Up
ART3,-0.4129,-0.5031,0.477384,0.231543,0.98198,NS,Concordant Down
TIPRL,-0.7819,0.1326,0.17284,0.960206,0.169868,NS,HR↓ LR↑
ABCF1,0.7256,-0.1875,0.121525,0.890849,0.079234,NS,HR↑ LR↓
COL4A2,-0.255,0.6561,0.922477,0.397564,0.361758,NS,HR↓ LR↑
SDR39U1,-0.4743,0.4367,0.599777,0.60054,0.197867,NS,HR↓ LR↑
CAV2,0.1228,-0.7872,0.97781,0.164432,0.26236,NS,HR↑ LR↓
MYBPC2,0.3725,-0.5373,0.778409,0.500183,0.259912,NS,HR↑ LR↓
AOC3,-0.5109,-0.3986,0.546381,0.632989,0.983119,NS,Concordant Down
CIRBP,-0.3968,-0.5116,0.437453,0.131957,0.964252,NS,Concordant Down
EIF2A,-0.3081,-0.5999,0.78296,0.113833,0.836629,NS,Concordant Down
UBE2D3,0.5523,0.3521,0.149952,0.459822,0.886147,NS,Concordant Up
PNP,-0.3064,-0.5977,0.843036,0.422037,0.898694,NS,Concordant Down
SFPQ,-0.8437,-0.0603,0.175534,0.993254,0.360355,NS,Concordant Down
HBB,-0.2865,-0.6161,0.823927,0.250139,0.828487,NS,Concordant Down
STAT5B,0.4516,-0.4498,0.53092,0.303279,0.073304,NS,HR↑ LR↓
NDUFA6,0.7361,0.1653,0.177204,0.933644,0.524268,NS,Concordant Up
EIF5B,0.7964,-0.1034,0.126109,0.970245,0.129905,NS,HR↑ LR↓
TMEM126A,-0.7156,-0.184,0.313145,0.937245,0.667943,NS,Concordant Down
SESN1,0.4131,0.4864,0.431435,0.205875,0.986848,NS,Concordant Up
MYBPH,-0.5983,-0.2997,0.436946,0.814366,0.884289,NS,Concordant Down
HNRNPU,0.4981,0.3952,0.438734,0.568211,0.98194,NS,Concordant Up
GMPPB,0.483,0.4081,0.554746,0.464405,0.991205,NS,Concordant Up
ACTN4,-0.6308,0.2601,0.547969,0.903952,0.396821,NS,HR↓ LR↑
PIN4,-0.5636,-0.3272,0.190934,0.579559,0.860944,NS,Concordant Down
CUL4B,-0.6351,-0.2535,0.333661,0.830983,0.777541,NS,Concordant Down
GALK1,-0.4423,-0.4451,0.65473,0.559901,0.99999,NS,Concordant Down
COPS3,0.6064,0.2799,0.154223,0.69424,0.741986,NS,Concordant Up
ISYNA1,-0.4405,-0.445,0.690719,0.569112,0.999976,NS,Concordant Down
LETM1,0.562,0.3203,0.139566,0.540749,0.832703,NS,Concordant Up
PGPEP1,-0.7397,0.1401,0.083236,0.927289,0.06402,NS,HR↓ LR↑
COA3,0.5567,-0.3231,0.316367,0.662923,0.09001,NS,HR↑ LR↓
IARS1,0.4666,0.4116,0.249201,0.272021,0.991537,NS,Concordant Up
COQ5,0.6422,0.2355,0.077233,0.755887,0.566168,NS,Concordant Up
PBDC1,-0.5353,-0.3424,0.280943,0.543752,0.913894,NS,Concordant Down
TACC2,0.7809,0.0955,0.054915,0.962484,0.198356,NS,Concordant Up
UBE2G1,-0.4851,-0.3908,0.506579,0.622856,0.986422,NS,Concordant Down
PXN,-0.6392,-0.234,0.401276,0.907799,0.80917,NS,Concordant Down
RPL27A,0.5497,0.3224,0.528257,0.815766,0.939781,NS,Concordant Up
RAB24,0.6835,0.1836,0.329631,0.885393,0.633429,NS,Concordant Up
UBE2L3,-0.8261,-0.0398,0.176544,0.997137,0.349987,NS,Concordant Down
GALM,-0.5578,-0.304,0.443157,0.773269,0.90438,NS,Concordant Down
ROMO1,-0.495,0.3646,0.514419,0.609633,0.160456,NS,HR↓ LR↑
MRPS18B,-0.8213,-0.0367,0.169149,0.997212,0.316794,NS,Concordant Down
TST,0.3894,-0.4675,0.577303,0.347983,0.083367,NS,HR↑ LR↓
PMPCB,0.8458,0.0106,0.150892,0.999743,0.247162,NS,Concordant Up
EEF1A2,-0.5784,-0.278,0.260795,0.748479,0.816654,NS,Concordant Down
RAB21,-0.8169,0.0377,0.123887,0.996712,0.192318,NS,HR↓ LR↑
UQCR10,0.5463,-0.305,0.366487,0.732757,0.139514,NS,HR↑ LR↓
ARPC5L,0.3756,0.4755,0.553886,0.268082,0.977443,NS,Concordant Up
TMEM143,0.6395,0.2109,0.18657,0.858957,0.641662,NS,Concordant Up
NDUFB5,0.6465,0.2035,0.185294,0.852376,0.60634,NS,Concordant Up
VAPA,0.6455,-0.2013,0.145964,0.859904,0.082588,NS,HR↑ LR↓
COX6B1,0.5933,0.2529,0.175517,0.757134,0.727508,NS,Concordant Up
COQ3,0.4853,0.3607,0.29155,0.47849,0.961256,NS,Concordant Up
NPLOC4,-0.4414,-0.4035,0.205417,0.208648,0.995287,NS,Concordant Down
MMAB,0.5673,0.2775,0.278154,0.747336,0.828255,NS,Concordant Up
FABP5,0.6768,0.1668,0.073885,0.890477,0.416833,NS,Concordant Up
MRPL47,-0.4559,0.3855,0.443345,0.455244,0.078391,NS,HR↓ LR↑
CRADD,-0.5484,-0.2922,0.572875,0.812706,0.921388,NS,Concordant Down
ABCB7,-0.1707,-0.6694,0.925899,0.113066,0.548469,NS,Concordant Down
RPA3,-0.5152,-0.3243,0.500268,0.684381,0.941734,NS,Concordant Down
SDHD,0.4737,-0.3651,0.454504,0.595338,0.121971,NS,HR↑ LR↓
COX5A,0.5682,0.2706,0.099928,0.628686,0.719983,NS,Concordant Up
NDUFA11,0.4999,-0.3383,0.41598,0.653914,0.128318,NS,HR↑ LR↓
UBE2B,0.5758,-0.2601,0.524052,0.865084,0.329069,NS,HR↑ LR↓
NFU1,0.4036,0.4322,0.541465,0.386815,0.998407,NS,Concordant Up
NT5C2,0.6079,-0.2276,0.3333,0.808553,0.153187,NS,HR↑ LR↓
AP2A1,0.4438,0.3902,0.346413,0.357848,0.992705,NS,Concordant Up
TOMM70,-0.4541,0.3795,0.418038,0.499754,0.077438,NS,HR↓ LR↑
STK38L,-0.7495,-0.083,0.072701,0.977211,0.251755,NS,Concordant Down
AP1B1,-0.7404,-0.0919,0.437688,0.989472,0.654991,NS,Concordant Down
STT3B,0.311,-0.521,0.719791,0.16363,0.078324,NS,HR↑ LR↓
SEC23A,0.1488,0.6817,0.94707,0.080833,0.496909,NS,Concordant Up
DHRS11,-0.4616,-0.3682,0.65063,0.492468,0.987463,NS,Concordant Down
CPNE1,-0.7082,0.1202,0.118455,0.951266,0.108284,NS,HR↓ LR↑
PPTC7,0.4838,0.3437,0.406359,0.569574,0.958931,NS,Concordant Up
HLA-B,-0.4656,-0.3605,0.561589,0.625169,0.982557,NS,Concordant Down
SLIRP,0.553,0.2707,0.129638,0.624411,0.751952,NS,Concordant Up
ALDH1B1,0.3449,0.4788,0.691458,0.379169,0.967235,NS,Concordant Up
TXNRD2,0.2947,-0.5276,0.834128,0.31706,0.225245,NS,HR↑ LR↓
OGN,-0.733,0.0887,0.152892,0.981162,0.195622,NS,HR↓ LR↑
EZR,-0.1485,0.6721,0.977522,0.333555,0.474356,NS,HR↓ LR↑
BPGM,0.2455,-0.5748,0.876267,0.327334,0.23462,NS,HR↑ LR↓
LYRM7,0.8087,-0.0116,0.056456,0.999621,0.125346,NS,HR↑ LR↓
DNAJA4,0.4931,0.3265,0.283322,0.564545,0.929791,NS,Concordant Up
RPS9,0.6611,0.1566,0.227053,0.93559,0.585448,NS,Concordant Up
NAMPT,0.3067,0.51,0.685795,0.210461,0.900085,NS,Concordant Up
KCTD12,0.611,0.2057,0.284239,0.884153,0.716796,NS,Concordant Up
FARSA,-0.5461,-0.2699,0.415936,0.818636,0.878718,NS,Concordant Down
MYOZ3,-0.5297,0.285,0.599831,0.873735,0.40787,NS,HR↓ LR↑
EYA3,-0.4849,-0.3291,0.461984,0.682943,0.956927,NS,Concordant Down
CCS,-0.372,-0.4399,0.782033,0.573226,0.994546,NS,Concordant Down
RPL9,-0.4044,-0.4063,0.61117,0.512362,0.999994,NS,Concordant Down
ATPAF2,0.2637,0.546,0.796942,0.181176,0.823741,NS,Concordant Up
GLUL,0.2521,0.5557,0.758442,0.09192,0.739335,NS,Concordant Up
TRAP1,0.3963,0.4091,0.214843,0.127273,0.999388,NS,Concordant Up
TNNI1,-0.7735,0.0304,0.218167,0.998303,0.321118,NS,HR↓ LR↑
LONP1,0.4953,0.3085,0.132617,0.459697,0.872425,NS,Concordant Up
NDUFB8,0.6962,0.1072,0.1464,0.96769,0.419635,NS,Concordant Up
PUDP,-0.5842,0.219,0.269737,0.850846,0.149108,NS,HR↓ LR↑
MME,0.3516,-0.4503,0.76049,0.647667,0.334652,NS,HR↑ LR↓
COPB1,-0.4127,0.3866,0.551036,0.562775,0.151183,NS,HR↓ LR↑
OSBPL1A,0.224,-0.574,0.8902,0.280875,0.223489,NS,HR↑ LR↓
PDCD5,0.5734,0.2231,0.1168,0.762542,0.64328,NS,Concordant Up
TGM2,-0.6758,0.1206,0.061577,0.94168,0.062736,NS,HR↓ LR↑
PAIP1,-0.4861,0.3098,0.421786,0.634173,0.123953,NS,HR↓ LR↑
GCLC,-0.4477,-0.3461,0.689479,0.749235,0.987989,NS,Concordant Down
ECHDC3,0.41,-0.3836,0.649369,0.559452,0.214632,NS,HR↑ LR↓
RPL15,-0.2389,0.5539,0.861756,0.222915,0.17289,NS,HR↓ LR↑
