pathway,contrast,pval,padj,NES,ES,size,database,leadingEdge
GOBP_ACYL_COA_METABOLIC_PROCESS,Baseline_HRvLR,0.51106452364314,0.8298244332432366,-0.9625109344761819,-0.2635302256562059,36,GO:BP,ACSF2;MCEE;DLST;GCDH;PDHX;ACAT1;CBR4;SNCA;ACOT1;SUCLG2;ACSL1
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Baseline_HRvLR,0.3991499911457411,0.785697639577854,1.0401137400601985,0.3213925401684344,26,GO:BP,CD81;B2M;C1QBP;HLA-DRA;LGALS1;HLA-C;HLA-A
GOBP_ADAPTIVE_THERMOGENESIS,Baseline_HRvLR,0.3132557608943646,0.7194974167500734,-1.0998121477247174,-0.3285200119868066,25,GO:BP,MFN2;SLC25A4;CPT2;ALDH1A1;FABP5;CKB
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Baseline_HRvLR,0.38089240734077007,0.7767368529509538,1.0629190922953655,0.3753458012172042,16,GO:BP,PRKACA;GNA11;ATP2B4;PRKAR1A;FLNA;GNAS
GOBP_AEROBIC_RESPIRATION,Baseline_HRvLR,6.055498524910927e-13,1.601395881302313e-10,-2.518056251197189,-0.5393096904244089,127,GO:BP,MFN2;NDUFS4;STOML2;NDUFV2;MT-ND1;SDHD;NDUFB9;MTCH2;COX6C;ISCU;COX5A;NDUFS7;ATP5F1E;NDUFA3;FXN;DLST;NDUFS5;NDUFA2;NDUFA12;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;NDUFA11;UQCRC2;NDUFB10;NDUFV1;NDUFS6;SDHA;UQCRB;NDUFB11;NDUFS1;NDUFC2;MT-CO2;NDUFB3;NNT;NDUFB7;MT-ND3;COX4I1;UQCRC1;COA6;COX7A2;NDUFA10;NDUFA9;NDUFB5;SHMT2;ATP5MG;NDUFB4;NDUFS2;COX7A1;SNCA;SUCLG2;GHITM;MT-ATP6
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,Baseline_HRvLR,0.4469026548672566,0.8134990851110653,-1.0010762735796337,-0.2898468627835332,29,GO:BP,IDI1;ACAA2;IMPA2;PGP;H6PD;PRKAA2;PRKAA1;SNCA;PRKG1;ASAH1
GOBP_ALCOHOL_METABOLIC_PROCESS,Baseline_HRvLR,0.412092081963066,0.7921094334115273,-1.018738430802648,-0.24275661286170158,69,GO:BP,IDI1;ACAA2;ACADVL;FDXR;TKFC;RDH11;IMPA2;AKR7A2;ALDH1A1;CBR4;PGP;H6PD
GOBP_ALDEHYDE_METABOLIC_PROCESS,Baseline_HRvLR,0.6734788666976312,0.9108356147460958,-0.8706494110615299,-0.25432453599408117,28,GO:BP,ALDH9A1;TKFC;RDH11;PNPO;AKR7A2;ALDH1A1
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,Baseline_HRvLR,0.09683011391778108,0.4845180691084613,-1.2786626283292015,-0.31337433034148837,59,GO:BP,IVD;ALDH5A1;ACAD8;DLST;SHMT1;HMGCL;ACADSB;GCDH;ALDH4A1;ADHFE1;KYAT3;ACAT1;GSTZ1
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,Baseline_HRvLR,0.49154372076286434,0.8243679104334054,0.9739039893460604,0.3439121338956519,16,GO:BP,CD81;HLA-DRA;LGALS1;LGALS3;HLA-A;RHOA
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Baseline_HRvLR,0.18992180712423978,0.6213609180187175,1.2123337292033605,0.3541233551679742,33,GO:BP,MAPRE2;PTPN11;PAFAH1B1;C1QBP;PLEC;CFL1;LAMTOR2;PFN2;CLASP2;RTN4
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,Baseline_HRvLR,0.8401945457703666,0.9834652616001334,0.7739839664170278,0.2166302804576528,40,GO:BP,MLYCD;CARNS1;HAGH;BCKDK;HSD17B12
GOBP_AMIDE_METABOLIC_PROCESS,Baseline_HRvLR,0.7797414930097599,0.9634502217293368,-0.8722362046021638,-0.192062833963426,105,GO:BP,OPLAH;ACSF2;MCEE;DLST;GPX1;SHMT1;NT5C2;RTN2;GCDH;NIT1;VAPA;PDHX;ACAT1;GSTZ1;HTRA2;CBR4
GOBP_AMIDE_TRANSPORT,Baseline_HRvLR,0.19531386606050008,0.6271302366024221,1.1978066100050937,0.3395454031635287,38,GO:BP,PTPN11;RAB11B;CAMK2G;JAGN1;STXBP3;PRKACA;PFKFB2;GNA11;DYNLL1;ENSA;AIMP1;GLUD1;SIRT3
GOBP_AMINE_METABOLIC_PROCESS,Baseline_HRvLR,0.2963963963963964,0.7065611065611066,-1.1252234129719434,-0.386405700051699,15,GO:BP,COMT;GCDH;MAOB;SNCA;MAOA;ALDH2
GOBP_AMINO_ACID_ACTIVATION,Baseline_HRvLR,0.6858871685353266,0.9207030868020469,0.8559281098540332,0.2676572319523862,25,GO:BP,WARS1;EPRS1;LARS1;CARS1
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,Baseline_HRvLR,0.5912198632601655,0.8746976619376582,0.9082093534658057,0.320713561286614,16,GO:BP,CARNS1;GOT1;GLUL;MTHFD1;ATP2B4;GLUD1
GOBP_AMINO_ACID_CATABOLIC_PROCESS,Baseline_HRvLR,0.022490530303030304,0.2091976030918697,-1.5042325929715838,-0.3956058312253882,43,GO:BP,IVD;ALDH5A1;ACAD8;DLST;SHMT1;HMGCL;ACADSB;ALDH4A1;ADHFE1;ETFB;KYAT3;ACAT1;GSTZ1;GOT2;BCKDHA
GOBP_AMINO_ACID_METABOLIC_PROCESS,Baseline_HRvLR,0.14210526315789473,0.5543279686820356,-1.1766470375870848,-0.2628986212015755,97,GO:BP,IVD;ALDH5A1;ACAD8;DLST;SHMT1;HMGCL;ACADSB;GCDH;ALDH4A1;ADHFE1;ETFB;KYAT3;ACAT1;GSTZ1;ALDH1A1;GOT2;LRRC47;SARS1;BCKDHA;ADSS2;QARS1;IARS2;BCKDHB;SHMT2;RIDA;HARS1
GOBP_AMP_METABOLIC_PROCESS,Baseline_HRvLR,0.2986048604860486,0.7075969488377271,-1.1222420921994043,-0.379632540882051,16,GO:BP,AMPD1;AMPD3;ADK;AK2;PAICS;ADSS2
GOBP_AMYLOID_FIBRIL_FORMATION,Baseline_HRvLR,0.34608477011494254,0.7493211536433618,1.087858613084723,0.37075206997039,18,GO:BP,VBP1;B2M;GSN;MAPT
GOBP_ANATOMICAL_STRUCTURE_MATURATION,Baseline_HRvLR,0.643653362099964,0.8979031205118161,0.8681520995168879,0.3124191807806671,15,GO:BP,PRKACA;AKR1B1;LTF;RHOA;H3-3A;RAC1;ACTN3;ARCN1;DAG1;PPP2R1A;DLD;SIRT2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Baseline_HRvLR,0.11015428776462145,0.4900686168291802,1.3471841202539048,0.4518725860766266,19,GO:BP,B2M;HLA-DRA;HLA-C;ARL8B;HLA-A;RAB10;PDIA3;PSME1
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Baseline_HRvLR,0.2430780294857965,0.6709522217385727,1.1844869190808143,0.4262576029137919,15,GO:BP,CD81;EZR;THY1;LGALS3;HLA-A;UBE2N;DUSP3;PHPT1
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Baseline_HRvLR,0.017848755284170972,0.19592122079369068,-1.5774141573500882,-0.4356410021963389,35,GO:BP,VDAC2;MTCH2;ACAA2;FXN;GPX1;SLC25A4;ATP2A1;SLC25A6
GOBP_ATP_BIOSYNTHETIC_PROCESS,Baseline_HRvLR,2.07277626910795e-9,2.1741119978198941e-7,-2.4683663071351956,-0.5881904774613997,69,GO:BP,NDUFS4;STOML2;NDUFV2;MT-ND1;SDHD;NDUFB9;NDUFS7;ATP5F1E;NDUFA3;SLC25A13;NDUFS5;NDUFA2;NDUFA12;NDUFS8;NDUFS3;NDUFA7;SDHB;NDUFB8;NDUFA11;NDUFB10;NDUFV1;NDUFS6;SDHA;NDUFB11;NDUFS1;NDUFC2;NDUFB3;NDUFB7;MT-ND3;ALDOA;NDUFA10;NDUFA9;NDUFB5;ENO1;ATP5MG;NDUFB4;NDUFS2
GOBP_ATP_METABOLIC_PROCESS,Baseline_HRvLR,2.4699943680665526e-6,1.0817378418561072e-4,-1.9805894874578345,-0.42659218720447556,121,GO:BP,NDUFS4;STOML2;NDUFV2;MT-ND1;SDHD;NDUFB9;MTCH2;NDUFS7;ATP5F1E;NDUFA3;GAPDHS;SLC25A13;NDUFS5;NDUFA2;NDUFA12;NDUFS8;NDUFS3;NDUFA7;SDHB;NDUFB8;NDUFA11;PFKM;NDUFB10;NDUFV1;NDUFS6;SDHA;NDUFB11;ENO3;NDUFS1;NDUFC2;NDUFB3;AK2;NDUFB7;MT-ND3;BPGM;ALDOA;PRKAA2;NDUFA10;NDUFA9;NDUFB5;GPD1;ENO1;ATP5MG;PRKAA1;NDUFB4;NDUFS2;PGAM2
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,Baseline_HRvLR,3.192239760610878e-15,3.013474334016669e-12,-2.872891184471228,-0.675990221178898,73,GO:BP,NDUFS4;NDUFV2;MT-ND1;SDHD;NDUFB9;MTCH2;COX6C;ISCU;COX5A;NDUFS7;NDUFA3;NDUFS5;NDUFA2;NDUFA12;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;NDUFA11;UQCRC2;NDUFB10;NDUFV1;NDUFS6;SDHA;UQCRB;NDUFS1;NDUFC2;MT-CO2;NDUFB3;NDUFB7;MT-ND3;COX4I1;UQCRC1;COA6;COX7A2;NDUFA10;NDUFA9;NDUFB5;NDUFB4;NDUFS2;COX7A1;SNCA;GHITM;NDUFA6;NDUFB1;UQCRQ
GOBP_AUTOPHAGOSOME_MATURATION,Baseline_HRvLR,0.5314861460957179,0.8432318015367355,0.9453998875945938,0.3338465560097784,16,GO:BP,CHMP2A;CHMP6;TOM1;FYCO1
GOBP_AUTOPHAGOSOME_ORGANIZATION,Baseline_HRvLR,0.17937725631768953,0.6128421635085578,-1.2364320143658245,-0.38698272189331534,21,GO:BP,MFN2;EPM2A;STBD1;PIP4K2B;GABARAPL2;RAB7A;UBQLN1;SCFD1
GOBP_AUTOPHAGY_OF_MITOCHONDRION,Baseline_HRvLR,0.2442159383033419,0.6712256532263757,-1.1553881042401029,-0.3314334549518096,30,GO:BP,MFN2;PHB2;SLC25A4;VDAC1;HTRA2;GABARAPL2;STUB1;FUNDC2
GOBP_AXON_EXTENSION,Baseline_HRvLR,0.8620007196833394,0.9841198469487018,0.7112365253092507,0.2511570686632825,16,GO:BP,PAFAH1B1;RAB21;MAPT;CLASP2;RTN4
GOBP_AXO_DENDRITIC_TRANSPORT,Baseline_HRvLR,1.264097398510601e-4,0.004114854979979335,2.043496304136981,0.707982365418022,17,GO:BP,PURA;FLOT2;UCHL1;DYNC1H1;PAFAH1B1;RAB21;ARL8B;SOD1;MAPT;HSPB1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,Baseline_HRvLR,0.2723159909518009,0.6879881865167263,1.1245484989561825,0.31702755798518845,39,GO:BP,CHMP2A;LAMP1;CD81;CHMP6;FBLN1;MYH9;LGALS1;P4HB;ARL8B;JPT2;LTF;CAV1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Baseline_HRvLR,0.51215307705568,0.8298244332432366,0.9622722062177602,0.26263188678847205,45,GO:BP,CHMP2A;LAMP1;CD81;CHMP6;FBLN1;MYH9;LGALS1;P4HB;ARL8B;JPT2;LTF;CAV1;APOL1
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,Baseline_HRvLR,0.6536523929471033,0.8979031205118161,0.8648609387032371,0.30540605050005387,16,GO:BP,MYH9;MAP2K3;ATP2B4;HSPB1;CSNK2B;RHOA;ANXA1;AKT1
GOBP_BONE_DEVELOPMENT,Baseline_HRvLR,0.24201650520272694,0.6699811756931796,1.1805279114784106,0.39597274958589107,19,GO:BP,ANXA2;PAFAH1B1;FBN1;LTF;RHOA;GNAS;OGN;PPIB;PLS3;ACTN3
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,Baseline_HRvLR,0.02098375451263538,0.20601928832723643,-1.6252319564192248,-0.5086706579056804,21,GO:BP,IVD;ACAD8;HMGCL;ACADSB;ACAT1;BCKDHA;BCKDHB;ALDH6A1;HSD17B10;BCAT2
GOBP_CALCIUM_ION_HOMEOSTASIS,Baseline_HRvLR,0.9095402867029164,0.9891372033487856,-0.7555355498301578,-0.18607141610637332,58,GO:BP,STOML2;SGCD;LETM1;ATP2A1;SYPL2;MICU2;CALR;CAV2;MCU;JPH2;SNCA;CLCC1;GHITM;PLN;VAPB;ATP2A3
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,Baseline_HRvLR,0.5053331001923413,0.8298244332432366,0.9674225805606355,0.2742378338891997,38,GO:BP,CASQ1;PRKACA;ERO1A;DIAPH1;THY1;NOL3;ATP2B4;CAV1;GSTO1;DMD;FLNA;CASQ2;DHRS7C;GSTM2
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Baseline_HRvLR,0.9655688622754491,0.9951276376783877,-0.6996098703912302,-0.170662493698177,61,GO:BP,PMPCB;LETM1;ATP2A1;MICU2;VDAC1;CACNG6;PPP3CB;PPP3R1;MCU;HSPA9;JPH2;SNCA;GHITM;UBQLN1;PLN
GOBP_CALCIUM_ION_TRANSPORT,Baseline_HRvLR,0.9930704504207226,0.9973316910656956,0.6281060324789093,0.15533396185096798,76,GO:BP,CAMK2G;CASQ1;PRKACA;ERO1A;DIAPH1;BIN1;THY1;LGALS3;NOL3;STIM1;TMX1;ATP2B4;CAV1;CUL5;GSTO1;DMD;DNM1L;FLNA;CASQ2;TMCO1;DHRS7C
GOBP_CALCIUM_MEDIATED_SIGNALING,Baseline_HRvLR,0.8926385731771289,0.9890198286938424,0.7285438091428614,0.20652223767295275,38,GO:BP,HINT1;CASQ1;PRKACA;CHP1;JPT2;MAPT;ATP2B4;GSTO1;DMD;CASQ2;LMCD1;GSTM2
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Baseline_HRvLR,0.01948051948051948,0.19927219469912646,1.5236389449249448,0.41194958135884874,47,GO:BP,CPNE1;ANXA4;FLOT2;S100A13;PPM1B;HUWE1;GSTP1;LGALS1;PRDX1;MYO18A;LTF;HSPB1;S100A4;CAV1;PSMA6;RHOA;DDX1;UBE2N;FLNA;CCDC22;PRDX4
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,Baseline_HRvLR,0.45979614949037373,0.8146748008134147,-0.9943444902044319,-0.3004052065618266,24,GO:BP,RUVBL1;USP47;VPS4B;RUVBL2;PPM1A;UBE2B;GSK3B
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Baseline_HRvLR,0.8199253224711474,0.9834652616001334,0.7994484813443177,0.2131379406403736,50,GO:BP,AKT2;PRKACA;PGAM1;GOT1;PGD;AKR1B1;PRKAG1;GPI
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Baseline_HRvLR,0.47993105146515636,0.8197657444308544,-0.9886160918084567,-0.2442039606208356,57,GO:BP,MTCH2;GAPDHS;TKFC;STBD1;PFKM;ENO3;BPGM;MAN2C1;ALDOA;PRKAA2;GPD1;ENO1;PRKAA1;PGAM2;ALDOC
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,Baseline_HRvLR,0.6681636726546906,0.9081534213319161,-0.8962415678387275,-0.21862873495164803,61,GO:BP,MTCH2;AMPD3;GAPDHS;NT5C2;PFKM;ENO3;ALDH1A1;CST3;BPGM;ALDOA;PRKAA2;GPD1;ENO1;PRKAA1;PGAM2
GOBP_CARBOHYDRATE_HOMEOSTASIS,Baseline_HRvLR,0.4246977547495682,0.7985373440550647,1.0168927962835699,0.28239277848441824,41,GO:BP,PTPN11;RAB11B;JAGN1;STXBP3;PRKACA;CSRP3;DYNLL1;FBN1;GPI;MUSTN1
GOBP_CARBOHYDRATE_TRANSPORT,Baseline_HRvLR,0.17604876299749014,0.6065329644877032,1.2626022885880333,0.43743663888556916,17,GO:BP,AKT2;PTPN11;STXBP3;PPBP;RAP1A;PEA15
GOBP_CARDIAC_CELL_DEVELOPMENT,Baseline_HRvLR,0.06265709156193895,0.36700446024232275,1.4356578793774109,0.469586970675095,21,GO:BP,MYH6;PDLIM5;CSRP3;ALPK3;PLEC;NEB;TTN;ACTN2;TOMM70
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Baseline_HRvLR,0.8835912198632602,0.9871125580484231,0.6911213967328665,0.24405386663519063,16,GO:BP,MYH6;TNNI1;TPM1;PARVA;RBP4;TNNC1
GOBP_CARDIAC_CONDUCTION,Baseline_HRvLR,0.8662749287749287,0.9841198469487018,0.7210071157445029,0.23274874775754079,22,GO:BP,PRKACA;BIN1;ATP2B4;CAV1;SCN1B;FLNA;CASQ2
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,Baseline_HRvLR,0.8663072776280324,0.9841198469487018,0.7172861018517261,0.2375877824667635,20,GO:BP,BIN1;ANK3;CAV1;DMD;SCN1B;FLNA;CASQ2
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,Baseline_HRvLR,0.5025918413342348,0.8298244332432366,-0.959517112791778,-0.30458049144766863,20,GO:BP,SGCD;ATP1A1;ATP2A1;SNTA1
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,Baseline_HRvLR,0.3046805481402385,0.7108623357222884,1.1112542221600423,0.34750024642780164,25,GO:BP,MYH6;PDLIM5;CSRP3;ALPK3;PLEC;NEB;TTN;ACTN2;TOMM70
GOBP_CARDIAC_MUSCLE_CONTRACTION,Baseline_HRvLR,0.37353689567430026,0.7759211085943759,1.046987643877629,0.2814296346124253,48,GO:BP,MYH6;PRKACA;CSRP3;GSN;MYL4;MAP2K3;BIN1;TNNI1;CAV1;TTN;GSTO1;DMD;SCN1B;TPM1;FLNA;CASQ2;MYLK2;GSTM2
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Baseline_HRvLR,0.8343696027633851,0.9834652616001334,0.7797779181634935,0.21654559233358794,41,GO:BP,MYH6;PDLIM5;CSRP3;ALPK3;PLEC;TNNI1;NEB;TTN;ACTN2;TOMM70;PRKAR1A;TPM1
GOBP_CARDIOCYTE_DIFFERENTIATION,Baseline_HRvLR,0.29386966450026347,0.7023112994639208,1.1243590354355557,0.3444004997954575,27,GO:BP,MYH6;PDLIM5;CSRP3;ALPK3;PLEC;NEB;TTN;ACTN2;TOMM70
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,Baseline_HRvLR,0.004470426409903714,0.07814967649905752,1.698321497698659,0.4614643683187083,46,GO:BP,SYNPO2L;MYH6;CFL2;MYOM3;CASQ1;CSRP3;MYH3;TMOD1;ACTA1;MYBPH;PAFAH1B1;PLEC;LMOD3;OBSCN;NEB;TTN;ACTN2;TNNT1;PRKAR1A;TPM1;TNNT3
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,Baseline_HRvLR,0.7409053497942387,0.9360033592628028,0.8656324840625338,0.21096767589447796,83,GO:BP,CHMP2A;MAPRE2;CFL2;CHMP6;HSPA2;EIF5A;GSN;TMOD1;MCTS1;PAFAH1B1;CAPZB;TOM1;CFL1;IST1;FYCO1;LMOD3
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Baseline_HRvLR,0.9717978848413631,0.9971491340111378,-0.6447711068339755,-0.17306361887166105,39,GO:BP,GPX1;TXNRD1;GSTZ1;GPX4;NNT
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,Baseline_HRvLR,0.9009810631987223,0.9891372033487856,-0.7020488667778227,-0.20970590532784578,25,GO:BP,VDAC3;RAB24;CD9;UBE2B;PRKG1;PLN;SLIRP
GOBP_CELLULAR_RESPIRATION,Baseline_HRvLR,7.823746784607241e-13,1.601395881302313e-10,-2.4681055451203524,-0.5213326547242438,140,GO:BP,MFN2;NDUFS4;STOML2;NDUFV2;MT-ND1;SDHD;NDUFB9;MTCH2;COX6C;ISCU;COX5A;NDUFS7;ATP5F1E;NDUFA3;SLC25A13;FXN;DLST;NDUFS5;NDUFA2;HCCS;NDUFA12;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;NDUFA11;UQCRC2;NDUFB10;NDUFV1;NDUFS6;ETFB;SDHA;UQCRB;NDUFB11;NDUFS1;LYRM7;NDUFC2;MT-CO2;NDUFB3;NNT;NDUFB7;MT-ND3;COX4I1;UQCRC1;COA6;COX7A2;NDUFA10;NDUFA9;NDUFB5;SHMT2;ATP5MG;NDUFB4;NDUFS2;COX7A1;SNCA;SUCLG2;GHITM;MT-ATP6;NDUFA6;CISD1;NDUFB1
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,Baseline_HRvLR,0.41367579520326586,0.7921094334115273,1.0255449632333145,0.27146379895228506,52,GO:BP,AKT2;PTPN11;RAB11B;CUL4B;XRCC5;XRCC6;GOT1;AKR1B1;GNA11;PLEC
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,Baseline_HRvLR,0.2711925287356322,0.6879881865167263,1.1535668348450574,0.3931460271801769,18,GO:BP,LAMTOR3;LARS1;PLEC;LAMTOR2;COL1A2;CAPN2
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL,Baseline_HRvLR,0.9193693693693694,0.9891372033487856,-0.6446122374185211,-0.22136212239284997,15,GO:BP,PRKAA2;AIFM1;PRKAA1;FBP1;JUP;RPS6;GNB1
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Baseline_HRvLR,0.21445015052240127,0.6447865483740501,1.2038024617108691,0.37197194511427045,26,GO:BP,PTPN11;B2M;MAP2K3;PPBP;GSTP1;LTF;RHOA;CAPN2;VIM;TMCO1;AKT1;PRDX2
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,Baseline_HRvLR,0.5638249887235002,0.8696908322793859,-0.9220888027892167,-0.30067328495396384,18,GO:BP,CPNE3;MICU2;ENDOG;PRKAA2;PRKAA1;CACYBP;IQGAP1;RYR1
GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,Baseline_HRvLR,0.47489316239316237,0.8197657444308544,0.9899685753443985,0.3195723609368305,22,GO:BP,RAB11B;JAGN1;PRKACA;MAP2K3;DYNLL1
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Baseline_HRvLR,0.6170266836086404,0.8933637873106697,-0.9281444791382476,-0.21909642871176163,72,GO:BP,USP15;LONP1;FXN;GPX1;MAPK9;ATP1A1;LETM1;HTRA2;CUL3;AQP1;PXN;ENDOG;PRKAA2;AIFM1;PRKAA1;SNCA;RCSD1
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,Baseline_HRvLR,0.9834591873426825,0.9973316910656956,0.5354008120435179,0.1926730156858717,15,GO:BP,GSTP1;AKR1C3;UBE2L3;ANXA1
GOBP_CELLULAR_RESPONSE_TO_HEAT,Baseline_HRvLR,0.47273053462504483,0.8197657444308544,0.9899008151812658,0.3320325964286268,19,GO:BP,MAPKAPK2;PRKACA;CHORDC1;MAPT;PDCD6
