pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteolysis Involved In Prot...,GO:BP,1.581,1.442,0.06564,0.2133,NS,63
GOBP_ACTIN_FILAMENT_POLYMERIZATION,Actin Filament Polymerization,GO:BP,1.392,1.618,0.2582,0.1462,NS,28
GOBP_NUCLEAR_EXPORT,Nuclear Export,GO:BP,1.699,1.3,0.0681,0.4749,NS,29
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Regulation Of Actin Filament Polymerization,GO:BP,1.328,1.667,0.318,0.1188,NS,24
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Regulation Of Mrna Catabolic Process,GO:BP,1.632,1.353,0.09426,0.4195,NS,26
GOBP_AMYLOID_FIBRIL_FORMATION,Amyloid Fibril Formation,GO:BP,1.236,1.743,0.4196,0.1089,NS,18
GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,Negative Regulation Of Neuron Apoptotic Pr...,GO:BP,1.384,1.589,0.2816,0.1977,NS,19
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Negative Regulation Of Transferase Activity,GO:BP,1.394,1.572,0.2654,0.1782,NS,26
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Ubiquit...,GO:BP,1.602,1.314,0.1171,0.4778,NS,20
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS,Neutral Lipid Metabolic Process,GO:BP,-1.075,1.834,0.6117,0.07739,NS,15
GOBP_RESPONSE_TO_VIRUS,Response To Virus,GO:BP,1.47,1.437,0.147,0.2746,NS,39
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,1.052,1.839,0.6405,0.06636,NS,32
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Protein Containing Complex Disassembly,GO:BP,1.43,1.458,0.1532,0.2217,NS,53
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,Positive Regulation Of Translation,GO:BP,1.517,1.368,0.1375,0.3634,NS,32
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,Regulation Of Inflammatory Response,GO:BP,1.084,1.794,0.5746,0.06917,NS,34
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,-1.346,-1.526,0.2688,0.1729,NS,43
GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Positive Regulation Of Supramolecular Fibe...,GO:BP,1.477,1.391,0.1461,0.3282,NS,36
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,Hydrogen Peroxide Metabolic Process,GO:BP,0.92,1.942,0.7746,0.05278,NS,19
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS,Positive Regulation Of Endocytosis,GO:BP,1.321,1.538,0.3187,0.2209,NS,25
GOBP_TRANSITION_METAL_ION_TRANSPORT,Transition Metal Ion Transport,GO:BP,1.61,1.247,0.1245,0.5532,NS,17
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,-1.552,1.304,0.147,0.4974,NS,17
GOBP_PROTEIN_STABILIZATION,Protein Stabilization,GO:BP,1.591,1.265,0.06913,0.4715,NS,56
GOBP_REGULATION_OF_CELL_SIZE,Regulation Of Cell Size,GO:BP,1.368,1.472,0.2801,0.2835,NS,27
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Poly...,GO:BP,1.056,1.781,0.6434,0.08202,NS,17
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,1.253,1.579,0.385,0.1743,NS,25
GOBP_RENAL_SYSTEM_PROCESS,Renal System Process,GO:BP,1.207,1.623,0.4533,0.178,NS,15
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,1.547,-1.281,0.1645,0.517,NS,15
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,Positive Regulation Of Synaptic Transmission,GO:BP,1.139,1.686,0.5349,0.1372,NS,17
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organiz...,GO:BP,1.262,1.56,0.298,0.1132,NS,74
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,1.238,1.583,0.3929,0.171,NS,29
GOBP_TETRAPYRROLE_METABOLIC_PROCESS,Tetrapyrrole Metabolic Process,GO:BP,-1.346,1.473,0.3231,0.311,NS,15
GOBP_ENDOSOMAL_TRANSPORT,Endosomal Transport,GO:BP,1.178,-1.638,0.4188,0.08202,NS,57
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,Actin Polymerization Or Depolymerization,GO:BP,1.255,1.558,0.3728,0.1743,NS,32
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Cellular Oxidant Detoxification,GO:BP,1.039,1.774,0.6471,0.07739,NS,39
GOBP_DNA_RECOMBINATION,DNA Recombination,GO:BP,1.419,1.393,0.2263,0.3478,NS,28
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,1.31,1.494,0.2801,0.2078,NS,47
GOBP_MONONUCLEAR_CELL_MIGRATION,Mononuclear Cell Migration,GO:BP,1.701,1.098,0.06971,0.6951,NS,24
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,1.486,1.312,0.2118,0.4974,NS,15
HALLMARK_COAGULATION,Coagulation,Hallmark,1.465,1.332,0.1539,0.2794,NS,25
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,-1.155,-1.64,0.4502,0.08202,NS,52
GOBP_LEARNING,Learning,GO:BP,-1.416,-1.378,0.2706,0.4112,NS,15
GOBP_LEUKOCYTE_PROLIFERATION,Leukocyte Proliferation,GO:BP,1.268,1.525,0.3611,0.2176,NS,29
GOBP_PRESYNAPTIC_ENDOCYTOSIS,Presynaptic Endocytosis,GO:BP,1.348,1.438,0.3034,0.3237,NS,21
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,-1.636,-1.14,0.1146,0.6596,NS,15
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.438,1.332,0.2613,0.4749,NS,15
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Regulation Of Small Gtpase Mediated Signal...,GO:BP,1.302,1.461,0.323,0.2868,NS,29
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,Negative Regulation Of Molecular Function,GO:BP,1.231,1.53,0.3555,0.15310000000000001,NS,54
GOBP_DOUBLE_STRAND_BREAK_REPAIR,Double Strand Break Repair,GO:BP,1.681,1.078,0.07565,0.7098,NS,26
GOBP_RESPONSE_TO_ALCOHOL,Response To Alcohol,GO:BP,1.34,1.419,0.2698,0.2895,NS,41
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteolysis Involve...,GO:BP,1.662,1.097,0.06662,0.6928,NS,33
GOBP_RNA_LOCALIZATION,RNA Localization,GO:BP,1.54,1.215,0.1218,0.5566,NS,31
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,Negative Regulation Of Catabolic Process,GO:BP,1.474,1.279,0.09664,0.4155,NS,75
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Negative Regulation Of Catalytic Activity,GO:BP,1.197,1.549,0.422,0.1715,NS,39
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,-0.917,-1.829,0.7972,0.07739,NS,31
GOBP_MRNA_CATABOLIC_PROCESS,Mrna Catabolic Process,GO:BP,1.588,1.149,0.09019,0.6321,NS,37
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,Negative Regulation Of Proteolysis,GO:BP,1.252,1.484,0.385,0.2741,NS,27
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation Of Phosphorylation,GO:BP,1.266,1.463,0.3172,0.2165,NS,55
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,-1.307,-1.42,0.3582,0.3478,NS,16
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localizatio...,GO:BP,1.228,1.496,0.4112,0.2505,NS,24
GOBP_TRANSLATIONAL_ELONGATION,Translational Elongation,GO:BP,1.547,-1.176,0.1434,0.6093,NS,22
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,Peptidyl Amino Acid Modification,GO:BP,1.412,1.31,0.1954,0.4299,NS,43
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,Regulation Of Microtubule Based Process,GO:BP,1.646,-1.075,0.06971,0.6922,NS,43
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Protein...,GO:BP,1.627,1.091,0.08441,0.6951,NS,31
GOBP_DEPHOSPHORYLATION,Dephosphorylation,GO:BP,-1.196,-1.521,0.4502,0.2269,NS,24
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,-1.647,1.06,0.05685,0.7267,NS,52
GOBP_MYELOID_CELL_DIFFERENTIATION,Myeloid Cell Differentiation,GO:BP,1.232,1.475,0.3678,0.2217,NS,48
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Positive Regulation Of Protein Modificatio...,GO:BP,1.599,1.106,0.07323,0.6742,NS,57
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,Negative Regulation Of Response To Externa...,GO:BP,1.044,1.657,0.6439,0.08407,NS,43
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Protein Catabolic P...,GO:BP,1.67,1.031,0.05808,0.742,NS,48
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,1.262,1.438,0.4072,0.3371,NS,16
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Ubiquitin Depend...,GO:BP,1.589,1.109,0.09426,0.6787,NS,33
GOBP_REGULATION_OF_WOUND_HEALING,Regulation Of Wound Healing,GO:BP,1.005,1.69,0.6889,0.1304,NS,19
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Carbohydrate Catabolic Process,GO:BP,-1.398,-1.296,0.1706,0.3625,NS,57
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Negative Regulation Of Response To Biotic ...,GO:BP,1.051,1.642,0.6439,0.1576,NS,19
GOBP_T_CELL_DIFFERENTIATION,T Cell Differentiation,GO:BP,1.139,1.553,0.5349,0.2269,NS,17
GOBP_OSTEOBLAST_DIFFERENTIATION,Osteoblast Differentiation,GO:BP,1.323,1.364,0.3034,0.3664,NS,32
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,1.463,1.222,0.1987,0.5637,NS,24
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Intrinsic Apoptotic Signaling Pathway,GO:BP,1.555,1.127,0.07391,0.6406,NS,62
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,0.954,1.728,0.7297,0.1116,NS,17
GOBP_OSSIFICATION,Ossification,GO:BP,1.36,1.32,0.2448,0.4165,NS,45
GOBP_DETOXIFICATION,Detoxification,GO:BP,1.014,1.662,0.6819,0.08202,NS,48
GOBP_WOUND_HEALING,Wound Healing,GO:BP,1.078,1.598,0.5686,0.09465,NS,69
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteasomal Protein...,GO:BP,1.177,1.489,0.4913,0.3013,NS,16
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Cellular Response To Biotic Stimulus,GO:BP,1.27,1.393,0.3717,0.3564,NS,27
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Tumor Necrosis Factor Superfamily Cytokine...,GO:BP,1.282,1.379,0.3777,0.4154,NS,17
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,Negative Regulation Of Protein Ubiquitination,GO:BP,1.358,1.3,0.307,0.499,NS,18
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Long Chain Fatty Acid Metabolic Process,GO:BP,-1.669,0.987,0.08441,0.7874,NS,23
GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS,Positive Regulation Of Viral Process,GO:BP,1.352,1.302,0.318,0.5034,NS,16
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,Positive Regulation Of DNA Repair,GO:BP,1.582,1.071,0.1448,0.7191,NS,16
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,Cellular Component Disassembly,GO:BP,1.455,1.197,0.1005,0.5235,NS,84
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Regulation Of Cardiac Muscle Contraction B...,GO:BP,1.624,-1.027,0.1096,0.7416,NS,18
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,Regulation Of Organelle Assembly,GO:BP,1.675,-0.975,0.06084,0.7917,NS,39
GOBP_DNA_REPLICATION,DNA Replication,GO:BP,1.734,0.915,0.06971,0.8526,NS,19
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,Negative Regulation Of Locomotion,GO:BP,1.442,1.207,0.1552,0.5532,NS,44
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,1.303,1.344,0.3479,0.4382,NS,21
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,1.317,1.329,0.3479,0.4746,NS,17
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Ubiquitin Dependent...,GO:BP,1.379,1.264,0.2706,0.5194,NS,23
GOBP_RESPONSE_TO_NUTRIENT,Response To Nutrient,GO:BP,-0.873,1.768,0.8596,0.07739,NS,32
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Positive Regulation Of Wnt Signaling Pathway,GO:BP,1.331,-1.309,0.3397,0.492,NS,15
GOBP_HEMOSTASIS,Hemostasis,GO:BP,1.158,1.481,0.4696,0.2335,NS,40
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bou...,GO:BP,1.526,-1.113,0.1702,0.6742,NS,18
GOBP_POSITIVE_REGULATION_OF_SECRETION,Positive Regulation Of Secretion,GO:BP,1.251,1.386,0.3432,0.311,NS,49
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,Response To Temperature Stimulus,GO:BP,1.543,-1.089,0.1005,0.6742,NS,42
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,GO:BP,1.13,1.501,0.516,0.2133,NS,40
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,Regulation Of Response To Wounding,GO:BP,1.151,1.476,0.4984,0.2895,NS,23
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial...,GO:BP,1.245,1.379,0.3929,0.3895,NS,23
GOBP_EXOCYTOSIS,Exocytosis,GO:BP,1.272,1.351,0.3204,0.3612,NS,47
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,Response To Type Ii Interferon,GO:BP,1.408,1.215,0.2502,0.5697,NS,22
GOBP_RIBOSOME_ASSEMBLY,Ribosome Assembly,GO:BP,1.611,1.012,0.1146,0.7604,NS,22
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,Cellular Response To Toxic Substance,GO:BP,1.028,1.594,0.6516,0.1132,NS,50
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Protein Localization,GO:BP,1.264,1.358,0.3483,0.3625,NS,37
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteolysis Involve...,GO:BP,1.135,1.487,0.5322,0.2835,NS,20
GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,Purine Containing Compound Catabolic Process,GO:BP,-1.492,-1.122,0.1146,0.6277,NS,55
GOBP_REGULATION_OF_CELL_SHAPE,Regulation Of Cell Shape,GO:BP,1.623,0.99,0.1096,0.7848,NS,20
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,1.174,1.438,0.4552,0.2796,NS,36
GOBP_ISOPRENOID_METABOLIC_PROCESS,Isoprenoid Metabolic Process,GO:BP,1.288,1.322,0.3704,0.4778,NS,19
GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS,Cellular Response To Osmotic Stress,GO:BP,-1.573,1.033,0.1375,0.742,NS,17
GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION,Smooth Muscle Cell Proliferation,GO:BP,-0.888,1.716,0.8292,0.1126,NS,19
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modificatio...,GO:BP,1.217,1.385,0.385,0.3157,NS,45
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,1.16,1.441,0.4769,0.3001,NS,31
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,GO:BP,0.987,1.614,0.7098,0.15310000000000001,NS,31
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION,Regulation Of Protein Ubiquitination,GO:BP,1.57,1.029,0.0894,0.742,NS,45
GOBP_NADH_METABOLIC_PROCESS,NADH Metabolic Process,GO:BP,-1.748,-0.85,0.05676,0.8973,NS,26
GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,Nucleic Acid Catabolic Process,GO:BP,1.478,1.119,0.1274,0.6639,NS,46
GOBP_ENDOCYTIC_RECYCLING,Endocytic Recycling,GO:BP,1.245,-1.35,0.4133,0.4265,NS,17
GOBP_NEURON_MIGRATION,Neuron Migration,GO:BP,1.224,-1.368,0.4403,0.4195,NS,16
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation Of Immune Effector Process,GO:BP,1.207,1.385,0.4001,0.3194,NS,44
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,0.898,1.693,0.8172,0.1132,NS,23
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Regulation Of Generation Of Precursor Meta...,GO:BP,-1.155,-1.435,0.4641,0.2747,NS,38
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Chaperone Mediated Protein Folding,GO:BP,1.569,1.02,0.09864,0.7492,NS,39
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.463,1.126,0.1351,0.5772,NS,34
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Regulation Of Cardiac Muscle Contraction,GO:BP,1.603,-0.985,0.1096,0.7872,NS,24
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,Regulation Of Body Fluid Levels,GO:BP,1.025,1.559,0.6567,0.1379,NS,53
GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,Negative Regulation Of Transport,GO:BP,1.401,1.18,0.147,0.5532,NS,73
GOBP_MUSCLE_HYPERTROPHY,Muscle Hypertrophy,GO:BP,1.512,1.062,0.1616,0.737,NS,23
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,Regulation Of Actin Filament Organization,GO:BP,1.005,1.569,0.6898,0.1462,NS,46
GOBP_REGULATION_OF_ENDOCYTOSIS,Regulation Of Endocytosis,GO:BP,1.187,1.387,0.4172,0.3037,NS,52
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,1.507,-1.066,0.1009,0.6951,NS,56
GOBP_IMPORT_INTO_THE_MITOCHONDRION,Import Into The Mitochondrion,GO:BP,-1.363,-1.204,0.3034,0.5738,NS,21
GOBP_TOR_SIGNALING,Tor Signaling,GO:BP,-0.793,-1.773,0.9314,0.07739,NS,35
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Cell Activation Involved In Immune Response,GO:BP,1.377,1.187,0.2698,0.6094,NS,22
