pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_LEARNING,Learning,GO:BP,1.646,1.157,0.2216,0.8349,NS,15
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,-1.503,-1.297,0.3279,0.7035,NS,17
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,Peptidyl Amino Acid Modification,GO:BP,-1.289,-1.507,0.5074,0.3444,NS,43
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Calcium Ion Transme...,GO:BP,-1.047,-1.748,0.7823,0.334,NS,17
GOBP_CARDIAC_CELL_DEVELOPMENT,Cardiac Cell Development,GO:BP,-1.757,1.032,0.1159,0.8864,NS,21
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Positive Regulation Of Neuron Projection D...,GO:BP,1.502,1.282,0.3463,0.7073,NS,17
GOBP_PROTEIN_TARGETING,Protein Targeting,GO:BP,1.312,1.47,0.4087,0.3444,NS,74
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Positive Regulation Of Transferase Activity,GO:BP,-1.546,-1.235,0.2916,0.731,NS,21
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,Defense Response To Bacterium,GO:BP,-1.744,-1.032,0.1065,0.8863,NS,23
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,1.557,1.201,0.1952,0.7301,NS,52
GOBP_LIPID_OXIDATION,Lipid Oxidation,GO:BP,1.534,1.217,0.2375,0.7174,NS,41
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Nucleoside Monophosphate Biosynthetic Process,GO:BP,-1.086,-1.665,0.7469,0.3444,NS,16
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Purine Nucleoside Monophosphate Metabolic ...,GO:BP,-1.087,-1.661,0.7469,0.3444,NS,22
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,-1.216,1.527,0.6314,0.3574,NS,31
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Negative Regulation Of Catalytic Activity,GO:BP,-1.054,-1.685,0.7637,0.319,NS,39
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Regulation Of Transmembrane Transport,GO:BP,-1.481,-1.258,0.188,0.6263,NS,85
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,-1.582,-1.156,0.192,0.8053,NS,31
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,Release Of Sequestered Calcium Ion Into Cy...,GO:BP,-1.466,-1.265,0.3549,0.7174,NS,21
GOBP_CALCIUM_ION_TRANSPORT,Calcium Ion Transport,GO:BP,-1.08,-1.648,0.7386,0.2639,NS,76
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.518,-1.206,0.3272,0.7643,NS,19
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,Fatty Acid Derivative Metabolic Process,GO:BP,1.132,1.591,0.7132,0.3444,NS,18
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,-1.689,-1.034,0.1019,0.8863,NS,56
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Positive Regulation Of Monoatomic Ion Tran...,GO:BP,-1.234,-1.486,0.601,0.4011,NS,36
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,Cellular Response To Peptide Hormone Stimulus,GO:BP,-1.662,1.054,0.08205,0.8758,NS,60
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,Regulation Of Lipid Metabolic Process,GO:BP,-1.363,-1.353,0.3773,0.5433,NS,49
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,Regulation Of Nucleocytoplasmic Transport,GO:BP,-1.203,-1.505,0.6528,0.4187,NS,24
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Positive Regulation Of Lipid Biosynthetic ...,GO:BP,-1.705,1.001,0.162,0.9117,NS,15
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Ribonucleoside Monophosphate Metabolic Pro...,GO:BP,-1.115,-1.589,0.7373,0.3444,NS,23
GOBP_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,GO:BP,-1.009,1.691,0.8217,0.3268,NS,38
GOBP_REGULATION_OF_HEART_RATE,Regulation Of Heart Rate,GO:BP,-1.865,-0.834,0.07689,0.982,NS,22
GOBP_MUSCLE_HYPERTROPHY,Muscle Hypertrophy,GO:BP,-1.729,-0.969,0.13,0.9513,NS,22
GOBP_PROTEIN_POLYUBIQUITINATION,Protein Polyubiquitination,GO:BP,-1.555,-1.138,0.2,0.8221,NS,36
GOBP_STRIATED_MUSCLE_ADAPTATION,Striated Muscle Adaptation,GO:BP,-1.547,-1.14,0.2879,0.8384,NS,17
GOBP_CYTOSOLIC_TRANSPORT,Cytosolic Transport,GO:BP,1.124,1.561,0.7125,0.3444,NS,27
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Regulation Of Protein Containing Complex D...,GO:BP,-1.471,-1.209,0.3272,0.733,NS,28
GOBP_PEPTIDE_METABOLIC_PROCESS,Peptide Metabolic Process,GO:BP,-1.646,-1.031,0.1952,0.8863,NS,17
