pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_LEARNING,Learning,GO:BP,1.622,1.163,0.2292,0.8026,NS,15
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,Defense Response To Bacterium,GO:BP,-1.747,-1.036,0.1049,0.879,NS,23
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Positive Regulation Of Neuron Projection D...,GO:BP,1.492,1.288,0.3365,0.6953,NS,17
GOBP_PROTEIN_TARGETING,Protein Targeting,GO:BP,1.307,1.466,0.4069,0.3147,NS,74
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Nucleoside Monophosphate Biosynthetic Process,GO:BP,-1.088,-1.68,0.7427,0.3147,NS,16
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Negative Regulation Of Catalytic Activity,GO:BP,-1.055,-1.707,0.7615,0.236,NS,39
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Purine Nucleoside Monophosphate Metabolic ...,GO:BP,-1.087,-1.671,0.7427,0.3147,NS,22
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,-1.217,1.531,0.6125,0.3175,NS,31
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Regulation Of Transmembrane Transport,GO:BP,-1.476,-1.266,0.1893,0.5824,NS,85
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,-1.583,-1.158,0.2035,0.7843,NS,31
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,-1.695,-1.044,0.106,0.8646,NS,56
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.526,-1.213,0.2845,0.7545,NS,19
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,Release Of Sequestered Calcium Ion Into Cy...,GO:BP,-1.465,-1.274,0.3365,0.6953,NS,21
GOBP_CALCIUM_ION_TRANSPORT,Calcium Ion Transport,GO:BP,-1.075,-1.66,0.7416,0.1968,NS,76
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,1.541,1.194,0.1944,0.7206,NS,52
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Positive Regulation Of Monoatomic Ion Tran...,GO:BP,-1.232,-1.502,0.5841,0.3175,NS,36
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,Regulation Of Lipid Metabolic Process,GO:BP,-1.365,-1.368,0.3624,0.4747,NS,49
GOBP_LIPID_OXIDATION,Lipid Oxidation,GO:BP,1.522,1.209,0.2292,0.7205,NS,41
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,Fatty Acid Derivative Metabolic Process,GO:BP,1.128,1.599,0.7176,0.317,NS,18
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Positive Regulation Of Lipid Biosynthetic ...,GO:BP,-1.709,1.007,0.1389,0.8979,NS,15
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,Cellular Response To Peptide Hormone Stimulus,GO:BP,-1.664,1.049,0.08666,0.8685,NS,60
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,Regulation Of Nucleocytoplasmic Transport,GO:BP,-1.208,-1.503,0.6426,0.3691,NS,24
GOBP_REGULATION_OF_HEART_RATE,Regulation Of Heart Rate,GO:BP,-1.867,-0.839,0.05976,0.9731,NS,22
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Ribonucleoside Monophosphate Metabolic Pro...,GO:BP,-1.117,-1.586,0.7287,0.3147,NS,23
GOBP_MUSCLE_HYPERTROPHY,Muscle Hypertrophy,GO:BP,-1.73,-0.973,0.0966,0.9442,NS,22
GOBP_PROTEIN_POLYUBIQUITINATION,Protein Polyubiquitination,GO:BP,-1.553,-1.146,0.2142,0.7843,NS,36
GOBP_STRIATED_MUSCLE_ADAPTATION,Striated Muscle Adaptation,GO:BP,-1.548,-1.145,0.2669,0.8195,NS,17
GOBP_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,GO:BP,-1.008,1.683,0.825,0.2589,NS,38
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Regulation Of Protein Containing Complex D...,GO:BP,-1.47,-1.22,0.3236,0.7243,NS,28
GOBP_PEPTIDE_METABOLIC_PROCESS,Peptide Metabolic Process,GO:BP,-1.647,-1.039,0.1802,0.879,NS,17
GOBP_TORC1_SIGNALING,Torc1 Signaling,GO:BP,-1.636,1.041,0.1944,0.879,NS,24
GOBP_CYTOSOLIC_TRANSPORT,Cytosolic Transport,GO:BP,1.119,1.554,0.7176,0.3147,NS,27
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION,Protein K48 Linked Ubiquitination,GO:BP,-1.274,-1.39,0.5845,0.588,NS,17
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS,Response To Organophosphorus,GO:BP,1.529,1.135,0.3229,0.8372,NS,16
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation Of Phosphorylation,GO:BP,-1.333,-1.329,0.4077,0.5351,NS,55
GOBP_MUSCLE_ADAPTATION,Muscle Adaptation,GO:BP,-1.563,-1.094,0.2292,0.8514,NS,29
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,Cell Cell Junction Assembly,GO:BP,1.088,1.568,0.7427,0.3299,NS,18
GOBP_LIPID_CATABOLIC_PROCESS,Lipid Catabolic Process,GO:BP,1.491,1.163,0.2035,0.7545,NS,63
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,Response To Peptide Hormone,GO:BP,-1.487,1.165,0.1906,0.7312,NS,80
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Actin Filament Based Movement,GO:BP,-1.563,1.088,0.1944,0.8514,NS,42
GOBP_PROTEIN_FOLDING,Protein Folding,GO:BP,1.137,1.507,0.6483,0.3147,NS,83
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,L Amino Acid Catabolic Process,GO:BP,1.544,-1.097,0.2669,0.8514,NS,24
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,Regulation Of Striated Muscle Contraction,GO:BP,-1.426,-1.215,0.3378,0.7205,NS,33
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,Positive Regulation Of Kinase Activity,GO:BP,-1.533,-1.097,0.2853,0.8514,NS,18
GOBP_SPINDLE_ORGANIZATION,Spindle Organization,GO:BP,-1.102,1.523,0.732,0.3164,NS,41
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Regulation Of Cardiac Muscle Contraction B...,GO:BP,-1.507,-1.113,0.3229,0.8514,NS,18
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Nucleoside Monophosphate Metabolic Process,GO:BP,-1.117,-1.485,0.7176,0.4022,NS,26
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,Cytoskeleton Dependent Intracellular Trans...,GO:BP,-1.509,1.088,0.2662,0.8514,NS,34
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Regulation Of Cardiac Muscle Contraction,GO:BP,-1.397,-1.197,0.4116,0.7563,NS,24
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.291,1.3,0.5184,0.6363,NS,33
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Positive Regulation Of Wnt Signaling Pathway,GO:BP,1.227,1.364,0.6426,0.6204,NS,15
GOBP_LIPID_MODIFICATION,Lipid Modification,GO:BP,1.493,1.094,0.2538,0.8514,NS,43
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Positive Regulation Of Lipid Metabolic Pro...,GO:BP,-1.665,0.919,0.1616,0.956,NS,21
GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Regulation Of Cell Substrate Junction Orga...,GO:BP,-0.948,1.636,0.8864,0.3147,NS,17
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,Regulation Of Cell Junction Assembly,GO:BP,-1.188,1.395,0.6483,0.5374,NS,31
GOBP_LIPID_LOCALIZATION,Lipid Localization,GO:BP,1.285,-1.297,0.4949,0.5758,NS,60
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,-1.288,-1.285,0.5687,0.6875,NS,22
GOBP_RESPONSE_TO_RADIATION,Response To Radiation,GO:BP,-1.063,-1.51,0.747,0.3147,NS,57
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modificatio...,GO:BP,-1.04,-1.53,0.7745,0.3147,NS,45
GOBP_GLUCAN_METABOLIC_PROCESS,Glucan Metabolic Process,GO:BP,0.952,1.617,0.8872,0.3147,NS,30
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,Regulation Of Response To Cytokine Stimulus,GO:BP,-1.579,-0.986,0.2322,0.9228,NS,18
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,Negative Regulation Of Mapk Cascade,GO:BP,-1.371,-1.19,0.4542,0.7617,NS,23
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation Of Protein Targeting,GO:BP,-1.28,1.279,0.571,0.6948,NS,21
GOBP_RESPONSE_TO_ALCOHOL,Response To Alcohol,GO:BP,1.412,-1.146,0.3365,0.7843,NS,41
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Negative Regulation Of Cell Cycle Process,GO:BP,-1.267,-1.29,0.5924,0.6962,NS,17
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,Alpha Amino Acid Metabolic Process,GO:BP,1.652,-0.903,0.08666,0.9711,NS,59
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO:BP,-1.156,-1.395,0.6944,0.5374,NS,23
GOBP_SPINDLE_ASSEMBLY,Spindle Assembly,GO:BP,-1.203,1.347,0.6483,0.6175,NS,23
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,GO:BP,-1.324,-1.212,0.5308,0.7545,NS,19
GOBP_GOLGI_ORGANIZATION,Golgi Organization,GO:BP,-1.487,-1.046,0.3091,0.8739,NS,27
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,Regulation Of Potassium Ion Transport,GO:BP,-1.496,1.034,0.3236,0.879,NS,16
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,0.909,-1.621,0.8461,0.119,NS,23
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Positive Regulation Of Pattern Recognition...,GO:BP,-1.494,-1.035,0.3365,0.879,NS,15
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,Energy Reserve Metabolic Process,GO:BP,0.909,1.619,0.9221,0.3147,NS,31
GOBP_POSITIVE_REGULATION_OF_PROTEIN_SECRETION,Positive Regulation Of Protein Secretion,GO:BP,-1.362,1.166,0.4479,0.7809,NS,28
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,Negative Regulation Of Cell Growth,GO:BP,-1.386,1.142,0.4817,0.833,NS,15
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Endoplasmic Reticulum To Golgi Vesicle Med...,GO:BP,1.46,1.065,0.3001,0.8545,NS,41
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,Negative Regulation Of Kinase Activity,GO:BP,-0.9,-1.622,0.9103,0.3147,NS,18
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,Branched Chain Amino Acid Metabolic Process,GO:BP,1.445,1.075,0.3535,0.8514,NS,21
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,-1.602,-0.918,0.2158,0.956,NS,21
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyrimidine Containing Compound Metabolic P...,GO:BP,-1.36,1.159,0.5042,0.8154,NS,15
GOBP_ENDOSOMAL_TRANSPORT,Endosomal Transport,GO:BP,-1.236,1.282,0.5613,0.6175,NS,57
GOBP_HEART_MORPHOGENESIS,Heart Morphogenesis,GO:BP,-1.776,0.742,0.08119,0.9994,NS,26
GOBP_CALCIUM_ION_HOMEOSTASIS,Calcium Ion Homeostasis,GO:BP,-1.047,-1.47,0.7645,0.3147,NS,58
GOBP_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,Regulation Of Protein Import Into Nucleus,GO:BP,-0.877,-1.639,0.9386,0.3147,NS,15
GOBP_FATTY_ACID_METABOLIC_PROCESS,Fatty Acid Metabolic Process,GO:BP,1.412,1.103,0.2322,0.796,NS,105
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION,Negative Regulation Of Phosphorylation,GO:BP,-0.991,-1.522,0.841,0.3579,NS,23
GOBP_PLATELET_AGGREGATION,Platelet Aggregation,GO:BP,-1.234,1.279,0.6349,0.6972,NS,20
GOBP_CARDIOCYTE_DIFFERENTIATION,Cardiocyte Differentiation,GO:BP,-1.575,0.934,0.2158,0.9514,NS,27
GOBP_MAINTENANCE_OF_LOCATION,Maintenance Of Location,GO:BP,-1.332,-1.174,0.408,0.7312,NS,52
GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome Organization,GO:BP,-0.806,-1.699,0.9855,0.3147,NS,21
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Actin Mediated Cell Contraction,GO:BP,-1.441,1.063,0.3236,0.864,NS,36
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,-1.602,-0.897,0.1269,0.9162,NS,23
GOBP_FOCAL_ADHESION_ASSEMBLY,Focal Adhesion Assembly,GO:BP,-1.159,1.338,0.6944,0.6423,NS,17
GOBP_AMP_METABOLIC_PROCESS,Amp Metabolic Process,GO:BP,-1.058,-1.438,0.762,0.5451,NS,16
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,Carbohydrate Derivative Catabolic Process,GO:BP,-1.098,-1.398,0.7176,0.3691,NS,61
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.345,1.151,0.3786,0.6274,NS,37
GOBP_RESPONSE_TO_IONIZING_RADIATION,Response To Ionizing Radiation,GO:BP,-0.908,-1.586,0.9061,0.3281,NS,16
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Regulation Of DNA Binding Transcription Fa...,GO:BP,-1.153,-1.335,0.7041,0.6204,NS,21
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.137,-1.351,0.5543,0.2462,NS,87
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,GO:BP,-1.36,1.127,0.3236,0.7836,NS,87
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,RNA Splicing Via Transesterification React...,GO:BP,-1.167,-1.32,0.6483,0.588,NS,42
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,Cellular Response To Type Ii Interferon,GO:BP,-0.863,1.619,0.948,0.3147,NS,20
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,Negative Regulation Of Actin Filament Depo...,GO:BP,-1.234,-1.248,0.6426,0.7206,NS,15
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Transmembrane Trans...,GO:BP,-1.247,-1.235,0.5694,0.6972,NS,37
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,-1.107,-1.373,0.7363,0.588,NS,21
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.274,1.204,0.449,0.5731,NS,35
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,-1.473,-1.004,0.3365,0.9012,NS,25
GOBP_CARDIAC_CONDUCTION,Cardiac Conduction,GO:BP,-1.227,-1.248,0.6344,0.7146,NS,22
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.526,0.949,0.07912,0.9162,NS,98
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Extrinsic Apoptotic Signalin...,GO:BP,-1.299,-1.176,0.543,0.7809,NS,24
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,1.211,-1.262,0.5912,0.6204,NS,53
GOBP_AUTOPHAGOSOME_MATURATION,Autophagosome Maturation,GO:BP,-1.268,-1.202,0.5924,0.7617,NS,16
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Positive Regulation Of Phosphorus Metaboli...,GO:BP,-1.307,-1.161,0.4835,0.7617,NS,43
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Cellular Response To Insulin Stimulus,GO:BP,-1.175,1.291,0.6437,0.6204,NS,42
GOBP_ERAD_PATHWAY,Erad Pathway,GO:BP,-0.928,-1.538,0.8905,0.3631,NS,20
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,Negative Regulation Of Translation,GO:BP,-1.415,-1.051,0.3497,0.8646,NS,31
GOBP_RESPONSE_TO_OXYGEN_LEVELS,Response To Oxygen Levels,GO:BP,0.936,-1.53,0.8953,0.3147,NS,65
