"engine","group_id","source","ID","Description","GeneRatio","pvalue","p.adjust","Count"
"wgcna","turquoise","GO_BP","GO:0022407","regulation of cell-cell adhesion","8/73",0.000290951767562819,0.0168752025186435,8
"wgcna","turquoise","GO_BP","GO:0050865","regulation of cell activation","8/73",0.000290951767562819,0.0168752025186435,8
"wgcna","turquoise","GO_BP","GO:0030334","regulation of cell migration","10/73",0.000499098197036579,0.0252848335224569,10
"wgcna","turquoise","GO_BP","GO:0048870","cell motility","13/73",0.000655838263387678,0.0252848335224569,13
"wgcna","turquoise","GO_BP","GO:0098609","cell-cell adhesion","9/73",0.000665968243360044,0.0252848335224569,9
"wgcna","turquoise","GO_BP","GO:0040011","locomotion","11/73",0.000747334980959318,0.0252848335224569,11
"wgcna","turquoise","GO_BP","GO:0051094","positive regulation of developmental process","11/73",0.000747334980959318,0.0252848335224569,11
"wgcna","turquoise","GO_BP","GO:0070887","cellular response to chemical stimulus","19/73",0.00090426083352768,0.028240761416326,19
"wgcna","turquoise","GO_BP","GO:0040012","regulation of locomotion","10/73",0.0010632727059519,0.0287792479077646,10
"wgcna","turquoise","GO_BP","GO:2000145","regulation of cell motility","10/73",0.0010632727059519,0.0287792479077646,10
"wgcna","turquoise","GO_CC","GO:0005615","extracellular space","43/74",3.84940014100036e-07,2.83667410396474e-05,43
"wgcna","turquoise","GO_CC","GO:0043230","extracellular organelle","40/74",1.0827000396812e-06,2.83667410396474e-05,40
"wgcna","turquoise","GO_CC","GO:0065010","extracellular membrane-bounded organelle","40/74",1.0827000396812e-06,2.83667410396474e-05,40
"wgcna","turquoise","GO_CC","GO:0070062","extracellular exosome","40/74",1.0827000396812e-06,2.83667410396474e-05,40
"wgcna","turquoise","GO_CC","GO:1903561","extracellular vesicle","40/74",1.0827000396812e-06,2.83667410396474e-05,40
"wgcna","turquoise","GO_CC","GO:0005576","extracellular region","44/74",3.99052741030971e-06,8.71265151250953e-05,44
"wgcna","turquoise","GO_CC","GO:0031982","vesicle","44/74",1.08364008173033e-05,0.000202795501009534,44
"wgcna","turquoise","GO_CC","GO:0030863","cortical cytoskeleton","9/74",1.89288741674652e-05,0.000309960314492242,9
"wgcna","turquoise","GO_CC","GO:0005886","plasma membrane","35/74",2.45925041550458e-05,0.000357957560479,35
"wgcna","turquoise","GO_CC","GO:0071944","cell periphery","36/74",2.96164953430371e-05,0.000387976088993786,36
"wgcna","turquoise","GO_CC","GO:0005938","cell cortex","12/74",0.000125089162826314,0.00148969821184065,12
"wgcna","turquoise","GO_CC","GO:0140513","nuclear protein-containing complex","13/74",0.000191145854139574,0.00208667557435702,13
"wgcna","turquoise","GO_CC","GO:0098590","plasma membrane region","12/74",0.000541359375924365,0.00545523678816091,12
"wgcna","turquoise","GO_CC","GO:0030054","cell junction","26/74",0.000596944287169184,0.00558569297279737,26
"wgcna","turquoise","GO_CC","GO:0000323","lytic vacuole","11/74",0.0026092868378917,0.0213635359852383,11
"wgcna","turquoise","GO_CC","GO:0005764","lysosome","11/74",0.0026092868378917,0.0213635359852383,11
"wgcna","turquoise","GO_CC","GO:0098978","glutamatergic synapse","7/74",0.00279376511004564,0.0215284252597634,7
"wgcna","turquoise","GO_CC","GO:0005856","cytoskeleton","25/74",0.00391748836300226,0.0285106097529609,25
"wgcna","turquoise","GO_CC","GO:0031410","cytoplasmic vesicle","23/74",0.00491007952489716,0.0321610208880764,23
"wgcna","turquoise","GO_CC","GO:0097708","intracellular vesicle","23/74",0.00491007952489716,0.0321610208880764,23
"wgcna","turquoise","GO_CC","GO:0005634","nucleus","42/74",0.0059649281872431,0.0372097901204212,42
"wgcna","turquoise","GO_CC","GO:0005773","vacuole","11/74",0.00697050698255972,0.0415062006688783,11
"wgcna","turquoise","GO_CC","GO:0009986","cell surface","8/74",0.00814358247966517,0.0463830132537451,8
"wgcna","turquoise","GO_CC","GO:0045202","synapse","17/74",0.00850427574978331,0.0464191718009006,17
"wgcna","brown","GO_BP","GO:0006325","chromatin organization","8/48",0.000188813800941109,0.0383292015910452,8
"wgcna","brown","GO_BP","GO:0006338","chromatin remodeling","8/48",0.000188813800941109,0.0383292015910452,8
"wgcna","yellow","GO_CC","GO:0005739","mitochondrion","17/33",0.000141207967775219,0.0184982437785537,17
"mfuzz","4","GO_BP","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","9/84",6.62265344122575e-05,0.00672199324284414,9
"mfuzz","4","GO_BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","9/84",6.62265344122575e-05,0.00672199324284414,9
"mfuzz","4","GO_BP","GO:1901739","regulation of myoblast fusion","9/84",6.62265344122575e-05,0.00672199324284414,9
"mfuzz","4","GO_BP","GO:1901740","negative regulation of myoblast fusion","9/84",6.62265344122575e-05,0.00672199324284414,9
"mfuzz","4","GO_BP","GO:0003006","developmental process involved in reproduction","12/84",9.37330247914636e-05,0.00761112161306685,12
"mfuzz","4","GO_BP","GO:0048609","multicellular organismal reproductive process","11/84",0.000669105725861165,0.0247170550769643,11
"mfuzz","4","GO_BP","GO:0051128","regulation of cellular component organization","26/84",0.000739411677899208,0.0247170550769643,26
"mfuzz","4","GO_BP","GO:0007276","gamete generation","10/84",0.000774234352830262,0.0247170550769643,10
"mfuzz","4","GO_BP","GO:0007283","spermatogenesis","10/84",0.000774234352830262,0.0247170550769643,10
"mfuzz","4","GO_BP","GO:0048232","male gamete generation","10/84",0.000774234352830262,0.0247170550769643,10
"mfuzz","4","GO_BP","GO:0000768","syncytium formation by plasma membrane fusion","9/84",0.00085231224403325,0.0247170550769643,9
"mfuzz","4","GO_BP","GO:0006949","syncytium formation","9/84",0.00085231224403325,0.0247170550769643,9
"mfuzz","4","GO_BP","GO:0007520","myoblast fusion","9/84",0.00085231224403325,0.0247170550769643,9
"mfuzz","4","GO_BP","GO:0140253","cell-cell fusion","9/84",0.00085231224403325,0.0247170550769643,9
"mfuzz","4","GO_CC","GO:0022625","cytosolic large ribosomal subunit","9/84",6.05976588186284e-05,0.00793829330524032,9
"mfuzz","4","GO_CC","GO:0022626","cytosolic ribosome","10/84",0.000707845319706223,0.0463638684407576,10
"mfuzz","4","Reactome","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","11/68",0.000216415586136143,0.00156386056105841,11
"mfuzz","4","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","10/68",0.000234579084158762,0.00156386056105841,10
"mfuzz","4","Reactome","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","11/68",0.000535499344668111,0.00247153543692974,11
"mfuzz","4","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","11/68",0.000535499344668111,0.00247153543692974,11
"mfuzz","4","Reactome","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","11/68",0.000535499344668111,0.00247153543692974,11
"mfuzz","4","Reactome","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","11/68",0.000535499344668111,0.00247153543692974,11
"mfuzz","4","Reactome","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","10/68",0.000634525338695271,0.00271939430869402,10
"mfuzz","4","Reactome","REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA","15/68",0.0053033276308218,0.0198874786155817,15
"mfuzz","4","Reactome","REACTOME_TRANSLATION","REACTOME_TRANSLATION","15/68",0.0053033276308218,0.0198874786155817,15
"mfuzz","4","Reactome","REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS","21/68",0.00908729055778686,0.0320727902039536,21
"mfuzz","4","Reactome","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT","13/68",0.00993575413534234,0.0331191804511411,13
"mfuzz","4","Reactome","REACTOME_INFECTIOUS_DISEASE","REACTOME_INFECTIOUS_DISEASE","23/68",0.0115029984510492,0.0363252582664711,23
"mfuzz","4","Reactome","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","10/68",0.01609189040276,0.0482756712082799,10
"mfuzz","1","GO_CC","GO:0030863","cortical cytoskeleton","9/90",0.000113432225856016,0.0148596215871381,9
"mfuzz","3","GO_CC","GO:0000785","chromatin","11/69",0.000185858713802335,0.0243474915081059,11
"mfuzz","3","Reactome","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR","7/53",0.00115994389102832,0.0264541412270457,7
"mfuzz","3","Reactome","REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY","REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY","7/53",0.00115994389102832,0.0264541412270457,7
"mfuzz","3","Reactome","REACTOME_ADAPTIVE_IMMUNE_SYSTEM","REACTOME_ADAPTIVE_IMMUNE_SYSTEM","10/53",0.00207259707615227,0.0264541412270457,10
"mfuzz","3","Reactome","REACTOME_CELL_CYCLE","REACTOME_CELL_CYCLE","10/53",0.00207259707615227,0.0264541412270457,10
"mfuzz","3","Reactome","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","7/53",0.00264541412270457,0.0264541412270457,7
"mfuzz","3","Reactome","REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT","REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT","7/53",0.00264541412270457,0.0264541412270457,7
"mfuzz","3","Reactome","REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS","8/53",0.00322711004840214,0.0276609432720183,8
"mfuzz","3","Reactome","REACTOME_SIGNALING_BY_WNT","REACTOME_SIGNALING_BY_WNT","7/53",0.00526547627271284,0.0382133460664986,7
"mfuzz","3","Reactome","REACTOME_CELL_CYCLE_MITOTIC","REACTOME_CELL_CYCLE_MITOTIC","8/53",0.0057320019099748,0.0382133460664986,8
"mfuzz","3","Reactome","REACTOME_DNA_REPLICATION","REACTOME_DNA_REPLICATION","6/53",0.00852408355018927,0.0464950011828505,6
"mfuzz","3","Reactome","REACTOME_DNA_REPLICATION_PRE_INITIATION","REACTOME_DNA_REPLICATION_PRE_INITIATION","6/53",0.00852408355018927,0.0464950011828505,6
