"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"mfuzz","c1","d_mcsa","tracks",16,0.199318922922943,0.346053404173493,0.122202827560065,0.592213702791083
"mfuzz","c1","d_myovision_fcsa_I","acute",15,0.550879747466682,0.303468496168955,0.0333143520728221,0.585796459092599
"mfuzz","c1","d_myovision_fcsa_I","baseline",15,0.371317487837476,0.137876676773934,0.172988338195368,0.628746075363935
"mfuzz","c1","d_myovision_fcsa_I","tracks",16,0.285391621005644,0.387683029661886,0.0245765702453632,0.585796459092599
"mfuzz","c2","comp_hypertrophy","acute",15,-0.450115803351197,0.202604236426493,0.0922632614448391,0.592213702791083
"mfuzz","c2","comp_hypertrophy","baseline",15,-0.086462565057897,0.00747577515639111,0.759307081852327,0.998961668261752
"mfuzz","c2","comp_hypertrophy","tracks",16,0.080267560440353,0.0940863366334132,0.609882331568452,0.998961668261752
"mfuzz","c2","d_1rm_ext","acute",14,-0.0108171280240702,0.000117010258689125,0.970723406151692,0.998961668261752
"mfuzz","c2","d_1rm_ext","baseline",14,0.314706255966428,0.0990400275444069,0.273128588547263,0.819385765641788
"mfuzz","c2","d_1rm_ext","tracks",15,0.196542051953998,0.084339752183165,0.228452301871653,0.731821780571905
"mfuzz","c2","d_1rm_legpress","acute",15,0.000367932487976179,1.35374315708344e-07,0.998961668261752,0.998961668261752
"mfuzz","c2","d_1rm_legpress","baseline",15,0.153728311699628,0.0236323938180179,0.58437587591731,0.998961668261752
"mfuzz","c2","d_1rm_legpress","tracks",16,0.215649486820355,0.133687528639989,0.145893806794213,0.61831662849167
"mfuzz","c2","d_fcsa_I","acute",15,-0.164317660848683,0.0270002936667828,0.558419815529788,0.998961668261752
"mfuzz","c2","d_fcsa_I","baseline",15,-0.0734720462257517,0.00539814157659902,0.794693697342223,0.998961668261752
"mfuzz","c2","d_fcsa_I","tracks",16,0.0921422131084211,0.0960693074756901,0.556910822069334,0.998961668261752
"mfuzz","c2","d_fcsa_II","acute",15,-0.194655158398612,0.0378906306911889,0.486937561198985,0.998961668261752
"mfuzz","c2","d_fcsa_II","baseline",15,-0.0792981729941528,0.00628820024021058,0.778772932341255,0.998961668261752
"mfuzz","c2","d_fcsa_II","tracks",16,0.0689626773567973,0.0923771622684845,0.661047359621089,0.998961668261752
"mfuzz","c2","d_mcsa","acute",15,-0.511730760004948,0.261868370735242,0.0511833939798539,0.585796459092599
"mfuzz","c2","d_mcsa","baseline",15,-0.102238862028208,0.0104527849088229,0.716926356226266,0.998961668261752
"mfuzz","c2","d_mcsa","tracks",16,0.0201173507932137,0.0881014266925338,0.898129031716967,0.998961668261752
"mfuzz","c2","d_myovision_fcsa_I","acute",15,-0.262929942136017,0.069132154471649,0.343748435081355,0.928120774719658
"mfuzz","c2","d_myovision_fcsa_I","baseline",15,-0.0445733222596017,0.00198678105725829,0.874667823891657,0.998961668261752
