module,trait,r,p,n,fdr
purple,d_1rm_legpress,-0.04194301364187765,0.8867911549083123,14,0.8867911549083123
red,d_1rm_legpress,-0.19646990600669004,0.5008240361525407,14,0.852362870549654
tan,d_1rm_legpress,-0.1169989327905008,0.6903885216928602,14,0.852362870549654
turquoise,d_1rm_legpress,-0.08167850024997227,0.7813326313371829,14,0.852362870549654
yellow,d_1rm_legpress,-0.1169989327905008,0.6903885216928602,14,0.852362870549654
black,d_1rm_ext,-0.013774156949597717,0.9643777803872735,13,0.9643777803872735
blue,d_1rm_ext,-0.446282685166966,0.12635121486804698,13,0.6667792388039038
brown,d_1rm_ext,-0.11570291837662082,0.7066147809537421,13,0.9643777803872735
green,d_1rm_ext,-0.013774156949597717,0.9643777803872735,13,0.9643777803872735
greenyellow,d_1rm_ext,-0.14876089505565535,0.6276518893352827,13,0.9643777803872735
magenta,d_1rm_ext,-0.09641909864718401,0.7540179705147775,13,0.9643777803872735
pink,d_1rm_ext,0.1983478600742071,0.515951994239241,13,0.9643777803872735
purple,d_1rm_ext,-0.2699734762121152,0.3723649381914632,13,0.9643777803872735
red,d_1rm_ext,0.11294808698670127,0.7133315647344711,13,0.9643777803872735
tan,d_1rm_ext,0.4077150457080924,0.16669480970097594,13,0.6667792388039038
turquoise,d_1rm_ext,0.46832133628632233,0.10651153658931328,13,0.6667792388039038
yellow,d_1rm_ext,0.05509662779839087,0.8581175038427513,13,0.9643777803872735
