pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS,0.06826994031399687,1.7952827267943325,27,C3;CLU;SNCA;TF;APOE;FLOT1,GO:BP,0.002955358531653445,0.6058301543813652,0.3350685587170139,Acute_LR
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.06826994031399687,1.7932412431682174,10,C3;CLU;TF,GO:BP,0.002989273782310533,0.7725762797382881,0.35481951210374685,Acute_LR
GOBP_DNA_BIOSYNTHETIC_PROCESS,0.07022586431833007,1.805837189919121,19,HNRNPA1;ADIPOQ;HNRNPC;TCP1;HNRNPD;PTGES3;CCT8;HNRNPU;CCT6A;VCP;CCT4,GO:BP,0.003249918752031199,0.6594407497324396,0.32635161099090676,Acute_LR
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,0.07022586431833007,1.812824727058492,18,HNRNPA2B1;HNRNPA1;HNRNPC;TCP1;HNRNPD;PTGES3;CCT8;HNRNPU;PARP1;CCT6A;CCT4,GO:BP,0.0032615786040443573,0.669417228474535,0.32635161099090676,Acute_LR
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,0.07022586431833007,1.8342706199484908,14,C3;CAT;APOE;APOC2;MGLL;CPT1A;GPAT3;GPX1;PTPN11,GO:BP,0.00319650067294751,0.7230464081979113,0.3350685587170139,Acute_LR
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM,0.078917089678511,1.8277632469436242,13,C8G;DEFA3;LYZ;APOL1;PPBP;LTF;RPL30;CTSG,GO:BP,0.003722504230118443,0.7322356609446521,0.3107769199772489,Acute_LR
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.07976614280339209,1.7930927746137955,22,NPM1;HNRNPC;HNRNPD;RBMX;HNRNPA0;YBX1;SYNCRIP;CSDE1;HNRNPK;QKI;TARDBP;HNRNPU;FXR1;C1QBP;FUS;PTBP1,GO:BP,0.0038204393505253103,0.6327347337902218,0.2972329219997305,Acute_LR
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,0.08197320877765049,1.7590760422814695,32,CLU;SNCA;APOE;RBP4;ADIPOQ;AGT;APOC2;AQP1;TGM2;VAPA;OSBPL1A,GO:BP,0.004112718964204113,0.5750202433640131,0.27986565266193214,Acute_LR
GOBP_REGULATION_OF_PROTEIN_BINDING,0.08197320877765049,1.8044432327792757,13,EPB41;ADD1;FLOT1;ADIPOQ;RAN;RPL11;XIRP1,GO:BP,0.0040609137055837565,0.7228932332459748,0.2972329219997305,Acute_LR
GOBP_RNA_SPLICING,0.08197320877765049,1.7031096199386848,57,HNRNPR;HNRNPA2B1;HNRNPA1;NPM1;HNRNPC;HNRNPA3;LSM2;DDX39B;HNRNPUL1;HNRNPL;RBMX;ILF3;YBX1;SYNCRIP;HNRNPUL2;HNRNPK;QKI;PPIL1;TARDBP;DDX17;GRSF1;HNRNPU;HNRNPH1;SFPQ;C1QBP;PRDX6;FUS;PTBP1,GO:BP,0.004158966106670164,0.49837967194215904,0.40701791892395395,Acute_LR
