gene,logFC,neg_log10_p,pi_score,adj_pval,direction
OGN,-0.6003,0.9955,0.252553,0.665728,NS
SCARB2,-0.5903,1.0025,0.256004,0.665728,NS
MAP2K1,-0.4881,1.2102,0.256615,0.616207,NS
EPRS1,-0.3097,1.9041,0.257177,0.311116,NS
MYO1C,-0.4387,1.3376,0.258959,0.552671,NS
DENR,-0.52,1.1227,0.260732,0.632908,NS
PPP2R5D,-0.7335,0.7954,0.260961,0.76102,NS
GCDH,-0.396,1.4692,0.26197,0.473265,NS
PIP4K2B,-0.5011,1.1547,0.263885,0.621453,NS
DDX39B,0.4719,1.2203,0.265512,0.616207,NS
GARNL3,0.6071,0.946,0.266502,0.691637,NS
COA3,0.5212,1.0842,0.272227,0.661512,NS
TUBB2A,-0.5164,1.0939,0.272317,0.655786,NS
TPD52L1,0.5743,0.9738,0.275918,0.678799,NS
TXN,0.4139,1.3476,0.276804,0.547218,NS
OSBP,-0.4403,1.265,0.277371,0.593825,NS
PLIN4,-0.4,1.3839,0.279555,0.532319,NS
TPSB2,-0.5333,1.036,0.280244,0.665728,NS
IRGQ,-0.4549,1.2127,0.280769,0.616207,NS
RPL13A,-0.5951,0.9162,0.28493,0.710993,NS
ROMO1,-0.5462,0.9971,0.285328,0.665728,NS
RTN3,-0.5352,1.0139,0.286653,0.665728,NS
ACAA1,-0.4802,1.1256,0.288063,0.632908,NS
RPL24,-0.5874,0.9188,0.288597,0.710993,NS
DYNLL1,-0.562,0.9602,0.288633,0.68359,NS
RPL11,0.5948,0.9048,0.289645,0.710993,NS
PRPSAP2,0.6311,0.8472,0.291972,0.747385,NS
NDUFS5,-0.4407,1.1972,0.296787,0.616207,NS
HDHD5,-0.4746,1.1077,0.298083,0.646799,NS
PCCA,-0.468,1.1211,0.298746,0.632908,NS
ALDOC,0.4509,1.1629,0.298984,0.621453,NS
SAR1B,-0.5426,0.9651,0.299477,0.681358,NS
SET,0.5075,1.0199,0.303642,0.665728,NS
INPP1,-0.7079,0.7265,0.305996,0.79123,NS
ARF4,-0.392,1.3069,0.307386,0.568333,NS
C6orf136,-0.6078,0.8427,0.307455,0.753089,NS
OSBPL1A,0.6973,0.7345,0.307479,0.787866,NS
COQ7,-0.3351,1.5223,0.308973,0.452698,NS
SPTBN1,0.4803,1.057,0.310653,0.665728,NS
PBDC1,0.4446,1.1368,0.312278,0.632908,NS
ECHDC2,0.4644,1.078,0.315746,0.664269,NS
SRI,0.5246,0.9533,0.316128,0.686485,NS
HNRNPA0,0.5035,0.9898,0.317444,0.666476,NS
GLUL,0.3983,1.2512,0.317468,0.599412,NS
MRPL12,-0.4377,1.1321,0.3195,0.632908,NS
RANBP1,0.5065,0.9723,0.321739,0.678799,NS
JSRP1,-0.4352,1.1249,0.323904,0.632908,NS
PRKAA2,-0.3346,1.4629,0.32395,0.476774,NS
PGLS,0.4016,1.2131,0.325723,0.616207,NS
NDUFAF4,-0.5712,0.8515,0.326341,0.746137,NS
COPA,0.935,0.5201,0.326385,0.899186,NS
GHITM,-0.6486,0.7493,0.326625,0.786039,NS
MAP2K2,-0.3954,1.2132,0.331318,0.616207,NS
AKR1C2,0.8896,0.5372,0.332785,0.899186,NS
FAM136A,-0.4386,1.0883,0.333185,0.659619,NS
CACNG1,-0.4919,0.9697,0.333416,0.678799,NS
GNAS,-0.3883,1.2275,0.333753,0.616207,NS
FIS1,-0.4856,0.9805,0.334135,0.673048,NS
UQCRH,-0.4188,1.1312,0.33595,0.632908,NS
RPL14,-0.4985,0.9464,0.337471,0.691637,NS
ATPAF2,-0.4678,1.007,0.337991,0.665728,NS
ELOC,-0.3792,1.2345,0.340286,0.612679,NS
NFU1,-0.4566,1.025,0.340435,0.665728,NS
VPS35,-0.3164,1.4766,0.340987,0.473265,NS
RPL9,0.4577,1.0087,0.345408,0.665728,NS
ACTR3,0.4,1.1523,0.345984,0.621453,NS
PRKAG1,-0.365,1.2549,0.348273,0.599412,NS
CAVIN1,-0.3696,1.2371,0.348904,0.612679,NS
PSMC6,0.298,1.522,0.351891,0.452698,NS
DHRS4,-0.4513,1.0039,0.352285,0.665728,NS
MB,-0.3494,1.2945,0.352901,0.574433,NS
KPNA1,-0.4297,1.0504,0.353726,0.665728,NS
RAD23B,-0.3278,1.3732,0.354746,0.532319,NS
HUWE1,0.4764,0.9417,0.355932,0.696297,NS
UQCR10,0.5002,0.8963,0.356164,0.710993,NS
MPST,0.3443,1.3014,0.356347,0.568719,NS
PAIP1,-0.4448,0.9989,0.359479,0.665728,NS
MCTS1,-0.3836,1.1562,0.360128,0.621453,NS
EPM2A,-0.4608,0.952,0.36415,0.686485,NS
MT-ND3,0.56,0.7779,0.366742,0.766086,NS
EHD2,-0.3679,1.1837,0.366815,0.617781,NS
PARVA,-0.4844,0.8985,0.367101,0.710993,NS
RPS6KA3,-0.2802,1.5214,0.374725,0.452698,NS
TOM1L2,-0.4216,1.0108,0.374815,0.665728,NS
ATP6V1H,-0.5257,0.8061,0.376923,0.759943,NS
