uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
P23109,AMPD1_HUMAN,AMPD1,AMP deaminase 1,-0.8836593116499536,0.005273494963450758,0.5316956171088463,-2.935408384352439,-2.1698274552272454,0.009707584061128458,-1,Acute_HRvLR
P23142,FBLN1_HUMAN,FBLN1,Fibulin-1,-0.018705911394246044,0.9448716154994473,0.9914703658820319,-0.06954322694435994,-5.263843987221067,0.9989398209104569,0,Acute_HRvLR
P23246,SFPQ_HUMAN,SFPQ,"Splicing factor, proline- and glutamine-rich",0.26266451787990874,0.39355221831455167,0.9448742931045699,0.8616298601895568,-4.970338502655751,0.7827471434511483,0,Acute_HRvLR
P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,0.08269568969657115,0.7087129758945179,0.9629575609531806,0.3760090834510601,-5.319023371939006,0.9719290105065972,0,Acute_HRvLR
P23297,S10A1_HUMAN,S100A1,Protein S100-A1,1.1760072949989997,0.007821699397513447,0.5427700689060224,2.7867984709170783,-2.469187059262668,0.0033304793876713,1,Acute_HRvLR
P23327,SRCH_HUMAN,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,0.017672969495755808,0.9231335333226919,0.9912238553777325,0.09704098789499639,-5.49255054325514,0.9985874900120719,0,Acute_HRvLR
P23368,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial",0.05094200578253094,0.8681361896179685,0.9827322771751239,0.1669965027888018,-5.367071107779429,0.9928223435904323,0,Acute_HRvLR
P23381,SYWC_HUMAN,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",0.0845370066270732,0.6148491372673981,0.9552365564375793,0.506758027695712,-5.3997528954818534,0.9597168657770133,0,Acute_HRvLR
P23396,RS3_HUMAN,RPS3,40S ribosomal protein S3,0.16347496941844852,0.35487383863484334,0.9349084219061459,0.935012325926532,-5.095956580333103,0.8442058519918769,0,Acute_HRvLR
P23434,GCSH_HUMAN,GCSH,"Glycine cleavage system H protein, mitochondrial",0.0968511282691793,0.6546482428004035,0.9552365564375793,0.4503725208911837,-5.400879082859062,0.9597987231375772,0,Acute_HRvLR
P23526,SAHH_HUMAN,AHCY,Adenosylhomocysteinase,-0.021827498986255023,0.8841936307947642,0.984919914259469,-0.14650091325270667,-5.490936874456429,0.9973170943072373,0,Acute_HRvLR
P23528,COF1_HUMAN,CFL1,Cofilin-1,0.012017519748550143,0.9217560243419745,0.9911300250672143,0.09878578515882554,-5.652092278935053,0.9990213552955414,0,Acute_HRvLR
P23634,AT2B4_HUMAN,ATP2B4,Plasma membrane calcium-transporting ATPase 4,0.18131350645118083,0.4127659611871156,0.9515374698910672,0.8268637920122602,-5.028362610496013,0.8517691809936789,0,Acute_HRvLR
P23786,CPT2_HUMAN,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",-0.58456250300042,0.0038886383876628504,0.5316956171088463,-3.0476064997913865,-2.0167610147923782,0.03900192370541493,-1,Acute_HRvLR
P24043,LAMA2_HUMAN,LAMA2,Laminin subunit alpha-2,0.3385556423046978,0.195874674406268,0.873704037184255,1.3132986026448747,-4.642564057835975,0.575831282235346,0,Acute_HRvLR
P24298,ALAT1_HUMAN,GPT,Alanine aminotransferase 1,-0.2533634996071754,0.21239366099646437,0.8795070204201324,-1.265342080545596,-4.857389878756625,0.6753396191558326,0,Acute_HRvLR
P24310,CX7A1_HUMAN,COX7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial",-0.2881636095884943,0.24703510525122252,0.8933963857613099,-1.1731453919950463,-5.0493909581379715,0.6683672287534801,0,Acute_HRvLR
P24534,EF1B_HUMAN,EEF1B2,Elongation factor 1-beta,0.12337666781434109,0.4631465597829836,0.9552365564375793,0.7401247059109465,-5.286151894229646,0.9094052463627657,0,Acute_HRvLR
P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",0.06773855996461009,0.5218534322195847,0.9552365564375793,0.6456469933339626,-5.422921909021008,0.9569013011619808,0,Acute_HRvLR
P24666,PPAC_HUMAN,ACP1,Low molecular weight phosphotyrosine protein phosphatase,-0.15013066690547916,0.39169447501706256,0.9442461103699163,-0.8650468659307313,-5.17193409706645,0.8687382198207982,0,Acute_HRvLR
P24752,THIL_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",-0.26118150811331375,0.05749848600549988,0.7125444726772449,-1.9504282579845307,-4.017327033852363,0.4742913349910517,0,Acute_HRvLR
P25311,ZA2G_HUMAN,AZGP1,Zinc-alpha-2-glycoprotein,-0.5581979255841496,0.09057057822109439,0.7721325068463245,-1.7302968031782393,-4.206699165845532,0.2616931684215674,0,Acute_HRvLR
P25325,THTM_HUMAN,MPST,3-mercaptopyruvate sulfurtransferase,-0.07597902842551107,0.6725230290769878,0.9568943238151487,-0.4255256111979143,-5.234856765736586,0.9703074311087061,0,Acute_HRvLR
P25398,RS12_HUMAN,RPS12,40S ribosomal protein S12,0.1033858711317599,0.5429301479595696,0.9552365564375793,0.6131446837220843,-5.30531016365677,0.9388069002644247,0,Acute_HRvLR
