gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TMX4,0.4828,1.0554,0.309375,0.757992,NS
SETD7,0.4843,1.0469,0.311196,0.757992,NS
COPZ1,0.6698,0.753,0.313088,0.786658,NS
C11orf68,-0.4192,1.2024,0.313246,0.757992,NS
PSMD8,0.4389,1.1459,0.314104,0.757992,NS
DYSF,0.3654,1.3735,0.314857,0.757992,NS
GPX1,-0.4543,1.0984,0.31695,0.757992,NS
PSMF1,-0.5824,0.8565,0.317119,0.767448,NS
TIPRL,0.7363,0.6765,0.317604,0.823249,NS
ARPP19,0.5907,0.8405,0.31881,0.767448,NS
YWHAH,0.4619,1.0715,0.319959,0.757992,NS
NEDD8,-0.5088,0.9703,0.320816,0.767448,NS
REEP5,0.5344,0.9222,0.321501,0.767448,NS
STT3B,-0.5616,0.8708,0.32429,0.767448,NS
TOLLIP,0.4788,1.0151,0.326549,0.757992,NS
CACNB3,-0.4248,1.1439,0.326675,0.757992,NS
TUBA8,-0.4759,1.0186,0.32751,0.757992,NS
EIF2S2,-0.6301,0.7693,0.327516,0.781807,NS
SGCG,-0.6026,0.8,0.3296,0.774648,NS
NUDC,0.4841,0.9954,0.329667,0.757992,NS
ACTR1A,0.3957,1.2168,0.329999,0.757992,NS
SUB1,0.45,1.0679,0.330746,0.757992,NS
PSMB1,-0.3802,1.2629,0.330987,0.757992,NS
KPNA1,0.5566,0.8586,0.332719,0.767448,NS
SLK,0.8263,0.5772,0.333434,0.839747,NS
RPL18A,0.6909,0.69,0.333654,0.821506,NS
GCSH,-0.5029,0.9466,0.334162,0.767448,NS
DYNC1H1,0.3829,1.2391,0.335399,0.757992,NS
HRC,0.4721,1.0039,0.335797,0.757992,NS
PRPSAP2,-0.7352,0.6409,0.337905,0.831411,NS
UBA3,-0.4571,1.0283,0.338847,0.757992,NS
CAVIN4,0.5131,0.9147,0.339374,0.767448,NS
PXN,0.8105,0.5785,0.339697,0.839747,NS
TOMM70,0.561,0.8342,0.340384,0.767448,NS
ATP6V1G1,-0.5268,0.887,0.34093,0.767448,NS
MPST,-0.438,1.0669,0.340934,0.757992,NS
UBE2L3,0.7692,0.6071,0.341239,0.835836,NS
SNRPB,0.6161,0.7578,0.341316,0.785642,NS
HNRNPA1,-0.5872,0.7913,0.343077,0.775915,NS
RTCB,0.4093,1.1334,0.343632,0.757992,NS
DNAJB4,0.655,0.7052,0.345239,0.818118,NS
RPLP2,0.5169,0.8829,0.349597,0.767448,NS
LANCL1,0.4881,0.9346,0.349817,0.767448,NS
JUP,-0.6302,0.7236,0.349884,0.81527,NS
LIMS3,0.5331,0.8538,0.350604,0.767448,NS
PDIA3,0.4931,0.9225,0.35084,0.767448,NS
ADSS1,-0.4381,1.0298,0.353889,0.757992,NS
UBXN6,0.6609,0.67,0.360769,0.823249,NS
RTN2,-0.5585,0.7852,0.364275,0.775915,NS
DSTN,-0.5461,0.8005,0.365505,0.774648,NS
FHL1,0.3746,1.1618,0.367073,0.757992,NS
ALDH1L1,-0.4327,1.0049,0.367434,0.757992,NS
APPL1,0.5095,0.8533,0.367499,0.767448,NS
AP1B1,0.9307,0.462,0.371534,0.877136,NS
LETM1,-0.4863,0.8793,0.373613,0.767448,NS
COL6A3,0.68,0.6288,0.373614,0.834573,NS
TMOD1,-0.6806,0.6255,0.375226,0.834573,NS
RDH11,-0.5386,0.7883,0.376156,0.775915,NS
ACACA,-0.6584,0.6441,0.376675,0.830239,NS
PSMC4,0.373,1.1317,0.378346,0.757992,NS
DDX3X,0.5393,0.7808,0.37926,0.778736,NS
STIM1,-0.5239,0.8004,0.3808,0.774648,NS
ALDH1B1,0.5958,0.7033,0.381033,0.818118,NS
OLA1,0.3762,1.1116,0.381772,0.757992,NS
MCEE,0.5067,0.8227,0.382975,0.767448,NS
GPD1L,-0.4196,0.9928,0.383171,0.757992,NS
ZBTB9,-0.5839,0.7001,0.39018,0.818118,NS
PGM5,0.535,0.763,0.390652,0.781807,NS
ME1,-0.4617,0.8768,0.39374,0.767448,NS
GNPDA1,-0.3505,1.1507,0.395051,0.757992,NS
BCAP29,-0.613,0.6573,0.395419,0.828957,NS
THOP1,-0.6229,0.646,0.395907,0.828957,NS
VPS4A,-0.461,0.8713,0.396588,0.767448,NS
HSDL2,-0.3586,1.1172,0.397554,0.757992,NS
STK38L,0.523,0.7642,0.398418,0.781807,NS
PANK4,-0.4213,0.9485,0.398435,0.767448,NS
CRYAB,0.4019,0.9861,0.401527,0.757992,NS
PHKB,-0.4864,0.8132,0.402228,0.767448,NS
ABCF2,-0.5708,0.6929,0.402252,0.821506,NS
ECI2,-0.4298,0.9179,0.40315,0.767448,NS
SPCS1,0.5666,0.6918,0.405543,0.821506,NS
NDUFB5,0.5624,0.696,0.406026,0.821002,NS
CLCC1,-0.6119,0.6378,0.407156,0.834573,NS
NIBAN1,-0.5204,0.7489,0.407644,0.788574,NS
DDT,-0.6005,0.6478,0.408314,0.828957,NS
APOOL,-0.4091,0.9458,0.41026,0.767448,NS
PSME2,0.5908,0.6501,0.412958,0.828957,NS
RTN4,0.4522,0.8493,0.412988,0.767448,NS
RAD23B,0.382,0.9957,0.416521,0.757992,NS
ROMO1,0.6196,0.613,0.417001,0.835836,NS
MLYCD,0.4185,0.9066,0.417406,0.767448,NS
ESYT2,-0.5109,0.7416,0.417922,0.794327,NS
BIN1,0.3521,1.0735,0.418833,0.757992,NS
RAB14,-0.4987,0.7548,0.420316,0.786658,NS
COQ8A,-0.3481,1.0794,0.420984,0.757992,NS
JSRP1,0.4869,0.7697,0.421903,0.781807,NS
CPT1B,-0.4404,0.849,0.422755,0.767448,NS
PLGRKT,-0.5451,0.6846,0.423492,0.823249,NS
SMTNL1,-0.486,0.7671,0.423855,0.781807,NS
LMCD1,-0.4053,0.9122,0.426858,0.767448,NS
LMAN2,-0.5546,0.6666,0.42687,0.82557,NS
PPP3R1,-0.4163,0.885,0.428146,0.767448,NS
PDHA1,-0.3647,1.0066,0.429404,0.757992,NS
ANP32A,0.4809,0.7608,0.430684,0.78251,NS
BPNT1,-0.4775,0.765,0.431228,0.781807,NS
RPL15,0.5589,0.6517,0.432274,0.828957,NS
ARPC4,-0.5137,0.7079,0.432859,0.818118,NS
EHD4,-0.6178,0.5857,0.434622,0.839747,NS
EHD2,0.4269,0.8463,0.435257,0.767448,NS
DMD,0.3624,0.9955,0.43572,0.757992,NS
FAM162A,-0.3824,0.9413,0.436536,0.767448,NS
SELENOW,0.741,0.4855,0.436749,0.873358,NS
MTM1,-0.6669,0.5335,0.44077,0.846197,NS
LAMC1,0.6164,0.5764,0.441278,0.839747,NS
HINT1,0.4279,0.8268,0.442845,0.767448,NS
