gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
ARHGAP19,0.1628,1.483,0.962447,7.9e-5,0.039261,Interaction,Concordant Up
MRPS27,-1.4611,0.1601,0.001311,0.94285,0.002099,Interaction,HR↓ LR↑
FTL,1.4214,-0.1781,0.006272,0.948603,0.011062,Interaction,HR↑ LR↓
MYH8,-0.3868,1.1812,0.800536,0.03164,0.021502,Interaction,HR↓ LR↑
UBE2O,0.4306,-1.0987,0.747093,0.003924,0.010596,Interaction,HR↑ LR↓
FSCN1,1.2268,-0.269,0.003571,0.812891,0.001803,Interaction,HR↑ LR↓
APOD,0.0164,1.4524,0.999485,1.4e-5,0.002415,Interaction,Concordant Up
S100A13,1.0998000000000001,-0.3671,0.024158,0.715816,0.006566,Interaction,HR↑ LR↓
ADIPOQ,-0.4416,0.9757,0.491712,0.004535,4.55e-4,Interaction,HR↓ LR↑
SEPTIN9,0.2219,-1.1892,0.884896,6.34e-4,0.002099,Interaction,HR↑ LR↓
GAA,1.0107,-0.3888,0.015447,0.582622,0.00174,Interaction,HR↑ LR↓
RPL13A,0.8039,-0.5924,0.123284,0.286958,0.00432,Interaction,HR↑ LR↓
RTN3,0.8597,-0.5349,0.013021,0.254045,1.87e-4,Interaction,HR↑ LR↓
RPL6,1.0199,-0.3586,0.006069,0.615489,8.78e-4,Interaction,HR↑ LR↓
ALAD,0.1605,1.2061,0.935874,9.1e-5,0.030808,Interaction,Concordant Up
ARHGAP1,1.3497,0.0162,8.3e-5,0.999292,0.001742,Interaction,Concordant Up
RPS20,0.8645,-0.5004,0.007253,0.208189,4.1e-5,Interaction,HR↑ LR↓
HIGD1A,-0.8408,0.4827,0.173625,0.48469,0.021202,Interaction,HR↓ LR↑
PRKRA,0.5794,-0.7425,0.38551,0.178063,0.01456,Interaction,HR↑ LR↓
FXYD1,0.8274,-0.4871,0.162304,0.54253,0.026472,Interaction,HR↑ LR↓
SERPINA3,-0.4317,0.8713,0.623266,0.051793,0.012173,Interaction,HR↓ LR↑
MT-ND3,-0.7381,0.5524,0.210547,0.386316,0.017096,Interaction,HR↓ LR↑
APOC2,-0.0491,1.2208,0.996416,0.005557,0.046279,Interaction,HR↓ LR↑
SERPINA1,0.0849,1.1789,0.982531,1.12e-4,0.017838,Interaction,Concordant Up
ADSS2,-0.7878,0.4756,0.09639,0.42945,0.006882,Interaction,HR↓ LR↑
MYO18A,1.1564,-0.0901,3.41e-4,0.975353,0.001982,Interaction,HR↑ LR↓
ACSS2,-1.0766,0.1642,0.004163,0.916234,0.00477,Interaction,HR↓ LR↑
ISCU,0.7716,-0.4626,0.056089,0.425964,0.004119,Interaction,HR↑ LR↓
PDLIM1,0.9636,-0.2571,0.006901,0.776367,0.002713,Interaction,HR↑ LR↓
TFRC,-0.1892,1.0277,0.931608,0.0094,0.027405,Interaction,HR↓ LR↑
SMIM4,-1.1722,0.0257,0.001,0.9982,0.006944,Interaction,HR↓ LR↑
CCS,-0.0303,1.1672,0.998628,0.001339,0.046273,Interaction,HR↓ LR↑
TST,-0.8873,0.3068,0.017459,0.666523,0.003185,Interaction,HR↓ LR↑
FLOT2,-0.4598,0.7305,0.472539,0.029456,0.0041,Interaction,HR↓ LR↑
RTN4IP1,-0.9546,0.2325,0.040772,0.858755,0.023416,Interaction,HR↓ LR↑
PHKG1,-1.1494,0.0312,3.1e-4,0.997089,0.003362,Interaction,HR↓ LR↑
TMEM43,0.6426,-0.5373,0.152603,0.224632,0.003717,Interaction,HR↑ LR↓
RPL14,0.6417,-0.5113,0.162521,0.309447,0.007446,Interaction,HR↑ LR↓
ACAD10,-1.0683,0.0834,0.006985,0.966267,0.006301,Interaction,HR↓ LR↑
LGALS3,1.0664,-0.0836,0.014215,0.981637,0.025795,Interaction,HR↑ LR↓
RWDD1,0.5856,-0.5428,0.33053,0.240908,0.01989,Interaction,HR↑ LR↓
PLIN2,-0.7923,0.3193,0.125657,0.751513,0.044568,Interaction,HR↓ LR↑
MYPN,0.7962,-0.2912,0.030819,0.711252,0.008715,Interaction,HR↑ LR↓
JPT2,0.4198,-0.6662,0.496404,0.070544,0.008859,Interaction,HR↑ LR↓
FTH1,0.7029,-0.3513,0.156165,0.648343,0.03536,Interaction,HR↑ LR↓
ALDOC,-0.615,0.4233,0.144183,0.360268,0.008076,Interaction,HR↓ LR↑
MAP1LC3B2,1.0187,-0.0182,6.4e-5,0.998635,0.001234,Interaction,HR↑ LR↓
NCL,0.9221,0.1119,2.88e-4,0.937028,0.020066,Interaction,Concordant Up
NDUFA11,-0.6324,0.3822,0.213364,0.56821,0.037703,Interaction,HR↓ LR↑
GMPPB,-0.8095,0.1876,0.067219,0.886126,0.042775,Interaction,HR↓ LR↑
CPT1A,-0.5893,0.4064,0.258057,0.485077,0.035149,Interaction,HR↓ LR↑
PFKFB1,-0.8076,0.1837,0.031218,0.844542,0.013501,Interaction,HR↓ LR↑
RPL7,0.9656,0.0241,0.003034,0.99815,0.0276,Interaction,Concordant Up
XRCC5,0.946,0.0373,0.005813,0.995701,0.046212,Interaction,Concordant Up
XRCC6,-0.5985,0.3772,0.128714,0.402415,0.00864,Interaction,HR↓ LR↑
MICOS13,-0.6062,0.3615,0.230459,0.594153,0.046171,Interaction,HR↓ LR↑
NUBP1,0.0116,-0.9521,0.99969,0.003898,0.048799,Interaction,HR↑ LR↓
PARVA,0.4785,-0.485,0.425754,0.356817,0.04655,Interaction,HR↑ LR↓
LAMTOR1,0.5232,-0.4399,0.309255,0.340701,0.026641,Interaction,HR↑ LR↓
FBP2,-0.8592,-0.0971,0.001536,0.955502,0.041924,Interaction,Concordant Down
MLEC,-0.8791,0.0691,0.00367,0.981378,0.011543,Interaction,HR↓ LR↑
PDLIM3,0.7522,-0.1938,0.009477,0.807748,0.004367,Interaction,HR↑ LR↓
CTSD,0.8547,-0.0801,0.00709,0.975633,0.016969,Interaction,HR↑ LR↓
MRPL47,-0.5566,0.3688,0.270866,0.461932,0.03681,Interaction,HR↓ LR↑
CASQ2,0.8042,-0.1038,0.010339,0.955489,0.016966,Interaction,HR↑ LR↓
SEPTIN2,0.255,-0.6527,0.795495,0.072196,0.041487,Interaction,HR↑ LR↓
MGLL,-0.475,0.4257,0.355284,0.351267,0.034856,Interaction,HR↓ LR↑
TMX1,0.766,-0.131,0.012533,0.917703,0.012182,Interaction,HR↑ LR↓
PBXIP1,0.6172,-0.2717,0.040643,0.590845,0.005321,Interaction,HR↑ LR↓
VARS1,0.3231,-0.5447,0.61841,0.1238,0.028972,Interaction,HR↑ LR↓
PADI2,0.8153,-0.0153,0.00307,0.999018,0.018379,Interaction,HR↑ LR↓
SEPTIN7,0.3504,-0.4627,0.543234,0.229982,0.041785,Interaction,HR↑ LR↓
DDX1,0.3255,-0.4563,0.557417,0.195008,0.036149,Interaction,HR↑ LR↓
STOML2,0.1434,-0.6293,0.907657,0.017725,0.027957,Interaction,HR↑ LR↓
MAPRE3,0.2282,-0.5424,0.785894,0.094175,0.049075,Interaction,HR↑ LR↓
RUVBL1,0.4345,-0.3237,0.309932,0.488217,0.045849,Interaction,HR↑ LR↓
AIMP1,-0.3163,0.4352,0.51575,0.167935,0.024779,Interaction,HR↓ LR↑
DHRS7,0.6405,-0.097,0.020095,0.94709,0.025771,Interaction,HR↑ LR↓
CYB5R1,0.3418,-0.3872,0.404483,0.218998,0.020169,Interaction,HR↑ LR↓
PRKCSH,0.2215,-0.4991,0.744416,0.073236,0.031113,Interaction,HR↑ LR↓
MB,0.2343,-0.4687,0.718723,0.112153,0.041007,Interaction,HR↑ LR↓
CTSG,2.0366,2.1579,0.063119,0.037428,0.995119,LR only,Concordant Up
HBG2,1.1282,2.7463,0.120505,0,0.050862,LR only,Concordant Up
LCP1,1.0896,2.312,0.059253,0,0.076038,LR only,Concordant Up
IGHM,0.9837,1.983,0.085846,0,0.179197,LR only,Concordant Up
A2M,0.921,1.9104,0.054636,0,0.099083,LR only,Concordant Up
IGHA1,0.8803,1.8464,0.113945,0,0.160463,LR only,Concordant Up
CP,0.8771,1.8293,0.127466,0,0.183886,LR only,Concordant Up
ADD1,1.1431,1.558,0.061178,1.76e-4,0.810692,LR only,Concordant Up
IGHG3,0.7129,1.9778,0.424026,3e-6,0.1038,LR only,Concordant Up
SERPING1,0.8423,1.7792,0.083148,0,0.12096,LR only,Concordant Up
HBA1,0.778,1.8267,0.165089,0,0.082531,LR only,Concordant Up
STOM,0.8248,1.768,0.167405,0,0.188811,LR only,Concordant Up
IGKC,0.7839,1.7035,0.122012,0,0.125294,LR only,Concordant Up
IGLC2,0.7844,1.687,0.125815,0,0.141712,LR only,Concordant Up
TKT,0.832,1.4697,0.225048,5.71e-4,0.571732,LR only,Concordant Up
RBMX,1.0972,1.1354,0.071704,0.049951,0.998638,LR only,Concordant Up
AGT,0.771,1.4599,0.288417,4.2e-4,0.508328,LR only,Concordant Up
CAT,0.6052,1.58,0.325444,0,0.09177,LR only,Concordant Up
LRG1,0.8582,1.3175,0.248892,0.00429,0.780475,LR only,Concordant Up
TF,0.7128,1.4341,0.124646,0,0.237751,LR only,Concordant Up
HNRNPC,0.8008,1.2402,0.253837,0.004697,0.775833,LR only,Concordant Up
TTR,0.5297,1.4738,0.375305,0,0.069369,LR only,Concordant Up
LXN,0.2683,1.6131,0.906277,0.001106,0.079636,LR only,Concordant Up
MPP1,0.6459,1.1958,0.361852,0.001123,0.592934,LR only,Concordant Up
HNRNPA2B1,0.8126,1.0228,0.058934,0.002007,0.917472,LR only,Concordant Up
ORM1,0.4965,1.3302,0.425347,7e-6,0.134302,LR only,Concordant Up
CSNK1A1,0.8733,0.8678,0.12925,0.014561,0.999959,LR only,Concordant Up
LSM2,0.6232,1.0665,0.43761100000000003,0.018848,0.759553,LR only,Concordant Up
HLA-B,0.3069,1.196,0.799416,0.004832,0.19475,LR only,Concordant Up
HPRT1,0.6361,0.8473,0.203239,0.014024,0.913058,LR only,Concordant Up
GCLC,0.2515,1.2073,0.886162,0.001752,0.158881,LR only,Concordant Up
ANXA3,0.6101,0.8281,0.235673,0.01743,0.906796,LR only,Concordant Up
DDI2,0.0666,1.3661,0.994095,0.006662,0.074752,LR only,Concordant Up
MRPL49,-0.2739,-1.1549,0.826132,0.002594,0.158086,LR only,Concordant Down
PITPNA,0.3949,0.9842,0.606357,0.009269,0.440401,LR only,Concordant Up
FLOT1,0.3202,1.046,0.760227,0.001803,0.266857,LR only,Concordant Up
BLVRB,0.3617,0.9674,0.495025,5.6e-5,0.192692,LR only,Concordant Up
IGHA2,0.0296,1.2897,0.99906,0.028038,0.146763,LR only,Concordant Up
ARPC4,0.4315,0.8666,0.47569,0.006314,0.595003,LR only,Concordant Up
HNRNPA1,0.4087,0.8845,0.54055,0.004842,0.538607,LR only,Concordant Up
CHORDC1,0.1073,-1.1821,0.987192,0.018755,0.102924,LR only,HR↑ LR↓
UBE2D1,-0.3125,-0.9511,0.713536,0.023171,0.371258,LR only,Concordant Down
TMOD1,0.2729,0.9542,0.844663,0.01936,0.385596,LR only,Concordant Up
MRPL22,-0.3783,-0.8363,0.616128,0.026859,0.599522,LR only,Concordant Down
DDX6,0.367,0.8176,0.653731,0.027756,0.621652,LR only,Concordant Up
CLIC1,0.3431,0.8069,0.672179,0.016707,0.567737,LR only,Concordant Up
RCSD1,-0.501,-0.5799,0.170923,0.043,0.981502,LR only,Concordant Down
PGD,0.3943,0.6822,0.399913,0.01237,0.742145,LR only,Concordant Up
SERPINF1,0.2527,0.7948,0.849612,0.04377,0.516448,LR only,Concordant Up
TIMM8A,0.2507,-0.7402,0.864075,0.029029,0.05729,LR only,HR↑ LR↓
FITM1,1e-4,-0.9517,1,0.031994,0.130956,LR only,HR↑ LR↓
AQP1,-0.1517,0.7617,0.943887,0.043781,0.080772,LR only,HR↓ LR↑
MOB4,0.1956,0.6521,0.867764,0.043742,0.495092,LR only,Concordant Up
COBL,0.0067,-0.748,0.99988,0.028239,0.133949,LR only,HR↑ LR↓
H2BC4,0.9846,0.6518,0.062393,0.285782,0.854414,NS,Concordant Up
API5,0.8035,0.8082,0.231928,0.063862,0.999973,NS,Concordant Up
MRPL9,0.6296,0.9602,0.535204,0.189328,0.904368,NS,Concordant Up
GSTM4,-1.5587,0.0155,0.121438,0.999802,0.192487,NS,HR↓ LR↑
HOOK3,0.501,1.0183,0.851509,0.434152,0.884562,NS,Concordant Up
KRT1,-1.0732,-0.4333,0.096132,0.710304,0.616134,NS,Concordant Down
RPS13,-0.8897,-0.568,0.143127,0.547767,0.888227,NS,Concordant Down
HNRNPL,0.8404,0.6103,0.091383,0.195392,0.911357,NS,Concordant Up
H3-3A,0.5406,0.8635,0.577969,0.117023,0.880428,NS,Concordant Up
COL4A2,-0.8156,-0.5723,0.30999,0.558095,0.944803,NS,Concordant Down
RBKS,0.889,-0.4653,0.222354,0.731064,0.089772,NS,HR↑ LR↓
UBE3A,-0.7197,-0.6195,0.066735,0.137139,0.979256,NS,Concordant Down
RIC8A,1.0659,0.2652,0.176513,0.881372,0.492405,NS,Concordant Up
C1S,-0.6329,0.6945,0.488106,0.395777,0.076275,NS,HR↓ LR↑
DCUN1D1,0.6458,0.6644,0.342393,0.142218,0.999528,NS,Concordant Up
ACTN3,-0.825,0.4729,0.491711,0.800262,0.265199,NS,HR↓ LR↑
PMPCB,-0.6616,-0.6157,0.278356,0.207574,0.996893,NS,Concordant Down
CACNG6,0.7682,-0.5062,0.459444,0.635,0.150816,NS,HR↑ LR↓
PVALB,0.2129,-1.0516,0.949132,0.132656,0.159423,NS,HR↑ LR↓
PRPSAP1,0.423,0.8401,0.710139,0.421799,0.858405,NS,Concordant Up
FGGY,0.8302,0.4222,0.106635,0.665569,0.771777,NS,Concordant Up
GOSR2,0.9147,-0.3263,0.374618,0.870693,0.229876,NS,HR↑ LR↓
INPP1,0.5237,-0.7158,0.634169,0.313523,0.095269,NS,HR↑ LR↓
MRPL40,-0.8584,-0.3785,0.259208,0.761445,0.769429,NS,Concordant Down
SFPQ,0.8657,0.3675,0.074777,0.714431,0.64411,NS,Concordant Up
NDUFAF4,-0.6676,-0.5621,0.202401,0.363473,0.982926,NS,Concordant Down
ILF2,0.4697,0.7572,0.588335,0.121893,0.879287,NS,Concordant Up
SRM,0.6773,0.5492,0.311456,0.394612,0.978243,NS,Concordant Up
RPL30,0.775,0.4511,0.078821,0.432882,0.799446,NS,Concordant Up
MYLK,-0.9237,0.3009,0.106209,0.818926,0.050698,NS,HR↓ LR↑
MYBPH,0.9717,0.2487,0.070824,0.872932,0.411921,NS,Concordant Up
TPD52L1,0.6258,0.5846,0.284696,0.259755,0.997406,NS,Concordant Up
MYH13,0.4609,0.7442,0.654581,0.20102,0.901007,NS,Concordant Up
C6orf136,-0.5806,-0.6026,0.484523,0.325473,0.999423,NS,Concordant Down
RPL5,0.4256,0.7291,0.640854,0.174708,0.867244,NS,Concordant Up
PURA,0.6504,0.4898,0.222167,0.36583,0.954348,NS,Concordant Up
RBBP7,0.5655,-0.5685,0.429291,0.462099,0.075846,NS,HR↑ LR↓
MYL3,0.787,0.3439,0.187342,0.745841,0.73668,NS,Concordant Up
TPPP,0.6866,0.4421,0.290202,0.617903,0.920846,NS,Concordant Up
RPS5,0.6705,-0.4525,0.369699,0.617357,0.099365,NS,HR↑ LR↓
PPP1R12B,0.7231,0.3981,0.414423,0.819319,0.911728,NS,Concordant Up
IGLV2-11,0.7079,0.4098,0.445344,0.804783,0.925836,NS,Concordant Up
AP1B1,0.9148,-0.1966,0.220112,0.957073,0.25172,NS,HR↑ LR↓
LASP1,0.6593,0.4491,0.125403,0.373571,0.903087,NS,Concordant Up
GYPC,-0.1279,0.9789,0.976337,0.062832,0.132964,NS,HR↓ LR↑
MT-ATP6,-0.5612,0.5443,0.513896,0.472077,0.104791,NS,HR↓ LR↑
TARDBP,-0.5191,0.5839,0.532071,0.437885,0.098674,NS,HR↓ LR↑
CA2,0.5136,0.5885,0.262721,0.099503,0.987074,NS,Concordant Up
COPA,-0.1607,0.9366,0.970346,0.334119,0.321853,NS,HR↓ LR↑
SIRT3,-0.5004,-0.5945,0.57877,0.395779,0.989371,NS,Concordant Down
DHCR24,0.9911,0.1034,0.160926,0.973878,0.301024,NS,Concordant Up
KRT2,-0.7726,-0.3205,0.26894,0.816434,0.767164,NS,Concordant Down
MRPS16,0.412,-0.6795,0.691502,0.187824,0.073526,NS,HR↑ LR↓
GAPDHS,-1.0213,0.0661,0.06422,0.992025,0.112873,NS,HR↓ LR↑
MYH7,0.6887,0.3915,0.333394,0.698922,0.88979,NS,Concordant Up
ABCF2,0.4032,0.67490000000000006,0.563049,0.080273,0.84671,NS,Concordant Up
GARNL3,-0.4674,0.6096,0.568596,0.273601,0.060805,NS,HR↓ LR↑
DNAJB4,0.8109,0.2624,0.053578,0.821183,0.500266,NS,Concordant Up
MYL2,0.875,0.198,0.129332,0.920693,0.467851,NS,Concordant Up
IL18,0.6819,0.3906,0.445472,0.709476,0.908845,NS,Concordant Up
SESN1,-0.4734,-0.5927,0.340946,0.129237,0.967668,NS,Concordant Down
CD63,0.9597,0.1052,0.087242,0.969679,0.227217,NS,Concordant Up
S100A4,0.3412,0.7133,0.777713,0.18246,0.805412,NS,Concordant Up
OSBPL1A,-0.3434,0.7083,0.75161,0.260507,0.103173,NS,HR↓ LR↑
MYL12B,0.576,0.474,0.117098,0.194521,0.971806,NS,Concordant Up
LAMP1,0.8425,-0.2071,0.404576,0.927756,0.293996,NS,HR↑ LR↓
TXNRD2,-0.8642,0.1793,0.087164,0.907931,0.058624,NS,HR↓ LR↑
PLS3,-0.3059,-0.7341,0.765938,0.071827,0.667809,NS,Concordant Down
EZR,0.9079,0.1265,0.238378,0.974525,0.472855,NS,Concordant Up
PAFAH1B3,-0.3166,0.7135,0.806004,0.158015,0.093799,NS,HR↓ LR↑
ACTN1,0.3822,0.6432,0.861312,0.571507,0.952333,NS,Concordant Up
ARPC2,0.8228,0.2025,0.056094,0.874985,0.370698,NS,Concordant Up
HNRNPDL,0.7067,0.3176,0.053689,0.6121,0.631951,NS,Concordant Up
MTX1,-0.533,-0.4859,0.213312,0.193361,0.994664,NS,Concordant Down
H6PD,-0.6222,-0.3963,0.153618,0.510878,0.889125,NS,Concordant Down
MRPL37,-0.5945,-0.4233,0.250058,0.546492,0.947893,NS,Concordant Down
TIMM50,-0.6507,-0.3664,0.145728,0.581687,0.831592,NS,Concordant Down
LSM4,0.1816,-0.8326,0.946605,0.12241,0.15979,NS,HR↑ LR↓
MRPS18B,-0.5121,0.4953,0.520363,0.446565,0.100356,NS,HR↓ LR↑
SET,0.5055,0.4995,0.302793,0.310099,0.99993,NS,Concordant Up
PRELP,-0.6217,-0.3769,0.409592,0.734077,0.926379,NS,Concordant Down
ACTN4,0.886,0.1123,0.26657,0.982912,0.511675,NS,Concordant Up
CLEC3B,0.799,-0.199,0.130922,0.893898,0.085061,NS,HR↑ LR↓
ASPN,0.3667,-0.6284,0.820311,0.446346,0.263573,NS,HR↑ LR↓
PITHD1,0.3076,0.6848,0.750788,0.09691,0.725839,NS,Concordant Up
SCN1B,-0.3829,0.6093,0.710283,0.255984,0.104031,NS,HR↓ LR↑
