module,trait,cor,pval,pval_raw,stars,label,trait_label,xpos
MEred,Acute_HR,-0.0519,0.9506281895299544,0.7885174499260365,,-0.05,"Acute
HR",3
MEturquoise,Acute_LR,-0.1935,0.8379436975372415,0.32819839639599524,,-0.19,"Acute
LR",4
MEgreenyellow,Acute_LR,-0.0074,0.9704245125685438,0.9704245125685438,,-0.01,"Acute
LR",4
MEpurple,Acute_LR,0.5018,0.15147709690779534,0.00699899848192162,,0.50,"Acute
LR",4
MEyellow,Acute_LR,-0.2465,0.8379436975372415,0.21298248988773907,,-0.25,"Acute
LR",4
MEblack,Acute_LR,0.0995,0.9506281895299544,0.6199053188186845,,0.10,"Acute
LR",4
MEmagenta,Acute_LR,0.4711,0.15147709690779534,0.01262309140898294,,0.47,"Acute
LR",4
MEbrown,Acute_LR,-0.068,0.9506281895299544,0.7347435333365866,,-0.07,"Acute
LR",4
MEblue,Acute_LR,0.1665,0.9196222954265802,0.4023347542491289,,0.17,"Acute
LR",4
MEgreen,Acute_LR,0.0075,0.9704245125685438,0.9704203882415128,,0.01,"Acute
LR",4
MEpink,Acute_LR,0.3044,0.5988375123610993,0.1213042115396847,,0.30,"Acute
LR",4
MEred,Acute_LR,0.0749,0.9506281895299544,0.7097995120670779,,0.07,"Acute
LR",4
MEturquoise,X1RM_Leg_Pre_HR,-0.05882124051155384,0.9738661449142164,0.9003146223162729,,-0.06,1RM,5.3
MEgreenyellow,X1RM_Leg_Pre_HR,0.1175701939407388,0.9738661449142164,0.8017832394088984,,0.12,1RM,5.3
MEpurple,X1RM_Leg_Pre_HR,0.39916062640316513,0.7904090121742824,0.37503162275890106,,0.40,1RM,5.3
MEyellow,X1RM_Leg_Pre_HR,0.33611456515255317,0.7904090121742824,0.4610719237683314,,0.34,1RM,5.3
MEblack,X1RM_Leg_Pre_HR,0.8455050620351295,0.1986075876496501,0.01655063230413751,,0.85,1RM,5.3
MEmagenta,X1RM_Leg_Pre_HR,0.5775249666960935,0.6981056621582324,0.1745264155395581,,0.58,1RM,5.3
MEbrown,X1RM_Leg_Pre_HR,-0.16302397926726978,0.9738661449142164,0.7269048640977065,,-0.16,1RM,5.3
MEblue,X1RM_Leg_Pre_HR,-0.0153959359619138,0.9738661449142164,0.9738661449142164,,-0.02,1RM,5.3
MEgreen,X1RM_Leg_Pre_HR,-0.4871302297694557,0.7904090121742824,0.2675425260467174,,-0.49,1RM,5.3
MEpink,X1RM_Leg_Pre_HR,-0.03338722865002343,0.9738661449142164,0.9433516657280618,,-0.03,1RM,5.3
MEred,X1RM_Leg_Pre_HR,-0.3809769900214921,0.7904090121742824,0.3991300075637602,,-0.38,1RM,5.3
MEturquoise,X1RM._Ext_Pre_HR,-0.3277857510066713,0.7656218205260401,0.4729398155410677,,-0.33,X1RM._Ext_Pre,6.3
MEgreenyellow,X1RM._Ext_Pre_HR,0.2204852682278809,0.7656218205260401,0.6347240930395223,,0.22,X1RM._Ext_Pre,6.3
MEpurple,X1RM._Ext_Pre_HR,0.7518881292007598,0.3075499851596696,0.05125833085994493,,0.75,X1RM._Ext_Pre,6.3
MEyellow,X1RM._Ext_Pre_HR,-0.1493873229548697,0.7656218205260401,0.7492125341201097,,-0.15,X1RM._Ext_Pre,6.3
MEblack,X1RM._Ext_Pre_HR,0.467583140938132,0.7656218205260401,0.2900562920741019,,0.47,X1RM._Ext_Pre,6.3
MEmagenta,X1RM._Ext_Pre_HR,0.1848967098887688,0.7656218205260401,0.6914474222922349,,0.18,X1RM._Ext_Pre,6.3
MEbrown,X1RM._Ext_Pre_HR,0.1455145443922853,0.7656218205260401,0.7555739086729119,,0.15,X1RM._Ext_Pre,6.3
MEblue,X1RM._Ext_Pre_HR,0.31327835009316213,0.7656218205260401,0.4938714950232492,,0.31,X1RM._Ext_Pre,6.3
MEgreen,X1RM._Ext_Pre_HR,-0.23373953032987552,0.7656218205260401,0.6139416821138743,,-0.23,X1RM._Ext_Pre,6.3
MEpink,X1RM._Ext_Pre_HR,0.13941093943870514,0.7656218205260401,0.7656218205260401,,0.14,X1RM._Ext_Pre,6.3
MEred,X1RM._Ext_Pre_HR,-0.2870499359457223,0.7656218205260401,0.5325149075038135,,-0.29,X1RM._Ext_Pre,6.3
MEturquoise,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEgreenyellow,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEpurple,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEyellow,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEblack,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEmagenta,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEbrown,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEblue,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEgreen,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEpink,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEred,ACCUM_VL_HR,NA,NA,NA,,NA,ACCUM_VL,7.3
MEturquoise,mCSA_Pre_HR,-0.4402106868023402,0.7750298805967116,0.3229291169152965,,-0.44,mCSA,8.3
MEgreenyellow,mCSA_Pre_HR,0.36213540781667136,0.8206263940414396,0.42472573802760216,,0.36,mCSA,8.3
MEpurple,mCSA_Pre_HR,0.4567343331909184,0.7750298805967116,0.3029002215704237,,0.46,mCSA,8.3
MEyellow,mCSA_Pre_HR,-0.01269902186744097,0.978443209182956,0.978443209182956,,-0.01,mCSA,8.3
MEblack,mCSA_Pre_HR,0.5556233617342924,0.7750298805967116,0.19532832544702716,,0.56,mCSA,8.3
MEmagenta,mCSA_Pre_HR,0.4521566992280191,0.7750298805967116,0.3083930019823716,,0.45,mCSA,8.3
MEbrown,mCSA_Pre_HR,-0.0925673186695953,0.9202093603093302,0.8435252469502195,,-0.09,mCSA,8.3
MEblue,mCSA_Pre_HR,0.3237717046993587,0.8206263940414396,0.4786987298575064,,0.32,mCSA,8.3
MEgreen,mCSA_Pre_HR,-0.23026009717275608,0.8404106537726808,0.6193781227389672,,-0.23,mCSA,8.3
MEpink,mCSA_Pre_HR,0.20607112893237983,0.8404106537726808,0.6575432021671195,,0.21,mCSA,8.3
MEred,mCSA_Pre_HR,-0.17938524722223417,0.8404106537726808,0.700342211477234,,-0.18,mCSA,8.3
MEturquoise,fCSA_Mixed_Pre_HR,0.27001329905795374,0.9829852321765226,0.558136743141219,,0.27,fCSA_Mix,9.3
MEgreenyellow,fCSA_Mixed_Pre_HR,-0.06568007769073783,0.9829852321765226,0.8887383839708791,,-0.07,fCSA_Mix,9.3
MEpurple,fCSA_Mixed_Pre_HR,0.5681412399011827,0.9829852321765226,0.18329926983673756,,0.57,fCSA_Mix,9.3
MEyellow,fCSA_Mixed_Pre_HR,0.02210830131277185,0.9829852321765226,0.9624769537718936,,0.02,fCSA_Mix,9.3
MEblack,fCSA_Mixed_Pre_HR,0.3427280623813649,0.9829852321765226,0.45172776216963706,,0.34,fCSA_Mix,9.3
MEmagenta,fCSA_Mixed_Pre_HR,-0.1073296662929844,0.9829852321765226,0.8188391731826822,,-0.11,fCSA_Mix,9.3
MEbrown,fCSA_Mixed_Pre_HR,-0.1898083503391689,0.9829852321765226,0.6835443324487048,,-0.19,fCSA_Mix,9.3
MEblue,fCSA_Mixed_Pre_HR,-0.31904798816691776,0.9829852321765226,0.4855079774571131,,-0.32,fCSA_Mix,9.3
MEgreen,fCSA_Mixed_Pre_HR,-0.02570956276709006,0.9829852321765226,0.956368513817726,,-0.03,fCSA_Mix,9.3
MEpink,fCSA_Mixed_Pre_HR,0.16615735322538658,0.9829852321765226,0.7218001726695417,,0.17,fCSA_Mix,9.3
MEred,fCSA_Mixed_Pre_HR,-0.01002302900411978,0.9829852321765226,0.9829852321765226,,-0.01,fCSA_Mix,9.3
MEturquoise,MyoVision_fCSA_mixed_Pre_HR,-0.22470455105430287,0.8374492606174764,0.6280869454631073,,-0.22,MyoVision_fCSA_mixed_Pre,10.3
MEgreenyellow,MyoVision_fCSA_mixed_Pre_HR,-1.926002647472453e-4,0.9996730316415277,0.9996730316415277,,-0.00,MyoVision_fCSA_mixed_Pre,10.3
MEpurple,MyoVision_fCSA_mixed_Pre_HR,-0.29061160296643523,0.8374492606174764,0.527209059943943,,-0.29,MyoVision_fCSA_mixed_Pre,10.3
MEyellow,MyoVision_fCSA_mixed_Pre_HR,0.1642291849205028,0.86992855260823,0.7249404605068583,,0.16,MyoVision_fCSA_mixed_Pre,10.3
MEblack,MyoVision_fCSA_mixed_Pre_HR,-0.226742512261924,0.8374492606174764,0.624888216668043,,-0.23,MyoVision_fCSA_mixed_Pre,10.3
MEmagenta,MyoVision_fCSA_mixed_Pre_HR,0.09373245692899056,0.9180795660888268,0.8415729355814245,,0.09,MyoVision_fCSA_mixed_Pre,10.3
MEbrown,MyoVision_fCSA_mixed_Pre_HR,0.4717296075277928,0.8374492606174764,0.28521249544016175,,0.47,MyoVision_fCSA_mixed_Pre,10.3
MEblue,MyoVision_fCSA_mixed_Pre_HR,0.36296563869395393,0.8374492606174764,0.42358484408143615,,0.36,MyoVision_fCSA_mixed_Pre,10.3
MEgreen,MyoVision_fCSA_mixed_Pre_HR,-0.29413396250331736,0.8374492606174764,0.5219794371002272,,-0.29,MyoVision_fCSA_mixed_Pre,10.3
MEpink,MyoVision_fCSA_mixed_Pre_HR,-0.475484085403196,0.8374492606174764,0.2808580234891174,,-0.48,MyoVision_fCSA_mixed_Pre,10.3
MEred,MyoVision_fCSA_mixed_Pre_HR,-0.30280479504308716,0.8374492606174764,0.5091819963186421,,-0.30,MyoVision_fCSA_mixed_Pre,10.3
MEturquoise,fCSA_Type_I_Pre_HR,0.33431753400081393,0.7245378500223129,0.4636231701006016,,0.33,fCSA_TI,11.3
MEgreenyellow,fCSA_Type_I_Pre_HR,-0.1842986472168088,0.7553577523471724,0.6924112729849081,,-0.18,fCSA_TI,11.3
MEpurple,fCSA_Type_I_Pre_HR,0.7061365687282797,0.7245378500223129,0.0761703490076742,,0.71,fCSA_TI,11.3
MEyellow,fCSA_Type_I_Pre_HR,0.3211873665106379,0.7245378500223129,0.48241977475017805,,0.32,fCSA_TI,11.3
MEblack,fCSA_Type_I_Pre_HR,0.2544194019025934,0.7245378500223129,0.5819262058694101,,0.25,fCSA_TI,11.3
MEmagenta,fCSA_Type_I_Pre_HR,-0.24026651800903057,0.7245378500223129,0.6037815416852608,,-0.24,fCSA_TI,11.3
MEbrown,fCSA_Type_I_Pre_HR,0.12043959493492933,0.7970151117386212,0.7970151117386212,,0.12,fCSA_TI,11.3
MEblue,fCSA_Type_I_Pre_HR,-0.2995840286490525,0.7245378500223129,0.5139228370113149,,-0.30,fCSA_TI,11.3
MEgreen,fCSA_Type_I_Pre_HR,-0.3289752079579072,0.7245378500223129,0.471238181357736,,-0.33,fCSA_TI,11.3
MEpink,fCSA_Type_I_Pre_HR,-0.27072946554389005,0.7245378500223129,0.5570517882962838,,-0.27,fCSA_TI,11.3
MEred,fCSA_Type_I_Pre_HR,-0.2669887386389994,0.7245378500223129,0.5627262650248522,,-0.27,fCSA_TI,11.3
MEturquoise,MyoVision_fCSA_Type_I__Pre_HR,-0.17876501248350787,0.935126552466494,0.7013449143498705,,-0.18,MyoVision_fCSA_Type_I__Pre,12.3
MEgreenyellow,MyoVision_fCSA_Type_I__Pre_HR,-0.02122284335441958,0.963979095469428,0.963979095469428,,-0.02,MyoVision_fCSA_Type_I__Pre,12.3
MEpurple,MyoVision_fCSA_Type_I__Pre_HR,-0.28339990556040334,0.935126552466494,0.5379708203982361,,-0.28,MyoVision_fCSA_Type_I__Pre,12.3
MEyellow,MyoVision_fCSA_Type_I__Pre_HR,0.02434436650571447,0.963979095469428,0.958683965307459,,0.02,MyoVision_fCSA_Type_I__Pre,12.3
MEblack,MyoVision_fCSA_Type_I__Pre_HR,-0.2582020520317402,0.935126552466494,0.5761268850597365,,-0.26,MyoVision_fCSA_Type_I__Pre,12.3
MEmagenta,MyoVision_fCSA_Type_I__Pre_HR,0.04133248553347726,0.963979095469428,0.929891714669146,,0.04,MyoVision_fCSA_Type_I__Pre,12.3
MEbrown,MyoVision_fCSA_Type_I__Pre_HR,0.486257875354267,0.935126552466494,0.2685298021652039,,0.49,MyoVision_fCSA_Type_I__Pre,12.3
MEblue,MyoVision_fCSA_Type_I__Pre_HR,0.3460098956956081,0.935126552466494,0.4471174347954498,,0.35,MyoVision_fCSA_Type_I__Pre,12.3
MEgreen,MyoVision_fCSA_Type_I__Pre_HR,-0.2060516047087486,0.935126552466494,0.6575742589982644,,-0.21,MyoVision_fCSA_Type_I__Pre,12.3
MEpink,MyoVision_fCSA_Type_I__Pre_HR,-0.3928632759336808,0.935126552466494,0.38330877347464554,,-0.39,MyoVision_fCSA_Type_I__Pre,12.3
MEred,MyoVision_fCSA_Type_I__Pre_HR,-0.26893997179756524,0.935126552466494,0.5597640489962802,,-0.27,MyoVision_fCSA_Type_I__Pre,12.3
MEturquoise,fCSA_Type_II_Pre_HR,0.24386355620228964,0.9478403458147292,0.5982038099599543,,0.24,fCSA_TII,13.3
MEgreenyellow,fCSA_Type_II_Pre_HR,-0.03306303051712531,0.9478403458147292,0.9439011304691144,,-0.03,fCSA_TII,13.3
MEpurple,fCSA_Type_II_Pre_HR,0.5161934208564186,0.9478403458147292,0.2356053925772004,,0.52,fCSA_TII,13.3
MEyellow,fCSA_Type_II_Pre_HR,-0.03073909295082848,0.9478403458147292,0.9478403458147292,,-0.03,fCSA_TII,13.3
MEblack,fCSA_Type_II_Pre_HR,0.3524630987152006,0.9478403458147292,0.4381040301342368,,0.35,fCSA_TII,13.3
MEmagenta,fCSA_Type_II_Pre_HR,-0.0683588628270875,0.9478403458147292,0.8842213460819921,,-0.07,fCSA_TII,13.3
MEbrown,fCSA_Type_II_Pre_HR,-0.2494217734962517,0.9478403458147292,0.5896157075001204,,-0.25,fCSA_TII,13.3
MEblue,fCSA_Type_II_Pre_HR,-0.31062341129493415,0.9478403458147292,0.49773702031573175,,-0.31,fCSA_TII,13.3
MEgreen,fCSA_Type_II_Pre_HR,0.0312243221019764,0.9478403458147292,0.947017780998477,,0.03,fCSA_TII,13.3
MEpink,fCSA_Type_II_Pre_HR,0.2457611095688586,0.9478403458147292,0.5952676425333243,,0.25,fCSA_TII,13.3
MEred,fCSA_Type_II_Pre_HR,0.04186019401721373,0.9478403458147292,0.9289981730630132,,0.04,fCSA_TII,13.3
MEturquoise,X1RM_Leg_Pre_LR,-0.7944843294368398,0.22192027155952596,0.01849335596329383,,-0.79,1RM,14.600000000000001
MEgreenyellow,X1RM_Leg_Pre_LR,-0.4569293996394961,0.765113508429266,0.25503783614308867,,-0.46,1RM,14.600000000000001
MEpurple,X1RM_Leg_Pre_LR,-0.00686242111621583,0.987133364364872,0.987133364364872,,-0.01,1RM,14.600000000000001
MEyellow,X1RM_Leg_Pre_LR,0.27581272855741407,0.7829182525939388,0.5084798410373677,,0.28,1RM,14.600000000000001
MEblack,X1RM_Leg_Pre_LR,0.521583326708612,0.7397024375714365,0.18492560939285912,,0.52,1RM,14.600000000000001
MEmagenta,X1RM_Leg_Pre_LR,-0.35456839941573925,0.7829182525939388,0.3888026112746428,,-0.35,1RM,14.600000000000001
MEbrown,X1RM_Leg_Pre_LR,-0.09150770588733312,0.9047765055011596,0.8293784633760631,,-0.09,1RM,14.600000000000001
MEblue,X1RM_Leg_Pre_LR,0.6325325038732444,0.5542461838247822,0.09237436397079704,,0.63,1RM,14.600000000000001
MEgreen,X1RM_Leg_Pre_LR,-0.2279381078707695,0.7829182525939388,0.5871886894454541,,-0.23,1RM,14.600000000000001
MEpink,X1RM_Leg_Pre_LR,0.09944582519530108,0.9047765055011596,0.8147647639195156,,0.10,1RM,14.600000000000001
MEred,X1RM_Leg_Pre_LR,0.33651217340291006,0.7829182525939388,0.4150549482333423,,0.34,1RM,14.600000000000001
MEturquoise,X1RM._Ext_Pre_LR,-0.724617677139992,0.5042410668136018,0.04202008890113348,,-0.72,X1RM._Ext_Pre,15.600000000000001
MEgreenyellow,X1RM._Ext_Pre_LR,-0.4323647397486327,0.8540474075211799,0.28468246917372664,,-0.43,X1RM._Ext_Pre,15.600000000000001
MEpurple,X1RM._Ext_Pre_LR,-0.2549421455146177,0.9263464125130306,0.5422922236504097,,-0.25,X1RM._Ext_Pre,15.600000000000001
MEyellow,X1RM._Ext_Pre_LR,0.3417849899474855,0.9263464125130306,0.4073119807629984,,0.34,X1RM._Ext_Pre,15.600000000000001
MEblack,X1RM._Ext_Pre_LR,0.6190145055309587,0.6105399500056482,0.1017566583342747,,0.62,X1RM._Ext_Pre,15.600000000000001
MEmagenta,X1RM._Ext_Pre_LR,-0.2870330500992857,0.9263464125130306,0.4906425009047391,,-0.29,X1RM._Ext_Pre,15.600000000000001
MEbrown,X1RM._Ext_Pre_LR,0.2072112513432948,0.9263464125130306,0.6224568107030632,,0.21,X1RM._Ext_Pre,15.600000000000001
MEblue,X1RM._Ext_Pre_LR,0.4914099903234573,0.8540474075211799,0.21619458741765743,,0.49,X1RM._Ext_Pre,15.600000000000001
MEgreen,X1RM._Ext_Pre_LR,-0.15231988786105932,0.9263464125130306,0.7187869958932178,,-0.15,X1RM._Ext_Pre,15.600000000000001
MEpink,X1RM._Ext_Pre_LR,-0.0808039030780166,0.9263464125130306,0.8491508781369448,,-0.08,X1RM._Ext_Pre,15.600000000000001
MEred,X1RM._Ext_Pre_LR,0.08537528168767317,0.9263464125130306,0.8406975148796562,,0.09,X1RM._Ext_Pre,15.600000000000001
MEturquoise,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEgreenyellow,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEpurple,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEyellow,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEblack,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEmagenta,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEbrown,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEblue,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEgreen,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEpink,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEred,ACCUM_VL_LR,NA,NA,NA,,NA,ACCUM_VL,16.6
MEturquoise,mCSA_Pre_LR,-0.5377974810779629,0.6116402427321063,0.16919069003570061,,-0.54,mCSA,17.6
MEgreenyellow,mCSA_Pre_LR,-0.341478618805232,0.6116402427321063,0.4077601618214042,,-0.34,mCSA,17.6
MEpurple,mCSA_Pre_LR,-0.18362327461077016,0.7833310204544943,0.6633672254676084,,-0.18,mCSA,17.6
MEyellow,mCSA_Pre_LR,0.3603650382006248,0.6116402427321063,0.3805341408789119,,0.36,mCSA,17.6
MEblack,mCSA_Pre_LR,0.7115077935700296,0.5734549708837448,0.04778791424031206,,0.71,mCSA,17.6
MEmagenta,mCSA_Pre_LR,0.06095651173948087,0.8859893447504491,0.8859893447504491,,0.06,mCSA,17.6
MEbrown,mCSA_Pre_LR,0.4295149455643485,0.6116402427321063,0.28822548821960425,,0.43,mCSA,17.6
MEblue,mCSA_Pre_LR,0.4599058186922765,0.6116402427321063,0.25155616428459465,,0.46,mCSA,17.6
MEgreen,mCSA_Pre_LR,-0.15272997877314382,0.7833310204544943,0.7180534354166198,,-0.15,mCSA,17.6
MEpink,mCSA_Pre_LR,-0.35340357267225014,0.6116402427321063,0.39047360470437376,,-0.35,mCSA,17.6
MEred,mCSA_Pre_LR,-0.24302130141782552,0.7492773844562912,0.5619580383422185,,-0.24,mCSA,17.6
MEturquoise,fCSA_Mixed_Pre_LR,-0.3916729019630581,0.9860566304540824,0.3372637409058905,,-0.39,fCSA_Mix,18.6
MEgreenyellow,fCSA_Mixed_Pre_LR,-0.1041757454977006,0.9860566304540824,0.8060790963533118,,-0.10,fCSA_Mix,18.6
MEpurple,fCSA_Mixed_Pre_LR,0.01975335105502278,0.9860566304540824,0.9629721002145282,,0.02,fCSA_Mix,18.6
MEyellow,fCSA_Mixed_Pre_LR,-0.03479361103291083,0.9860566304540824,0.9348146114219628,,-0.03,fCSA_Mix,18.6
MEblack,fCSA_Mixed_Pre_LR,0.18263676145788807,0.9860566304540824,0.6650949516109437,,0.18,fCSA_Mix,18.6
MEmagenta,fCSA_Mixed_Pre_LR,0.00743673794615494,0.9860566304540824,0.9860566304540824,,0.01,fCSA_Mix,18.6
MEbrown,fCSA_Mixed_Pre_LR,-0.03835389259665576,0.9860566304540824,0.92815694448899,,-0.04,fCSA_Mix,18.6
MEblue,fCSA_Mixed_Pre_LR,0.4195579270306621,0.9860566304540824,0.3007715802393645,,0.42,fCSA_Mix,18.6
MEgreen,fCSA_Mixed_Pre_LR,0.2174799165116701,0.9860566304540824,0.6049005378715558,,0.22,fCSA_Mix,18.6
MEpink,fCSA_Mixed_Pre_LR,0.19161245994563705,0.9860566304540824,0.6494236708923913,,0.19,fCSA_Mix,18.6
MEred,fCSA_Mixed_Pre_LR,0.14724309068769534,0.9860566304540824,0.727883635758475,,0.15,fCSA_Mix,18.6
MEturquoise,MyoVision_fCSA_mixed_Pre_LR,-0.11370337227655351,0.8887743602304753,0.7886365615554279,,-0.11,MyoVision_fCSA_mixed_Pre,19.6
MEgreenyellow,MyoVision_fCSA_mixed_Pre_LR,-0.13736671732428477,0.8887743602304753,0.7456591346893384,,-0.14,MyoVision_fCSA_mixed_Pre,19.6
MEpurple,MyoVision_fCSA_mixed_Pre_LR,-0.2961723151944187,0.8887743602304753,0.4762968961943522,,-0.30,MyoVision_fCSA_mixed_Pre,19.6
MEyellow,MyoVision_fCSA_mixed_Pre_LR,0.6098655567141105,0.8887743602304753,0.108403299792099,,0.61,MyoVision_fCSA_mixed_Pre,19.6
MEblack,MyoVision_fCSA_mixed_Pre_LR,0.22146369433214833,0.8887743602304753,0.5981332287474499,,0.22,MyoVision_fCSA_mixed_Pre,19.6
MEmagenta,MyoVision_fCSA_mixed_Pre_LR,-0.23762328521673445,0.8887743602304753,0.5709439336598847,,-0.24,MyoVision_fCSA_mixed_Pre,19.6
MEbrown,MyoVision_fCSA_mixed_Pre_LR,0.2955022509764155,0.8887743602304753,0.47734297563345807,,0.30,MyoVision_fCSA_mixed_Pre,19.6
MEblue,MyoVision_fCSA_mixed_Pre_LR,-0.45822660565681433,0.8887743602304753,0.25351746943150444,,-0.46,MyoVision_fCSA_mixed_Pre,19.6
MEgreen,MyoVision_fCSA_mixed_Pre_LR,-0.17335168954404925,0.8887743602304753,0.681418575550373,,-0.17,MyoVision_fCSA_mixed_Pre,19.6
MEpink,MyoVision_fCSA_mixed_Pre_LR,-0.09947571154648233,0.8887743602304753,0.8147098302112691,,-0.10,MyoVision_fCSA_mixed_Pre,19.6
MEred,MyoVision_fCSA_mixed_Pre_LR,-0.00456628156711895,0.991438341074914,0.991438341074914,,-0.00,MyoVision_fCSA_mixed_Pre,19.6
MEturquoise,fCSA_Type_I_Pre_LR,-0.382135922137506,0.8470094984211651,0.35019249159250526,,-0.38,fCSA_TI,20.6
MEgreenyellow,fCSA_Type_I_Pre_LR,-0.3340364798181319,0.8470094984211651,0.4187119375632843,,-0.33,fCSA_TI,20.6
MEpurple,fCSA_Type_I_Pre_LR,0.08325559782763224,0.9370536265125468,0.8446156112035207,,0.08,fCSA_TI,20.6
MEyellow,fCSA_Type_I_Pre_LR,0.3308057433822775,0.8470094984211651,0.42350474921058257,,0.33,fCSA_TI,20.6
MEblack,fCSA_Type_I_Pre_LR,0.42798687613180864,0.8470094984211651,0.29013405925302876,,0.43,fCSA_TI,20.6
MEmagenta,fCSA_Type_I_Pre_LR,0.03359667182255475,0.9370536265125468,0.9370536265125468,,0.03,fCSA_TI,20.6
MEbrown,fCSA_Type_I_Pre_LR,0.22982727420433663,0.9370536265125468,0.5840079141854984,,0.23,fCSA_TI,20.6
MEblue,fCSA_Type_I_Pre_LR,0.33746328611698384,0.8470094984211651,0.4136536480490268,,0.34,fCSA_TI,20.6
