module,sample_id,subject,group,timepoint,group_time,eigengene
turquoise,S17_T2,LR_S17,LR,T2,LR_T2,0.2297980799406886
blue,S17_T2,LR_S17,LR,T2,LR_T2,-0.428098607797745
brown,S17_T2,LR_S17,LR,T2,LR_T2,0.31209614228175764
yellow,S17_T2,LR_S17,LR,T2,LR_T2,0.10978888501317868
green,S17_T2,LR_S17,LR,T2,LR_T2,-0.008779158204426481
turquoise,S21_T2,LR_S21,LR,T2,LR_T2,-0.13222171699069124
blue,S21_T2,LR_S21,LR,T2,LR_T2,0.07179670159278861
brown,S21_T2,LR_S21,LR,T2,LR_T2,0.03217417730055579
yellow,S21_T2,LR_S21,LR,T2,LR_T2,0.05912149559871491
green,S21_T2,LR_S21,LR,T2,LR_T2,0.07152310895859354
turquoise,S30_T2,LR_S30,LR,T2,LR_T2,-0.10313735401918915
blue,S30_T2,LR_S30,LR,T2,LR_T2,0.09249929110001617
brown,S30_T2,LR_S30,LR,T2,LR_T2,0.2918820966839291
yellow,S30_T2,LR_S30,LR,T2,LR_T2,-0.040192044586405906
green,S30_T2,LR_S30,LR,T2,LR_T2,0.09572368222583334
turquoise,S03_T3,HR_S03,HR,T3,HR_T3,-0.11495444498729632
blue,S03_T3,HR_S03,HR,T3,HR_T3,0.04521250696195193
brown,S03_T3,HR_S03,HR,T3,HR_T3,-0.18246761144468834
yellow,S03_T3,HR_S03,HR,T3,HR_T3,-0.06603476345813959
green,S03_T3,HR_S03,HR,T3,HR_T3,-0.015131347929023948
turquoise,S10_T3,HR_S10,HR,T3,HR_T3,-0.1283823480904566
blue,S10_T3,HR_S10,HR,T3,HR_T3,0.004160383461102068
brown,S10_T3,HR_S10,HR,T3,HR_T3,-0.43712595533646187
yellow,S10_T3,HR_S10,HR,T3,HR_T3,0.13827317144234547
green,S10_T3,HR_S10,HR,T3,HR_T3,-0.14612521244172033
turquoise,S16_T3,HR_S16,HR,T3,HR_T3,-0.09171158973113924
blue,S16_T3,HR_S16,HR,T3,HR_T3,0.053745264506639835
brown,S16_T3,HR_S16,HR,T3,HR_T3,0.03996769905567599
yellow,S16_T3,HR_S16,HR,T3,HR_T3,-0.08116897565063352
green,S16_T3,HR_S16,HR,T3,HR_T3,0.052532033182794764
turquoise,S22_T3,HR_S22,HR,T3,HR_T3,0.07123006169892822
blue,S22_T3,HR_S22,HR,T3,HR_T3,0.021899987884057847
brown,S22_T3,HR_S22,HR,T3,HR_T3,-0.1662182711220926
yellow,S22_T3,HR_S22,HR,T3,HR_T3,0.0985264124539254
green,S22_T3,HR_S22,HR,T3,HR_T3,-0.1807643096174147
turquoise,S24_T3,HR_S24,HR,T3,HR_T3,0.3803440297535157
blue,S24_T3,HR_S24,HR,T3,HR_T3,-0.4045691268715273
brown,S24_T3,HR_S24,HR,T3,HR_T3,-0.40331895812101737
yellow,S24_T3,HR_S24,HR,T3,HR_T3,0.43968971421098557
green,S24_T3,HR_S24,HR,T3,HR_T3,-0.44588050592882894
turquoise,S27_T3,HR_S27,HR,T3,HR_T3,-0.10098470799173069
blue,S27_T3,HR_S27,HR,T3,HR_T3,0.0681000989838889
brown,S27_T3,HR_S27,HR,T3,HR_T3,-0.06191010534950564
yellow,S27_T3,HR_S27,HR,T3,HR_T3,-0.08573154867910099
green,S27_T3,HR_S27,HR,T3,HR_T3,0.15230490022478188
turquoise,S29_T3,HR_S29,HR,T3,HR_T3,-0.02162802604551698
blue,S29_T3,HR_S29,HR,T3,HR_T3,0.06242053746718053
brown,S29_T3,HR_S29,HR,T3,HR_T3,0.14172879770370558
yellow,S29_T3,HR_S29,HR,T3,HR_T3,-0.020079983448057104
green,S29_T3,HR_S29,HR,T3,HR_T3,0.057772085437788924
turquoise,S04_T3,LR_S04,LR,T3,LR_T3,0.10365993282326452
blue,S04_T3,LR_S04,LR,T3,LR_T3,-0.0024514912670311985
brown,S04_T3,LR_S04,LR,T3,LR_T3,-0.12599587353889793
yellow,S04_T3,LR_S04,LR,T3,LR_T3,-0.12560973373586462
green,S04_T3,LR_S04,LR,T3,LR_T3,0.10480330145306894
turquoise,S05_T3,LR_S05,LR,T3,LR_T3,-0.11960042282997356
blue,S05_T3,LR_S05,LR,T3,LR_T3,0.10466794774012023
brown,S05_T3,LR_S05,LR,T3,LR_T3,-0.0027937290266982066
yellow,S05_T3,LR_S05,LR,T3,LR_T3,-0.11669606625665034
green,S05_T3,LR_S05,LR,T3,LR_T3,0.10778412263221909
turquoise,S06_T3,LR_S06,LR,T3,LR_T3,0.09329830850799102
blue,S06_T3,LR_S06,LR,T3,LR_T3,0.009300954853279152
brown,S06_T3,LR_S06,LR,T3,LR_T3,0.04642256048306357
yellow,S06_T3,LR_S06,LR,T3,LR_T3,-0.14908363669725952
green,S06_T3,LR_S06,LR,T3,LR_T3,0.07347460556689778
turquoise,S12_T3,LR_S12,LR,T3,LR_T3,-0.15254131603522117
blue,S12_T3,LR_S12,LR,T3,LR_T3,0.06740370663716352
brown,S12_T3,LR_S12,LR,T3,LR_T3,0.04386122430230781
yellow,S12_T3,LR_S12,LR,T3,LR_T3,-0.19762342907468394
green,S12_T3,LR_S12,LR,T3,LR_T3,0.21477988310005414
turquoise,S14_T3,LR_S14,LR,T3,LR_T3,-0.16118040358646574
blue,S14_T3,LR_S14,LR,T3,LR_T3,0.059570391254236445
brown,S14_T3,LR_S14,LR,T3,LR_T3,-0.16859467848431378
yellow,S14_T3,LR_S14,LR,T3,LR_T3,0.09847879336218758
green,S14_T3,LR_S14,LR,T3,LR_T3,-0.15403462605944276
turquoise,S17_T3,LR_S17,LR,T3,LR_T3,-0.1644184118975941
blue,S17_T3,LR_S17,LR,T3,LR_T3,0.049994160833104685
brown,S17_T3,LR_S17,LR,T3,LR_T3,0.15499300224872592
yellow,S17_T3,LR_S17,LR,T3,LR_T3,-0.0091108419188251
green,S17_T3,LR_S17,LR,T3,LR_T3,-0.008179217877854448
turquoise,S21_T3,LR_S21,LR,T3,LR_T3,-0.022229271605421402
blue,S21_T3,LR_S21,LR,T3,LR_T3,0.06448670876804065
brown,S21_T3,LR_S21,LR,T3,LR_T3,-0.04711521984789491
yellow,S21_T3,LR_S21,LR,T3,LR_T3,-0.09523547423999652
green,S21_T3,LR_S21,LR,T3,LR_T3,-0.021775065133665394
turquoise,S30_T3,LR_S30,LR,T3,LR_T3,0.043485768953291946
blue,S30_T3,LR_S30,LR,T3,LR_T3,0.026271281525266338
brown,S30_T3,LR_S30,LR,T3,LR_T3,0.12232522150949462
yellow,S30_T3,LR_S30,LR,T3,LR_T3,0.006080498327353074
green,S30_T3,LR_S30,LR,T3,LR_T3,-0.09158899755882297
