module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
blue,P07108,DBI,0.857,0.7528,0.9193,5.834842104873517e-14,0.1007,-0.1987,0.3829,0.5103628859754294,45
blue,P14868,DARS1,0.839,0.7237,0.9087,6.159079013933718e-13,-0.0557,-0.3436,0.2418,0.7163025324499348,45
blue,P20042,EIF2S2,0.8382,0.7224,0.9083,6.787533028943535e-13,0.0746,-0.2239,0.3602,0.626372940410862,45
blue,P26885,FKBP2,0.7963,0.6561,0.8833,6.166420433252789e-11,0.0779,-0.2207,0.3631,0.6109699704483013,45
blue,P41567,EIF1,0.8164,0.6876,0.8954,8.19203823759822e-12,-0.0508,-0.3393,0.2464,0.7404643102978137,45
blue,P46109,CRKL,0.8427,0.7297,0.9109,3.8704986446274826e-13,-0.0148,-0.307,0.28,0.9233451206823879,45
blue,P52907,CAPZA1,0.8792,0.7894,0.9322,1.9581119666606104e-15,-0.0576,-0.3453,0.24,0.7070185828963524,45
blue,P58546,MTPN,0.7865,0.641,0.8775,1.5141717837375103e-10,-0.0898,-0.3735,0.2093,0.5574584699674607,45
blue,P62979,RPS27A,0.7749,0.6231,0.8704,4.1776359097098946e-10,0.0327,-0.2634,0.3231,0.831101103813876,45
blue,Q13085,ACACA,0.7621,0.6036,0.8627,1.1899689049559884e-9,-0.1008,-0.383,0.1986,0.5099626225187786,45
blue,Q15185,PTGES3,0.9063,0.8349,0.9477,1.0875079241617539e-17,-0.012,-0.3044,0.2826,0.9378397537190645,45
blue,Q9NR31,SAR1A,0.8901,0.8075,0.9384,2.867104812247464e-16,-3e-4,-0.2938,0.2932,0.9983464801726425,45
blue,Q9NWV4,CZIB,0.766,0.6095,0.865,8.73969866131621e-10,-0.1115,-0.3922,0.1882,0.46581865710002346,45
blue,Q9Y5L4,TIMM13,0.7784,0.6285,0.8726,3.0851002072267786e-10,-0.1145,-0.3948,0.1852,0.45371011212053125,45
brown,O75521,ECI2,0.7881,0.6435,0.8785,1.3086602236058638e-10,-0.0645,-0.3514,0.2335,0.6738558713093734,45
brown,P00505,GOT2,0.818,0.6902,0.8963,6.876402167900865e-12,-0.2285,-0.4892,0.0697,0.1311188609215532,45
brown,P24752,ACAT1,0.7424,0.5739,0.8506,5.312592336251154e-9,-0.3398,-0.5759,-0.0514,0.022374434625954943,45
brown,P30405,PPIF,0.7303,0.5559,0.8431,1.2430588335748501e-8,-0.2483,-0.5051,0.0487,0.09998176190850287,45
brown,P35613,BSG,0.695,0.5044,0.8211,1.1728205118682458e-7,-0.3617,-0.5924,-0.0763,0.014624538276336857,45
brown,P40926,MDH2,0.7359,0.5642,0.8466,8.431897109457225e-9,-0.2512,-0.5073,0.0458,0.09607620088850746,45
brown,P48047,ATP5PO,0.699,0.5102,0.8236,9.251552278067135e-8,-0.2301,-0.4905,0.0681,0.1283938229345707,45
brown,P53597,SUCLG1,0.8141,0.684,0.894,1.0437067716432691e-11,-0.2317,-0.4918,0.0663,0.1256185041336176,45
brown,Q13907,IDI1,0.6924,0.5006,0.8194,1.3708410153393908e-7,-0.4193,-0.6347,-0.1434,0.004147176745619201,45
brown,Q16134,ETFDH,0.8515,0.7439,0.9161,1.2428747296645909e-13,-0.1417,-0.4179,0.1584,0.3529967654083497,45
brown,Q16698,DECR1,0.6899,0.497,0.8178,1.5832792525224152e-7,-0.084,-0.3684,0.2149,0.583383409768455,45
brown,Q5JTJ3,COA6,0.7623,0.6039,0.8628,1.1718743998818531e-9,-0.2548,-0.5102,0.0418,0.09115690434272822,45
brown,Q6YN16,HSDL2,0.7593,0.5993,0.8609,1.4881791117338017e-9,-0.1872,-0.4557,0.1126,0.21830551070635484,45
brown,Q9NR28,DIABLO,0.7035,0.5166,0.8264,7.059357147304107e-8,-0.0945,-0.3775,0.2048,0.5370973343285813,45
brown,Q9P2R7,SUCLA2,0.8848,0.7987,0.9354,7.483259146243087e-16,-0.1752,-0.4458,0.1247,0.24964545296899004,45
yellow,P04632,CAPNS1,0.7942,0.6528,0.8821,7.523872384043414e-11,0.2462,-0.051,0.5033,0.10307329142668313,45
yellow,P07451,CA3,0.8308,0.7106,0.9039,1.6396683173989482e-12,0.2752,-0.0199,0.5262,0.06726996036589812,45
yellow,P10644,PRKAR1A,0.7715,0.6179,0.8684,5.552988860768278e-10,0.217,-0.0817,0.48,0.15214459333127958,45
yellow,P13639,EEF2,0.8842,0.7977,0.9351,8.260271338291558e-16,0.1854,-0.1143,0.4542,0.22263269440940256,45
yellow,P26640,VARS1,0.7767,0.6258,0.8715,3.58764783407724e-10,0.1987,-0.1007,0.4651,0.19059518914504026,45
yellow,P61981,YWHAG,0.8693,0.773,0.9264,9.561359100995035e-15,0.0673,-0.2308,0.3538,0.6604972279411122,45
yellow,P62258,YWHAE,0.8327,0.7136,0.905,1.3158583207746815e-12,0.0227,-0.2727,0.3141,0.8825489920535723,45
yellow,P68104,EEF1A1,0.8334,0.7147,0.9054,1.2163018312957642e-12,0.1728,-0.1272,0.4438,0.25645537004306485,45
yellow,Q04917,YWHAH,0.7468,0.5805,0.8533,3.8415344903201905e-9,0.0028,-0.291,0.2961,0.9853208549757788,45
green,O00217,NDUFS8,0.9173,0.8535,0.9539,8.464877212131353e-19,-0.2092,-0.4737,0.0898,0.16782827930492256,45
green,O95182,NDUFA7,0.854,0.748,0.9175,8.802241172709439e-14,-0.25,-0.5064,0.0469,0.0976178315663282,45
green,P17568,NDUFB7,0.8188,0.6915,0.8968,6.291204717380067e-12,-0.298,-0.544,-0.0049,0.04675106904963817,45
green,P28331,NDUFS1,0.8867,0.8019,0.9365,5.289723039973646e-16,-0.1952,-0.4622,0.1043,0.1988593486525972,45
green,P49821,NDUFV1,0.8833,0.7961,0.9345,9.771226261628781e-16,-0.296,-0.5424,-0.0027,0.0483657525793099,45
green,P51970,NDUFA8,0.8315,0.7117,0.9043,1.5128264727691378e-12,-0.0531,-0.3413,0.2442,0.7290319486576144,45
green,Q16891,IMMT,0.9155,0.8505,0.9529,1.3070269820263216e-18,-0.165,-0.4374,0.135,0.2786356004209866,45
green,Q9UI09,NDUFA12,0.9041,0.8312,0.9465,1.7576217953990302e-17,-0.2267,-0.4878,0.0716,0.13422156347954123,45
green,Q9Y512,SAMM50,0.8962,0.8178,0.9419,8.963480412704434e-17,-0.2718,-0.5236,0.0236,0.0708616433405275,45
green,Q9Y6M9,NDUFB9,0.897,0.8191,0.9424,7.638999638773171e-17,-0.3161,-0.5579,-0.0249,0.03440092741131794,45
