gene,n_miss,pct_miss,mean_intensity,classification,imputation_reliable,group_miss_pval
EPRS1,0,0,19.422496879666593,Complete,TRUE,NA
CTSB,3,6.521739130434782,18.7443293930978,MAR,TRUE,NA
HSP90AA1,0,0,25.620394890141892,Complete,TRUE,NA
HNRNPC,15,32.608695652173914,17.779300125363143,MNAR,TRUE,0.00399800099950025
UQCRH,1,2.1739130434782608,25.067159387864493,MAR,TRUE,NA
TPM2,0,0,26.84349773035885,Complete,TRUE,NA
FH,0,0,25.32510122777026,Complete,TRUE,NA
COL1A2,26,56.52173913043478,17.464861432207083,MNAR,FALSE,0.8275862068965517
ANXA6,0,0,25.961443724110055,Complete,TRUE,NA
PFKM,0,0,27.822163107507816,Complete,TRUE,NA
HSP90AB1,0,0,24.51654789881656,Complete,TRUE,NA
ELANE,36,78.26086956521739,22.590058536333128,MNAR,FALSE,0.0014992503748125937
SOD3,14,30.434782608695656,18.858605398611022,MNAR,TRUE,0.39580209895052476
CTSG,32,69.56521739130434,20.901074481718315,MNAR,FALSE,4.997501249375312e-4
MME,21,45.65217391304348,16.008567076818007,MNAR,TRUE,0.45377311344327836
PDHA1,0,0,24.819182123746575,Complete,TRUE,NA
COL4A2,16,34.78260869565217,18.60903109282386,MNAR,TRUE,0.9105447276361819
CYC1,0,0,25.312600311899725,Complete,TRUE,NA
MYL3,0,0,26.785209257317938,Complete,TRUE,NA
CFH,1,2.1739130434782608,20.851925965064368,MAR,TRUE,NA
VIM,0,0,23.256104123318703,Complete,TRUE,NA
SERPINF2,11,23.91304347826087,18.596432442208066,MAR,TRUE,NA
RPS17,1,2.1739130434782608,19.39830237096161,MAR,TRUE,NA
ANXA5,0,0,24.408405328914316,Complete,TRUE,NA
RPSA,0,0,21.617783191375228,Complete,TRUE,NA
CD63,18,39.130434782608695,17.92956160151063,MNAR,TRUE,0.09845077461269365
ENO2,0,0,27.53510874998593,Complete,TRUE,NA
ACAA1,5,10.869565217391305,18.449932283304413,MAR,TRUE,NA
GSTP1,0,0,24.570502656367665,Complete,TRUE,NA
LGALS1,0,0,25.12265255508031,Complete,TRUE,NA
QDPR,0,0,24.458373372252023,Complete,TRUE,NA
HMGB1,0,0,21.124090313218602,Complete,TRUE,NA
FBP1,1,2.1739130434782608,22.055018419846448,MAR,TRUE,NA
