grid_x,grid_y,neg_log10_p
7,9,6.092
8,9,6.264
9,9,7.01
10,9,7.235
11,9,6.47
12,9,6.755
13,9,6.58
14,9,7.372
15,9,7.227
16,9,7.107
17,9,7.461
18,9,9.272
19,9,10.175
20,9,10.586
21,9,11.014
22,9,11.461
23,9,10.367
24,9,9.837
25,9,10.303
26,9,10.291
27,9,10.293
28,9,10.306
29,9,9.853
30,9,8.97
31,9,9.017
32,9,9.073
33,9,8.695
34,9,9.212
35,9,9.294
36,9,10.318
37,9,10.912
38,9,10.54
39,9,9.713
40,9,10.317
41,9,11.459
42,9,11.625
43,9,11.804
44,9,11.471
45,9,11.149
46,9,10.338
47,9,10.044
48,9,10.25
49,9,NA
50,9,NA
51,9,0
52,9,0
53,9,0
54,9,0
55,9,0
56,9,0
57,9,0
58,9,0
59,9,0
60,9,0
61,9,0
62,9,0
63,9,0
64,9,0
65,9,0
66,9,0
67,9,0
68,9,0
69,9,0
70,9,0
71,9,0
72,9,0
73,9,0
74,9,0
75,9,0
76,9,0
77,9,0
78,9,0
79,9,0
80,9,0
81,9,0
82,9,0
83,9,0
84,9,0
85,9,0
86,9,0
87,9,0
88,9,0
89,9,0
90,9,0
91,9,0
92,9,0
93,9,0
94,9,0
95,9,0.002
96,9,-0
97,9,-0
98,9,-0
1,10,1.025
2,10,4.279
3,10,4.296
4,10,5.274
5,10,5.08
6,10,5.575
7,10,6.103
8,10,6.129
9,10,7.778
10,10,7.835
11,10,7.42
12,10,7.556
13,10,7.239
14,10,7.896
15,10,7.626
16,10,7.391
17,10,7.623
18,10,10.232
19,10,11.514
20,10,12.315
21,10,12.604
22,10,12.911
23,10,11.665
24,10,11
25,10,11.343
26,10,11.209
27,10,11.092
28,10,11.965
29,10,11.378
30,10,10.359
31,10,10.298
32,10,10.248
33,10,9.761
34,10,10.179
35,10,10.159
36,10,12.033
37,10,12.531
38,10,12.043
39,10,11.095
40,10,11.604
41,10,12.644
42,10,12.7
43,10,13.293
44,10,12.848
45,10,12.419
46,10,11.503
47,10,11.11
48,10,11.217
49,10,NA
50,10,NA
51,10,0
52,10,0
53,10,0
54,10,0
55,10,0
56,10,0
57,10,0
58,10,0
59,10,0
60,10,0
61,10,0
62,10,0
63,10,0
64,10,0
65,10,0
66,10,0
67,10,0
68,10,0
69,10,0
70,10,0
71,10,0
72,10,0
73,10,0
74,10,0
75,10,0
76,10,0
77,10,0
78,10,0
79,10,0
80,10,0
81,10,0
82,10,0
83,10,0
84,10,0
85,10,0
86,10,0
87,10,0
88,10,0
89,10,0
90,10,0
91,10,0
92,10,0
93,10,0
94,10,0
95,10,0.001
96,10,-0
97,10,-0
98,10,-0
1,11,0.98
2,11,3.914
3,11,3.813
4,11,4.618
5,11,4.897
6,11,5.241
7,11,6.144
8,11,6.036
9,11,7.487
10,11,7.93
11,11,7.89
12,11,7.888
13,11,7.917
14,11,8.441
15,11,8.048
16,11,7.7
17,11,7.817
18,11,10.228
19,11,11.337
20,11,11.977
21,11,12.13
22,11,12.81
23,11,11.5
24,11,10.756
25,11,10.972
26,11,10.74
27,11,10.527
28,11,11.235
29,11,10.591
30,11,9.556
31,11,9.408
32,11,9.271
33,11,8.742
34,11,9.028
35,11,8.922
36,11,10.494
37,11,10.835
38,11,10.306
39,11,9.385
40,11,10.591
41,11,11.428
42,11,11.374
43,11,11.795
44,11,11.761
45,11,11.268
46,11,10.346
47,11,9.896
48,11,9.891
49,11,NA
50,11,NA
51,11,0
52,11,0
53,11,0
54,11,0
55,11,0
56,11,0
57,11,0
58,11,0
59,11,0
60,11,0
61,11,0
62,11,0
63,11,0
64,11,0
65,11,0
66,11,0
67,11,0
68,11,0
69,11,0
70,11,0
71,11,0
72,11,0
73,11,0
74,11,0
75,11,0
76,11,0
77,11,0
78,11,0
79,11,0
80,11,0
81,11,0
82,11,0
83,11,0
84,11,0
85,11,0
86,11,0
87,11,0
88,11,0
89,11,0
90,11,0
91,11,0
92,11,0
93,11,0
94,11,0
95,11,0
96,11,-0
97,11,-0
98,11,-0
1,12,0.939
2,12,4.423
3,12,4.673
4,12,5.221
5,12,5.291
6,12,5.466
7,12,6.209
8,12,5.975
9,12,8.287
10,12,8.57
11,12,8.38
12,12,8.242
13,12,8.144
14,12,9.007
15,12,8.49
16,12,8.03
17,12,8.037
18,12,10.749
19,12,11.717
20,12,12.219
21,12,12.245
22,12,12.783
23,12,11.407
24,12,10.588
25,12,10.692
26,12,10.371
27,12,10.073
28,12,10.642
29,12,9.945
30,12,8.896
31,12,8.673
32,12,8.465
33,12,7.901
34,12,8.453
35,12,8.273
36,12,9.633
37,12,10.265
38,12,10.09
39,12,9.13
40,12,10.177
41,12,10.865
42,12,10.721
43,12,11.014
44,12,10.886
45,12,10.342
46,12,9.412
47,12,8.918
48,12,8.826
49,12,NA
50,12,NA
51,12,0
52,12,0
53,12,0
54,12,0
55,12,0
56,12,0
57,12,0
58,12,0
59,12,0
60,12,0
61,12,0
62,12,0
63,12,0
64,12,0
65,12,0
66,12,0
67,12,0
68,12,0
69,12,0
70,12,0
71,12,0
72,12,0
73,12,0
74,12,0
75,12,0
76,12,0
77,12,0
78,12,0
79,12,0
80,12,0
81,12,0
82,12,0
83,12,0
84,12,0
85,12,0
86,12,0
87,12,0
88,12,0
89,12,0
90,12,0
91,12,0
92,12,0
93,12,0
94,12,0
95,12,0
96,12,-0
97,12,-0
98,12,-0
1,13,0.901
2,13,4.09
3,13,4.879
4,13,5.224
5,13,5.146
6,13,5.195
7,13,5.795
8,13,5.48
9,13,7.547
10,13,7.716
11,13,7.451
12,13,7.241
13,13,7.074
14,13,7.78
15,13,7.238
16,13,7.547
17,13,7.467
18,13,9.911
19,13,10.715
20,13,11.083
21,13,11.011
22,13,11.41
23,13,10.063
24,13,9.641
25,13,9.65
26,13,9.272
27,13,8.918
28,13,9.352
29,13,8.644
30,13,7.629
31,13,7.361
32,13,7.443
33,13,7.195
34,13,7.628
35,13,7.391
36,13,8.549
37,13,9.039
38,13,9.172
39,13,8.217
40,13,9.087
41,13,9.624
42,13,9.41
43,13,9.586
44,13,9.386
45,13,8.821
46,13,8.279
47,13,7.76
48,13,7.602
49,13,NA
50,13,NA
51,13,0
52,13,0
53,13,0
54,13,0
55,13,0
56,13,0
57,13,0
58,13,0
59,13,0
60,13,0
61,13,0
62,13,0
63,13,0
64,13,0
65,13,0
66,13,0
67,13,0
68,13,0
69,13,0
70,13,0
71,13,0
72,13,0
73,13,0
74,13,0
75,13,0
76,13,0
77,13,0
78,13,0
79,13,0
80,13,0
81,13,0
82,13,0
83,13,0
84,13,0
85,13,0
86,13,0
87,13,0
88,13,0
89,13,0
90,13,0
91,13,0
92,13,0
93,13,0
94,13,0
95,13,0
96,13,-0
97,13,-0
98,13,-0
1,14,0.866
2,14,3.788
3,14,4.428
4,14,4.663
5,14,4.515
6,14,4.493
7,14,4.976
8,14,4.63
9,14,6.437
10,14,6.967
11,14,7.072
12,14,7.202
13,14,6.942
14,14,8.374
15,14,7.715
16,14,7.918
17,14,8.135
18,14,10.936
19,14,11.627
20,14,11.876
21,14,11.686
22,14,11.97
23,14,10.523
24,14,10.414
25,14,10.321
26,14,9.845
27,14,9.4
28,14,9.74
29,14,9.325
30,14,8.218
31,14,7.868
32,14,7.872
33,14,7.885
34,14,8.245
35,14,7.931
36,14,9.01
37,14,9.415
38,14,9.465
39,14,8.449
40,14,9.223
41,14,9.665
42,14,9.748
43,14,9.84
44,14,9.565
45,14,9.3
46,14,8.687
47,14,8.1
48,14,7.873
49,14,NA
50,14,NA
51,14,0
52,14,0
53,14,0
54,14,0
55,14,0
56,14,0
57,14,0
58,14,0
59,14,0
60,14,0
61,14,0
62,14,0
63,14,0
64,14,0
65,14,0
66,14,0
67,14,0
68,14,0
69,14,0
70,14,0
71,14,0
72,14,0
73,14,0
74,14,0
75,14,0
76,14,0
77,14,0
78,14,0
79,14,0
80,14,0
81,14,0
82,14,0
83,14,0
84,14,0
85,14,0
86,14,0
87,14,0
88,14,0
89,14,0
90,14,0
91,14,0
92,14,0
93,14,0
94,14,0
95,14,0
96,14,-0
97,14,-0
98,14,-0
1,15,0.834
2,15,4.306
3,15,4.651
4,15,4.703
5,15,4.922
6,15,5.218
7,15,6.026
8,15,5.488
9,15,7.227
10,15,7.626
11,15,7.599
12,15,7.61
13,15,7.238
14,15,8.552
15,15,8.206
16,15,8.303
17,15,8.418
18,15,11.077
19,15,11.645
20,15,11.78
21,15,11.493
22,15,11.666
23,15,10.183
24,15,9.99
25,15,10.606
26,15,10.044
27,15,9.519
28,15,9.766
29,15,9.648
30,15,8.471
31,15,8.049
32,15,7.979
33,15,7.918
34,15,8.195
35,15,8.483
36,15,9.486
37,15,9.809
38,15,9.778
39,15,8.699
40,15,9.383
41,15,10.103
42,15,10.106
43,15,10.117
44,15,9.768
45,15,9.433
46,15,9.109
47,15,8.798
48,15,8.497
49,15,NA
50,15,NA
51,15,0
52,15,0
53,15,0
54,15,0
55,15,0
56,15,0
57,15,0
58,15,0
59,15,0
60,15,0
61,15,0
62,15,0
63,15,0
64,15,0
65,15,0
66,15,0
67,15,0
68,15,0
69,15,0
70,15,0
71,15,0
72,15,0
73,15,0
74,15,0
75,15,0
76,15,0
77,15,0
78,15,0
79,15,0
80,15,0
81,15,0
82,15,0
83,15,0
84,15,0
85,15,0
86,15,0
87,15,0
88,15,0
89,15,0
90,15,0
91,15,0
92,15,0
93,15,0
94,15,0
95,15,0
96,15,-0
97,15,-0
98,15,-0
1,16,0.805
2,16,4.019
3,16,4.248
4,16,4.753
5,16,4.836
6,16,5.015
7,16,5.694
8,16,5.513
9,16,7.107
10,16,7.842
11,16,7.7
12,16,7.605
13,16,7.146
14,16,8.327
15,16,7.904
16,16,7.913
17,16,7.94
18,16,10.378
19,16,10.826
20,16,10.865
21,16,10.511
22,16,10.589
23,16,9.135
24,16,8.884
25,16,9.749
26,16,9.514
27,16,9.297
28,16,9.454
29,16,9.263
30,16,8.74
31,16,8.247
32,16,8.105
33,16,8.298
34,16,8.5
35,16,8.711
36,16,9.622
37,16,9.86
38,16,9.753
39,16,8.632
40,16,9.219
41,16,9.835
42,16,9.761
43,16,9.696
44,16,9.638
45,16,9.24
46,16,8.857
47,16,8.489
48,16,8.133
49,16,NA
50,16,NA
51,16,0
52,16,0
53,16,0
54,16,0
55,16,0
56,16,0
57,16,0
58,16,0
59,16,0
60,16,0
61,16,0
62,16,0
63,16,0
64,16,0
65,16,0
66,16,0
67,16,0
68,16,0
69,16,0
70,16,0
71,16,0
72,16,0
73,16,0
74,16,0
75,16,0
76,16,0
77,16,0
78,16,0
79,16,0
80,16,0
81,16,0
82,16,0
83,16,0
84,16,0
85,16,0
86,16,0
87,16,0
88,16,0
89,16,0
90,16,0
91,16,0
92,16,0
93,16,0
94,16,0
95,16,0
96,16,-0
97,16,-0
98,16,-0
1,17,0.777
2,17,3.755
3,17,4.483
4,17,4.812
5,17,4.764
6,17,5.289
7,17,5.841
8,17,5.549
9,17,7.01
10,17,7.623
11,17,7.39
12,17,7.619
13,17,7.076
14,17,8.135
15,17,8.024
16,17,7.94
17,17,7.881
18,17,10.162
19,17,10.503
20,17,10.451
21,17,10.025
22,17,10.017
23,17,8.559
24,17,8.595
25,17,9.347
26,17,9.046
27,17,8.765
28,17,9.187
29,17,8.928
30,17,8.356
31,17,7.818
32,17,7.617
33,17,8.046
34,17,8.171
35,17,8.626
36,17,9.435
37,17,9.59
38,17,9.755
39,17,8.592
40,17,9.091
41,17,9.956
42,17,9.809
43,17,9.671
44,17,9.542
45,17,9.086
46,17,8.974
47,17,8.544
48,17,8.448
49,17,NA
50,17,NA
51,17,0
52,17,0
53,17,0
54,17,0
55,17,0
56,17,0
57,17,0
58,17,0
59,17,0
60,17,0
61,17,0
62,17,0
63,17,0
64,17,0
65,17,0
66,17,0
67,17,0
68,17,0
69,17,0
70,17,0
71,17,0
72,17,0
73,17,0
74,17,0
75,17,0
76,17,0
77,17,0
78,17,0
79,17,0
80,17,0
81,17,0
82,17,0
83,17,0
84,17,0
85,17,0
86,17,0
87,17,0
88,17,0
89,17,0
90,17,0
91,17,0
92,17,0
93,17,0
94,17,0
95,17,0
96,17,-0
97,17,-0
98,17,-0
1,18,0.75
2,18,3.511
3,18,4.114
4,18,4.351
5,18,4.241
6,18,4.67
7,18,5.123
8,18,5.191
9,18,6.502
10,18,7.429
11,18,7.524
12,18,8.061
13,18,7.406
14,18,8.365
15,18,8.158
16,18,7.985
17,18,7.841
18,18,9.981
19,18,10.222
20,18,10.879
21,18,10.357
22,18,10.256
23,18,8.725
24,18,8.681
25,18,9.341
26,18,8.969
27,18,8.621
28,18,8.956
29,18,8.635
30,18,8.016
31,18,8.048
32,18,7.781
33,18,8.136
34,18,8.191
35,18,8.885
36,18,9.614
37,18,9.693
38,18,9.781
39,18,8.891
40,18,9.316
41,18,10.098
42,18,9.88
43,18,9.673
44,18,9.81
45,18,9.288
46,18,9.109
47,18,8.619
48,18,8.775
49,18,NA
50,18,NA
51,18,0
52,18,0
53,18,0
54,18,0
55,18,0
56,18,0
57,18,0
58,18,0
59,18,0
60,18,0
61,18,0
62,18,0
63,18,0
64,18,0
65,18,0
66,18,0
67,18,0
68,18,0
69,18,0
70,18,0
71,18,0
72,18,0
73,18,0
74,18,0
75,18,0
76,18,0
77,18,0
78,18,0
79,18,0
80,18,0
81,18,0
82,18,0
83,18,0
84,18,0
85,18,0
86,18,0
87,18,0
88,18,0
89,18,0
90,18,0
91,18,0
92,18,0
93,18,0
94,18,0
95,18,0
96,18,-0
97,18,-0
98,18,-0
1,19,0.726
2,19,3.284
3,19,3.776
4,19,3.93
5,19,3.769
6,19,4.951
7,19,5.717
8,19,5.653
9,19,6.867
10,19,7.684
11,19,7.67
12,19,8.517
13,19,7.748
14,19,9.012
15,19,8.692
16,19,8.417
17,19,8.178
18,19,10.624
19,19,11.17
20,19,12.15
21,19,11.495
22,19,11.285
23,19,9.61
24,19,9.474
25,19,10.061
26,19,9.596
27,19,9.163
28,19,9.421
29,19,9.352
30,19,8.645
31,19,8.604
32,19,8.261
33,19,8.549
34,19,8.534
35,19,9.158
36,19,9.808
37,19,9.814
38,19,9.829
39,19,9.203
40,19,9.883
41,19,10.597
42,19,10.306
43,19,10.027
44,19,10.092
45,19,9.504
46,19,9.582
47,19,9.024
48,19,9.114
49,19,NA
50,19,NA
51,19,0
52,19,0
53,19,0
54,19,0
55,19,0
56,19,0
57,19,0
58,19,0
59,19,0
60,19,0
61,19,0
62,19,0
63,19,0
64,19,0
65,19,0
66,19,0
67,19,0
68,19,0
69,19,0
70,19,0
71,19,0
72,19,0
73,19,0
74,19,0
75,19,0
76,19,0
77,19,0
78,19,0
79,19,0
80,19,0
81,19,0
82,19,0
83,19,0
84,19,0
85,19,0
86,19,0
87,19,0
88,19,0
89,19,0
90,19,0
91,19,0
92,19,0
93,19,0
94,19,0
95,19,0
96,19,-0
97,19,-0
98,19,-0
1,20,0.702
2,20,3.072
3,20,3.463
4,20,3.545
5,20,3.341
6,20,4.805
7,20,5.46
8,20,5.319
9,20,6.405
10,20,7.107
11,20,7.022
12,20,7.751
13,20,6.965
14,20,8.081
15,20,7.72
16,20,7.757
17,20,7.466
18,20,10.085
19,20,10.527
20,20,11.785
21,20,11.458
22,20,11.163
23,20,9.799
24,20,9.583
25,20,10.082
26,20,9.892
27,20,9.381
28,20,9.562
29,20,9.752
30,20,8.968
31,20,9.174
32,20,8.754
33,20,9.291
34,20,9.203
35,20,9.765
36,20,10.349
37,20,10.617
38,20,10.896
39,20,10.506
40,20,11.144
41,20,11.811
42,20,11.433
43,20,11.071
44,20,11.065
45,20,10.389
46,20,10.4
47,20,9.76
48,20,9.785
49,20,NA
50,20,NA
51,20,0
52,20,0
53,20,0
54,20,0
55,20,0
56,20,0
57,20,0
58,20,0
59,20,0
60,20,0
61,20,0
62,20,0
63,20,0
64,20,0
65,20,0
66,20,0
67,20,0
68,20,0
69,20,0
70,20,0
71,20,0
72,20,0
73,20,0
74,20,0
75,20,0
76,20,0
77,20,0
78,20,0
79,20,0
80,20,0
81,20,0
82,20,0
83,20,0
84,20,0
85,20,0
86,20,0
87,20,0
88,20,0
89,20,0
90,20,0
91,20,0
92,20,0
93,20,0
94,20,0
95,20,0
96,20,-0
97,20,-0
98,20,-0
1,21,0.68
2,21,2.875
3,21,3.175
4,21,3.193
5,21,2.953
6,21,4.266
7,21,4.823
