"uniprot_id","omega2","gene","label"
"HNRNPA2B1",0.176706726160388,NA,"HNRNPA2B1"
"RPS6KA3",0.175609581429355,NA,"RPS6KA3"
"DYNC1H1",0.174562916478773,NA,"DYNC1H1"
"ARL1",0.17345547163455,NA,"ARL1"
"ESYT2",0.172897163489151,NA,"ESYT2"
"NAP1L1",0.172852502826002,NA,"NAP1L1"
"CACNB3",0.17188797435448,NA,"CACNB3"
"AKT2",0.171696727560285,NA,"AKT2"
"S100A13",0.170605284121619,NA,"S100A13"
"IDH2",0.170195958069008,NA,"IDH2"
"RPL15",0.170103569266647,NA,"RPL15"
"CAP1",0.169409280601617,NA,"CAP1"
"UBE2D1",0.166597466641847,NA,"UBE2D1"
"DLST",0.165372826098309,NA,"DLST"
"NDUFS5",0.164254075753236,NA,"NDUFS5"
"RPA2",0.164171296263067,NA,"RPA2"
"HNRNPA3",0.163879655319812,NA,"HNRNPA3"
"MFAP4",0.163544179210413,NA,"MFAP4"
"IFITM1",0.163310095927267,NA,"IFITM1"
"EIF4A2",0.163231505150037,NA,"EIF4A2"
"TMX3",0.162918723656314,NA,"TMX3"
"ECHDC2",0.16213375786938,NA,"ECHDC2"
"EPM2A",0.161090900024454,NA,"EPM2A"
"SDHA",0.159595811206647,NA,"SDHA"
"ANXA3",0.159457603761113,NA,"ANXA3"
"CHCHD7",0.159385839539178,NA,"CHCHD7"
"ARCN1",0.15905268734349,NA,"ARCN1"
"ARHGDIB",0.157637592047506,NA,"ARHGDIB"
"ATP5PO",0.157499997949839,NA,"ATP5PO"
"CFL2",0.156676530488757,NA,"CFL2"
"NPM1",0.155352306624977,NA,"NPM1"
"AMPD3",0.155288287702345,NA,"AMPD3"
"HDHD2",0.152896817728903,NA,"HDHD2"
"OGDH",0.152869496233707,NA,"OGDH"
"CACNG1",0.152580082078757,NA,"CACNG1"
"NUBP1",0.152287345897053,NA,"NUBP1"
"CALU",0.152098329528992,NA,"CALU"
"PGD",0.151561894264485,NA,"PGD"
"TPPP3",0.151303741717123,NA,"TPPP3"
"NDUFAB1",0.151224827294466,NA,"NDUFAB1"
"NANS",0.150988646834547,NA,"NANS"
"CANX",0.150659493169426,NA,"CANX"
"CPNE3",0.150081832222691,NA,"CPNE3"
"CAMK2D",0.150024936578017,NA,"CAMK2D"
"PSMD7",0.149974053214496,NA,"PSMD7"
"NUDT16",0.148384651634256,NA,"NUDT16"
"ALAD",0.148234991553813,NA,"ALAD"
"NDUFA3",0.147420179201175,NA,"NDUFA3"
"CCS",0.147078703064984,NA,"CCS"
"VDAC2",0.145069344053445,NA,"VDAC2"
"IDI1",0.144777318058064,NA,"IDI1"
"APMAP",0.144597365447068,NA,"APMAP"
"HEBP1",0.141250258797273,NA,"HEBP1"
"NPEPPS",0.141232270440211,NA,"NPEPPS"
"HNRNPK",0.140104866694893,NA,"HNRNPK"
"HNRNPA1",0.13992561133035,NA,"HNRNPA1"
"ZYX",0.139882136487126,NA,"ZYX"
"USP15",0.13943862789983,NA,"USP15"
"OXSM",0.139305240175774,NA,"OXSM"
"TIMM8A",0.139277212553767,NA,"TIMM8A"
"PPP3CB",0.139126787448849,NA,"PPP3CB"
"CLIC1",0.139056939062402,NA,"CLIC1"
"MRPL47",0.138846550515035,NA,"MRPL47"
"NPLOC4",0.138831633669527,NA,"NPLOC4"
"HNRNPC",0.138528956487947,NA,"HNRNPC"
"TKFC",0.138444392457896,NA,"TKFC"
"TALDO1",0.13793651644858,NA,"TALDO1"
"NDUFAF4",0.137734452645421,NA,"NDUFAF4"
"PPP1R3A",0.137408662830808,NA,"PPP1R3A"
"LONP1",0.137357495147413,NA,"LONP1"
"HSPE1",0.136768542349729,NA,"HSPE1"
"XRCC6",0.136127600886526,NA,"XRCC6"
"SRSF2",0.135056943978638,NA,"SRSF2"
"HNRNPL",0.134912721126938,NA,"HNRNPL"
"H6PD",0.133790367765612,NA,"H6PD"
"EPB41L2",0.132715453038628,NA,"EPB41L2"
"HSDL2",0.132477627846955,NA,"HSDL2"
"HBS1L",0.13241835176905,NA,"HBS1L"
"DCTN3",0.132066265321405,NA,"DCTN3"
"PRKACA",0.131947049580373,NA,"PRKACA"
"TSFM",0.131298660586104,NA,"TSFM"
"COQ3",0.131095880022109,NA,"COQ3"
"PIN4",0.130669134184391,NA,"PIN4"
"FUS",0.13037892404533,NA,"FUS"
"IMPA2",0.130027078999567,NA,"IMPA2"
"SNX5",0.129702783513907,NA,"SNX5"
"HINT1",0.12958108687259,NA,"HINT1"
"LRRC20",0.129348377725734,NA,"LRRC20"
"THTPA",0.129153325232533,NA,"THTPA"
"GSTK1",0.129005367523617,NA,"GSTK1"
"EIF2A",0.128282540278372,NA,"EIF2A"
"EIF2S3",0.127822651270787,NA,"EIF2S3"
"CPT1A",0.127627485671951,NA,"CPT1A"
"SEPTIN6",0.127607913081317,NA,"SEPTIN6"
"TKT",0.127568609409805,NA,"TKT"
"RWDD1",0.126752946822281,NA,"RWDD1"
"GCLC",0.12561826719767,NA,"GCLC"
"AP2A1",0.125445112848387,NA,"AP2A1"
"CSNK1A1",0.124691758414971,NA,"CSNK1A1"
"CAMK2G",0.124161431523275,NA,"CAMK2G"
"MTRES1",0.124099475151033,NA,"MTRES1"
"SYNC",0.123656182277916,NA,"SYNC"
"EIF3B",0.123067378235368,NA,"EIF3B"
"LXN",0.122304405308583,NA,"LXN"
"PA2G4",0.121900370849257,NA,"PA2G4"
"ATP5PB",0.121194083888532,NA,"ATP5PB"
"COX5A",0.11931628836921,NA,"COX5A"
"DDX39B",0.119307494880782,NA,"DDX39B"
"ACAA1",0.119145447061105,NA,"ACAA1"
"LAMTOR2",0.118538739124108,NA,"LAMTOR2"
"NDUFB11",0.118158460892531,NA,"NDUFB11"
"PSMB5",0.117460623351328,NA,"PSMB5"
"RPS25",0.117357683021166,NA,"RPS25"
"PFN1",0.116947824238321,NA,"PFN1"
"CHMP2A",0.116787583167164,NA,"CHMP2A"
"CSDE1",0.11635932155757,NA,"CSDE1"
"NT5C3A",0.115691965339591,NA,"NT5C3A"
"ATPAF2",0.115182674329618,NA,"ATPAF2"
"TXN2",0.114748485707705,NA,"TXN2"
"TMEM11",0.114544699861006,NA,"TMEM11"
"UBE2G1",0.11331797906364,NA,"UBE2G1"
"GART",0.113309534844564,NA,"GART"
"CLYBL",0.113184214436726,NA,"CLYBL"
"CAND1",0.113001341597138,NA,"CAND1"
"ART3",0.112988651382628,NA,"ART3"
"STK38L",0.112424341039195,NA,"STK38L"
"HNRNPD",0.112260377180803,NA,"HNRNPD"
"PM20D2",0.112121432775583,NA,"PM20D2"
"YBX1",0.112045890071937,NA,"YBX1"
"PPIF",0.111931316609574,NA,"PPIF"
"ACSS2",0.111886856978882,NA,"ACSS2"
"DLAT",0.111364785935448,NA,"DLAT"
"RPLP2",0.111305461234386,NA,"RPLP2"
"NCL",0.110942333395739,NA,"NCL"
"MRPL49",0.110604340878899,NA,"MRPL49"
"UBE2O",0.11034281104136,NA,"UBE2O"
"ACTR2",0.110310655133548,NA,"ACTR2"
"PSMD9",0.109817108885076,NA,"PSMD9"
"COX20",0.109633389659744,NA,"COX20"
"AKR1C1",0.109623700389226,NA,"AKR1C1"
"OTUB1",0.109395315393424,NA,"OTUB1"
"ACSL1",0.109318029097368,NA,"ACSL1"
"ANXA7",0.107919395414062,NA,"ANXA7"
"ACAD10",0.107269114648071,NA,"ACAD10"
"HPRT1",0.107081358970308,NA,"HPRT1"
"CCDC124",0.106626943157614,NA,"CCDC124"
"FLOT1",0.106535490658669,NA,"FLOT1"
"GPX1",0.106209512678599,NA,"GPX1"
"EPRS1",0.106189164086179,NA,"EPRS1"
"PRPSAP2",0.1058791081016,NA,"PRPSAP2"
"GMPPB",0.105782740669383,NA,"GMPPB"
"PTPN11",0.105768079596385,NA,"PTPN11"
"MCCC1",0.105759878489386,NA,"MCCC1"
"HNRNPUL1",0.105758731277291,NA,"HNRNPUL1"
"ETF1",0.105517621927485,NA,"ETF1"
"FHL1",0.10546440655975,NA,"FHL1"
"CD81",0.105373888752202,NA,"CD81"
"PPP1R1A",0.105285750864467,NA,"PPP1R1A"
"RAB1A",0.105154785550325,NA,"RAB1A"
"AKR1C3",0.104833862650948,NA,"AKR1C3"
"HCCS",0.104798923168008,NA,"HCCS"
"CS",0.10440396821059,NA,"CS"
"CD59",0.104157545424501,NA,"CD59"
"SLC25A6",0.104082155851806,NA,"SLC25A6"
"RPL7A",0.104060652817842,NA,"RPL7A"
"RAP1A",0.103905096218846,NA,"RAP1A"
"SCRN3",0.103735998596754,NA,"SCRN3"
"HNRNPUL2",0.103716444519634,NA,"HNRNPUL2"
"SUCLG1",0.103577576998299,NA,"SUCLG1"
"SUCLA2",0.102304024429328,NA,"SUCLA2"
"HSP90AB1",0.101672754383555,NA,"HSP90AB1"
"LRPPRC",0.10134764360722,NA,"LRPPRC"
"NPEPL1",0.101135528507858,NA,"NPEPL1"
"MDH2",0.101119821402742,NA,"MDH2"
"COX6B1",0.100632670318628,NA,"COX6B1"
"MOB4",0.100612988527854,NA,"MOB4"
"SGTA",0.100172943731517,NA,"SGTA"
"RANBP1",0.0997837219173206,NA,"RANBP1"
"AP2M1",0.098847786883332,NA,"AP2M1"
"HRC",0.0984729849162183,NA,"HRC"
"PADI2",0.0981045289545481,NA,"PADI2"
"XRCC5",0.0975748585438767,NA,"XRCC5"
"PDHX",0.097340222901855,NA,"PDHX"
"PALMD",0.0973098629127742,NA,"PALMD"
"PTPN1",0.0972959295645628,NA,"PTPN1"
"RPS3",0.0972029641708425,NA,"RPS3"
"IDH3A",0.097148500156076,NA,"IDH3A"
"TMEM167A",0.097021587534407,NA,"TMEM167A"
"PDLIM3",0.0969305800322658,NA,"PDLIM3"
"DDX1",0.0967802450204457,NA,"DDX1"
"BIN1",0.096558049750408,NA,"BIN1"
"AQP1",0.0962673247188234,NA,"AQP1"
"RDH11",0.0952450205448916,NA,"RDH11"
"SEPTIN9",0.0949582616889167,NA,"SEPTIN9"
"ACAD8",0.0947251451682262,NA,"ACAD8"
"FLOT2",0.0946869642531956,NA,"FLOT2"
"IRGQ",0.0943930404527208,NA,"IRGQ"
"TUBA8",0.0942290151648811,NA,"TUBA8"
"CNIH4",0.093041329353651,NA,"CNIH4"
"TFRC",0.0926645782178625,NA,"TFRC"
"TMX1",0.0917043437240252,NA,"TMX1"
"LAMTOR3",0.0914303866925097,NA,"LAMTOR3"
"ACTR3",0.0914088424139834,NA,"ACTR3"
"CKM",0.0906820930665467,NA,"CKM"
"PURA",0.090357278828415,NA,"PURA"
"SESN1",0.089823048123491,NA,"SESN1"
"MYO1C",0.0897362992672461,NA,"MYO1C"
"FXYD1",0.0894441274588293,NA,"FXYD1"
"LMAN2",0.088745274983952,NA,"LMAN2"
"GCDH",0.0883038449223654,NA,"GCDH"
"HSPA4",0.0881586533690256,NA,"HSPA4"
"SMTN",0.0881141566587839,NA,"SMTN"
"MYO18A",0.0876855881593556,NA,"MYO18A"
"JPT2",0.0871803521685837,NA,"JPT2"
"RDX",0.0862157993015446,NA,"RDX"
"ACADSB",0.0861978189459329,NA,"ACADSB"
"LYRM7",0.0859856719507009,NA,"LYRM7"
"TPP2",0.0852044844132359,NA,"TPP2"
"ESYT1",0.0850196837078532,NA,"ESYT1"
"DHRS7",0.0849837111077175,NA,"DHRS7"
"HBG2",0.0849157342283591,NA,"HBG2"
"ALPK3",0.0847533472872505,NA,"ALPK3"
"TPD52L2",0.0845572488300981,NA,"TPD52L2"
"PSME1",0.0839157174603285,NA,"PSME1"
"TMOD1",0.0836218510260797,NA,"TMOD1"
"EIF3C",0.083551723023573,NA,"EIF3C"
"FTH1",0.0831493049690225,NA,"FTH1"
"PPM1B",0.0831044047910883,NA,"PPM1B"
"ATP5MF",0.0822965256084647,NA,"ATP5MF"
"HSPA2",0.0822637252192521,NA,"HSPA2"
"PCBD2",0.082092313432524,NA,"PCBD2"
"COL18A1",0.0820114252042487,NA,"COL18A1"
"ATP6V1H",0.0819573149842181,NA,"ATP6V1H"
"TIMM13",0.0819001271593559,NA,"TIMM13"
"PBXIP1",0.0814761311214776,NA,"PBXIP1"
"PHB2",0.0813933715427117,NA,"PHB2"
"COMT",0.0813488846596998,NA,"COMT"
"TOMM40",0.0807422970971566,NA,"TOMM40"
"PDCD5",0.0806111255676682,NA,"PDCD5"
"CLASP2",0.0803825664586678,NA,"CLASP2"
"CA2",0.0803252355699967,NA,"CA2"
"FXN",0.0802448802972913,NA,"FXN"
"WARS1",0.0799525253828158,NA,"WARS1"
"PABPC4",0.0799300047737748,NA,"PABPC4"
"MAPRE3",0.0797653629981376,NA,"MAPRE3"
"MAP2K1",0.079710799409441,NA,"MAP2K1"
"MDP1",0.0795748960107113,NA,"MDP1"
"RUVBL1",0.0794510072627617,NA,"RUVBL1"
"SEC22B",0.0791926462042206,NA,"SEC22B"
"CASQ1",0.0791522150023266,NA,"CASQ1"
"RPL12",0.0790321029128891,NA,"RPL12"
"UQCRB",0.0789067502189464,NA,"UQCRB"
"SMTNL1",0.0785596144155226,NA,"SMTNL1"
"HADHA",0.0782632237847556,NA,"HADHA"
"COX6C",0.078191108271898,NA,"COX6C"
"NUBP2",0.0781654241295247,NA,"NUBP2"
"CACNG6",0.0777823043221736,NA,"CACNG6"
"LMOD3",0.0777660410982812,NA,"LMOD3"
"DDI2",0.0777376922112956,NA,"DDI2"
"EIF4A1",0.0776594714900682,NA,"EIF4A1"
"ANXA5",0.0775926147866583,NA,"ANXA5"
"GOT1",0.0773980930553249,NA,"GOT1"
"DNAJA4",0.0773395927826092,NA,"DNAJA4"
"SUB1",0.0767851769120437,NA,"SUB1"
"CCDC43",0.0761511599085962,NA,"CCDC43"
"VPS35",0.076142135920521,NA,"VPS35"
"RAD23B",0.075960390808592,NA,"RAD23B"
"BLVRA",0.0757214186541701,NA,"BLVRA"
"VARS1",0.0757109324217921,NA,"VARS1"
"FAM98B",0.0756963038084892,NA,"FAM98B"
"TIMM21",0.0755963466387993,NA,"TIMM21"
"HLA-DRA",0.0755669942759422,NA,"HLA-DRA"
"SYNM",0.0755415593999431,NA,"SYNM"
"TOM1",0.0755180438135851,NA,"TOM1"
"UCHL1",0.0754231254272082,NA,"UCHL1"
"EIF3L",0.0749029136892631,NA,"EIF3L"
"NDUFAF5",0.0746649778332392,NA,"NDUFAF5"
"PRKCSH",0.074500588490922,NA,"PRKCSH"
"CHDH",0.0744131851789511,NA,"CHDH"
"NNMT",0.0738979126230105,NA,"NNMT"
"LASP1",0.0735760988754498,NA,"LASP1"
"SPPL2A",0.0732203654489764,NA,"SPPL2A"
"PSMC6",0.073205405381537,NA,"PSMC6"
"CAMK2B",0.0728365645874255,NA,"CAMK2B"
"FITM2",0.0728144958404573,NA,"FITM2"
"PITPNA",0.0722650094000095,NA,"PITPNA"
"COX19",0.0721636970577497,NA,"COX19"
"ALDH9A1",0.0715559759392192,NA,"ALDH9A1"
"PNPO",0.0714891512110229,NA,"PNPO"
"MTCH2",0.0712943595633781,NA,"MTCH2"
"RTN4",0.0710598185047238,NA,"RTN4"
"TMED9",0.0710292759105075,NA,"TMED9"
"SYNGR2",0.0709397491363443,NA,"SYNGR2"
"RPL6",0.070904927234862,NA,"RPL6"
"ALDH5A1",0.0707871905548083,NA,"ALDH5A1"
"MRPL44",0.0706838107381006,NA,"MRPL44"
"ESD",0.0706173768927895,NA,"ESD"
"PRDX2",0.0705650633261562,NA,"PRDX2"
"BOLA2",0.0704761504626914,NA,"BOLA2"
"NDUFS4",0.0703378879973392,NA,"NDUFS4"
"COQ7",0.0703330577910412,NA,"COQ7"
"ISCU",0.0701428066233429,NA,"ISCU"
"VPS26A",0.0701415074124233,NA,"VPS26A"
"VDAC3",0.0700728703504784,NA,"VDAC3"
"PFKFB2",0.0700043547093303,NA,"PFKFB2"
"MYH9",0.0697506926611712,NA,"MYH9"
"ACADVL",0.0695991963526621,NA,"ACADVL"
"TST",0.0687061166709178,NA,"TST"
"EEF1D",0.0684756196076246,NA,"EEF1D"
"MAPRE1",0.0684743618788932,NA,"MAPRE1"
"MFN2",0.0682128376256382,NA,"MFN2"
"ATP5F1A",0.068135656850924,NA,"ATP5F1A"
"UBAC1",0.0680110190977496,NA,"UBAC1"
"GYPC",0.068007024420958,NA,"GYPC"
"DDX6",0.0678413190935368,NA,"DDX6"
"PHKB",0.0677684446339864,NA,"PHKB"
"RPS12",0.0677490835367719,NA,"RPS12"
"API5",0.0673112432400734,NA,"API5"
"MRPS23",0.0672785986754534,NA,"MRPS23"
"RPL30",0.0672550243587144,NA,"RPL30"
"VCP",0.0670489238632442,NA,"VCP"
"C19orf12",0.0669012260187977,NA,"C19orf12"
"PDHB",0.0668325404709877,NA,"PDHB"
"ARPC5L",0.0664743303868842,NA,"ARPC5L"
"PIP4K2B",0.0661446264677004,NA,"PIP4K2B"
"GNAS",0.0659594659326457,NA,"GNAS"
"NOL3",0.0659591471464671,NA,"NOL3"
"CALR",0.0651563650976609,NA,"CALR"
"PFDN4",0.0650885415404297,NA,"PFDN4"
"RAB9A",0.0649906946812588,NA,"RAB9A"
"DYNC1LI1",0.0643741482069168,NA,"DYNC1LI1"
"YARS1",0.0641426267160872,NA,"YARS1"
"PCYOX1",0.064117978911565,NA,"PCYOX1"
"RAB11B",0.0635937617169053,NA,"RAB11B"
"NAE1",0.0635655556160072,NA,"NAE1"
"MLYCD",0.0631012708126077,NA,"MLYCD"
"PSMC5",0.0629550093994211,NA,"PSMC5"
"RPL18",0.0628632980804734,NA,"RPL18"
"CAB39",0.0624557644556391,NA,"CAB39"
"ACAT1",0.0621653793665924,NA,"ACAT1"
"COBL",0.0616135915436823,NA,"COBL"
"FARSB",0.0616053407298175,NA,"FARSB"
"SGCA",0.0614565837253872,NA,"SGCA"
"NMT1",0.0608061326119105,NA,"NMT1"
"VTA1",0.0605833129346063,NA,"VTA1"
"EIF3F",0.060121744293734,NA,"EIF3F"
"MAP3K20",0.0600681905680349,NA,"MAP3K20"
"LAMTOR1",0.0599400270803477,NA,"LAMTOR1"
"FSCN1",0.0597441118423283,NA,"FSCN1"
"HSP90AA1",0.0594789584477915,NA,"HSP90AA1"
"TMLHE",0.0594610645633253,NA,"TMLHE"
"OXCT1",0.0590252486690188,NA,"OXCT1"
"NDUFB9",0.0589250730409792,NA,"NDUFB9"
"ATP5F1B",0.0587196149638777,NA,"ATP5F1B"
"PSMD12",0.0586777261787482,NA,"PSMD12"
"PHKG1",0.0583432026280357,NA,"PHKG1"
"RPA3",0.0583399908686744,NA,"RPA3"
"GOT2",0.058208241083365,NA,"GOT2"
"RPS6",0.0579629823902742,NA,"RPS6"
"TMX4",0.0578033806474734,NA,"TMX4"
"EIF3E",0.0577215612369274,NA,"EIF3E"
"MAT2A",0.0576933718490555,NA,"MAT2A"
"METTL26",0.0573100863700223,NA,"METTL26"
"ISYNA1",0.0571969022031303,NA,"ISYNA1"
"TCP1",0.0569474582022223,NA,"TCP1"
"MPDU1",0.0566262166289636,NA,"MPDU1"
"GAA",0.0565232739864742,NA,"GAA"
"DNAJB4",0.0564202391594661,NA,"DNAJB4"
"SLC44A2",0.0563939899864467,NA,"SLC44A2"
"ECPAS",0.0563013895670985,NA,"ECPAS"
"OPLAH",0.0560361783210749,NA,"OPLAH"
"HADHB",0.0560169147141664,NA,"HADHB"
"CAPN2",0.055834991689015,NA,"CAPN2"
"PSMB3",0.0558003001077617,NA,"PSMB3"
"RAN",0.0557579581894314,NA,"RAN"
"RTN4IP1",0.0557275894622759,NA,"RTN4IP1"
"RAB1B",0.0557221068715598,NA,"RAB1B"
"SH3BGRL",0.0555014890187213,NA,"SH3BGRL"
"RPL7",0.0553773693299447,NA,"RPL7"
"NHLRC2",0.0553607144679731,NA,"NHLRC2"
"TPRKB",0.0553417980929018,NA,"TPRKB"
"MGLL",0.0553391349568995,NA,"MGLL"
"PYGM",0.0551119669298164,NA,"PYGM"
"DIABLO",0.0551095073120775,NA,"DIABLO"
"UBE3C",0.0548918410116744,NA,"UBE3C"
"EIF3M",0.0545258739796392,NA,"EIF3M"
"RPS4X",0.0543781084890656,NA,"RPS4X"
"ARHGAP1",0.0543292101963933,NA,"ARHGAP1"
"RPLP0",0.0541060634885767,NA,"RPLP0"
"MLEC",0.0539088299025589,NA,"MLEC"
"PDPR",0.0538833978282322,NA,"PDPR"
"MCCC2",0.0537506748630988,NA,"MCCC2"
"NDUFB10",0.0537036635828426,NA,"NDUFB10"
"FAH",0.0534297085254849,NA,"FAH"
"CSNK2B",0.0532126869050843,NA,"CSNK2B"
"CYB5R1",0.0525539732675957,NA,"CYB5R1"
"STAT5B",0.0522798323057391,NA,"STAT5B"
"MAP2K3",0.0521591260035864,NA,"MAP2K3"
"ARL6IP5",0.0520613589943996,NA,"ARL6IP5"
"MPI",0.0520307155286426,NA,"MPI"
"SLC25A11",0.051872373331055,NA,"SLC25A11"
"CKB",0.0517070000851514,NA,"CKB"
"UBE3A",0.0515522688928839,NA,"UBE3A"
"RPL10A",0.0515191520023663,NA,"RPL10A"
"CA3",0.0512473659976611,NA,"CA3"
"POLDIP2",0.0509442186051401,NA,"POLDIP2"
"KCTD12",0.0507735406408378,NA,"KCTD12"
"ENOPH1",0.0506199123447304,NA,"ENOPH1"
"FUBP1",0.0503055033461331,NA,"FUBP1"
"FBP2",0.0502801312490246,NA,"FBP2"
"DHCR24",0.0502448101624913,NA,"DHCR24"
"DUSP28",0.0493566123310358,NA,"DUSP28"
"TXNRD1",0.0491914848590756,NA,"TXNRD1"
"ECI1",0.0489306664514227,NA,"ECI1"
"S100A16",0.0489290492038868,NA,"S100A16"
"PRKAR2A",0.0484346562231568,NA,"PRKAR2A"
"SIRT5",0.0482964427192264,NA,"SIRT5"
"FDXR",0.0482610553688749,NA,"FDXR"
"ILF2",0.0480926843923555,NA,"ILF2"
"SELENOW",0.0480738755613716,NA,"SELENOW"
"CHCHD10",0.0477975411949604,NA,"CHCHD10"
"FABP3",0.0477035404802764,NA,"FABP3"
"EML1",0.0476336348974259,NA,"EML1"
"CES2",0.0472458146580157,NA,"CES2"
"ADSL",0.0472121820262565,NA,"ADSL"
"HK1",0.0471964420625313,NA,"HK1"
"COA6",0.0471354045764438,NA,"COA6"
"REEP5",0.047034357545498,NA,"REEP5"
"ATP2B4",0.0470060665342714,NA,"ATP2B4"
"SLC25A4",0.04686588926231,NA,"SLC25A4"
"HIBADH",0.0468617108587101,NA,"HIBADH"
"VAPA",0.0467803210530379,NA,"VAPA"
"CYB5R3",0.0465083450293842,NA,"CYB5R3"
"TUBA4A",0.0464775164306489,NA,"TUBA4A"
"UQCRH",0.0464395126785204,NA,"UQCRH"
"MYL12B",0.0463429082608751,NA,"MYL12B"
"SPTAN1",0.0462580790749303,NA,"SPTAN1"
"PRPS1",0.0460521116146513,NA,"PRPS1"
"OSTC",0.046020985617299,NA,"OSTC"
"PARVA",0.0459195148338498,NA,"PARVA"
"DHRS7C",0.0458711949833373,NA,"DHRS7C"
"MAPKAPK2",0.0456805312634283,NA,"MAPKAPK2"
"ABHD11",0.0455340606706701,NA,"ABHD11"
"SRPRB",0.045454128850211,NA,"SRPRB"
"ABCB7",0.0451432501128575,NA,"ABCB7"
"CNDP2",0.0448480422661561,NA,"CNDP2"
"FHOD1",0.0447981274802027,NA,"FHOD1"
"KRT10",0.0446391893409784,NA,"KRT10"
"PIN1",0.0445780208511611,NA,"PIN1"
"UBA1",0.0443963690613008,NA,"UBA1"
"LANCL1",0.0442711867011691,NA,"LANCL1"
"OSTF1",0.0442607098947827,NA,"OSTF1"
"NAGK",0.0441977818670022,NA,"NAGK"
"HSPA5",0.0441396228077836,NA,"HSPA5"
"EZR",0.0439437345086947,NA,"EZR"
"AHNAK",0.0438496807571201,NA,"AHNAK"
"ERP29",0.0437440650482146,NA,"ERP29"
"LNPEP",0.043684919447755,NA,"LNPEP"
"SOD2",0.0436172078164568,NA,"SOD2"
"YWHAQ",0.0432526317160022,NA,"YWHAQ"
"ACY1",0.0431096392960597,NA,"ACY1"
"PDK2",0.043053330156076,NA,"PDK2"
"ACAD9",0.0429193055258181,NA,"ACAD9"
