"contrast","gene"
"Ac.(HR)","PM20D2"
"Ac.(HR)","ATPAF2"
"Ac.(HR)","UBA3"
"Ac.(HR)","TMEM167A"
"Ac.(HR)","LRRC20"
"Ac.(HR)","PNPT1"
"Ac.(HR)","SMIM4"
"Ac.(HR)","SYNE2"
"Ac.(HR)","CHCHD10"
"Ac.(HR)","MYO18A"
"Ac.(HR)","OSTF1"
"Ac.(HR)","PHKB"
"Ac.(HR)","ACSF2"
"Ac.(HR)","ALPK3"
"Ac.(HR)","PLIN4"
"Ac.(HR)","S100A13"
"Ac.(HR)","TPPP3"
"Ac.(HR)","NLN"
"Ac.(HR)","MYLK2"
"Ac.(HR)","BOLA2"
"Ac.(HR)","POFUT1"
"Ac.(HR)","APMAP"
"Ac.(HR)","ACSS2"
"Ac.(HR)","COQ3"
"Ac.(HR)","DNAJB4"
"Ac.(HR)","NAGK"
"Ac.(HR)","FARSA"
"Ac.(HR)","PADI2"
"Ac.(HR)","TPRKB"
"Ac.(HR)","GMPPB"
"Ac.(HR)","NUBP2"
"Ac.(LR)","FITM1"
"Ac.(LR)","CLIC1"
"Ac.(LR)","CCS"
"Ac.(LR)","TCAP"
"Ac.(LR)","HNRNPR"
"Ac.(LR)","TIMM8A"
"Ac.(LR)","COBL"
"Ac.(LR)","SH3BGRL"
"Ac.(LR)","FLOT1"
"Ac.(LR)","PNP"
"Ac.(LR)","HPRT1"
"Ac.(LR)","CA2"
"Ac.(LR)","HLA-B"
"Ac.(LR)","TFRC"
"Ac.(LR)","CAT"
"Ac.(LR)","NPM1"
"Ac.(LR)","BPGM"
"Ac.(LR)","HNRNPC"
"Ac.(LR)","CTSG"
"Ac.(LR)","HNRNPA1"
"Ac.(LR)","SLC2A1"
"Ac.(LR)","EPB41"
"Ac.(LR)","SPTB"
"Ac.(LR)","ANXA3"
"Ac.(LR)","MYH8"
"Ac.(LR)","ALAD"
"Ac.(LR)","LCP1"
"Ac.(LR)","ANK1"
"Ac.(LR)","HNRNPA2B1"
"Ac.(LR)","DDX6"
"Ac.(LR)","STOM"
"Ac.(LR)","TMOD1"
"Ac.(LR)","TKT"
"Ac.(LR)","AQP1"
"Ac.(LR)","BLVRB"
"Ac.(LR)","ADD1"
"Ac.(LR)","SNCA"
"Ac.(LR)","RBMX"
"Ac.(LR)","GCLC"
"Ac.(LR)","CSNK1A1"
"Ac.(LR)","UBE2D1"
"Ac.(LR)","HNRNPA3"
"Ac.(LR)","PGD"
"Ac.(LR)","ARHGDIB"
"Ac.(LR)","CRIP2"
"Ac.(LR)","NUBP1"
"Ac.(LR)","YARS1"
"Ac.(LR)","RRAD"
"Ac.(LR)","ARPC4"
"Ac.(LR)","CD81"
"Ac.(LR)","RPS27A"
"Ac.(LR)","HBG2"
"Ac.(LR)","MPP1"
"Ac.(LR)","PITPNA"
"Ac.(LR)","CAP1"
"Ac.(LR)","MRPL49"
"Ac.(LR)","SEPTIN6"
"Ac.(LR)","FLOT2"
"Ac.(LR)","ARHGAP19"
"Ac.(LR)","DDI2"
"Ac.(LR)","RCSD1"
"Ac.(LR)","DARS2"
"Ac.(LR)","FERMT3"
"Ac.(LR)","PNPT1"
"Ac.(LR)","SYNE2"
"Ac.(LR)","LXN"
"Ac.(LR)","UBE2O"
"Ac.(LR)","APMAP"
"Ac.(LR)","NANS"
"Ac.(LR)","HEBP1"
"Ac.(LR)","MRPL22"
"Ac.(LR)","CHORDC1"
"Ac.(LR)","SEPTIN9"
"Ac.(LR)","STOML2"
"Ac.(LR)","LSM2"
"Ac.(LR)","MOB4"
"Ac.Int.","FITM1"
"Ac.Int.","MAP1LC3B2"
"Ac.Int.","FXYD1"
"Ac.Int.","CCS"
"Ac.Int.","ARPC1B"
"Ac.Int.","SH3BGRL"
"Ac.Int.","PRKRA"
"Ac.Int.","FLOT1"
"Ac.Int.","RTN3"
"Ac.Int.","PNP"
"Ac.Int.","TFRC"
"Ac.Int.","FTL"
"Ac.Int.","MT-ND3"
"Ac.Int.","CAT"
"Ac.Int.","SSB"
"Ac.Int.","BPGM"
"Ac.Int.","ALDOC"
"Ac.Int.","RO60"
"Ac.Int.","GAA"
"Ac.Int.","SLC2A1"
"Ac.Int.","EPB41"
"Ac.Int.","SPTB"
"Ac.Int.","XRCC6"
"Ac.Int.","ALAD"
"Ac.Int.","LCP1"
"Ac.Int.","PRKCSH"
"Ac.Int.","PFKFB1"
"Ac.Int.","ANK1"
"Ac.Int.","PTPN1"
"Ac.Int.","VARS1"
"Ac.Int.","ADSS2"
"Ac.Int.","RPA3"
"Ac.Int.","SNCA"
"Ac.Int.","RPL13A"
"Ac.Int.","ARL1"
"Ac.Int.","RPL14"
"Ac.Int.","CRIP2"
"Ac.Int.","NUBP1"
"Ac.Int.","COPB1"
"Ac.Int.","YARS1"
"Ac.Int.","RPS20"
"Ac.Int.","HBG2"
"Ac.Int.","RPL6"
"Ac.Int.","ARHGAP1"
"Ac.Int.","ILF3"
"Ac.Int.","TARDBP"
"Ac.Int.","CAMK2D"
"Ac.Int.","SEPTIN6"
"Ac.Int.","MLEC"
"Ac.Int.","FLOT2"
"Ac.Int.","PPP2R5D"
"Ac.Int.","ARHGAP19"
"Ac.Int.","PEA15"
"Ac.Int.","MYLK"
"Ac.Int.","FSCN1"
"Ac.Int.","TST"
"Ac.Int.","PHKG1"
"Ac.Int.","PDLIM3"
"Ac.Int.","GARNL3"
"Ac.Int.","MICOS13"
"Ac.Int.","LAMTOR1"
"Ac.Int.","ACAD10"
"Ac.Int.","UQCC3"
"Ac.Int.","MYPN"
"Ac.Int.","PM20D2"
"Ac.Int.","MYO18A"
"Ac.Int.","PBXIP1"
"Ac.Int.","S100A13"
"Ac.Int.","TMEM43"
"Ac.Int.","TPPP3"
"Ac.Int.","UBE2O"
"Ac.Int.","ISCU"
"Ac.Int.","RWDD1"
"Ac.Int.","JPT2"
"Ac.Int.","TIMMDC1"
"Ac.Int.","BIN3"
"Ac.Int.","ACSS2"
"Ac.Int.","ATG3"
"Ac.Int.","CHORDC1"
"Ac.Int.","SEPTIN9"
"Ac.Int.","CYB5R1"
"Ac.Int.","STOML2"
"Ac.Int.","MAPRE3"
"Ac.Int.","RUVBL1"
"Ac.Int.","TPRKB"
"Ac.Int.","GMPPB"
