"uniprot_id","eta2","gene","label"
"P61604",0.236784534346531,"HSPE1","HSPE1"
"O60610",0.23672384711768,"DIAPH1","DIAPH1"
"O00299",0.236093077171873,"CLIC1","CLIC1"
"Q7L2H7",0.235484527844405,"EIF3M","EIF3M"
"P15311",0.234212392103413,"EZR","EZR"
"Q14141",0.234133010833141,"SEPTIN6","SEPTIN6"
"P17612",0.233577221987086,"PRKACA","PRKACA"
"Q9UDY4",0.233122428779013,"DNAJB4","DNAJB4"
"P35637",0.233102629464941,"FUS","FUS"
"Q6YN16",0.233030832185293,"HSDL2","HSDL2"
"P43897",0.232817671811829,"TSFM","TSFM"
"Q8N5M1",0.232357285452518,"ATPAF2","ATPAF2"
"Q96RQ3",0.232276517075708,"MCCC1","MCCC1"
"Q9Y450",0.232166950712356,"HBS1L","HBS1L"
"Q9NZJ6",0.2319930784993,"COQ3","COQ3"
"P49773",0.231945487531592,"HINT1","HINT1"
"O14732",0.231573844058736,"IMPA2","IMPA2"
"Q16654",0.231443152003841,"PDK4","PDK4"
"Q9Y237",0.23125055438474,"PIN4","PIN4"
"Q8TCA0",0.230741142881812,"LRRC20","LRRC20"
"O75955",0.230662001601308,"FLOT1","FLOT1"
"Q08752",0.230447416307334,"PPID","PPID"
"Q9Y2Q3",0.230127207580404,"GSTK1","GSTK1"
"P48449",0.229618555232615,"LSS","LSS"
"Q9Y265",0.22935426772357,"RUVBL1","RUVBL1"
"Q9UHA4",0.228349876184743,"LAMTOR3","LAMTOR3"
"Q14738",0.228077733716965,"PPP2R5D","PPP2R5D"
"Q96GG9",0.227775438045714,"DCUN1D1","DCUN1D1"
"P41091",0.227495040475946,"EIF2S3","EIF2S3"
"Q969Z3",0.22701077284337,"MTARC2","MTARC2"
"Q9Y5K5",0.226321445139153,"UCHL5","UCHL5"
"Q13555",0.22594255285443,"CAMK2G","CAMK2G"
"Q9UIA9",0.225910793306907,"XPO7","XPO7"
"Q9NQ50",0.225767019121957,"MRPL40","MRPL40"
"Q15386",0.225534797317859,"UBE3C","UBE3C"
"Q5RI15",0.225337217266919,"COX20","COX20"
"Q9BSJ8",0.224972590002236,"ESYT1","ESYT1"
"P29401",0.224631532994289,"TKT","TKT"
"Q9HAB8",0.224320846244588,"PPCS","PPCS"
"Q9UQ80",0.224221661545009,"PA2G4","PA2G4"
"Q9NS69",0.222565491082409,"TOMM22","TOMM22"
"O15144",0.222385504763993,"ARPC2","ARPC2"
"Q86VS8",0.221909608433954,"HOOK3","HOOK3"
"O95782",0.221561048554576,"AP2A1","AP2A1"
"P07737",0.221428693801125,"PFN1","PFN1"
"Q0VDG4",0.221148076110963,"SCRN3","SCRN3"
"Q9Y3A3",0.221077516991126,"MOB4","MOB4"
"Q9NX14",0.22082539040464,"NDUFB11","NDUFB11"
"P24539",0.220585202633283,"ATP5PB","ATP5PB"
"P53701",0.220479925236043,"HCCS","HCCS"
"Q9BYT8",0.220290905676794,"NLN","NLN"
"P20674",0.220005094460368,"COX5A","COX5A"
"P28074",0.219976904458122,"PSMB5","PSMB5"
"P10155",0.219889568745256,"RO60","RO60"
"P11055",0.219841542291782,"MYH3","MYH3"
