"phase","gene","hr","lr","gap"
"Acute (T3 - T2)","FTL",1.28713673284911,-0.15911031239186,1.44624704524097
"Acute (T3 - T2)","MT-ND3",-0.590703061972022,0.568028250449043,1.15873131242106
"Acute (T3 - T2)","CAT",0.517290686335276,1.60646706447515,1.08917637813987
"Acute (T3 - T2)","SSB",0.790549476676077,-0.891504834699809,1.68205431137589
"Acute (T3 - T2)","BPGM",0.0871491469471124,1.6506603322266,1.56351118527949
"Acute (T3 - T2)","ALDOC",-0.438132739095291,0.445270976142112,0.883403715237403
"Acute (T3 - T2)","RO60",2.38805429630896,-0.50889517500071,2.89694947130967
"Acute (T3 - T2)","GAA",0.754770809106905,-0.389960347334171,1.14473115644108
"Acute (T3 - T2)","SLC2A1",0.277152987262653,1.82923438592807,1.55208139866542
"Acute (T3 - T2)","EPB41",-0.136581600831164,1.78396619846351,1.92054779929467
"Acute (T3 - T2)","SPTB",0.499803155816529,1.80570765658476,1.30590450076823
"Acute (T3 - T2)","XRCC6",-0.573933226193745,0.39168868536867,0.965621911562415
"Acute (T3 - T2)","ALAD",0.147710266991062,1.22115346992803,1.07344320293697
"Acute (T3 - T2)","LCP1",1.05260692703946,2.33726006322123,1.28465313618177
"Acute (T3 - T2)","PRKCSH",0.207020244104651,-0.480841453031434,0.687861697136085
"Acute (T3 - T2)","PFKFB1",-0.609890699945282,0.200277735880736,0.810168435826018
"Acute (T3 - T2)","ANK1",0.266229171830371,2.09755062997377,1.8313214581434
"Acute (T3 - T2)","PTPN1",1.390651306727,-0.413694300735681,1.80434560746268
"Acute (T3 - T2)","VARS1",0.404163861275464,-0.533753177968563,0.937917039244027
"Acute (T3 - T2)","ADSS2",-0.642946543767135,0.493738610904856,1.13668515467199
"Acute (T3 - T2)","RPA3",-0.59480726821635,0.346282373129622,0.941089641345972
"Acute (T3 - T2)","SNCA",0.276393644405253,2.91786558886501,2.64147194445976
"Acute (T3 - T2)","RPL13A",0.657987209916389,-0.576522937117829,1.23451014703422
"Acute (T3 - T2)","ARL1",1.41353563305701,-0.405788339353794,1.8193239724108
"Acute (T3 - T2)","RPL14",0.712552665918018,-0.489486504300729,1.20203917021875
"Acute (T3 - T2)","CRIP2",0.4070728945137,-1.00482551676204,1.41189841127574
"Acute (T3 - T2)","NUBP1",0.0646005500889437,-0.960221203665402,1.02482175375435
"Acute (T3 - T2)","COPB1",0.529052629513849,-0.42492610179087,0.953978731304719
"Acute (T3 - T2)","YARS1",-0.40543488082411,1.24848878083649,1.6539236616606
"Acute (T3 - T2)","RPS20",0.860346553559978,-0.485343180399731,1.34568973395971
"Acute (T3 - T2)","HBG2",0.868594819051879,2.75728076692574,1.88868594787386
