uniprot_id,gene,description,verdict,reason,contaminant,in_rbc,secretome,blood_conc,ery,myo,blood_cor
O14737,PDCD5,Programmed cell death protein 5,keep,keep,FALSE,TRUE,NA,140000,4.8,21.7,0.008672525439407955
O14744,PRMT5,Protein arginine N-methyltransferase 5,keep,keep,FALSE,TRUE,NA,51000,0.4,8.9,0.03013937282229966
O14791,APOL1,Apolipoprotein L1,remove: plasma,remove: plasma,TRUE,TRUE,Secreted to blood,4100000000,0,0.1,0.3631578947368421
O14818,PSMA7,Proteasome subunit alpha type-7,keep,keep,FALSE,TRUE,NA,15000000,63.7,25.1,0.11430742509769866
O14841,OPLAH,5-oxoprolinase,keep,keep,FALSE,TRUE,NA,12000,0.2,14.2,-0.09302325581395349
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,2.9,4.4,0.026086956521739126
O14880,MGST3,Microsomal glutathione S-transferase 3,keep,keep,FALSE,TRUE,NA,330000,96.5,259.2,-0.21645679548415112
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,keep,keep,FALSE,TRUE,NA,41000,30.4,30.8,-0.06231003039513678
O14950,MYL12B,Myosin regulatory light chain 12B,keep,keep,FALSE,TRUE,NA,NA,44.3,14,0.0486322188449848
O14957,UQCR11,Cytochrome b-c1 complex subunit 10,keep,keep,FALSE,TRUE,NA,NA,52.2,5.6,-0.05608233117483811
O14958,CASQ2,Calsequestrin-2,keep,keep,FALSE,TRUE,Intracellular and membrane,NA,0,277.7,0.121580547112462
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,keep,keep,FALSE,TRUE,NA,300000,13.9,243.4,0.2982872200263504
O14980,XPO1,Exportin-1,keep,keep,FALSE,TRUE,NA,310000,18.1,303.6,-0.09828722002635044
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,keep,keep,FALSE,TRUE,NA,2500000,0,441.7,0.16554494138080764
O15061,SYNM,Synemin,keep,keep,FALSE,FALSE,NA,NA,0.1,204.7,0.18112858464384826
O15075,DCLK1,Serine/threonine-protein kinase DCLK1,keep,keep,FALSE,FALSE,NA,NA,0.2,79.4,NA
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,keep,keep,FALSE,TRUE,NA,11000000,10.6,1.6,0.2300751879699248
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,keep,keep,FALSE,TRUE,NA,7600000,23.8,65.7,0.09759358288770054
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,keep,keep,FALSE,TRUE,NA,3100000,19.3,3.9,0.18556891766882513
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,keep,keep,FALSE,TRUE,Secreted - unknown location,87000,17.4,25.5,0.06706753006475485
O15212,PFDN6,Prefoldin subunit 6,keep,keep,FALSE,TRUE,NA,130000,4.8,0.6,0.01646903820816864
O15273,TCAP,Telethonin,keep,keep,FALSE,FALSE,NA,15000,0,349.2,0.24218410768562745
O15305,PMM2,Phosphomannomutase 2,keep,keep,FALSE,TRUE,NA,39000,1.7,65.3,0.17354596622889312
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,keep,keep,FALSE,TRUE,NA,35000,16.8,18.7,0.10803689064558628
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",keep,keep,FALSE,FALSE,NA,20000,0.2,67.4,-0.12417195207892882
O15400,STX7,Syntaxin-7,keep,keep,FALSE,TRUE,NA,540000,11,62.3,0.11612805798852312
O15427,SLC16A3,Monocarboxylate transporter 4,keep,keep,FALSE,TRUE,NA,28000,1,40.1,NA
O15498,YKT6,Synaptobrevin homolog YKT6,keep,keep,FALSE,TRUE,NA,11000,7.4,4.6,0.37326203208556147
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,keep,keep,FALSE,TRUE,NA,1700000,20.7,6,NA
O15533,TAPBP,Tapasin,keep,keep,FALSE,TRUE,NA,8100,0.5,0.9,NA
O43169,CYB5B,Cytochrome b5 type B,keep,keep,FALSE,TRUE,NA,85000,0.4,53,0.0298523664785063
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,keep,keep,FALSE,FALSE,NA,490000,0,0.8,-0.16176470588235298
O43181,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,2.6,253.9,-0.20374653098982423
O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,keep,keep,FALSE,FALSE,NA,19000,9.1,74.9,-0.0624794835321151
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,keep,keep,FALSE,TRUE,NA,12000000,5.9,37.8,0.27005858772741287
O43374,RASA4,Ras GTPase-activating protein 4,keep,keep,FALSE,FALSE,NA,NA,0,0.5,0.10399562123700054
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,keep,keep,FALSE,TRUE,NA,270000,3.7,7.5,0.38260869565217387
O43396,TXNL1,Thioredoxin-like protein 1,keep,keep,FALSE,TRUE,NA,2400000,38.8,186.2,0.014437689969604863
O43399,TPD52L2,Tumor protein D54,keep,keep,FALSE,TRUE,NA,930000,0,0.1,0.20168543878129813
O43414,ERI3,ERI1 exoribonuclease 3,keep,keep,FALSE,TRUE,NA,NA,5,85.6,-0.2642614862781375
O43464,HTRA2,"Serine protease HTRA2, mitochondrial",keep,keep,FALSE,TRUE,NA,180000,30.3,4.4,-0.19999999999999998
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,keep,keep,FALSE,TRUE,NA,1500000,4.6,6.9,-0.04359389454209065
O43491,EPB41L2,Band 4.1-like protein 2,keep,keep,FALSE,TRUE,NA,160000,2.1,5.9,-0.14675324675324677
O43583,DENR,Density-regulated protein,keep,keep,FALSE,TRUE,NA,210000,7.9,63.5,-0.20922266139657442
O43598,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,keep,keep,FALSE,TRUE,NA,290000,15.2,4.2,-0.021993653572600937
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,keep,keep,FALSE,FALSE,NA,3500,6.1,61.9,0.06498612395929695
O43617,TRAPPC3,Trafficking protein particle complex subunit 3,keep,keep,FALSE,TRUE,NA,NA,18.1,27.5,0.10649350649350649
O43633,CHMP2A,Charged multivesicular body protein 2a,keep,keep,FALSE,TRUE,NA,68000,32.2,5.6,0.11128132180763758
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,0.1,1.7,-0.28082368082368087
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,keep,keep,FALSE,TRUE,NA,NA,14.5,37.4,-0.045701259227095094
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,keep,keep,FALSE,FALSE,NA,NA,36.4,9.1,-0.0340859748154581
O43681,ASNA1,ATPase ASNA1,keep,keep,FALSE,TRUE,NA,20000,8.3,4.4,0.22814523589269195
O43707,ACTN4,Alpha-actinin-4,keep,keep,FALSE,TRUE,NA,99000000,1.8,0.3,0.006404689535388623
O43708,GSTZ1,Maleylacetoacetate isomerase,keep,keep,FALSE,TRUE,NA,250000,1.5,13,-0.1676230745998188
O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1,keep,keep,FALSE,FALSE,NA,NA,0.2,2,NA
O43741,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,keep,keep,FALSE,FALSE,NA,NA,0.3,24.9,-0.025823014195107217
O43747,AP1G1,AP-1 complex subunit gamma-1,keep,keep,FALSE,TRUE,NA,130000,7.6,145.5,0.23515016685205786
O43760,SYNGR2,Synaptogyrin-2,keep,keep,FALSE,TRUE,NA,NA,5.6,18.2,0.39327782917052106
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,keep,keep,FALSE,TRUE,NA,86000,2.4,13.9,0.10606060606060605
O43768,ENSA,Alpha-endosulfine,keep,keep,FALSE,TRUE,NA,1100000,11.7,52.5,0.13966275659824048
O43772,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,keep,keep,FALSE,TRUE,NA,NA,6.3,94.8,-0.20016188714153563
O43776,NARS1,"Asparagine--tRNA ligase, cytoplasmic",keep,keep,FALSE,TRUE,NA,57000,24.9,44.5,-0.07712765957446809
O43813,LANCL1,Glutathione S-transferase LANCL1,keep,keep,FALSE,TRUE,NA,22000,0.4,81.8,-0.20097132284921368
O43826,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,keep,keep,FALSE,TRUE,NA,NA,NA,NA,0.028183780450200428
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",keep,keep,FALSE,FALSE,NA,4200,4.9,17.9,-0.11875814155449414
O43852,CALU,Calumenin,keep,keep,FALSE,TRUE,Intracellular and membrane,16000000,5.1,46.4,-0.22444495837187792
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,keep,keep,FALSE,FALSE,NA,57000,4,173.5,0.008695652173913042
O43866,CD5L,CD5 antigen-like,remove: plasma,remove: plasma,TRUE,TRUE,Secreted to blood,3800000000,4.7,0.1,NA
O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,keep,keep,FALSE,FALSE,NA,NA,27.9,25.1,-0.1498046026921407
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,keep,keep,FALSE,FALSE,NA,12000,1.6,7.4,-0.4417366946778712
O60234,GMFG,Glia maturation factor gamma,keep,keep,FALSE,TRUE,NA,2700000,12.3,0.7,NA
O60237,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,keep,keep,FALSE,FALSE,NA,NA,8.2,1549.6,-0.0167487684729064
O60240,PLIN1,Perilipin-1,keep,keep,FALSE,FALSE,NA,29000,0,3.6,NA
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,keep,keep,FALSE,TRUE,NA,79000,11.9,67,0.14106211474632527
O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial",keep,keep,FALSE,TRUE,NA,7900,22.6,146.8,0.038274745605920445
O60343,TBC1D4,TBC1 domain family member 4,keep,keep,FALSE,FALSE,NA,NA,0.1,961,NA
O60493,SNX3,Sorting nexin-3,keep,keep,FALSE,TRUE,NA,560000,151.2,80.7,0.06036077705827937
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,keep,keep,FALSE,TRUE,NA,840000,0,0.3,0.2558741905642923
O60610,DIAPH1,Protein diaphanous homolog 1,keep,keep,FALSE,TRUE,NA,1800000,13.1,356.9,0.17440660474716202
O60662,KLHL41,Kelch-like protein 41,keep,keep,FALSE,FALSE,NA,12000,0,69.5,0.24359531046461136
O60664,PLIN3,Perilipin-3,keep,keep,FALSE,TRUE,NA,3800000,2.1,39.5,-8.684324793747286e-4
O60684,KPNA6,Importin subunit alpha-7,keep,keep,FALSE,TRUE,NA,28000,9.7,171.2,0.07216349541930937
O60701,UGDH,UDP-glucose 6-dehydrogenase,keep,keep,FALSE,FALSE,NA,830000,0.4,6.8,NA
O60749,SNX2,Sorting nexin-2,keep,keep,FALSE,TRUE,NA,180000,21.2,76.5,0.21254404510218464
O60763,USO1,General vesicular transport factor p115,keep,keep,FALSE,TRUE,NA,98000,2.4,638.9,0.07180851063829788
O60784,TOM1,Target of Myb protein 1,keep,keep,FALSE,TRUE,NA,16000,5.6,91.2,-0.10475466782457664
O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",keep,keep,FALSE,FALSE,NA,NA,36.6,114,-0.12735191637630663
O60826,CCDC22,Coiled-coil domain-containing protein 22,keep,keep,FALSE,TRUE,NA,NA,0.2,11.6,-0.04153846153846154
O60841,EIF5B,Eukaryotic translation initiation factor 5B,keep,keep,FALSE,TRUE,NA,130000,43.3,87.6,-0.09652173913043477
O60884,DNAJA2,DnaJ homolog subfamily A member 2,keep,keep,FALSE,TRUE,NA,110000,16.2,20.7,0.013569257490230134
O60888,CUTA,Protein CutA,remove: plasma,remove: plasma,TRUE,TRUE,Secreted to blood,6700000,10.9,1.4,-0.16040703052728952
O60936,NOL3,Nucleolar protein 3,keep,keep,FALSE,FALSE,NA,9700,0,115.4,-0.11944958371877891
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,9.7,171.9,0.0914349276974416
O75083,WDR1,WD repeat-containing protein 1,keep,keep,FALSE,TRUE,NA,66000000,8.9,28.8,0.14339991315675205
O75112,LDB3,LIM domain-binding protein 3,keep,keep,FALSE,FALSE,NA,440000,0,924.1,0.11105080330004342
O75122,CLASP2,CLIP-associating protein 2,keep,keep,FALSE,TRUE,NA,NA,4.5,523.3,-0.4385964912280702
O75128,COBL,Protein cordon-bleu,keep,keep,FALSE,FALSE,NA,NA,0,210.3,-0.17502265176683782
O75131,CPNE3,Copine-3,keep: rescued (muscle-expressed),keep: rescued (muscle-expressed),FALSE,TRUE,NA,150000,11.2,45.9,0.4667900092506937
O75153,CLUH,Clustered mitochondria protein homolog,keep,keep,FALSE,FALSE,NA,7400,0.2,31.5,-0.03928219717693402
O75155,CAND2,Cullin-associated NEDD8-dissociated protein 2,keep,keep,FALSE,TRUE,NA,NA,0,195.2,-0.11413043478260869
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,0.1,104.4,-0.23903603994789407
O75223,GGCT,Gamma-glutamylcyclotransferase,keep,keep,FALSE,TRUE,NA,3000000,1.5,2.4,-0.06339557099435518
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",keep,keep,FALSE,FALSE,NA,9700,15.6,64.9,-0.29093432007400555
O75298,RTN2,Reticulon-2,keep,keep,FALSE,TRUE,NA,NA,0.3,107.4,0.0937907077724707
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",keep,keep,FALSE,TRUE,NA,37000,12.7,46.5,-0.09324793747286149
O75323,NIPSNAP2,Protein NipSnap homolog 2,keep,keep,FALSE,FALSE,NA,NA,5,406.4,0.10670864090316978
O75340,PDCD6,Programmed cell death protein 6,keep,keep,FALSE,TRUE,NA,1400000,0,0.2,-0.09187675070028012
O75347,TBCA,Tubulin-specific chaperone A,keep,keep,FALSE,TRUE,NA,5300000,13,163.6,0.3203052728954672
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,keep,keep,FALSE,TRUE,NA,100000,11.7,20.6,0.1559934318555008
O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,keep,keep,FALSE,TRUE,NA,32000,7.2,35.7,0.05072463768115941
O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein,keep,keep,FALSE,TRUE,NA,NA,4.8,13.3,0.1272727272727273
O75368,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein,keep,keep,FALSE,TRUE,NA,12000000,34.8,0.8,0.2930434782608695
O75369,FLNB,Filamin-B,keep,keep,FALSE,FALSE,NA,19000000,0.3,1.2,0.13732088580112897
O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,31.1,27.2,-0.010312635692574902
O75390,CS,"Citrate synthase, mitochondrial",keep,keep,FALSE,TRUE,NA,850000,2.2,132.1,-0.13276161528441163
O75391,SPAG7,Sperm-associated antigen 7,keep,keep,FALSE,TRUE,NA,NA,4.8,45.4,-0.1021671826625387
O75396,SEC22B,Vesicle-trafficking protein SEC22b,keep,keep,FALSE,TRUE,NA,120000,5.2,31.1,0.11958063521430773
O75431,MTX2,Metaxin-2,keep,keep,FALSE,TRUE,NA,21000,4.7,185,-0.1659619450317125
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,keep,keep,FALSE,TRUE,NA,65000,4.9,64.4,0.28017802865827185
O75438,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,keep,keep,FALSE,TRUE,NA,NA,35.5,75.4,-0.05015197568389058
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,keep,keep,FALSE,FALSE,NA,6700,4.9,79.5,0.004435483870967742
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",keep,keep,FALSE,TRUE,NA,13000,4.6,3.6,-0.05036908380373426
O75521,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,7.7,77.1,-0.2133441258094357
O75531,BANF1,Barrier-to-autointegration factor,keep,keep,FALSE,TRUE,NA,270000,6.7,6,0.12244897959183673
O75534,CSDE1,Cold shock domain-containing protein E1,keep,keep,FALSE,FALSE,NA,61000,58.4,376.7,0.2928769657724329
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,keep,keep,FALSE,TRUE,NA,NA,2,114.8,-0.10085470085470084
O75594,PGLYRP1,Peptidoglycan recognition protein 1,remove: plasma,remove: plasma,TRUE,FALSE,Secreted to blood,9100000,6.1,0.9,NA
O75608,LYPLA1,Acyl-protein thioesterase 1,keep,keep,FALSE,TRUE,NA,280000,4.6,75.6,-0.15914025184541902
O75663,TIPRL,TIP41-like protein,keep,keep,FALSE,TRUE,NA,13000,3.4,24.9,-0.11702127659574468
O75688,PPM1B,Protein phosphatase 1B,keep,keep,FALSE,TRUE,NA,77000,0.2,2.6,0.2713043478260869
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,keep,keep,FALSE,TRUE,NA,4800,3.7,702,-0.1255970473295701
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,keep,keep,FALSE,TRUE,NA,42000,21.6,5.5,-0.15309617918313567
