gene,logFC,neg_log10_p,pi_score,adj_pval,direction
EZR,0.6721,0.7095,0.333555,0.998942,NS
UBE3C,-0.3983,1.1942,0.334479,0.998942,NS
ATP2A3,-0.3961,1.1997,0.334764,0.998942,NS
PITHD1,-0.5238,0.9023,0.336789,0.998942,NS
VPS35,0.322,1.4596,0.338883,0.998942,NS
TFRC,-0.5888,0.7906,0.34239000000000003,0.998942,NS
COL6A2,-0.6928,0.6718,0.342401,0.998942,NS
MPDU1,0.5408,0.8552,0.344771,0.998942,NS
TST,-0.4675,0.9807,0.347983,0.998942,NS
RPS12,0.3627,1.2636,0.348117,0.998942,NS
NUDC,0.3851,1.1821,0.350536,0.998942,NS
EPRS1,0.2817,1.5937,0.355666,0.998942,NS
STK38,-0.4468,1.0027,0.356463,0.998942,NS
TOLLIP,0.3629,1.2314,0.357381,0.998942,NS
AP2A1,0.3902,1.1439,0.357848,0.998942,NS
NDUFA3,0.459,0.9679,0.359538,0.998942,NS
ARF6,0.5171,0.8531,0.362112,0.998942,NS
NDRG2,-0.3207,1.3727,0.362931,0.998942,NS
C1QB,-0.6826,0.6428,0.364106,0.998942,NS
CLEC3B,0.553,0.7894,0.365987,0.998942,NS
CACNA1S,-0.3401,1.2646,0.371413,0.998942,NS
HBA1,-0.5571,0.7699,0.372476,0.998942,NS
APPL1,0.4086,1.0467,0.373547,0.998942,NS
ALDH1B1,0.4788,0.8797,0.379169,0.998942,NS
MT-CO1,-0.5558,0.7533,0.381313,0.998942,NS
ARHGAP1,0.4558,0.9159,0.382369,0.998942,NS
RBKS,0.7315,0.5644,0.386465,0.998942,NS
NFU1,0.4322,0.9544,0.386815,0.998942,NS
CYB5B,-0.3503,1.1656,0.390593,0.998942,NS
ANK1,-0.5932,0.6879,0.390818,0.998942,NS
UFD1,-0.361,1.1238,0.392871,0.998942,NS
GPX4,-0.3484,1.1637,0.393159,0.998942,NS
EHD1,0.3025,1.3263,0.39697,0.998942,NS
COL4A2,0.6561,0.6106,0.397564,0.998942,NS
VKORC1L1,-0.4799,0.8347,0.397585,0.998942,NS
MOGS,-0.5908,0.6657,0.404308,0.998942,NS
PPIL1,-0.3758,1.0343,0.408592,0.998942,NS
EPB41L2,0.4576,0.835,0.414875,0.998942,NS
CKMT2,0.3336,1.1389,0.416903,0.998942,NS
ESYT2,-0.3821,0.9869,0.419669,0.998942,NS
TRIM54,-0.4484,0.8404,0.419962,0.998942,NS
PNP,-0.5977,0.6268,0.422037,0.998942,NS
BANF1,-0.3756,0.9948,0.423032,0.998942,NS
ARMT1,-0.3677,1.0075,0.426156,0.998942,NS
GSN,0.4052,0.9122,0.426915,0.998942,NS
ATP6V1H,0.472,0.783,0.426941,0.998942,NS
PREP,-0.2474,1.485,0.429142,0.998942,NS
ACTR2,0.3731,0.9675,0.435495,0.998942,NS
IPO7,-0.4131,0.8735,0.435703,0.998942,NS
HSPB8,-0.3566,1.0039,0.438482,0.998942,NS
PTPA,0.4606,0.7712,0.441401,0.998942,NS
