pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation Of Ubiquitin Dependent Protein ...,GO:BP,-0.685,-0.996,0.9764,0.8937,NS,39
GOBP_PROTEIN_NEDDYLATION,Protein Neddylation,GO:BP,0.807,-0.871,0.912,0.9535,NS,16
GOBP_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR,Response To Fibroblast Growth Factor,GO:BP,-0.709,-0.969,0.9494,0.9196,NS,10
GOBP_REGULATION_OF_PHAGOCYTOSIS,Regulation Of Phagocytosis,GO:BP,0.89,0.784,0.8699,0.9766,NS,16
GOBP_PROTEIN_STABILIZATION,Protein Stabilization,GO:BP,0.674,0.999,0.9825,0.8916,NS,56
GOBP_TEMPERATURE_HOMEOSTASIS,Temperature Homeostasis,GO:BP,-0.838,-0.834,0.9111,0.9665,NS,24
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE,Glycolytic Process Through Glucose 6 Phosp...,GO:BP,-0.811,-0.859,0.912,0.9535,NS,14
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,Regulation Of The Force Of Heart Contraction,GO:BP,-0.717,0.947,0.9494,0.9237,NS,14
GOBP_PROSTANOID_METABOLIC_PROCESS,Prostanoid Metabolic Process,GO:BP,0.971,0.691,0.8051,0.9961,NS,16
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,Regulation Of Transmembrane Receptor Prote...,GO:BP,0.901,0.759,0.8699,0.9864,NS,23
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,-0.904,0.751,0.8713,0.9961,NS,34
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Leukocyte Cell Cell Adhesion,GO:BP,-0.888,0.765,0.8891,0.9907,NS,37
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,Positive Regulation Of Cold Induced Thermo...,GO:BP,-0.812,-0.841,0.912,0.9601,NS,15
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Telomere Maintenance Via Telomere Lengthening,GO:BP,0.718,0.935,0.9494,0.9245,NS,17
GOBP_ISOPRENOID_METABOLIC_PROCESS,Isoprenoid Metabolic Process,GO:BP,-0.537,-1.114,0.9905,0.839,NS,17
GOBP_NUCLEAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Nuclear Receptor Mediated Signaling Pathway,GO:BP,1.158,-0.492,0.6418,0.9996,NS,24
GOBP_PROTEIN_MONOUBIQUITINATION,Protein Monoubiquitination,GO:BP,-0.789,0.86,0.912,0.9532,NS,11
GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,Reactive Oxygen Species Biosynthetic Process,GO:BP,0.711,-0.934,0.9459,0.9237,NS,11
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,0.988,-0.656,0.8004,0.9993,NS,60
GOBP_NUCLEAR_EXPORT,Nuclear Export,GO:BP,-1.015,-0.629,0.7802,0.9993,NS,27
GOBP_VIRAL_GENOME_REPLICATION,Viral Genome Replication,GO:BP,-1.015,-0.628,0.7819,0.9993,NS,19
GOBP_RHYTHMIC_PROCESS,Rhythmic Process,GO:BP,0.859,0.781,0.8974,0.9864,NS,31
GOBP_COPII_COATED_VESICLE_BUDDING,Copii Coated Vesicle Budding,GO:BP,-0.703,0.937,0.9495,0.9244,NS,14
GOBP_MEMBRANE_DOCKING,Membrane Docking,GO:BP,0.669,-0.97,0.9636,0.9206,NS,19
GOBP_DE_NOVO_POST_TRANSLATIONAL_PROTEIN_FOLDING,De Novo Post Translational Protein Folding,GO:BP,-0.711,0.927,0.9495,0.926,NS,14
GOBP_RECEPTOR_INTERNALIZATION,Receptor Internalization,GO:BP,0.705,0.93,0.9545,0.926,NS,22
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Positive Regulation Of Epithelial Cell Pro...,GO:BP,-1.098,-0.536,0.7203,0.9993,NS,15
GOBP_CYTOKINETIC_PROCESS,Cytokinetic Process,GO:BP,-0.87,0.764,0.8863,0.9789,NS,15
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,Negative Regulation Of Inflammatory Response,GO:BP,-0.726,-0.906,0.9469,0.926,NS,14
GOBP_STRESS_FIBER_ASSEMBLY,Stress Fiber Assembly,GO:BP,0.73,0.902,0.9495,0.9315,NS,21
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,Negative Regulation Of Leukocyte Cell Cell...,GO:BP,-0.771,0.854,0.9248,0.9535,NS,10
GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT,Regulation Of Muscle Organ Development,GO:BP,0.725,0.894,0.9385,0.929,NS,10
GOBP_TRANSITION_METAL_ION_TRANSPORT,Transition Metal Ion Transport,GO:BP,-0.936,-0.682,0.8322,0.9961,NS,18
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,Myeloid Leukocyte Mediated Immunity,GO:BP,0.563,1.055,0.9853,0.8559,NS,11
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS,Multicellular Organismal Response To Stress,GO:BP,0.93,0.685,0.8322,0.9961,NS,12
GOBP_SENSORY_SYSTEM_DEVELOPMENT,Sensory System Development,GO:BP,0.577,-1.036,0.9903,0.858,NS,26
GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,Regulation Of Muscle Cell Differentiation,GO:BP,-0.961,0.651,0.814,0.9993,NS,14
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Glycoprotein Biosynthetic Process,GO:BP,-0.692,0.92,0.9495,0.926,NS,13
GOBP_ADAPTIVE_THERMOGENESIS,Adaptive Thermogenesis,GO:BP,0.881,0.729,0.8854,0.9961,NS,25
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,Negative Regulation Of Cell Activation,GO:BP,-1.107,-0.487,0.7154,0.9996,NS,16
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Phospholipid Biosynthetic Process,GO:BP,0.655,-0.934,0.9741,0.9245,NS,24
GOBP_ENDOTHELIUM_DEVELOPMENT,Endothelium Development,GO:BP,-0.774,-0.814,0.9259,0.9665,NS,15
GOBP_DNA_BIOSYNTHETIC_PROCESS,DNA Biosynthetic Process,GO:BP,-0.723,0.865,0.9495,0.9535,NS,19
GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY,Metallo Sulfur Cluster Assembly,GO:BP,-0.679,0.904,0.9584,0.926,NS,14
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Positive Regulation Of Protein Localizatio...,GO:BP,0.646,0.937,0.9698,0.9244,NS,17
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,Homeostasis Of Number Of Cells,GO:BP,-0.76,0.821,0.9495,0.9781,NS,42
GOBP_ERYTHROCYTE_HOMEOSTASIS,Erythrocyte Homeostasis,GO:BP,-0.635,0.945,0.9784,0.9237,NS,24
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Ubiquitin Dependent...,GO:BP,-0.599,-0.98,0.9872,0.9077,NS,22
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,Positive Regulation Of DNA Repair,GO:BP,-1.086,-0.491,0.7365,0.9994,NS,13
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,Cellular Response To Reactive Oxygen Species,GO:BP,-0.814,0.762,0.9248,0.992,NS,33
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,Regulation Of Chromosome Organization,GO:BP,-0.797,-0.779,0.9259,0.9864,NS,30
GOBP_REGULATION_OF_ERBB_SIGNALING_PATHWAY,Regulation Of Erbb Signaling Pathway,GO:BP,-0.806,0.769,0.912,0.9781,NS,10
GOBP_DENDRITE_DEVELOPMENT,Dendrite Development,GO:BP,0.805,-0.769,0.9171,0.9864,NS,24
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Carbohydrate Biosynthetic Process,GO:BP,0.711,0.863,0.9741,0.9601,NS,47
GOBP_CIRCADIAN_RHYTHM,Circadian Rhythm,GO:BP,-0.583,0.991,0.9889,0.8957,NS,25
GOBP_REGULATION_OF_PROTEIN_NEDDYLATION,Regulation Of Protein Neddylation,GO:BP,-0.834,-0.738,0.8974,0.9864,NS,11
GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,Signal Transduction By p53 Class Mediator,GO:BP,0.937,0.631,0.8323,0.9993,NS,24
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS,Positive Regulation Of Chemotaxis,GO:BP,-0.859,0.709,0.8865,0.9883,NS,10
GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS,Cellular Response To Oxidative Stress,GO:BP,0.707,0.861,0.9764,0.9615,NS,52
GOBP_INCLUSION_BODY_ASSEMBLY,Inclusion Body Assembly,GO:BP,-0.896,0.671,0.8699,0.9961,NS,12
GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,Cellular Response To Carbohydrate Stimulus,GO:BP,-0.932,0.634,0.8344,0.9993,NS,21
GOBP_SYNAPSE_ASSEMBLY,Synapse Assembly,GO:BP,-0.839,0.725,0.8974,0.9864,NS,13
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION,Response To Amino Acid Starvation,GO:BP,-0.808,-0.756,0.912,0.9794,NS,10
GOBP_COGNITION,Cognition,GO:BP,-0.782,0.781,0.9318,0.9864,NS,27
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,-0.843,0.72,0.9091,0.9961,NS,24
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,Positive Regulation Of Vasculature Develop...,GO:BP,-0.933,0.629,0.8344,0.9993,NS,21
GOBP_RESPONSE_TO_STEROID_HORMONE,Response To Steroid Hormone,GO:BP,0.931,0.631,0.8514,0.9993,NS,48
GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,Negative Regulation Of Vasculature Develop...,GO:BP,-0.741,-0.82,0.9401,0.9601,NS,12
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,Negative Regulation Of Protein Ubiquitination,GO:BP,-1.171,0.387,0.6415,0.9996,NS,18
GOBP_RESPONSE_TO_CORTICOSTEROID,Response To Corticosteroid,GO:BP,0.84,-0.718,0.9091,0.9961,NS,21
GOBP_NEGATIVE_REGULATION_OF_MACROAUTOPHAGY,Negative Regulation Of Macroautophagy,GO:BP,-0.647,0.909,0.9636,0.926,NS,10
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Regulation Of Cellular Response To Growth ...,GO:BP,0.634,-0.92,0.9814,0.926,NS,29
GOBP_PROTEIN_METHYLATION,Protein Methylation,GO:BP,-0.812,-0.74,0.912,0.9864,NS,13
GOBP_GLYCOSYLATION,Glycosylation,GO:BP,0.591,0.958,0.9781,0.9237,NS,11
GOBP_NEURON_MIGRATION,Neuron Migration,GO:BP,-0.81,0.736,0.912,0.9864,NS,16
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS,Multi Multicellular Organism Process,GO:BP,0.902,-0.642,0.8699,0.9993,NS,23
GOBP_REGULATION_OF_DNA_RECOMBINATION,Regulation Of DNA Recombination,GO:BP,-0.921,0.62,0.8458,0.9993,NS,14
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,Golgi To Plasma Membrane Protein Transport,GO:BP,-1.024,-0.516,0.7794,0.9993,NS,10
GOBP_T_CELL_PROLIFERATION,T Cell Proliferation,GO:BP,-0.664,-0.876,0.9636,0.9524,NS,18
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,Positive Regulation Of Telomere Maintenance,GO:BP,0.733,-0.806,0.9459,0.9733,NS,18
GOBP_REGULATION_OF_CELL_DIVISION,Regulation Of Cell Division,GO:BP,0.506,1.033,0.9938,0.8668,NS,16
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,Er Nucleus Signaling Pathway,GO:BP,-0.696,0.839,0.9495,0.9601,NS,11
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,Primary Alcohol Metabolic Process,GO:BP,-0.574,-0.961,0.9889,0.9233,NS,21
GOBP_MITOTIC_CYTOKINETIC_PROCESS,Mitotic Cytokinetic Process,GO:BP,-0.815,0.719,0.912,0.9864,NS,12
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,Cell Surface Receptor Protein Serine Threo...,GO:BP,0.781,0.752,0.9385,0.9961,NS,33
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,Negative Regulation Of Response To Wounding,GO:BP,-0.802,0.73,0.912,0.9864,NS,12
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,Intracellular Iron Ion Homeostasis,GO:BP,-0.87,-0.655,0.8891,0.9993,NS,19
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,Hormone Mediated Signaling Pathway,GO:BP,0.907,-0.612,0.8695,0.9993,NS,25
GOBP_INTRACELLULAR_LIPID_TRANSPORT,Intracellular Lipid Transport,GO:BP,0.877,0.637,0.8699,0.9993,NS,10
GOBP_ALDEHYDE_METABOLIC_PROCESS,Aldehyde Metabolic Process,GO:BP,0.777,0.733,0.9385,0.9961,NS,28
GOBP_ONE_CARBON_METABOLIC_PROCESS,One Carbon Metabolic Process,GO:BP,0.879,0.629,0.8699,0.9993,NS,10
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,Regulation Of Leukocyte Chemotaxis,GO:BP,-0.731,-0.776,0.9439,0.9781,NS,12
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,Regulation Of Neuronal Synaptic Plasticity,GO:BP,-0.793,0.708,0.912,0.9883,NS,10
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING,Negative Regulation Of Wound Healing,GO:BP,0.747,0.753,0.9277,0.9789,NS,10
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,Pigment Biosynthetic Process,GO:BP,-0.719,-0.78,0.9466,0.9733,NS,10
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,Protein Modification By Small Protein Removal,GO:BP,-0.969,-0.522,0.814,0.9994,NS,22
GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,Pyridine Containing Compound Catabolic Pro...,GO:BP,-0.668,-0.823,0.9781,0.9789,NS,39
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY,Regulation Of Hydrolase Activity,GO:BP,-0.81,0.679,0.9248,0.9993,NS,31
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS,Development Of Primary Sexual Characteristics,GO:BP,-0.683,-0.806,0.9589,0.9733,NS,16
GOBP_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,GO:BP,0.735,0.75,0.9543,0.9961,NS,38
GOBP_NEURON_CELLULAR_HOMEOSTASIS,Neuron Cellular Homeostasis,GO:BP,-0.735,-0.748,0.9385,0.9854,NS,10
GOBP_LEUKOCYTE_CHEMOTAXIS,Leukocyte Chemotaxis,GO:BP,-0.764,0.719,0.9401,0.9961,NS,24
GOBP_HYPEROSMOTIC_RESPONSE,Hyperosmotic Response,GO:BP,0.782,-0.698,0.912,0.9961,NS,10
GOBP_MEMBRANE_RAFT_ORGANIZATION,Membrane Raft Organization,GO:BP,-0.646,0.832,0.9636,0.9601,NS,10
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT,Golgi To Plasma Membrane Transport,GO:BP,-1.07,-0.406,0.7541,0.9996,NS,12
GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS,Positive Regulation Of Viral Process,GO:BP,-0.78,-0.695,0.9259,0.9961,NS,16
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,Regulation Of Telomere Maintenance Via Tel...,GO:BP,0.871,0.603,0.8854,0.9993,NS,14
GOBP_SECONDARY_METABOLIC_PROCESS,Secondary Metabolic Process,GO:BP,-0.743,-0.73,0.9327,0.9864,NS,10
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Negative Regulation Of Response To Endopla...,GO:BP,0.671,0.801,0.9618,0.9698,NS,15
GOBP_NEGATIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Negative Regulation Of Post Translational ...,GO:BP,-1.07,0.401,0.7439,0.9996,NS,20
GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE,Cellular Response To Hydrogen Peroxide,GO:BP,-0.524,-0.947,0.9905,0.9237,NS,11
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,Positive Regulation Of Chromosome Organiza...,GO:BP,-0.685,-0.781,0.9619,0.9789,NS,19
GOBP_PLASMA_MEMBRANE_REPAIR,Plasma Membrane Repair,GO:BP,-0.503,0.962,0.9933,0.9222,NS,13
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Protein Catabolic P...,GO:BP,-0.582,-0.879,0.9889,0.9532,NS,22
GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION,Skeletal Muscle Tissue Regeneration,GO:BP,0.609,0.851,0.9781,0.9535,NS,13
GOBP_SENSORY_ORGAN_MORPHOGENESIS,Sensory Organ Morphogenesis,GO:BP,-0.752,-0.707,0.9385,0.9961,NS,14
HALLMARK_COAGULATION,Coagulation,Hallmark,-0.607,0.848,0.9882,0.9658,NS,33
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS,Calcium Ion Regulated Exocytosis,GO:BP,-0.86,-0.592,0.8864,0.9993,NS,10
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,Monosaccharide Catabolic Process,GO:BP,-0.808,-0.642,0.9171,0.9993,NS,22
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,Nucleoside Diphosphate Metabolic Process,GO:BP,0.678,-0.767,0.9781,0.9961,NS,42
GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Non Canonical Nf Kappab Signal Transduction,GO:BP,-0.726,0.718,0.9494,0.9908,NS,16
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Positive Regulation Of Telomere Maintenanc...,GO:BP,0.726,-0.714,0.9439,0.9913,NS,13
GOBP_DEFENSE_RESPONSE_TO_VIRUS,Defense Response To Virus,GO:BP,-0.641,0.792,0.9764,0.9789,NS,20
GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,Regulation Of Neuron Apoptotic Process,GO:BP,-0.732,-0.689,0.9494,0.9993,NS,23
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,Positive Regulation Of Endothelial Cell Pr...,GO:BP,0.696,-0.723,0.9494,0.9864,NS,10
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Regulation Of Receptor Mediated Endocytosis,GO:BP,-0.622,0.796,0.9781,0.9733,NS,19
GOBP_REGULATION_OF_RNA_SPLICING,Regulation Of RNA Splicing,GO:BP,-0.638,-0.776,0.9784,0.9864,NS,26
GOBP_CELLULAR_SENESCENCE,Cellular Senescence,GO:BP,0.857,0.554,0.8916,0.9993,NS,17
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Negative Regulation Of Epithelial Cell Pro...,GO:BP,0.809,0.601,0.9101,0.9993,NS,10
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY,Response To Muscle Activity,GO:BP,-0.804,-0.604,0.912,0.9993,NS,12
GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,Positive Regulation Of DNA Metabolic Process,GO:BP,-0.746,-0.662,0.9495,0.9993,NS,35
GOBP_EPIDERMIS_DEVELOPMENT,Epidermis Development,GO:BP,0.701,-0.704,0.9636,0.9961,NS,25
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Negative Regulation Of Reactive Oxygen Spe...,GO:BP,0.651,0.751,0.9636,0.9828,NS,13
GOBP_MYELOID_LEUKOCYTE_MIGRATION,Myeloid Leukocyte Migration,GO:BP,-0.674,0.728,0.9665,0.9961,NS,26
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Positive Regulation Of DNA Biosynthetic Pr...,GO:BP,0.753,-0.646,0.9286,0.9985,NS,12
GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS,Regulation Of Glycolytic Process,GO:BP,-0.865,0.528,0.8891,0.9993,NS,14
GOBP_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,Steroid Hormone Receptor Signaling Pathway,GO:BP,0.943,0.449,0.8256,0.9996,NS,17
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic Regulation Of Gene Expression,GO:BP,-0.843,0.549,0.8974,0.9993,NS,14
GOBP_NADPH_REGENERATION,Nadph Regeneration,GO:BP,-0.725,0.667,0.9439,0.9961,NS,11
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Carbohydrate Catabolic Process,GO:BP,0.707,0.685,0.9767,0.9993,NS,54
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,Cellular Response To External Stimulus,GO:BP,-0.735,-0.65,0.9388,0.9985,NS,11
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Regulation Of Response To Endoplasmic Reti...,GO:BP,-0.673,0.711,0.9654,0.9961,NS,22
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,Nucleoside Diphosphate Catabolic Process,GO:BP,0.636,-0.746,0.9853,0.9961,NS,37
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Release Of Cytochrome C From Mitochondria,GO:BP,-0.605,-0.77,0.9781,0.9789,NS,15
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,Regulation Of Telomere Maintenance,GO:BP,0.676,0.696,0.9636,0.9961,NS,22
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteolysis Involve...,GO:BP,0.471,-0.901,0.9976,0.9304,NS,18
GOBP_REGULATION_OF_CHEMOTAXIS,Regulation Of Chemotaxis,GO:BP,-0.931,-0.437,0.8344,0.9996,NS,17
GOBP_EPIDERMAL_CELL_DIFFERENTIATION,Epidermal Cell Differentiation,GO:BP,-0.673,0.694,0.9636,0.9961,NS,17
GOBP_MACROMOLECULE_METHYLATION,Macromolecule Methylation,GO:BP,0.723,0.639,0.9494,0.9993,NS,16
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,Intermediate Filament Based Process,GO:BP,0.626,-0.729,0.9665,0.9864,NS,10
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Regulation Of Telomere Maintenance Via Tel...,GO:BP,0.843,0.51,0.8974,0.9994,NS,15
GOBP_COLLAGEN_METABOLIC_PROCESS,Collagen Metabolic Process,GO:BP,0.673,0.673,0.9543,0.9961,NS,12
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteasomal Protein...,GO:BP,-0.392,-0.954,0.9996,0.9237,NS,14
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE,Protein Localization To Vacuole,GO:BP,-0.76,0.583,0.9326,0.9993,NS,14
GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS,Regulation Of Carbohydrate Catabolic Process,GO:BP,-0.803,-0.538,0.912,0.9993,NS,18
GOBP_MONONUCLEAR_CELL_MIGRATION,Mononuclear Cell Migration,GO:BP,-0.689,0.643,0.9636,0.9993,NS,23
GOBP_GLUCOSE_CATABOLIC_PROCESS,Glucose Catabolic Process,GO:BP,0.664,0.667,0.9636,0.9961,NS,16
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Ubiquitin Dependent...,GO:BP,-0.595,-0.734,0.9814,0.9864,NS,15
GOBP_LEUKOCYTE_MIGRATION,Leukocyte Migration,GO:BP,0.6,0.719,0.9917,0.9993,NS,43
GOBP_KERATINOCYTE_DIFFERENTIATION,Keratinocyte Differentiation,GO:BP,-0.593,-0.725,0.9784,0.9883,NS,13
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,Production Of Molecular Mediator Involved ...,GO:BP,-0.547,-0.768,0.9889,0.9789,NS,12
GOBP_TELOMERE_ORGANIZATION,Telomere Organization,GO:BP,-0.685,0.626,0.9665,0.9993,NS,29
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,Neural Precursor Cell Proliferation,GO:BP,-0.764,-0.523,0.9299,0.9993,NS,13
GOBP_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Regulation Of Non Canonical Nf Kappab Sign...,GO:BP,-0.726,0.558,0.9479,0.9993,NS,15
GOBP_TISSUE_REGENERATION,Tissue Regeneration,GO:BP,-0.675,-0.608,0.9601,0.9993,NS,15
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Negative Regulation Of Release Of Cytochro...,GO:BP,-0.713,0.561,0.949,0.9993,NS,11
GOBP_TELOMERASE_RNA_LOCALIZATION,Telomerase RNA Localization,GO:BP,0.638,-0.635,0.9636,0.9993,NS,10
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,Regulation Of Mononuclear Cell Migration,GO:BP,0.688,0.583,0.9543,0.9993,NS,18
GOBP_MYOTUBE_DIFFERENTIATION,Myotube Differentiation,GO:BP,-0.493,0.775,0.9976,0.9864,NS,27
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,Retina Development In Camera Type Eye,GO:BP,-0.406,-0.821,0.9996,0.9601,NS,11
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,Negative Regulation Of Proteolysis,GO:BP,-0.506,-0.71,0.9976,0.9961,NS,25
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Regulation Of Release Of Cytochrome C From...,GO:BP,-0.643,-0.559,0.9665,0.9993,NS,12
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,Transforming Growth Factor Beta Receptor S...,GO:BP,0.564,0.571,0.9917,0.9993,NS,25
GOBP_ENDOTHELIAL_CELL_PROLIFERATION,Endothelial Cell Proliferation,GO:BP,0.602,0.493,0.9781,0.9994,NS,15
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Positive Regulation Of Nitric Oxide Metabo...,GO:BP,-0.465,-0.505,0.9976,0.9993,NS,10
