pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Positive Regulation Of Canonical Nf Kappab...,GO:BP,-1.054,0.871,0.7564,0.9601,NS,32
GOBP_SPHINGOLIPID_METABOLIC_PROCESS,Sphingolipid Metabolic Process,GO:BP,0.992,-0.933,0.7881,0.9237,NS,10
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Biological Process Involved In Symbiotic I...,GO:BP,-0.988,-0.937,0.8015,0.926,NS,44
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,-1.244,-0.679,0.5829,0.9961,NS,14
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,Monocarboxylic Acid Biosynthetic Process,GO:BP,0.971,0.95,0.814,0.9237,NS,42
GOBP_VIRAL_TRANSLATION,Viral Translation,GO:BP,1.141,0.778,0.6924,0.9766,NS,12
GOBP_RESPONSE_TO_ESTRADIOL,Response To Estradiol,GO:BP,-0.775,-1.144,0.9259,0.8324,NS,15
GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE,Response To Hydrogen Peroxide,GO:BP,-0.799,-1.118,0.9248,0.8324,NS,23
GOBP_NEUTROPHIL_MIGRATION,Neutrophil Migration,GO:BP,-0.904,1.013,0.8609,0.8819,NS,15
GOBP_REGULATION_OF_BLOOD_PRESSURE,Regulation Of Blood Pressure,GO:BP,0.91,-1.007,0.8609,0.8851,NS,20
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Positive Regulation Of Autophagy,GO:BP,0.741,-1.176,0.9495,0.7701,NS,30
GOBP_WOUND_HEALING,Wound Healing,GO:BP,-1.051,0.863,0.7466,0.9665,NS,67
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Regulation Of Cellular Response To Insulin...,GO:BP,-0.873,1.041,0.8854,0.858,NS,15
GOBP_REGULATION_OF_PROTEIN_MATURATION,Regulation Of Protein Maturation,GO:BP,-1.082,0.831,0.738,0.9601,NS,10
GOBP_HIPPOCAMPUS_DEVELOPMENT,Hippocampus Development,GO:BP,-1.054,-0.859,0.7586,0.9532,NS,10
