pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS,0.0052094654908738484,1.9756933114299045,56,GO:BP,1.929689460815184e-4,0.48641812634017184,0.5188480777437918,Acute_HR
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,0.0052094654908738484,2.095107463282705,18,GO:BP,2.0582314447918518e-4,0.6797881831059653,0.5188480777437918,Acute_HR
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,0.0064145119101865185,-2.008703907734246,31,GO:BP,2.6311293549562804e-4,-0.5559687663351707,0.49849310876659025,Acute_HR
GOBP_CELL_CHEMOTAXIS,0.006611987701453014,1.9900787533667137,31,GO:BP,2.758891615174879e-4,0.5616511532380196,0.49849310876659025,Acute_HR
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.007102934482940464,2.0348506523184233,15,GO:BP,3.1646737795279294e-4,0.6975033801792383,0.49849310876659025,Acute_HR
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,0.00736729205834464,-1.9479500115790198,40,GO:BP,3.3345593474827225e-4,-0.5080113467801247,0.49849310876659025,Acute_HR
GOBP_RESPONSE_TO_HEAT,0.008285826499502803,2.007822227426841,32,GO:BP,3.808901856207088e-4,0.5626498820558852,0.49849310876659025,Acute_HR
GOBP_REGULATION_OF_PROTEOLYSIS,0.008786791641008639,1.770996782139669,84,GO:BP,4.1634727011851405e-4,0.4026193962020564,0.49849310876659025,Acute_HR
HALLMARK_MITOTIC_SPINDLE,0.010562190170814036,1.9456318019966305,35,Hallmark,5.228807015254473e-4,0.5340590490767874,0.47727081536286214,Acute_HR
HALLMARK_E2F_TARGETS,0.010687201149717255,1.9263214763760492,29,Hallmark,5.366274976166373e-4,0.5532879570428934,0.47727081536286214,Acute_HR
GOBP_LIPID_MODIFICATION,0.013485209612246715,-1.8789369538546081,46,GO:BP,7.044549353435017e-4,-0.4749551871668454,0.47727081536286214,Acute_HR
GOBP_SPINDLE_LOCALIZATION,0.014848010955069829,1.9794045729788325,14,GO:BP,7.980543370476004e-4,0.6927096675211152,0.47727081536286214,Acute_HR
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,0.015750683777644707,-1.868394307702564,44,GO:BP,8.688496001812498e-4,-0.4777909472470221,0.47727081536286214,Acute_HR
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,0.01609725221155131,-1.9560122002776317,10,GO:BP,9.107356272447701e-4,-0.7428172514920262,0.47727081536286214,Acute_HR
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,0.016232894039167816,1.9595643046963531,10,GO:BP,9.298899697118762e-4,0.7562300388849188,0.47727081536286214,Acute_HR
GOBP_GLUCOSE_METABOLIC_PROCESS,0.016960362859575077,-1.749751165276201,66,GO:BP,0.0010075463084896086,-0.41023920774706135,0.45505986738722953,Acute_HR
