group_id,sample_id,ME
magenta,S21_T1,0.05925652642971456
pink,S21_T1,-0.12847760310752834
purple,S21_T1,0.01600597800604296
red,S21_T1,0.06832230974521261
turquoise,S21_T1,0.1399493231564323
yellow,S21_T1,-0.08015151396157294
black,S30_T1,-0.00945274639337394
blue,S30_T1,-0.11193053707173652
brown,S30_T1,0.06481444471825269
green,S30_T1,-0.09531605360265646
greenyellow,S30_T1,0.10309146559565636
magenta,S30_T1,-0.27630703381902977
pink,S30_T1,-0.19079327709160449
purple,S30_T1,-0.26483659013274496
red,S30_T1,-0.10871527816515285
turquoise,S30_T1,0.15274335151129695
yellow,S30_T1,0.12266168967388938
black,S03_T2,0.1998008098731741
blue,S03_T2,-0.06444780623078343
brown,S03_T2,0.1986906803556015
green,S03_T2,-0.1877691028003729
greenyellow,S03_T2,0.1077732624971127
magenta,S03_T2,-0.07145666647162417
pink,S03_T2,-0.0040334625182017044
purple,S03_T2,0.12128463678389448
red,S03_T2,0.043781344893514644
turquoise,S03_T2,-0.09640421590534595
yellow,S03_T2,-0.00853326275996987
black,S10_T2,0.09144283937302075
blue,S10_T2,-0.059563791785617895
brown,S10_T2,0.07500726128597791
green,S10_T2,0.08246604734152847
greenyellow,S10_T2,0.19080938837530317
magenta,S10_T2,-0.050527740870573275
pink,S10_T2,0.024733284627136747
purple,S10_T2,0.016557016188313973
red,S10_T2,-0.09067477203341369
turquoise,S10_T2,-0.06440959866477995
yellow,S10_T2,0.14341725351514295
black,S16_T2,0.06603771871273276
blue,S16_T2,-0.07073246669766999
brown,S16_T2,0.11816261473871283
green,S16_T2,-0.0038242000950588846
greenyellow,S16_T2,-0.045229291487364286
magenta,S16_T2,-0.08655918977841622
pink,S16_T2,0.06111937865299181
purple,S16_T2,0.08248589686390677
red,S16_T2,0.07806338362984513
turquoise,S16_T2,-0.12133226416160406
yellow,S16_T2,0.037175416809521786
black,S22_T2,-0.014975936360678966
blue,S22_T2,-0.004908238998178536
brown,S22_T2,0.10980918998086125
green,S22_T2,0.13745745817294072
greenyellow,S22_T2,-0.12753438059819222
magenta,S22_T2,-0.20007742662992567
pink,S22_T2,-0.04259379373016174
purple,S22_T2,-0.0456458428157816
red,S22_T2,0.08445731992647355
turquoise,S22_T2,-0.08950818324282564
yellow,S22_T2,0.06148301487196821
black,S24_T2,0.047140443133890896
blue,S24_T2,-0.11247926973651573
brown,S24_T2,-0.03251384663512213
green,S24_T2,-0.11364146537433077
greenyellow,S24_T2,0.02869771135380923
magenta,S24_T2,-0.04053356612181639
pink,S24_T2,-0.13712235829119557
purple,S24_T2,-0.01112544252919542
red,S24_T2,0.013854802160345205
turquoise,S24_T2,0.16474023486464315
yellow,S24_T2,0.07913201936691858
black,S27_T2,-0.005615054305422818
blue,S27_T2,0.046355038058735976
brown,S27_T2,0.08754491133467297
green,S27_T2,-0.09538422555513541
greenyellow,S27_T2,-0.0518708974217003
magenta,S27_T2,0.1675618979031458
pink,S27_T2,-0.08616933786548982
purple,S27_T2,0.07655419267098836
red,S27_T2,0.05912546325345777
turquoise,S27_T2,-0.08625689059082448
yellow,S27_T2,-0.0595652821470835
black,S29_T2,0.0908113947847231
blue,S29_T2,0.04315827137576754
brown,S29_T2,0.14860769618913489
green,S29_T2,-0.11590965382192536
greenyellow,S29_T2,-0.053472985001612475
magenta,S29_T2,-0.12495224512663669
pink,S29_T2,0.06818018992327475
purple,S29_T2,0.11497242195117148
red,S29_T2,0.0744483185772
turquoise,S29_T2,-0.09504605920230934
yellow,S29_T2,-0.0860455005711478
black,S04_T2,0.17379593119192327
blue,S04_T2,-0.12039128944990608
brown,S04_T2,0.08357565078638209
green,S04_T2,0.20392810936273142
greenyellow,S04_T2,0.2579670430443989
magenta,S04_T2,0.4042391039827852
pink,S04_T2,0.139692087387806
purple,S04_T2,0.07272398922455578
red,S04_T2,-0.01154188540729577
turquoise,S04_T2,-0.30059010951592374
yellow,S04_T2,0.15579512670357748
black,S05_T2,0.06882771255040981
blue,S05_T2,-0.18863951381654268
brown,S05_T2,0.004525130241533842
green,S05_T2,-0.020281455594583168
greenyellow,S05_T2,0.10498375306943672
magenta,S05_T2,0.005598677670301124
pink,S05_T2,0.03932877294875155
purple,S05_T2,0.013331252966763197
red,S05_T2,-0.048417821806187415
turquoise,S05_T2,0.05635456037009983
yellow,S05_T2,0.03425701415070462
black,S06_T2,0.033870087636631956
blue,S06_T2,-0.10784257702766724
brown,S06_T2,0.09941920139071012
green,S06_T2,-0.05852118196899011
greenyellow,S06_T2,0.005937606065386982
magenta,S06_T2,-0.14824966969125428
pink,S06_T2,-0.2633646551030624
purple,S06_T2,-0.11453308936471644
red,S06_T2,0.023254823534974097
turquoise,S06_T2,0.09952100660919613
yellow,S06_T2,0.16662166408716578
black,S12_T2,0.19617649168604548
blue,S12_T2,-0.15135448141368277
brown,S12_T2,0.04860186028839497
green,S12_T2,-0.2663865984069034
greenyellow,S12_T2,0.2118575163823016
magenta,S12_T2,0.05395707100779325
pink,S12_T2,0.009171542201192727
purple,S12_T2,0.042948764627810235
red,S12_T2,-0.056418848727518296
turquoise,S12_T2,0.08876441540543943
yellow,S12_T2,-0.012932659749345198
black,S14_T2,-0.1830772053125531
blue,S14_T2,0.3644549350370505
brown,S14_T2,-0.1567953452909685
green,S14_T2,-0.004884665665933371
greenyellow,S14_T2,-0.290138981603446
magenta,S14_T2,-0.19833151648315614
pink,S14_T2,-0.12847084027379035
purple,S14_T2,-9.043854849312524e-4
red,S14_T2,0.1549651359731729
turquoise,S14_T2,0.13747054290540608
yellow,S14_T2,-0.21992929431509692
black,S17_T2,0.012675197206992748
blue,S17_T2,-0.24276074635686398
brown,S17_T2,-0.2662265466991718
green,S17_T2,0.07674928184868601
greenyellow,S17_T2,0.06518921817162884
magenta,S17_T2,-0.02576842585941174
pink,S17_T2,-0.09311378837172304
purple,S17_T2,-0.32034646944253753
red,S17_T2,-0.3296541788762055
turquoise,S17_T2,0.21456002656633402
yellow,S17_T2,0.22514334012088677
black,S21_T2,0.12034767368731587
blue,S21_T2,-0.024901041016554836
brown,S21_T2,0.09294808429619193
green,S21_T2,0.11284753074541823
greenyellow,S21_T2,0.02186848157373244
magenta,S21_T2,-0.08627266611205868
pink,S21_T2,0.04016061928752393
purple,S21_T2,0.09367661574038946
red,S21_T2,0.016568317405108626
turquoise,S21_T2,-0.13035750248715589
yellow,S21_T2,0.08962074041534888
black,S30_T2,0.1195094258502574
