pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,ID,p.adjust,Count,geneID
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,6.958531336866614e-4,0.05026200711782885,2.701168430335097,13,81,GO:BP,3.292483660130719,black,Regulation Of Protein Containing Complex A...,GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,0.05026200711782885,13,ARPC2/CLIP1/DCTN1/HMGB1/HSP90AA1/HSPA8/MAPRE1/MAPRE3/PPP2CA/PSMC6/SH3GLB1/TPPP3/VCP
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,0.0012590738360920997,0.07881802213936545,5.6101190476190474,5,15,GO:BP,8.238317757009346,black,Natural Killer Cell Mediated Immunity,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,0.07881802213936545,5,HLA-B/KIF5B/TUBB/TUBB4B/VAMP2
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,0.0016901060160757048,0.08626105469070526,4.390527950310559,6,23,GO:BP,5.846836847946726,black,Unsaturated Fatty Acid Metabolic Process,GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,0.08626105469070526,6,AKR1C1/AKR1C2/AKR1C3/CBR1/COMT/GSTP1
GOBP_TELOMERE_ORGANIZATION,0.0017329024517618813,0.08626105469070526,3.800403225806452,7,31,GO:BP,4.858333333333333,black,Telomere Organization,GOBP_TELOMERE_ORGANIZATION,0.08626105469070526,7,CCT3/CCT4/CCT5/CCT8/HSP90AA1/HSP90AB1/XRCC5
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,0.0017454313515691162,0.08626105469070526,5.259486607142858,5,16,GO:BP,7.485131690739167,black,DNA Templated Transcription Initiation,GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,0.08626105469070526,5,HMGB1/PADI2/PPP2CA/PSMC6/SUB1
GOBP_SPINDLE_ORGANIZATION,0.0018767130594813696,0.08811167814265031,3.3660714285714284,8,40,GO:BP,4.185096153846154,black,Spindle Organization,GOBP_SPINDLE_ORGANIZATION,0.08811167814265031,8,DCTN1/DYNC1H1/MAP4/MAPRE1/MAPRE3/NUDC/TUBB/VCP
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,2.4471507873997682e-5,0.011935133260048079,3.616440377804014,13,44,GO:BP,5.056051246854267,yellow,Positive Regulation Of Protein Catabolic P...,GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,0.011935133260048079,13,AKT1/BCAP31/DDB1/EZR/GSK3B/HSPA1A/PACSIN3/PSMD10/RAD23A/STUB1/SUMO2/USP5/VPS35
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,2.542094411085853e-5,0.011935133260048079,5.007378984651712,9,22,GO:BP,8.202652519893899,yellow,Positive Regulation Of Ubiquitin Dependent...,GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.011935133260048079,9,AKT1/BCAP31/GSK3B/HSPA1A/PSMD10/RAD23A/STUB1/SUMO2/USP5
GOBP_RESPONSE_TO_HEAT,9.795786863134042e-5,0.022995609661207166,3.9484708839547547,10,31,GO:BP,5.654761904761905,yellow,Response To Heat,GOBP_RESPONSE_TO_HEAT,0.022995609661207166,10,AKT1/CRYAB/EIF2S1/GSK3B/HSPA1A/HSPB2/HSPB6/RBBP7/STUB1/YWHAE
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,7.00377357053588e-4,0.07307270425259102,3.442573051948052,9,32,GO:BP,4.609295352323838,yellow,Regulation Of Proteasomal Ubiquitin Depend...,GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.07307270425259102,9,AKT1/GSK3B/HSPA1A/PSMD10/RAD23A/RAD23B/STUB1/SUMO2/USP5
GOBP_WNT_SIGNALING_PATHWAY,9.800787267283265e-4,0.07430719589550429,3.060064935064935,10,40,GO:BP,3.9375,yellow,Wnt Signaling Pathway,GOBP_WNT_SIGNALING_PATHWAY,0.07430719589550429,10,CUL3/DDB1/GSK3B/KPNA1/NDRG2/PPM1B/RHOA/RUVBL1/SNX3/VPS35
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,0.0010849901621110556,0.07430719589550429,4.590097402597403,6,16,Other,6.977027027027027,yellow,Sig Pip3 Signaling In Cardiac Myoctes,SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,0.07430719589550429,6,AKT1/GSK3B/YWHAB/YWHAE/YWHAG/YWHAH
GOBP_NEURAL_NUCLEUS_DEVELOPMENT,0.0012661503027987951,0.07430719589550429,3.894628099173554,7,22,GO:BP,5.447619047619048,yellow,Neural Nucleus Development,GOBP_NEURAL_NUCLEUS_DEVELOPMENT,0.07430719589550429,7,DYNLL1/NDRG2/RHOA/S100A1/SYPL2/YWHAE/YWHAH
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI,0.0012661503027987951,0.07430719589550429,3.894628099173554,7,22,GO:BP,5.447619047619048,yellow,Retrograde Transport Endosome To Golgi,GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI,0.07430719589550429,7,ARL1/ARL8B/LMAN1/RAB9A/SNX3/VPS35/YKT6
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,0.0016969786443808512,0.0937331145337423,3.725296442687747,7,23,GO:BP,5.104166666666667,yellow,Establishment Of Cell Polarity,GOBP_ESTABLISHMENT_OF_CELL_POLARITY,0.0937331145337423,7,CFL1/EZR/GSK3B/NSFL1C/PAFAH1B1/RAP1B/RHOA
GOBP_TRICARBOXYLIC_ACID_CYCLE,1.4792595249802454e-11,1.3890246939564505e-8,6.256345177664975,17,26,GO:BP,17.619135802469135,brown,Tricarboxylic Acid Cycle,GOBP_TRICARBOXYLIC_ACID_CYCLE,1.3890246939564505e-8,17,ACO2/CS/DLD/FH/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH1/MDH2/OGDH/SDHA/SDHB/SUCLA2/SUCLG1/SUCLG2
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,8.380689872836897e-10,3.318265735663716e-7,2.2439468128116435,53,226,GO:BP,3.223145472061657,brown,Generation Of Precursor Metabolites And En...,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3.318265735663716e-7,53,ACADM/ACAT1/ACO2/ADHFE1/AGL/ALDH1L1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5PD/ATP5PF/ATP5PO/CISD1/CS/DLD/ENO3/EPM2A/ETFA/ETFB/ETFDH/FBP1/FH/GYG1/HCCS/IDE/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH1/MDH2/MT-ATP8/OGDH/PDK2/PDPR/PFKFB1/PGAM1/PGAM2/PHKA1/PHKA2/PHKB/PHKG1/PKM/PNPT1/PPIF/PYGM/SDHA/SDHB/SHMT2/SUCLA2/SUCLG1/SUCLG2
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,1.0601487973366504e-9,3.318265735663716e-7,4.661590524534687,19,39,GO:BP,8.902247191011236,brown,Dicarboxylic Acid Metabolic Process,GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,3.318265735663716e-7,19,ADHFE1/ALDH1L1/ALDH5A1/DLD/FAHD2A/FH/GLUD1/GOT1/GOT2/IDH1/IDH2/L2HGDH/MDH1/MDH2/OGDH/SDHA/SDHB/SUCLA2/SUCLG1
HALLMARK_FATTY_ACID_METABOLISM,1.7553642673521874e-9,4.12071761760926e-7,3.226596623775233,29,86,Hallmark,4.939327485380117,brown,Fatty Acid Metabolism,HALLMARK_FATTY_ACID_METABOLISM,4.12071761760926e-7,29,ACAA2/ACADM/ACADS/ACO2/ACOT2/ACSL1/CPT2/DECR1/DLD/ECI1/ECI2/ENO3/ETFDH/FH/HCCS/HSD17B10/HSDL2/IDH1/IDH3B/IDH3G/IDI1/MCEE/MDH1/MDH2/PCBD1/SDHA/SUCLA2/SUCLG1/SUCLG2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.76200321861393e-9,8.943042044556961e-7,2.518033662837296,40,152,Hallmark,3.5850773430391265,brown,OXPHOS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,8.943042044556961e-7,40,ACAA2/ACADM/ACADSB/ACAT1/ACO2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5PD/ATP5PF/ATP5PO/BDH2/COX17/CS/DECR1/DLD/ECI1/ETFA/ETFB/ETFDH/FH/GLUD1/GOT2/HCCS/HSD17B10/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH1/MDH2/NQO2/OGDH/SDHA/SDHB/SUCLA2/SUCLG1/TIMM10/TIMM50
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.477607127319983e-7,4.6649615607906624e-5,2.4289340101522843,33,130,GO:BP,3.3004148855921547,brown,Small Molecule Catabolic Process,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,4.6649615607906624e-5,33,ACAA2/ACAD8/ACADM/ACADS/ACADSB/ACAT1/ADHFE1/ALDH1L1/ALDH5A1/BDH2/CPT2/DECR1/DLD/ECI1/ECI2/ENO3/ETFA/ETFB/ETFDH/GLUD1/GOT1/GOT2/HSD17B10/LDHD/MCCC2/MCEE/MPI/NQO2/PCCA/PGAM1/PGAM2/PKM/TXN2
GOBP_FATTY_ACID_CATABOLIC_PROCESS,6.240783095916868e-6,6.511217030073266e-4,3.5006809458957533,15,41,GO:BP,5.268385460693153,brown,Fatty Acid Catabolic Process,GOBP_FATTY_ACID_CATABOLIC_PROCESS,6.511217030073266e-4,15,ACAA2/ACADM/ACADS/ACAT1/BDH2/CPT2/DECR1/ECI1/ECI2/ETFA/ETFB/ETFDH/HSD17B10/MCEE/PCCA
GOBP_FATTY_ACID_METABOLIC_PROCESS,9.394448927872194e-6,8.628515348743012e-4,2.3486386709736964,27,110,GO:BP,3.0712260807937635,brown,Fatty Acid Metabolic Process,GOBP_FATTY_ACID_METABOLIC_PROCESS,8.628515348743012e-4,27,ACAA2/ACADM/ACADS/ACADSB/ACAT1/ACOT2/ACSL1/BDH2/CBR4/CPT2/DECR1/ECHDC3/ECI1/ECI2/ETFA/ETFB/ETFDH/GSTM4/HSD17B10/HSD17B8/MCEE/MMUT/OXSM/PCCA/PDK2/PDPR/PTGES2
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,1.0107951952734094e-5,8.628515348743012e-4,2.496137717943059,24,92,GO:BP,3.304998299897994,brown,Sulfur Compound Metabolic Process,GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,8.628515348743012e-4,24,ACAT1/ACOT2/ACSL1/BPNT1/CBR4/DLD/ENOPH1/GSTK1/GSTM4/IDH1/MCCC2/MCEE/MMUT/OGDH/OPLAH/OXSM/PANK4/PCCA/PDK2/PDPR/SUCLA2/SUCLG1/SUCLG2/TXN2
GOBP_LIPID_CATABOLIC_PROCESS,2.0098115951859943e-5,0.0015514956978325183,2.7545762190432237,19,66,GO:BP,3.726870666985417,brown,Lipid Catabolic Process,GOBP_LIPID_CATABOLIC_PROCESS,0.0015514956978325183,19,ACAA2/ACADM/ACADS/ACAT1/ADHFE1/BDH2/CPT2/DECR1/ECI1/ECI2/ETFA/ETFB/ETFDH/HINT2/HSD17B10/IDH1/MCEE/PCCA/PLCD4
GOBP_ACYL_COA_METABOLIC_PROCESS,2.3131991234989623e-5,0.0015514956978325183,3.1895093062605757,15,45,GO:BP,4.554945054945055,brown,Acyl Coa Metabolic Process,GOBP_ACYL_COA_METABOLIC_PROCESS,0.0015514956978325183,15,ACAT1/ACOT2/ACSL1/CBR4/DLD/MCEE/MMUT/OGDH/OXSM/PCCA/PDK2/PDPR/SUCLA2/SUCLG1/SUCLG2
HALLMARK_GLYCOLYSIS,7.06437768731035e-5,0.004145906655240261,2.7110829103214886,17,60,Hallmark,3.613049095607235,brown,Glycolysis,HALLMARK_GLYCOLYSIS,0.004145906655240261,17,AGL/AK3/BPNT1/DLD/FBP2/GMPPB/GOT1/GOT2/IDH1/MDH1/MDH2/MPI/PFKFB1/PGAM1/PGAM2/PHKA2/PKM
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,2.2040766475035808e-4,0.011497933177810346,3.2891814720812187,11,32,GO:BP,4.694572452636969,brown,Monosaccharide Biosynthetic Process,GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,0.011497933177810346,11,ACADM/ENO3/FBP1/FBP2/GOT1/MDH2/PDK2/PFKFB1/PGAM1/PGAM2/PGP
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,3.6309407334416766e-4,0.017944491308956496,2.6791878172588834,14,50,GO:BP,3.5106253794778386,brown,Carbohydrate Biosynthetic Process,GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,0.017944491308956496,14,ACADM/AGL/ENO3/EPM2A/FBP1/FBP2/GOT1/GYG1/MDH2/PDK2/PFKFB1/PGAM1/PGAM2/PGP
GOBP_LIPID_MODIFICATION,4.2339367283309695e-4,0.019878332939513903,2.7642413987591654,13,45,GO:BP,3.65625,brown,Lipid Modification,GOBP_LIPID_MODIFICATION,0.019878332939513903,13,ACAA2/ACADM/ACADS/ACAT1/BDH2/CPT2/DECR1/ECI1/ECI2/ETFA/ETFB/ETFDH/HSD17B10
GOBP_AMINO_ACID_METABOLIC_PROCESS,6.643781103772193e-4,0.028356865711100403,2.071536972107384,21,97,GO:BP,2.5308014354066986,brown,Amino Acid Metabolic Process,GOBP_AMINO_ACID_METABOLIC_PROCESS,0.028356865711100403,21,ACAD8/ACADSB/ACAT1/ACY1/ALDH5A1/DLD/ENOPH1/ETFA/ETFB/FH/GLUD1/GOT1/GOT2/HSD17B10/IARS2/MCCC2/MMUT/PCBD1/PCCA/QARS1/SHMT2
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,8.011505876611482e-4,0.03270784355712253,1.8453589557650472,27,140,GO:BP,2.2136907860489328,brown,Nucleoside Phosphate Biosynthetic Process,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.03270784355712253,27,ACAT1/ACSL1/ADSS1/AK2/AK3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5PD/ATP5PF/ATP5PO/CBR4/DLD/DMAC2L/GMPPB/IDH2/MCEE/MMUT/MPI/MT-ATP8/OGDH/PANK4/PCCA/PDK2/PDPR/SDHA/SDHB
GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.0012489182406624586,0.045105162614694175,2.6095985233041072,12,44,GO:BP,3.3567567567567567,brown,Amino Acid Catabolic Process,GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.045105162614694175,12,ACAD8/ACADSB/ACAT1/ALDH5A1/DLD/ETFA/ETFB/GLUD1/GOT1/GOT2/HSD17B10/MCCC2
HALLMARK_ADIPOGENESIS,0.001496660885399373,0.052050539681111535,1.9934433164128595,20,96,Hallmark,2.3966696402022003,brown,Adipogenesis,HALLMARK_ADIPOGENESIS,0.052050539681111535,20,ACAA2/ACADM/ACADS/ACO2/AK2/ATP5PO/CHCHD10/COQ3/CPT2/CS/DECR1/DLD/ETFB/IDH1/IDH3A/IDH3G/MDH2/PLIN2/SDHB/SUCLG1
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,0.0021826240717412824,0.0698045563813867,2.270498150219393,14,59,GO:BP,2.7931997571341833,brown,Carbohydrate Catabolic Process,GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,0.0698045563813867,14,AGL/ENO3/FBP1/MPI/OGDH/PFKFB1/PGAM1/PGAM2/PHKA1/PHKA2/PHKB/PHKG1/PKM/PYGM
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.0022301775201720993,0.0698045563813867,2.12633953750705,16,72,GO:BP,2.5761641673243885,brown,Pyridine Containing Compound Metabolic Pro...,GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.0698045563813867,16,ALDH1L1/ENO3/FBP1/GOT1/GOT2/IDH1/IDH2/MDH1/MDH2/NAXD/OGDH/PFKFB1/PGAM1/PGAM2/PKM/PNPO
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.002694770183149155,0.078017040706065,3.8274111675126905,6,15,GO:BP,5.860383944153577,brown,Alpha Amino Acid Biosynthetic Process,GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.078017040706065,6,ENOPH1/GLUD1/GOT1/GOT2/PCBD1/SHMT2
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,0.002694770183149155,0.078017040706065,3.8274111675126905,6,15,GO:BP,5.860383944153577,brown,Polysaccharide Catabolic Process,GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,0.078017040706065,6,AGL/PHKA1/PHKA2/PHKB/PHKG1/PYGM
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.002824898172530575,0.078017040706065,2.3921319796954315,12,48,GO:BP,2.9765765765765764,brown,Amide Biosynthetic Process,GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.078017040706065,12,ACAT1/ACSL1/CBR4/DLD/FH/MCEE/MMUT/OGDH/PANK4/PCCA/PDK2/PDPR
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,0.002824898172530575,0.078017040706065,2.3921319796954315,12,48,GO:BP,2.9765765765765764,brown,Sulfur Compound Biosynthetic Process,GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,0.078017040706065,12,ACAT1/ACSL1/CBR4/DLD/ENOPH1/MCEE/MMUT/OGDH/PANK4/PCCA/PDK2/PDPR
GOBP_GLUCOSE_METABOLIC_PROCESS,0.0030543710382961602,0.08194441157028841,2.1960555879171175,14,61,GO:BP,2.671084757586327,brown,Glucose Metabolic Process,GOBP_GLUCOSE_METABOLIC_PROCESS,0.08194441157028841,14,ACADM/ENO3/FBP1/FBP2/GOT1/LCMT1/MDH2/PDK2/PFKFB1/PGAM1/PGAM2/PGP/PHKA1/PKM
GOBP_CYTOPLASMIC_TRANSLATION,9.67142033735293e-38,9.081463696774401e-35,8.535849056603773,48,106,GO:BP,27.485411140583555,pink,Cytoplasmic Translation,GOBP_CYTOPLASMIC_TRANSLATION,9.081463696774401e-35,48,CSDE1/EIF3A/EIF3B/EIF3C/EIF3F/EIF3G/EIF3I/HNRNPU/RACK1/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2/RPS11/RPS12/RPS15A/RPS16/RPS18/RPS19/RPS20/RPS21/RPS25/RPS28/RPS3/RPS4X/RPS6/RPS9/RPSA
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,2.1130252822166087e-23,9.920653700006978e-21,13.137878787878787,23,33,GO:BP,53.01948051948052,pink,Negative Regulation Of Syncytium Formation...,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,9.920653700006978e-21,23,RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2
GOBP_SYNCYTIUM_FORMATION,3.3321038816595484e-20,6.257691089756632e-18,10.574390243902439,23,41,GO:BP,29.32251082251082,pink,Syncytium Formation,GOBP_SYNCYTIUM_FORMATION,6.257691089756632e-18,23,RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2
GOBP_RIBOSOME_BIOGENESIS,2.7095414396325146e-18,4.2404323530248856e-16,8.125,25,58,GO:BP,17.696969696969695,pink,Ribosome Biogenesis,GOBP_RIBOSOME_BIOGENESIS,4.2404323530248856e-16,25,ABCF1/DDX17/EIF5B/NPM1/PA2G4/RPL11/RPL14/RPL27/RPL38/RPL5/RPL7/RPL7A/RPLP0/RPS11/RPS12/RPS15A/RPS16/RPS19/RPS21/RPS25/RPS28/RPS4X/RPS6/RPS9/RPSA
GOBP_MYOTUBE_DIFFERENTIATION,1.8924596982838521e-16,2.538599509555053e-14,7.41639344262295,24,61,GO:BP,14.91891891891892,pink,Myotube Differentiation,GOBP_MYOTUBE_DIFFERENTIATION,2.538599509555053e-14,24,NACA/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,1.9031454385454682e-11,2.2338169584927435e-9,4.337168141592921,26,113,GO:BP,6.857409133271203,pink,Striated Muscle Cell Differentiation,GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,2.2338169584927435e-9,26,HNRNPU/LDB3/NACA/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,7.124401038090484e-11,6.689812574766965e-9,9.425,13,26,GO:BP,20.367816091954023,pink,Ribosomal Small Subunit Biogenesis,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,6.689812574766965e-9,13,NPM1/RPS11/RPS12/RPS15A/RPS16/RPS19/RPS21/RPS25/RPS28/RPS4X/RPS6/RPS9/RPSA
GOBP_STRIATED_MUSCLE_CONTRACTION,1.5706451738514154e-10,1.2290298485387325e-8,4.308571428571428,24,105,GO:BP,6.643274853801169,pink,Striated Muscle Contraction,GOBP_STRIATED_MUSCLE_CONTRACTION,1.2290298485387325e-8,24,MYH14/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL23A/RPL27/RPL30/RPL36/RPL38/RPL4/RPL5/RPL7/RPL7A/RPL9/RPLP0/RPLP2
GOBP_RIBOSOME_ASSEMBLY,6.51963961391115e-7,3.830620946884184e-5,7.711363636363636,9,22,GO:BP,13.480980557903635,pink,Ribosome Assembly,GOBP_RIBOSOME_ASSEMBLY,3.830620946884184e-5,9,EIF5B/NPM1/RPL11/RPL38/RPL5/RPS19/RPS28/RPS6/RPSA
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,6.527149643253136e-7,3.830620946884184e-5,4.62982456140351,14,57,GO:BP,6.594916170903191,pink,Protein RNA Complex Organization,GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,3.830620946884184e-5,14,EIF3A/EIF3B/EIF3C/EIF3F/EIF3G/EIF3I/RPL11/RPL13A/RPL38/RPL5/RPS19/RPS28/RPS6/RPSA
GOBP_TRANSLATIONAL_INITIATION,2.0380890634717396e-5,0.0011257444885882139,4.039285714285715,12,56,GO:BP,5.395661157024794,pink,Translational Initiation,GOBP_TRANSLATIONAL_INITIATION,0.0011257444885882139,12,ABCF1/CSDE1/EIF3A/EIF3B/EIF3C/EIF3F/EIF3G/EIF3I/EIF5B/NPM1/RPL13A/RPS3
